ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,EXPECTED_MONTHLY_TXN,ACCOUNT_RISK_RATING,NUM_LINKED_ACCOUNTS,DEBIT_CARD_ISSUED,INTERNET_BANKING
ACCT100000049,CUST0005698,SALARY,ACTIVE,2020-01-02,2701.18,USD,3,4478.68,2,3,1,1
ACCT100000050,CUST0007752,CURRENT,ACTIVE,2013-04-04,122210.27,INR,1,50486.08,1,1,1,1
ACCT100000051,CUST0006436,SHELL,ACTIVE,2020-04-25,1072344.4,USD,1,913241.18,8,2,1,1
ACCT100000052,CUST0006275,NRO,ACTIVE,2020-12-27,50303.65,INR,1,110196.43,7,1,1,1
ACCT100000053,CUST0007097,SAVINGS,ACTIVE,2012-05-05,9865.88,INR,2,10768.98,1,2,1,1
ACCT100000054,CUST0003825,NRE,ACTIVE,2021-08-20,9933.65,INR,1,34083.01,5,1,1,1
ACCT100000055,CUST0001841,SALARY,ACTIVE,2013-11-02,5796.59,INR,3,5536.12,5,1,1,1
ACCT100000056,CUST0004137,CURRENT,ACTIVE,2018-05-10,33200.78,INR,2,46461.02,2,2,1,1
ACCT100000057,CUST0002789,CURRENT,CLOSED,2021-02-07,32486.46,INR,1,5635.19,2,5,0,1
ACCT100000058,CUST0002652,CURRENT,ACTIVE,2019-06-20,38297.25,AED,2,216327.36,3,5,1,1
ACCT100000059,CUST0006578,savings,ACTIVE,2013-12-20,296876.0,INR,1,14561.22,3,2,1,0
ACCT100000060,CUST0005134,CURRENT,ACTIVE,2018-12-22,85818.16,AED,1,34389.69,5,1,1,1
ACCT100000061,CUST0007063,CURRENT,ACTIVE,2018-10-12,194999.85,USD,1,13687.86,3,1,0,1
ACCT100000062,CUST0001648,current,ACTIVE,2017-06-24,134991.88,INR,2,55505.37,1,2,1,0
ACCT100000063,CUST0006978,SALARY,ACTIVE,2018-12-20,12294.48,INR,1,5614.0,4,3,0,1
ACCT100000064,CUST0005800,SAVINGS,ACTIVE,2016-01-09,202535.24,INR,2,1492.72,3,4,0,1
ACCT100000065,CUST0001685,shell,ACTIVE,2021-10-15,7682434.2,USD,1,303366.52,7,3,1,1
ACCT100000066,CUST0002781,SAVINGS,ACTIVE,2013-11-13,66509.56,GBP,3,12963.58,5,2,1,1
ACCT100000067,CUST0001249,salary,ACTIVE,2016-09-28,16838.98,AED,1,2536.47,1,1,1,1
ACCT100000068,CUST0006955,CURRENT,ACTIVE,2015-02-26,48581.75,INR,3,293941.48,1,3,1,0
ACCT100000069,CUST0001966,SAVINGS,ACTIVE,2019-08-08,36098.71,USD,1,238392.37,5,3,1,0
ACCT100000070,CUST0004528, SAVINGS ,ACTIVE,2016-07-13,1369.23,INR,1,15083.78,1,1,1,1
ACCT100000071,CUST0000985,SALARY,ACTIVE,2019-12-31,13269.23,INR,1,1605.46,5,3,1,1
ACCT100000072,CUST0005317,CURRENT,ACTIVE,2018-07-10,263262.89,AED,2,19437.09,3,1,0,1
ACCT100000073,CUST0004382,NRE,ACTIVE,2013-09-18,20669.53,SGD,1,170305.81,6,1,1,1
ACCT100000074,CUST0006056,salary,ACTIVE,2017-06-09,1266.99,INR,1,15213.93,2,1,1,1
ACCT100000075,CUST0006442,SAVINGS,ACTIVE,2018-10-09,6505.28,AED,2,37691.29,4,1,1,0
ACCT100000076,CUST0002012,TRUST,DORMANT,2016-03-01,100221.72,INR,1,2472705.89,10,1,1,1
ACCT100000077,CUST0005617,SAVINGS,ACTIVE,2012-09-01,48495.07,GBP,1,28835.33,5,2,0,1
ACCT100000078,CUST0000499,SAVINGS,ACTIVE,2016-01-02,30572.74,INR,1,1649.1,3,4,1,1
ACCT100000079,CUST0001048,current,ACTIVE,2015-12-09,466100.91,USD,1,7590.51,3,1,0,1
ACCT100000080,CUST0000209,CURRENT,ACTIVE,2017-02-09,8837.86,USD,1,21491.4,5,2,1,1
ACCT100000081,CUST0006459,CURRENT,ACTIVE,2013-02-27,58378.04,SGD,1,248678.83,3,3,0,1
ACCT100000082,CUST0000193,SAVINGS,ACTIVE,2015-08-08,222690.84,AED,1,106666.47,1,2,0,1
ACCT100000083,CUST0002614,SAVINGS,ACTIVE,2020-04-23,176603.82,INR,2,29748.05,3,1,1,0
ACCT100000084,CUST0001851,TRUST,ACTIVE,2015-05-26,30978.8,SGD,1,122703.39,8,2,1,1
ACCT100000085,CUST0004330,nre,ACTIVE,2016-10-02,10092.56,INR,2,50748.28,4,1,1,1
ACCT100000086,CUST0004990,SAVINGS,ACTIVE,2020-04-24,43361.04,INR,1,2673.18,5,2,1,1
ACCT100000087,CUST0002383,SAVINGS,ACTIVE,2019-01-03,3203.22,USD,1,9782.79,1,1,1,1
ACCT100000088,CUST0005436,SALARY,DORMANT,2015-10-28,4708.99,INR,1,11523.48,2,1,1,1
ACCT100000089,CUST0005104,NRO,ACTIVE,2017-04-19,273304.85,INR,3,28166.95,7,2,1,1
ACCT100000090,CUST0005670,SAVINGS,ACTIVE,2014-07-14,19053.26,GBP,1,8645.1,2,1,1,1
ACCT100000091,CUST0003777,SALARY,ACTIVE,2020-03-31,77006.08,INR,2,9680.07,4,1,0,1
ACCT100000092,CUST0001928,CURRENT,ACTIVE,2019-12-27,8230.67,INR,2,116434.72,4,1,1,1
ACCT100000093,CUST0004068,CURRENT,ACTIVE,2020-12-04,64785.83,INR,1,7298.64,1,2,1,1
ACCT100000094,CUST0002571,NRE,BLOCKED,2021-04-18,92294.93,GBP,1,26255.98,5,1,1,1
ACCT100000095,CUST0007082,SALARY,DORMANT,2018-03-09,27639.38,USD,2,7583.05,4,1,1,1
ACCT100000096,CUST0004340,SALARY,ACTIVE,2015-04-02,19476.95,INR,2,4280.82,1,4,1,1
ACCT100000097,CUST0006839,CURRENT,ACTIVE,2016-11-01,92091.5,INR,1,81895.97,3,1,0,0
ACCT100000098,CUST0004521,CURRENT,ACTIVE,2021-02-20,368596.09,SGD,3,655043.0,2,1,1,1
ACCT100000099,CUST0001516,SALARY,ACTIVE,2020-03-08,41426.97,INR,2,3924.67,5,1,1,1
ACCT100000100,CUST0003566,NRO,ACTIVE,2012-02-11,972782.01,USD,1,681212.28,7,1,0,1
ACCT100000101,CUST0000229,SAVINGS,ACTIVE,2019-01-04,13753.49,INR,2,16751.54,3,1,1,1
ACCT100000102,CUST0000643,CURRENT,DORMANT,2016-08-21,190795.36,AED,1,43325.32,5,2,1,0
ACCT100000103,CUST0001675,SALARY,DORMANT,2019-04-19,5647.04,INR,1,18511.26,1,1,0,1
ACCT100000104,CUST0002364,SAVINGS,DORMANT,2021-06-28,7983.52,INR,1,3398.69,4,2,1,1
ACCT100000105,CUST0005770,SAVINGS,ACTIVE,2015-03-02,3464.95,INR,1,25684.0,1,1,1,1
ACCT100000106,CUST0000140,SAVINGS,ACTIVE,2013-03-27,591799.11,INR,1,39490.42,1,2,1,1
ACCT100000107,CUST0006084,SALARY,ACTIVE,2015-12-08,3187.69,USD,2,13402.33,2,4,1,1
ACCT100000108,CUST0007976,SAVINGS,ACTIVE,2014-05-21,87284.83,AED,2,17561.51,4,1,1,1
ACCT100000109,CUST0006183,CURRENT,ACTIVE,2014-01-23,135169.15,USD,2,29719.38,4,2,1,1
ACCT100000110,CUST0004608,SAVINGS,ACTIVE,2017-06-26,31241.92,INR,1,4293.73,2,1,0,1
ACCT100000111,CUST0002064,SAVINGS,ACTIVE,2015-11-23,26822.5,INR,1,14010.48,5,1,1,1
ACCT100000112,CUST0002932,NRE,ACTIVE,2012-07-25,183762.04,GBP,2,59518.82,6,2,1,1
ACCT100000113,CUST0007523,CURRENT,ACTIVE,2014-07-29,25485.2,AED,1,525687.19,5,1,0,1
ACCT100000114,CUST0001433,SAVINGS,ACTIVE,2017-02-27,191991.27,INR,1,71709.75,2,3,1,1
ACCT100000115,CUST0005020,SAVINGS,ACTIVE,2014-05-09,4208.15,AED,1,9797.31,2,3,1,1
ACCT100000116,CUST0004348,TRUST,ACTIVE,2015-07-28,506419.61,INR,1,242593.65,7,1,1,1
ACCT100000117,CUST0001799,CURRENT,ACTIVE,2015-11-29,70551.23,SGD,1,34110.65,5,1,1,1
ACCT100000118,CUST0003920,NRE,CLOSED,2018-02-19,447834.36,SGD,2,78571.59,5,1,1,1
ACCT100000119,CUST0006993,CURRENT,BLOCKED,2017-05-21,249478.6,USD,2,4706.11,3,2,1,1
ACCT100000120,CUST0005493,SAVINGS,ACTIVE,2017-09-06,10735.0,INR,3,689757.93,5,2,0,0
ACCT100000121,CUST0004348,CURRENT,ACTIVE,2019-04-29,52627.74,GBP,1,93464.68,4,3,1,1
ACCT100000122,CUST0000669,SAVINGS,DORMANT,2012-08-08,5566.2,USD,1,13635.49,3,3,0,1
ACCT100000123,CUST0003275,NRO,ACTIVE,2013-04-13,357889.85,AED,1,272352.24,7,2,1,1
ACCT100000124,CUST0006226,SAVINGS,ACTIVE,2012-10-07,76373.12,INR,1,17916.25,5,1,1,1
ACCT100000125,CUST0007802,SALARY,ACTIVE,2015-05-28,6050.15,SGD,1,28084.72,2,3,1,1
ACCT100000126,CUST0007500,SHELL,ACTIVE,2019-08-21,1669775.16,INR,1,2908492.41,9,1,1,1
ACCT100000127,CUST0006847,NRO,ACTIVE,2021-03-22,154424.52,USD,1,96707.75,5,1,0,0
ACCT100000128,CUST0001163, NRO ,ACTIVE,2014-01-08,95490.52,INR,1,16959.63,5,1,1,0
ACCT100000129,CUST0007041,SAVINGS,ACTIVE,2018-12-03,103756.51,SGD,1,3956.53,2,1,1,1
ACCT100000130,CUST0001663,CURRENT,ACTIVE,2021-10-09,1144495.61,USD,1,22929.09,1,4,1,1
ACCT100000131,CUST0004892,SAVINGS,ACTIVE,2014-08-07,2481.2,AED,1,3590.7,4,5,1,1
ACCT100000132,CUST0005239,SALARY,ACTIVE,2012-02-12,18016.25,USD,1,24364.58,1,2,1,1
ACCT100000133,CUST0004142,SALARY,ACTIVE,2019-12-23,1918.12,INR,1,5313.93,2,1,1,1
ACCT100000134,CUST0005458,SAVINGS,ACTIVE,2013-02-15,3146.72,INR,1,22638.94,3,4,1,1
ACCT100000135,CUST0002563,CURRENT,ACTIVE,2014-04-08,35046.6,INR,2,40183.69,5,1,1,1
ACCT100000136,CUST0004238,CURRENT,ACTIVE,2016-07-06,20775.29,SGD,2,32508.6,2,1,1,1
ACCT100000137,CUST0002727,SALARY,ACTIVE,2020-05-18,974.6,INR,1,4275.63,5,1,1,1
ACCT100000138,CUST0000537,SAVINGS,ACTIVE,2018-06-10,126235.77,INR,1,7758.37,3,3,1,1
ACCT100000139,CUST0003235,TRUST,ACTIVE,2020-01-31,349050.76,USD,1,270147.14,7,4,1,1
ACCT100000140,CUST0005406,SAVINGS,ACTIVE,2015-09-23,12317.97,INR,2,13063.39,4,2,1,1
ACCT100000141,CUST0004008,current,ACTIVE,2017-03-06,46595.51,INR,2,167437.96,2,1,1,1
ACCT100000142,CUST0005076,SAVINGS,ACTIVE,2016-05-16,66997.49,AED,1,17903.04,5,2,0,1
ACCT100000143,CUST0007775,CURRENT,ACTIVE,2018-07-08,19216.98,USD,2,44307.97,4,1,0,1
ACCT100000144,CUST0000122,SALARY,ACTIVE,2019-07-11,8547.89,SGD,2,82588.17,3,3,1,0
ACCT100000145,CUST0004839,NRE,ACTIVE,2015-11-27,7952.76,INR,3,69476.74,7,1,0,1
ACCT100000146,CUST0000907,CURRENT,ACTIVE,2017-07-28,42896.57,INR,1,9412.77,4,2,1,0
ACCT100000147,CUST0002626,CURRENT,ACTIVE,2015-03-28,3420.3,INR,1,269038.02,2,1,1,1
ACCT100000148,CUST0004135,CURRENT,ACTIVE,2012-03-29,126495.76,USD,3,29097.16,2,1,1,1
ACCT100000149,CUST0005404,SAVINGS,ACTIVE,2020-11-22,5904.62,USD,2,71209.59,3,2,1,1
ACCT100000150,CUST0007360,salary,ACTIVE,2013-07-18,8619.25,INR,3,3351.25,4,2,1,0
ACCT100000151,CUST0006375,NRO,BLOCKED,2013-02-18,18156.17,INR,1,6052.61,4,1,0,1
ACCT100000152,CUST0001667,CURRENT,ACTIVE,2013-12-09,37090.6,USD,1,55553.15,4,1,1,1
ACCT100000153,CUST0004473,SALARY,ACTIVE,2017-05-23,101382.36,USD,1,2266.44,2,2,1,1
ACCT100000154,CUST0007252,CURRENT,ACTIVE,2012-10-30,28039.46,USD,1,18031.58,5,5,1,1
ACCT100000155,CUST0000586,SAVINGS,CLOSED,2021-04-22,5227.23,INR,3,6632.92,1,4,1,1
ACCT100000156,CUST0003292,CURRENT,ACTIVE,2019-06-28,16095.89,INR,1,9477.51,3,1,1,0
ACCT100000157,CUST0002423,SAVINGS,ACTIVE,2021-10-25,26178.45,INR,1,3275.08,4,2,1,1
ACCT100000158,CUST0001905,SALARY,ACTIVE,2013-10-27,172557.85,INR,1,10293.22,3,2,0,1
ACCT100000159,CUST0001798,CURRENT,ACTIVE,2014-05-23,20312.07,INR,1,72364.32,1,1,1,1
ACCT100000160,CUST0006637,SALARY,ACTIVE,2019-03-14,9735.89,INR,1,12966.99,3,1,1,1
ACCT100000161,CUST0003053,CURRENT,ACTIVE,2019-03-06,1250.17,INR,1,11241.26,5,4,1,1
ACCT100000162,CUST0006308,NRE,ACTIVE,2018-04-26,49384.38,SGD,2,161307.4,5,1,1,0
ACCT100000163,CUST0003971,SHELL,ACTIVE,2019-06-06,615255.91,USD,3,307812.9,9,1,1,0
ACCT100000164,CUST0006101,NRO,ACTIVE,2018-05-29,205703.09,SGD,1,39961.89,4,1,1,1
ACCT100000165,CUST0005719,SALARY,ACTIVE,2019-04-19,1334.55,AED,1,5011.34,4,2,1,1
ACCT100000166,CUST0006676,SAVINGS,ACTIVE,2015-12-12,159438.23,INR,2,51107.66,3,1,0,0
ACCT100000167,CUST0001478,SALARY,ACTIVE,2013-09-20,4049.76,USD,2,9734.52,3,2,0,1
ACCT100000168,CUST0007412,SALARY,ACTIVE,2020-06-08,52987.19,AED,1,8901.91,4,2,1,1
ACCT100000169,CUST0002169,SALARY,BLOCKED,2014-05-06,397.18,INR,1,6093.12,2,1,1,1
ACCT100000170,CUST0007609,SAVINGS,ACTIVE,2012-11-27,2040.47,USD,1,7452.31,1,1,1,1
ACCT100000171,CUST0005684,CURRENT,ACTIVE,2014-09-28,954886.7,INR,2,8064.07,5,4,1,0
ACCT100000172,CUST0005897,CURRENT,ACTIVE,2013-02-19,10483.47,AED,1,45103.25,1,1,0,1
ACCT100000173,CUST0006761,SAVINGS,ACTIVE,2012-09-05,7754.65,INR,3,17816.92,4,3,1,1
ACCT100000174,CUST0000075,current,ACTIVE,2019-06-27,345097.71,USD,1,50219.51,4,1,1,1
ACCT100000175,CUST0007659, NRO ,ACTIVE,2016-08-29,39846.65,INR,2,127548.21,5,2,1,1
ACCT100000176,CUST0004420,NRE,ACTIVE,2021-11-12,211260.64,INR,1,96537.43,5,1,0,1
ACCT100000177,CUST0007622,SALARY,DORMANT,2015-04-30,4405.26,USD,1,479.13,5,1,1,1
ACCT100000178,CUST0000306,SALARY,ACTIVE,2018-12-09,5105.15,INR,1,9620.1,5,1,1,1
ACCT100000179,CUST0003718,NRE,ACTIVE,2018-04-22,12036.87,INR,1,73539.23,7,1,1,1
ACCT100000180,CUST0001579,SALARY,BLOCKED,2016-04-09,8939.7,GBP,1,5620.25,2,4,1,1
ACCT100000181,CUST0000824,NRO,ACTIVE,2018-08-25,466858.14,INR,2,156095.35,4,1,1,1
ACCT100000182,CUST0001041,NRE,ACTIVE,2016-05-27,464039.7,INR,1,102856.58,5,4,0,1
ACCT100000183,CUST0002848,NRE,ACTIVE,2015-05-12,658815.19,INR,1,878370.19,6,1,1,1
ACCT100000184,CUST0007128,CURRENT,DORMANT,2021-01-30,34278.57,INR,2,14497.0,5,2,1,1
ACCT100000185,CUST0000267,CURRENT,ACTIVE,2021-02-19,215601.11,USD,1,48430.81,5,2,1,1
ACCT100000186,CUST0003307,CURRENT,ACTIVE,2020-11-01,68225.67,SGD,3,258086.37,2,5,1,1
ACCT100000187,CUST0001178,CURRENT,ACTIVE,2012-03-29,2152.34,AED,1,46951.67,4,4,1,1
ACCT100000188,CUST0004242,SALARY,ACTIVE,2019-07-21,5714.9,INR,2,10252.11,4,1,1,1
ACCT100000189,CUST0006686,CURRENT,ACTIVE,2019-05-22,1582.8,INR,2,43561.06,2,2,1,1
ACCT100000190,CUST0007872,SAVINGS,ACTIVE,2021-02-14,46447.02,INR,1,43156.55,1,2,1,1
ACCT100000191,CUST0004459,NRO,ACTIVE,2017-09-09,34672.6,USD,1,89185.32,7,1,0,1
ACCT100000192,CUST0007840,SAVINGS,ACTIVE,2012-10-29,10088.83,USD,1,6457.55,1,2,1,1
ACCT100000193,CUST0005689,TRUST,DORMANT,2018-11-30,8805335.11,INR,1,381400.05,10,2,1,0
ACCT100000194,CUST0000062,NRO,ACTIVE,2016-09-04,50052.29,INR,2,327997.67,4,3,1,0
ACCT100000195,CUST0000391,SALARY,ACTIVE,2021-04-02,19819.17,AED,1,10546.4,1,2,1,1
ACCT100000196,CUST0007045,NRE,ACTIVE,2016-09-11,253674.1,INR,1,1141573.64,5,1,1,0
ACCT100000197,CUST0005882,SALARY,ACTIVE,2013-05-21,6326.31,INR,1,7184.86,3,3,0,1
ACCT100000198,CUST0004934,SALARY,ACTIVE,2012-07-23,2078.58,INR,2,9363.34,1,4,1,1
ACCT100000199,CUST0004238,SALARY,ACTIVE,2016-03-16,122038.57,INR,1,19165.11,1,1,0,1
ACCT100000200,CUST0002004,SAVINGS,ACTIVE,2020-08-31,113605.11,USD,2,117762.11,3,2,1,1
ACCT100000201,CUST0000851,NRE,DORMANT,2016-08-13,175938.38,USD,1,33393.18,4,1,1,1
ACCT100000202,CUST0006113, NRE ,ACTIVE,2016-07-24,836703.45,USD,1,873621.18,7,3,1,1
ACCT100000203,CUST0000103,CURRENT,ACTIVE,2021-01-29,2078.33,GBP,1,170581.03,1,2,0,0
ACCT100000204,CUST0001838,SAVINGS,ACTIVE,2021-09-26,44454.82,USD,1,62096.8,2,1,0,1
ACCT100000205,CUST0001036,CURRENT,ACTIVE,2015-12-03,63859.31,INR,1,20875.64,4,3,0,1
ACCT100000206,CUST0006527,CURRENT,ACTIVE,2019-03-19,691294.48,AED,2,11757.96,2,3,1,1
ACCT100000207,CUST0007251,SAVINGS,ACTIVE,2018-12-12,4720.13,AED,1,2891.47,1,2,1,1
ACCT100000208,CUST0005105,SALARY,ACTIVE,2019-07-21,4377.23,USD,1,13746.47,2,1,1,1
ACCT100000209,CUST0005112,SAVINGS,ACTIVE,2013-12-23,7155.59,AED,1,130070.28,1,1,0,1
ACCT100000210,CUST0001511,SALARY,ACTIVE,2016-01-09,13263.98,INR,1,6767.75,1,3,0,1
ACCT100000211,CUST0003122,salary,ACTIVE,2013-10-28,9456.95,GBP,1,2445.0,4,1,1,0
ACCT100000212,CUST0004972,NRE,ACTIVE,2017-06-20,275543.68,USD,2,39677.57,4,1,1,1
ACCT100000213,CUST0002895,CURRENT,ACTIVE,2018-11-12,10119.6,GBP,1,30776.82,5,2,1,1
ACCT100000214,CUST0001097,NRO,ACTIVE,2012-12-17,31907.34,GBP,1,460994.11,6,1,0,1
ACCT100000215,CUST0003497,SALARY,ACTIVE,2015-01-10,27769.22,INR,2,10847.89,5,1,1,1
ACCT100000216,CUST0005585,SAVINGS,ACTIVE,2020-05-19,106469.29,INR,1,20462.18,5,1,0,0
ACCT100000217,CUST0000520,CURRENT,ACTIVE,2020-08-14,179643.17,AED,1,27274.95,4,2,1,1
ACCT100000218,CUST0001795,TRUST,ACTIVE,2014-04-26,18713.17,USD,1,536331.22,7,3,1,1
ACCT100000219,CUST0001844,TRUST,DORMANT,2019-08-31,336933.64,INR,1,540700.72,8,3,1,0
ACCT100000220,CUST0001870,SALARY,ACTIVE,2021-09-13,34958.82,INR,1,4739.26,5,1,1,1
ACCT100000221,CUST0001163,SALARY,ACTIVE,2016-07-24,1751.95,INR,1,45669.36,1,1,1,1
ACCT100000222,CUST0001584, SAVINGS ,ACTIVE,2017-07-15,27182.51,INR,2,4218.57,5,5,0,0
ACCT100000223,CUST0005260,CURRENT,ACTIVE,2020-02-27,5395.23,SGD,1,22254.7,4,1,1,1
ACCT100000224,CUST0001269,CURRENT,ACTIVE,2017-06-08,43047.53,AED,1,19933.56,4,3,1,1
ACCT100000225,CUST0005939,CURRENT,ACTIVE,2018-07-22,748046.83,INR,1,32447.81,1,1,1,1
ACCT100000226,CUST0001540,salary,ACTIVE,2014-08-04,4541.2,INR,1,13568.23,2,2,1,1
ACCT100000227,CUST0002674,SAVINGS,ACTIVE,2013-02-23,50011.39,INR,3,11646.83,1,1,1,1
ACCT100000228,CUST0004753,SAVINGS,ACTIVE,2016-09-28,13236.45,AED,1,13193.43,5,1,1,0
ACCT100000229,CUST0006003,current,ACTIVE,2015-03-29,199925.53,INR,3,12034.42,1,1,1,1
ACCT100000230,CUST0004893,SALARY,ACTIVE,2018-04-23,209917.52,INR,1,8240.82,1,2,1,1
ACCT100000231,CUST0007790,CURRENT,ACTIVE,2012-12-17,2683.68,SGD,1,160728.49,3,1,1,1
ACCT100000232,CUST0002455,SALARY,CLOSED,2014-06-19,3264.97,USD,1,8124.96,5,1,1,1
ACCT100000233,CUST0005182,SAVINGS,ACTIVE,2013-06-09,12246.1,INR,2,18162.51,5,5,1,1
ACCT100000234,CUST0005624,SHELL,ACTIVE,2018-07-21,2537806.3,INR,1,227263.13,8,1,0,1
ACCT100000235,CUST0006784,CURRENT,ACTIVE,2013-09-15,33026.29,INR,1,43767.32,5,1,0,0
ACCT100000236,CUST0006223,CURRENT,ACTIVE,2018-07-09,2756007.16,INR,1,33479.13,2,3,0,1
ACCT100000237,CUST0000140, CURRENT ,ACTIVE,2018-10-21,6609.69,INR,1,54951.45,3,1,1,1
