CUSTOMER_ID,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,YEARS_AS_CUSTOMER,NUM_PRODUCTS_HELD,FATF_HIGH_RISK_NATIONALITY,IS_ACTIVE,CDD_TIER,KYC_REVIEW_OVERDUE,LAST_TRANSACTION_DAYS_AGO,CORRESPONDENT_BANK_FLAG,SHELL_CO_INDICATOR
CUST0000024,US,SELF_EMPLOYED,50k-100k,2,0,0,0,100.0,230,BRANCH,11,2,0,1,SIMPLIFIED,0,157,1,0
CUST0000025,CN,SALARIED,100k-250k,3,0,0,0,84.2,87,MOBILE,9,2,0,1,SIMPLIFIED,0,527,0,0
CUST0000026,US,SELF_EMPLOYED,50k-100k,6,0,0,0,68.0,585,WEB,7,2,0,1,STANDARD,1,720,0,0
CUST0000027,SG,RETIRED,0-50k,1,0,0,0,100.0,7,MOBILE,11,5,0,1,SIMPLIFIED,0,472,0,0
CUST0000028,GB,SALARIED,100k-250k,3,0,0,0,87.9,92,BRANCH,15,2,0,1,SIMPLIFIED,0,471,0,0
CUST0000029,IN,SELF_EMPLOYED,0-50k,4,0,0,0,89.8,225,WEB,17,1,0,1,SIMPLIFIED,0,137,0,0
CUST0000030,MY,RETIRED,100k-250k,1,0,0,0,88.9,100,MOBILE,16,3,0,1,SIMPLIFIED,0,697,0,0
CUST0000031,US,SALARIED,0-50k,4,0,0,0,89.2,54,MOBILE,10,1,0,1,SIMPLIFIED,0,644,0,0
CUST0000032,IN,BUSINESS_OWNER,0-50k,1,0,0,0,94.6,96,THIRD_PARTY,8,5,0,1,SIMPLIFIED,0,156,0,0
CUST0000033,MY,SALARIED,50k-100k,1,0,0,0,92.3,383,WEB,2,2,0,1,SIMPLIFIED,1,127,0,0
CUST0000034,US,SALARIED,100k-250k,8,0,0,0,65.1,142,BRANCH,3,5,0,1,ENHANCED,0,623,0,0
CUST0000035,GB,RETIRED,50k-100k,9,0,0,0,67.9,73,MOBILE,16,1,0,1,ENHANCED,0,127,0,0
CUST0000036,US,SALARIED,0-50k,6,0,0,0,82.2,200,MOBILE,7,2,0,0,STANDARD,0,725,0,0
CUST0000037,IN,SALARIED,100k-250k,2,0,0,0,89.1,170,BRANCH,16,1,0,1,SIMPLIFIED,0,552,0,0
CUST0000038,CN,RETIRED,50k-100k,1,0,0,0,98.8,147,BRANCH,4,3,0,1,SIMPLIFIED,0,623,0,0
CUST0000039,AE,SALARIED,50k-100k,5,0,0,0,82.7,89,MOBILE,15,2,0,1,STANDARD,0,299,0,0
CUST0000040,IN,SHELL_CO,50k-100k,3,0,0,0,93.9,13,MOBILE,16,2,0,1,SIMPLIFIED,0,264,0,1
CUST0000041,IN,SHELL_CO,50k-100k,1,0,0,0,100.0,174,WEB,7,2,0,1,SIMPLIFIED,0,545,0,1
CUST0000042,MY,SALARIED,50k-100k,3,0,0,0,100.0,97,MOBILE,11,1,0,1,SIMPLIFIED,0,337,0,0
CUST0000043,IN,SALARIED,0-50k,1,0,0,0,92.3,100,WEB,14,1,0,1,SIMPLIFIED,0,274,0,0
CUST0000044,MY,BUSINESS_OWNER,100k-250k,7,0,0,0,83.7,48,WEB,4,4,0,0,STANDARD,0,561,0,0
CUST0000045,IN,SELF_EMPLOYED,100k-250k,2,0,0,0,92.9,51,WEB,9,3,0,1,SIMPLIFIED,0,336,0,0
CUST0000046,AE,SALARIED,100k-250k,4,0,0,0,75.2,278,MOBILE,14,3,0,1,SIMPLIFIED,0,422,0,0
CUST0000047,KY,BUSINESS_OWNER,0-50k,2,1,0,0,86.8,117,THIRD_PARTY,8,1,1,1,SIMPLIFIED,0,84,0,0
CUST0000048,IN,SALARIED,,3,0,0,0,91.7,20,MOBILE,14,1,0,1,SIMPLIFIED,0,527,0,0
CUST0000049,AE,STUDENT,0-50k,3,0,0,0,93.8,8,MOBILE,14,1,0,1,SIMPLIFIED,0,417,0,0
CUST0000050,GB,SALARIED,100k-250k,1,0,0,0,87.9,45,MOBILE,15,2,0,1,SIMPLIFIED,0,302,0,0
CUST0000051,GB,SALARIED,0-50k,9,0,0,0,57.9,120,MOBILE,7,2,0,1,ENHANCED,0,293,0,0
CUST0000052,US,SALARIED,0-50k,6,0,0,0,71.7,172,BRANCH,18,1,0,1,STANDARD,0,578,0,0
CUST0000053,AE,SHELL_CO,,8,0,0,0,61.1,27,MOBILE,12,2,0,1,ENHANCED,0,415,0,1
CUST0000054,GB,BUSINESS_OWNER,0-50k,7,0,0,1,57.0,102,BRANCH,13,2,0,1,STANDARD,0,171,0,0
CUST0000055,CN,RETIRED,100k-250k,4,0,0,0,66.2,13,WEB,2,3,0,1,SIMPLIFIED,0,379,0,0
CUST0000056,GB,SELF_EMPLOYED,0-50k,8,0,0,0,64.9,6,WEB,4,4,0,1,ENHANCED,0,702,0,0
CUST0000057,IN,SALARIED,100k-250k,1,0,0,0,98.0,358,BRANCH,18,3,0,1,SIMPLIFIED,0,456,0,0
CUST0000058,NG,SALARIED,0-50k,1,0,0,0,100.0,193,MOBILE,2,1,1,1,SIMPLIFIED,0,13,0,0
CUST0000059,US,SELF_EMPLOYED,,1,0,0,0,85.1,273,WEB,15,2,0,0,SIMPLIFIED,0,290,0,0
CUST0000060,IN,,0-50k,2,0,0,0,81.2,36,THIRD_PARTY,7,1,0,1,SIMPLIFIED,0,665,0,0
CUST0000061,IN,BUSINESS_OWNER,100k-250k,2,0,0,0,87.8,69,BRANCH,3,2,0,1,SIMPLIFIED,0,643,0,0
CUST0000062,IN,SALARIED,50k-100k,2,0,0,0,92.0,105,WEB,11,2,0,1,SIMPLIFIED,0,321,0,0
CUST0000063,IN,POLITICIAN,0-50k,6,1,0,1,84.1,193,THIRD_PARTY,15,1,0,1,STANDARD,0,384,0,0
CUST0000064,IN,SALARIED,50k-100k,2,0,0,0,97.7,137,MOBILE,16,2,0,1,SIMPLIFIED,0,385,0,0
CUST0000065,IN,SHELL_CO,50k-100k,2,0,0,0,89.1,144,THIRD_PARTY,4,2,0,1,SIMPLIFIED,0,53,0,1
CUST0000066,SG,SALARIED,100k-250k,3,0,0,0,90.9,30,THIRD_PARTY,14,4,0,1,SIMPLIFIED,0,131,1,0
CUST0000067,IN,SELF_EMPLOYED,,1,0,0,0,89.3,115,WEB,4,1,0,0,SIMPLIFIED,0,612,1,0
CUST0000068,IN,SALARIED,50k-100k,6,0,0,0,76.6,312,WEB,19,1,0,0,STANDARD,0,446,0,0
CUST0000069,IN,SELF_EMPLOYED,50k-100k,1,0,0,0,95.5,128,BRANCH,15,4,0,1,SIMPLIFIED,0,598,0,0
CUST0000070,IN,SELF_EMPLOYED,100k-250k,10,0,0,0,71.2,40,THIRD_PARTY,5,1,0,1,ENHANCED,0,667,0,0
CUST0000071,IN,SELF_EMPLOYED,50k-100k,6,0,0,0,79.9,96,MOBILE,3,1,0,1,STANDARD,0,166,1,0
CUST0000072,AE,SELF_EMPLOYED,100k-250k,1,0,0,0,89.8,253,MOBILE,7,2,0,1,SIMPLIFIED,0,429,0,0
CUST0000073,VG,BUSINESS_OWNER,100k-250k,1,0,0,0,89.9,26,WEB,10,4,1,1,SIMPLIFIED,0,602,0,0
CUST0000074,MY,BUSINESS_OWNER,250k+,6,0,0,0,73.3,156,WEB,10,2,0,0,STANDARD,0,390,0,0
CUST0000075,MY,,100k-250k,5,0,0,0,67.5,605,WEB,10,2,0,1,STANDARD,1,274,1,0
CUST0000076,IN,SALARIED,250k+,5,0,0,0,78.2,86,BRANCH,16,1,0,1,STANDARD,0,132,0,0
CUST0000077,IN,BUSINESS_OWNER,0-50k,6,0,0,0,74.9,8,MOBILE,11,3,0,1,STANDARD,0,711,0,0
CUST0000078,IN,SELF_EMPLOYED,,1,0,0,0,99.7,180,WEB,13,2,0,1,SIMPLIFIED,0,607,0,0
CUST0000079,GB,,0-50k,2,0,0,0,96.9,8,MOBILE,7,3,0,1,SIMPLIFIED,0,93,0,0
CUST0000080,IN,,100k-250k,1,0,0,0,96.8,38,THIRD_PARTY,19,2,0,1,SIMPLIFIED,0,168,0,0
CUST0000081,AE,SALARIED,100k-250k,7,0,0,0,59.0,8,WEB,17,2,0,1,STANDARD,0,681,0,0
CUST0000082,IN,SALARIED,100k-250k,4,0,0,0,74.2,33,MOBILE,1,2,0,1,SIMPLIFIED,0,415,0,0
CUST0000083,IN,SALARIED,0-50k,2,0,0,0,87.2,347,MOBILE,2,1,0,1,SIMPLIFIED,0,387,0,0
CUST0000084,NG,SALARIED,0-50k,1,0,0,0,100.0,238,BRANCH,10,1,1,1,SIMPLIFIED,0,5,0,0
CUST0000085,GB,BUSINESS_OWNER,100k-250k,2,0,0,0,96.9,75,MOBILE,19,2,0,1,SIMPLIFIED,0,706,0,0
CUST0000086,CN,BUSINESS_OWNER,0-50k,2,0,0,0,90.0,409,BRANCH,4,4,0,1,SIMPLIFIED,1,129,1,0
CUST0000087,AE,POLITICIAN,50k-100k,5,1,0,0,98.9,196,WEB,7,5,0,1,STANDARD,0,660,0,0
CUST0000088,MY,,50k-100k,4,0,0,1,96.5,106,WEB,6,2,0,1,SIMPLIFIED,0,605,0,0
CUST0000089,AE,SALARIED,0-50k,7,0,0,0,81.9,12,MOBILE,7,1,0,1,STANDARD,0,602,0,0
CUST0000090,VG,STUDENT,250k+,3,0,0,0,93.6,236,BRANCH,18,5,1,1,SIMPLIFIED,0,246,0,0
CUST0000091,IN,STUDENT,0-50k,1,0,0,0,99.7,84,WEB,10,2,0,1,SIMPLIFIED,0,397,0,0
CUST0000092,AE,SELF_EMPLOYED,250k+,5,0,0,0,83.1,64,MOBILE,17,1,0,1,STANDARD,0,143,1,0
CUST0000093,SG,SELF_EMPLOYED,50k-100k,5,0,0,0,65.6,61,MOBILE,15,5,0,1,STANDARD,0,492,0,0
CUST0000094,IN,SHELL_CO,0-50k,4,0,0,0,75.6,1,MOBILE,18,1,0,1,SIMPLIFIED,0,368,0,1
CUST0000095,MY,,100k-250k,6,0,0,1,74.2,244,WEB,14,3,0,1,STANDARD,0,123,0,0
CUST0000096,NG,STUDENT,100k-250k,3,0,0,0,89.0,28,BRANCH,14,1,1,1,SIMPLIFIED,0,561,0,0
CUST0000097,US,,100k-250k,3,0,0,0,87.0,132,MOBILE,16,3,0,0,SIMPLIFIED,0,496,0,0
CUST0000098,IN,SALARIED,50k-100k,3,0,0,0,90.2,2,BRANCH,14,5,0,1,SIMPLIFIED,0,387,0,0
CUST0000099,US,SELF_EMPLOYED,100k-250k,1,0,0,0,79.2,177,WEB,7,5,0,1,SIMPLIFIED,0,717,0,0
CUST0000100,CN,SELF_EMPLOYED,250k+,1,0,0,0,100.0,83,THIRD_PARTY,10,1,0,1,SIMPLIFIED,0,440,0,0
CUST0000101,AE,RETIRED,0-50k,1,0,0,0,96.5,179,BRANCH,2,3,0,1,SIMPLIFIED,0,15,0,0
CUST0000102,IN,SHELL_CO,0-50k,4,0,0,0,82.5,16,THIRD_PARTY,12,3,0,1,SIMPLIFIED,0,138,0,1
CUST0000103,US,SELF_EMPLOYED,0-50k,2,0,0,0,99.4,55,THIRD_PARTY,5,4,0,1,SIMPLIFIED,0,190,0,0
CUST0000104,IN,SALARIED,250k+,3,0,0,0,79.6,21,MOBILE,8,2,0,1,SIMPLIFIED,0,606,0,0
CUST0000105,GB,RETIRED,50k-100k,7,0,0,0,70.1,186,BRANCH,19,2,0,1,STANDARD,0,483,0,0
CUST0000106,IN,BUSINESS_OWNER,0-50k,2,0,0,0,94.3,20,WEB,15,2,0,0,SIMPLIFIED,0,457,0,0
CUST0000107,US,SALARIED,0-50k,3,0,0,0,81.2,172,MOBILE,11,3,0,1,SIMPLIFIED,0,293,0,0
CUST0000108,GB,SELF_EMPLOYED,50k-100k,5,0,0,0,64.0,26,BRANCH,16,4,0,1,STANDARD,0,235,0,0
CUST0000109,IN,BUSINESS_OWNER,100k-250k,2,1,0,0,82.8,516,BRANCH,1,1,0,1,SIMPLIFIED,1,37,0,0
CUST0000110,IN,BUSINESS_OWNER,100k-250k,1,0,0,0,95.5,96,BRANCH,0,2,0,1,SIMPLIFIED,0,603,1,0
CUST0000111,IN,SELF_EMPLOYED,100k-250k,2,0,0,0,90.0,24,BRANCH,15,1,0,1,SIMPLIFIED,0,98,0,0
CUST0000112,IN,SALARIED,100k-250k,1,0,0,0,95.9,7,WEB,4,1,0,1,SIMPLIFIED,0,96,0,0
CUST0000113,IN,,0-50k,8,0,0,0,62.7,71,WEB,16,3,0,1,ENHANCED,0,327,0,1
CUST0000114,NG,BUSINESS_OWNER,100k-250k,6,0,0,0,65.5,399,MOBILE,16,4,1,1,STANDARD,1,53,0,0
CUST0000115,CN,SELF_EMPLOYED,,4,0,0,0,85.1,27,MOBILE,7,4,0,0,SIMPLIFIED,0,708,0,0
CUST0000116,MY,SALARIED,100k-250k,7,0,0,0,70.7,281,THIRD_PARTY,14,3,0,1,STANDARD,0,101,0,0
CUST0000117,VG,BUSINESS_OWNER,50k-100k,6,1,0,0,81.1,97,THIRD_PARTY,11,4,1,1,STANDARD,0,631,0,0
CUST0000118,IN,SALARIED,50k-100k,1,0,0,0,90.0,292,WEB,16,2,0,1,SIMPLIFIED,0,468,0,0
CUST0000119,IN,SALARIED,0-50k,7,0,0,1,55.8,373,MOBILE,9,4,0,1,STANDARD,1,490,0,0
CUST0000120,IN,SELF_EMPLOYED,250k+,3,0,0,0,67.2,1102,MOBILE,11,3,0,1,SIMPLIFIED,1,408,0,0
CUST0000121,CN,SALARIED,50k-100k,6,0,0,0,72.8,12,WEB,19,2,0,1,STANDARD,0,489,0,0
CUST0000122,SG,BUSINESS_OWNER,50k-100k,7,0,0,0,73.0,286,THIRD_PARTY,16,2,0,1,STANDARD,0,520,0,0
CUST0000123,IN,SALARIED,0-50k,2,0,0,0,90.1,13,WEB,19,1,0,1,SIMPLIFIED,0,404,0,0
CUST0000124,IN,,50k-100k,1,0,0,0,91.5,68,WEB,11,1,0,1,SIMPLIFIED,0,65,0,0
CUST0000125,US,SALARIED,250k+,2,0,0,0,79.3,187,MOBILE,7,5,0,0,SIMPLIFIED,0,356,0,0
CUST0000126,US,SALARIED,0-50k,3,0,0,0,72.9,106,MOBILE,17,1,0,0,SIMPLIFIED,0,69,0,0
CUST0000127,MY,,0-50k,6,0,0,0,78.9,149,BRANCH,14,1,0,1,STANDARD,0,275,1,0
CUST0000128,IN,POLITICIAN,0-50k,7,1,0,0,70.2,609,BRANCH,8,1,0,1,STANDARD,1,204,0,0
CUST0000129,KY,STUDENT,50k-100k,1,0,0,0,93.1,307,WEB,13,3,1,1,SIMPLIFIED,0,589,0,0
CUST0000130,US,SALARIED,50k-100k,3,0,0,0,75.7,81,WEB,7,1,0,1,SIMPLIFIED,0,386,0,0
CUST0000131,GB,BUSINESS_OWNER,0-50k,3,0,0,0,80.3,164,MOBILE,13,1,0,1,SIMPLIFIED,0,360,0,0
CUST0000132,VG,BUSINESS_OWNER,100k-250k,2,0,0,0,92.4,8,BRANCH,10,5,1,1,SIMPLIFIED,0,555,0,0
CUST0000133,KY,SHELL_CO,250k+,1,1,0,0,98.3,108,THIRD_PARTY,12,4,1,1,SIMPLIFIED,0,152,0,1
CUST0000134,IN,SALARIED,,2,0,0,0,90.7,168,MOBILE,6,2,0,1,SIMPLIFIED,0,50,0,0
CUST0000135,IN,BUSINESS_OWNER,100k-250k,8,0,0,0,79.0,225,THIRD_PARTY,10,1,0,1,ENHANCED,0,14,0,0
CUST0000136,US,SALARIED,50k-100k,2,0,0,0,87.4,417,WEB,11,3,0,0,SIMPLIFIED,1,105,0,0
CUST0000137,US,SELF_EMPLOYED,0-50k,3,0,0,0,98.3,59,BRANCH,10,4,0,1,SIMPLIFIED,0,716,0,0
CUST0000138,AE,SHELL_CO,50k-100k,5,0,0,0,81.7,418,MOBILE,5,5,0,1,STANDARD,1,155,0,1
CUST0000139,VG,SELF_EMPLOYED,0-50k,2,0,0,0,92.9,194,WEB,8,1,1,1,SIMPLIFIED,0,698,0,0
CUST0000140,IN,SALARIED,100k-250k,9,0,0,0,71.5,14,MOBILE,10,3,0,1,ENHANCED,0,234,0,0
CUST0000141,US,SALARIED,0-50k,9,0,0,0,59.0,86,BRANCH,0,2,0,0,ENHANCED,0,323,0,0
CUST0000142,IN,BUSINESS_OWNER,,2,0,0,0,89.4,116,BRANCH,18,1,0,1,SIMPLIFIED,0,485,1,0
CUST0000143,MY,BUSINESS_OWNER,,3,0,0,0,78.2,78,BRANCH,15,4,0,1,SIMPLIFIED,0,601,0,0
CUST0000144,VG,SALARIED,250k+,2,1,0,0,99.5,22,WEB,16,3,1,1,SIMPLIFIED,0,300,0,0
CUST0000145,US,POLITICIAN,50k-100k,2,1,0,0,94.7,144,BRANCH,19,5,0,1,SIMPLIFIED,0,210,0,0
CUST0000146,IN,SALARIED,100k-250k,1,0,0,0,100.0,25,WEB,6,1,0,1,SIMPLIFIED,0,704,0,0
CUST0000147,GB,SALARIED,250k+,4,0,0,0,85.6,443,WEB,0,1,0,1,SIMPLIFIED,1,105,0,0
CUST0000148,SG,POLITICIAN,0-50k,3,1,0,0,96.8,360,MOBILE,12,4,0,1,SIMPLIFIED,0,284,0,0
CUST0000149,IN,SALARIED,250k+,1,0,0,0,90.0,116,BRANCH,14,2,0,1,SIMPLIFIED,0,667,0,0
CUST0000150,MY,SALARIED,100k-250k,2,0,0,0,99.9,12,BRANCH,2,2,0,1,SIMPLIFIED,0,12,0,0
CUST0000151,NG,SELF_EMPLOYED,0-50k,7,0,0,0,68.8,144,MOBILE,3,3,1,1,STANDARD,0,434,0,0
CUST0000152,AE,RETIRED,0-50k,2,0,0,1,92.0,161,BRANCH,2,2,0,1,SIMPLIFIED,0,492,0,0
CUST0000153,AE,SALARIED,100k-250k,1,0,0,0,100.0,394,BRANCH,8,1,0,1,SIMPLIFIED,1,13,0,0
CUST0000154,IN,POLITICIAN,50k-100k,3,1,0,0,100.0,12,MOBILE,14,3,0,1,SIMPLIFIED,0,584,0,0
CUST0000155,AE,RETIRED,50k-100k,10,0,0,0,66.6,212,BRANCH,5,1,0,1,ENHANCED,0,193,0,0
CUST0000156,US,SALARIED,250k+,2,0,0,0,99.3,148,BRANCH,5,5,0,0,SIMPLIFIED,0,333,0,0
CUST0000157,IN,BUSINESS_OWNER,250k+,5,0,0,0,75.6,34,WEB,7,3,0,1,STANDARD,0,258,0,0
CUST0000158,IN,SELF_EMPLOYED,,5,0,0,0,81.3,23,MOBILE,14,4,0,1,STANDARD,0,3,0,0
CUST0000159,IN,SELF_EMPLOYED,50k-100k,2,0,0,0,91.2,213,THIRD_PARTY,11,5,0,0,SIMPLIFIED,0,428,0,0
CUST0000160,IN,RETIRED,250k+,5,0,0,0,91.3,74,BRANCH,12,1,0,1,STANDARD,0,710,0,0
CUST0000161,US,SHELL_CO,,2,0,0,0,90.8,1748,BRANCH,19,1,0,1,SIMPLIFIED,1,179,0,1
CUST0000162,AE,SALARIED,100k-250k,4,0,0,0,94.6,403,WEB,4,4,0,1,SIMPLIFIED,1,475,0,0
CUST0000163,AE,SELF_EMPLOYED,0-50k,4,0,0,0,73.6,150,MOBILE,5,4,0,1,SIMPLIFIED,0,623,0,0
CUST0000164,IN,SELF_EMPLOYED,,3,0,0,0,99.2,184,THIRD_PARTY,6,1,0,1,SIMPLIFIED,0,587,0,0
CUST0000165,US,SALARIED,50k-100k,1,0,0,0,89.1,31,WEB,4,5,0,1,SIMPLIFIED,0,16,0,0
CUST0000166,CN,,0-50k,6,0,0,0,82.8,403,MOBILE,4,2,0,1,STANDARD,1,178,0,0
CUST0000167,US,SALARIED,100k-250k,2,0,0,0,85.1,110,MOBILE,9,2,0,1,SIMPLIFIED,0,559,0,0
CUST0000168,NG,,0-50k,1,0,0,0,100.0,132,WEB,4,4,1,1,SIMPLIFIED,0,386,0,0
CUST0000169,US,SELF_EMPLOYED,50k-100k,1,0,0,0,88.3,371,WEB,6,1,0,1,SIMPLIFIED,1,11,0,0
CUST0000170,AE,SALARIED,50k-100k,4,0,0,0,92.3,1,BRANCH,13,2,0,1,SIMPLIFIED,0,563,0,0
CUST0000171,IN,RETIRED,0-50k,5,0,0,0,86.8,122,WEB,14,2,0,1,STANDARD,0,673,0,0
CUST0000172,SG,RETIRED,,1,0,0,0,91.2,177,MOBILE,18,1,0,1,SIMPLIFIED,0,64,0,0
CUST0000173,CN,SELF_EMPLOYED,,3,0,0,0,92.6,31,WEB,9,2,0,1,SIMPLIFIED,0,242,0,0
CUST0000174,VG,SALARIED,0-50k,2,0,0,0,99.6,12,WEB,9,1,1,1,SIMPLIFIED,0,69,0,0
CUST0000175,NG,BUSINESS_OWNER,0-50k,4,0,0,0,76.6,137,BRANCH,19,2,1,1,SIMPLIFIED,0,307,0,0
CUST0000176,IN,SALARIED,50k-100k,1,0,0,0,87.7,142,WEB,13,2,0,1,SIMPLIFIED,0,319,0,0
CUST0000177,AE,SALARIED,0-50k,5,0,0,0,71.4,72,THIRD_PARTY,3,2,0,1,STANDARD,0,367,0,0
CUST0000178,US,BUSINESS_OWNER,0-50k,2,0,0,0,82.3,385,BRANCH,13,1,0,1,SIMPLIFIED,1,289,0,0
CUST0000179,AE,SALARIED,250k+,8,0,0,0,59.4,64,MOBILE,5,1,0,1,ENHANCED,0,456,0,0
CUST0000180,IN,SALARIED,0-50k,1,0,0,0,100.0,130,MOBILE,14,1,0,0,SIMPLIFIED,0,7,0,0
CUST0000181,CN,SALARIED,50k-100k,2,0,0,0,96.5,37,MOBILE,8,1,0,1,SIMPLIFIED,0,483,0,0
CUST0000182,KY,SALARIED,0-50k,1,0,0,0,82.4,2,WEB,0,1,1,1,SIMPLIFIED,0,644,0,0
CUST0000183,US,SALARIED,250k+,8,0,0,1,63.9,99,BRANCH,17,1,0,1,ENHANCED,0,345,0,0
CUST0000184,IN,SHELL_CO,50k-100k,7,0,0,0,62.7,134,WEB,14,1,0,0,STANDARD,0,712,0,1
CUST0000185,IN,SALARIED,0-50k,2,0,0,0,98.9,260,BRANCH,14,2,0,1,SIMPLIFIED,0,276,1,0
CUST0000186,SG,SALARIED,,4,0,0,0,80.4,107,MOBILE,5,1,0,1,SIMPLIFIED,0,598,0,0
CUST0000187,IN,SALARIED,100k-250k,6,0,0,0,63.6,58,BRANCH,14,1,0,1,STANDARD,0,247,0,0
CUST0000188,KY,POLITICIAN,250k+,4,1,0,0,85.4,166,WEB,6,2,1,1,SIMPLIFIED,0,347,0,0
CUST0000189,SG,SELF_EMPLOYED,100k-250k,3,0,0,0,92.9,86,MOBILE,13,1,0,1,SIMPLIFIED,0,582,0,0
CUST0000190,AE,SALARIED,,2,0,0,0,84.4,47,THIRD_PARTY,9,1,0,1,SIMPLIFIED,0,481,0,0
CUST0000191,AE,STUDENT,50k-100k,1,0,0,0,93.9,434,WEB,11,3,0,1,SIMPLIFIED,1,727,0,0
CUST0000192,IN,SELF_EMPLOYED,,7,0,0,0,64.8,138,MOBILE,4,2,0,1,STANDARD,0,694,0,0
CUST0000193,VG,SALARIED,100k-250k,7,0,0,0,82.0,40,MOBILE,5,1,1,1,STANDARD,0,410,0,0
CUST0000194,AE,SALARIED,,4,0,0,0,80.5,200,MOBILE,3,1,0,1,SIMPLIFIED,0,694,0,0
CUST0000195,NG,SALARIED,100k-250k,2,0,0,0,86.2,292,WEB,13,5,1,1,SIMPLIFIED,0,532,0,0
CUST0000196,US,SALARIED,0-50k,2,0,0,0,91.6,255,MOBILE,9,1,0,1,SIMPLIFIED,0,417,0,0
CUST0000197,SG,BUSINESS_OWNER,50k-100k,5,0,0,0,78.3,164,BRANCH,6,4,0,1,STANDARD,0,715,1,0
CUST0000198,IN,SALARIED,50k-100k,7,0,0,0,77.5,131,WEB,8,1,0,0,STANDARD,0,400,1,0
CUST0000199,AE,SELF_EMPLOYED,250k+,7,0,0,0,81.7,270,BRANCH,15,4,0,1,STANDARD,0,384,0,0
