ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,ACCT_ALERT_COUNT,ALERT_HOUR,ALERT_IS_WEEKEND,RULE_RISK_PROFILE
ALT00000019,TXN000118730,ACCT100001154,R002_STRUCTURING_SIGNAL,78,2024-01-31 04:33:24.756311,1,4,0,3
ALT00000020,TXN000119920,ACCT100009107,R002_STRUCTURING_SIGNAL,72,2024-04-13 18:41:47.222246,1,18,1,3
ALT00000021,TXN000118922,ACCT100008162,R002_STRUCTURING_SIGNAL,77,2023-09-10 18:08:27.898186,1,18,1,3
ALT00000022,TXN000118762,ACCT100008231,R004_MULE_SIGNAL,71,2024-02-10 19:57:59.007843,2,19,1,3
ALT00000023,TXN000118739,ACCT100010523,R005_RAPID_MVT,75,2022-10-01 15:47:53.167306,2,15,1,3
ALT00000024,TXN000119454,ACCT100004543,R004_MULE_SIGNAL,86,2024-05-30 15:01:47.801918,2,15,0,3
ALT00000025,TXN000118696,ACCT100007988,R004_MULE_SIGNAL,69,2023-12-07 19:00:39.034279,2,19,0,3
ALT00000026,TXN000118851,ACCT100009437,R005_RAPID_MVT,72,2023-05-13 07:13:30.687229,1,7,1,3
ALT00000027,TXN000118916,ACCT100005112,R002_STRUCTURING_SIGNAL,62,2023-09-18 21:35:09.358456,3,21,0,3
ALT00000028,TXN000118731,ACCT100003165,R002_STRUCTURING_SIGNAL,76,2023-04-25 08:39:44.512191,1,8,0,3
ALT00000029,TXN000119774,ACCT100010099,R005_RAPID_MVT,78,2023-07-30 04:11:00.440755,1,4,1,3
ALT00000030,TXN000119783,ACCT100001152,R003_LAYERING_SIGNAL,82,2022-09-10 16:06:43.426700,4,16,1,4
ALT00000031,TXN000119924,ACCT100007569,R005_RAPID_MVT,79,2024-03-06 16:59:01.762687,1,16,0,3
ALT00000032,TXN000119499,ACCT100009324,R005_RAPID_MVT,88,2023-02-22 14:53:07.654797,1,14,0,3
ALT00000033,TXN000118672,ACCT100006563,R003_LAYERING_SIGNAL,82,2023-12-18 02:52:39.615387,2,2,0,4
ALT00000034,TXN000119545,ACCT100002588,R003_LAYERING_SIGNAL,75,2023-07-10 19:44:03.442696,1,19,0,4
ALT00000035,TXN000118490,ACCT100011493,R005_RAPID_MVT,77,2024-02-28 23:56:48.385272,2,23,0,3
ALT00000036,TXN000119762,ACCT100003986,R004_MULE_SIGNAL,88,2024-04-05 22:15:26.912827,1,22,0,3
ALT00000037,TXN000119834,ACCT100006849,R004_MULE_SIGNAL,82,2024-01-06 03:30:05.995070,2,3,1,3
ALT00000038,TXN000118820,ACCT100009497,R003_LAYERING_SIGNAL,83,2022-10-12 16:29:38.074859,1,16,0,4
ALT00000039,TXN000119628,ACCT100010640,R003_LAYERING_SIGNAL,79,2024-04-26 03:51:20.104587,1,3,0,4
ALT00000040,TXN000118861,ACCT100003732,R003_LAYERING_SIGNAL,80,2022-03-31 08:04:27.197165,3,8,0,4
ALT00000041,TXN000119687,ACCT100003819,R002_STRUCTURING_SIGNAL,80,2022-07-11 12:13:44.795719,2,12,0,3
ALT00000042,TXN000119556,ACCT100005457,R003_LAYERING_SIGNAL,81,2022-07-01 06:36:43.060499,2,6,0,4
ALT00000043,TXN000119941,ACCT100000598,R004_MULE_SIGNAL,72,2023-09-26 12:35:56.683773,2,12,0,3
ALT00000044,TXN000118553,ACCT100005053,R003_LAYERING_SIGNAL,80,2023-12-17 00:32:29.016726,3,0,1,4
ALT00000045,TXN000118752,ACCT100003788,R002_STRUCTURING_SIGNAL,84,2024-06-11 14:11:27.224534,1,14,0,3
ALT00000046,TXN000118266,ACCT100002507,R005_RAPID_MVT,84,2023-02-01 17:29:27.378412,2,17,0,3
ALT00000047,TXN000119549,ACCT100005337,R004_MULE_SIGNAL,73,2023-05-24 09:36:08.719927,1,9,0,3
ALT00000048,TXN000118525,ACCT100002694,R003_LAYERING_SIGNAL,85,2023-02-14 13:19:38.541340,2,13,0,4
ALT00000049,TXN000119335,ACCT100009188,R004_MULE_SIGNAL,65,2022-05-22 05:43:45.491543,1,5,1,3
ALT00000050,TXN000119844,ACCT100008965,R005_RAPID_MVT,82,2022-09-22 08:47:09.624836,1,8,0,3
ALT00000051,TXN000118452,ACCT100011343,R002_STRUCTURING_SIGNAL,84,2024-03-19 13:29:14.528408,2,13,0,3
ALT00000052,TXN000119554,ACCT100008956,R002_STRUCTURING_SIGNAL,84,2023-11-26 21:34:42.535887,3,21,1,3
ALT00000053,TXN000118811,ACCT100009548,R004_MULE_SIGNAL,74,2022-01-08 09:31:09.604870,1,9,1,3
ALT00000054,TXN000119571,ACCT100001070,R005_RAPID_MVT,94,2023-01-31 12:13:52.390578,3,12,0,3
ALT00000055,TXN000118879,ACCT100002466,R004_MULE_SIGNAL,87,2024-03-08 02:51:00.010221,3,2,0,3
ALT00000056,TXN000119537,ACCT100009596,R003_LAYERING_SIGNAL,80,2023-11-25 21:22:56.480830,3,21,1,4
ALT00000057,TXN000119540,ACCT100004436,R002_STRUCTURING_SIGNAL,70,2023-03-25 18:19:07.575804,1,18,1,3
ALT00000058,TXN000118230,ACCT100007492,R003_LAYERING_SIGNAL,95,2022-10-16 00:53:53.589436,1,0,1,4
ALT00000059,TXN000119322,ACCT100001138,R005_RAPID_MVT,78,2022-06-01 19:32:10.324891,3,19,0,3
ALT00000060,TXN000119910,ACCT100010438,R002_STRUCTURING_SIGNAL,81,2023-06-18 16:49:03.141077,1,16,1,3
ALT00000061,TXN000118336,ACCT100007056,R004_MULE_SIGNAL,65,2022-06-10 01:23:28.133568,2,1,0,3
ALT00000062,TXN000118852,ACCT100002754,R003_LAYERING_SIGNAL,84,2023-09-27 07:48:39.809177,2,7,0,4
ALT00000063,TXN000119850,ACCT100000233,R004_MULE_SIGNAL,78,2023-09-17 02:40:38.875757,1,2,1,3
ALT00000064,TXN000118881,ACCT100008514,R004_MULE_SIGNAL,82,2023-08-11 07:06:33.446364,2,7,0,3
ALT00000065,TXN000119873,ACCT100006885,R004_MULE_SIGNAL,85,2022-08-21 07:18:15.706824,3,7,1,3
ALT00000066,TXN000119655,ACCT100004781,R005_RAPID_MVT,90,2023-04-06 14:19:12.947320,2,14,0,3
ALT00000067,TXN000119694,ACCT100007872,R004_MULE_SIGNAL,68,2022-12-04 11:22:27.604394,2,11,1,3
ALT00000068,TXN000119511,ACCT100003463,R003_LAYERING_SIGNAL,77,2024-06-22 19:57:00.480471,1,19,1,4
ALT00000069,TXN000118756,ACCT100011959,R003_LAYERING_SIGNAL,99,2022-12-15 04:34:35.444009,2,4,0,4
ALT00000070,TXN000119796,ACCT100008699,R003_LAYERING_SIGNAL,92,2024-01-09 00:56:52.956451,2,0,0,4
ALT00000071,TXN000118583,ACCT100008681,R005_RAPID_MVT,81,2022-09-29 19:15:00.725274,4,19,0,3
ALT00000072,TXN000118374,ACCT100006656,R005_RAPID_MVT,73,2022-11-27 23:26:04.417991,1,23,1,3
ALT00000073,TXN000118310,ACCT100004333,R004_MULE_SIGNAL,75,2023-05-04 19:37:01.012781,1,19,0,3
ALT00000074,TXN000118771,ACCT100002687,R004_MULE_SIGNAL,66,2023-10-17 10:32:41.538936,2,10,0,3
ALT00000075,TXN000118736,ACCT100005160,R004_MULE_SIGNAL,74,2022-01-20 18:28:43.627976,1,18,0,3
ALT00000076,TXN000119805,ACCT100011101,R005_RAPID_MVT,88,2023-11-19 03:06:31.288071,2,3,1,3
ALT00000077,TXN000119228,ACCT100001667,R002_STRUCTURING_SIGNAL,64,2024-05-21 08:10:59.873701,2,8,0,3
ALT00000078,TXN000119065,ACCT100011384,R002_STRUCTURING_SIGNAL,67,2023-09-23 06:24:42.330021,1,6,1,3
ALT00000079,TXN000118440,ACCT100007640,R005_RAPID_MVT,73,2023-05-02 03:43:34.988985,2,3,0,3
ALT00000080,TXN000118312,ACCT100006690,R003_LAYERING_SIGNAL,96,2022-04-17 07:00:09.650161,2,7,1,4
ALT00000081,TXN000119861,ACCT100001963,R003_LAYERING_SIGNAL,79,2023-07-24 07:49:52.781567,2,7,0,4
ALT00000082,TXN000119149,ACCT100011879,R004_MULE_SIGNAL,75,2022-12-14 16:24:23.898646,2,16,0,3
ALT00000083,TXN000118790,ACCT100003071,R005_RAPID_MVT,86,2023-06-27 05:16:29.930678,1,5,0,3
ALT00000084,TXN000119018,ACCT100008623,R003_LAYERING_SIGNAL,83,2023-01-02 21:48:25.432890,3,21,0,4
ALT00000085,TXN000118224,ACCT100001529,R002_STRUCTURING_SIGNAL,73,2024-04-23 22:05:15.779363,1,22,0,3
ALT00000086,TXN000119768,ACCT100006775,R002_STRUCTURING_SIGNAL,73,2024-02-05 00:45:07.193004,1,0,0,3
ALT00000087,TXN000119990,ACCT100008392,R004_MULE_SIGNAL,77,2023-05-20 06:37:03.119860,5,6,1,3
ALT00000088,TXN000119456,ACCT100006970,R002_STRUCTURING_SIGNAL,73,2023-08-29 16:06:37.791365,3,16,0,3
ALT00000089,TXN000118719,ACCT100001498,R003_LAYERING_SIGNAL,84,2023-09-17 21:29:37.287860,1,21,1,4
ALT00000090,TXN000118630,ACCT100008692,R004_MULE_SIGNAL,89,2023-03-09 14:16:39.268296,3,14,0,3
ALT00000091,TXN000118855,ACCT100003920,R003_LAYERING_SIGNAL,92,2024-05-04 14:23:28.474097,2,14,1,4
ALT00000092,TXN000118532,ACCT100007308,R005_RAPID_MVT,72,2024-03-15 19:10:40.580437,4,19,0,3
ALT00000093,TXN000118389,ACCT100004874,R004_MULE_SIGNAL,79,2023-02-18 04:17:20.122555,2,4,1,3
ALT00000094,TXN000119926,ACCT100003141,R004_MULE_SIGNAL,77,2024-05-23 20:21:06.040061,3,20,0,3
ALT00000095,TXN000118584,ACCT100011726,R003_LAYERING_SIGNAL,85,2022-06-14 07:19:13.439107,1,7,0,4
ALT00000096,TXN000118639,ACCT100003603,R005_RAPID_MVT,87,2022-05-05 05:50:39.295123,1,5,0,3
ALT00000097,TXN000119976,ACCT100008361,R004_MULE_SIGNAL,77,2022-02-09 04:10:46.113987,1,4,0,3
ALT00000098,TXN000118791,ACCT100003894,R002_STRUCTURING_SIGNAL,60,2022-12-05 12:18:11.970218,3,12,0,3
ALT00000099,TXN000118411,ACCT100007794,R003_LAYERING_SIGNAL,97,2023-03-11 22:56:04.023311,3,22,1,4
ALT00000100,TXN000118421,ACCT100003579,R005_RAPID_MVT,78,2023-11-26 01:17:55.431774,2,1,1,3
ALT00000101,TXN000118404,ACCT100011918,R005_RAPID_MVT,94,2022-02-26 17:43:04.934710,3,17,1,3
ALT00000102,TXN000118640,ACCT100002317,R003_LAYERING_SIGNAL,86,2022-04-23 06:24:48.653719,1,6,1,4
ALT00000103,TXN000119820,ACCT100011927,R005_RAPID_MVT,90,2024-06-11 06:52:21.484307,2,6,0,3
ALT00000104,TXN000119718,ACCT100001140,R004_MULE_SIGNAL,74,2023-03-25 15:03:05.250034,1,15,1,3
ALT00000105,TXN000119942,ACCT100000349,R005_RAPID_MVT,88,2023-12-10 18:35:42.873779,2,18,1,3
ALT00000106,TXN000118783,ACCT100004760,R005_RAPID_MVT,79,2024-06-11 02:29:22.087509,1,2,0,3
ALT00000107,TXN000119934,ACCT100006672,R004_MULE_SIGNAL,74,2023-12-11 14:09:40.995895,3,14,0,3
ALT00000108,TXN000118684,ACCT100003388,R005_RAPID_MVT,91,2022-07-28 19:23:36.536843,1,19,0,3
ALT00000109,TXN000119450,ACCT100003265,R002_STRUCTURING_SIGNAL,71,2023-09-25 06:36:13.093662,2,6,0,3
ALT00000110,TXN000118983,ACCT100001867,R004_MULE_SIGNAL,79,2023-11-06 14:38:43.816343,1,14,0,3
ALT00000111,TXN000118682,ACCT100004315,R004_MULE_SIGNAL,72,2022-08-15 03:54:15.735933,3,3,0,3
ALT00000112,TXN000118715,ACCT100001540,R003_LAYERING_SIGNAL,98,2023-04-20 18:11:08.595357,3,18,0,4
ALT00000113,TXN000119150,ACCT100001461,R003_LAYERING_SIGNAL,83,2022-11-06 22:57:37.581784,1,22,1,4
ALT00000114,TXN000119169,ACCT100002812,R002_STRUCTURING_SIGNAL,70,2023-01-21 09:35:39.192028,2,9,1,3
ALT00000115,TXN000118812,ACCT100000014,R004_MULE_SIGNAL,78,2023-10-03 18:08:04.475304,2,18,0,3
ALT00000116,TXN000119003,ACCT100005926,R002_STRUCTURING_SIGNAL,60,2022-05-24 01:21:34.615512,1,1,0,3
ALT00000117,TXN000118728,ACCT100011762,R004_MULE_SIGNAL,65,2022-03-06 13:35:17.815969,3,13,1,3
ALT00000118,TXN000118968,ACCT100000895,R003_LAYERING_SIGNAL,84,2022-07-29 09:40:15.485972,2,9,0,4
ALT00000119,TXN000118799,ACCT100000827,R002_STRUCTURING_SIGNAL,71,2022-04-07 11:59:10.154338,2,11,0,3
ALT00000120,TXN000118316,ACCT100007451,R002_STRUCTURING_SIGNAL,78,2022-03-25 12:20:51.858047,2,12,0,3
ALT00000121,TXN000118707,ACCT100003789,R005_RAPID_MVT,83,2023-12-27 20:31:19.491175,3,20,0,3
ALT00000122,TXN000118745,ACCT100001468,R003_LAYERING_SIGNAL,93,2022-04-13 12:21:11.190023,2,12,0,4
ALT00000123,TXN000118551,ACCT100006438,R004_MULE_SIGNAL,83,2023-06-05 21:10:30.284406,3,21,0,3
ALT00000124,TXN000119588,ACCT100005696,R002_STRUCTURING_SIGNAL,84,2022-10-07 16:54:46.028737,1,16,0,3
ALT00000125,TXN000119918,ACCT100007697,R002_STRUCTURING_SIGNAL,66,2022-02-18 07:35:41.649827,3,7,0,3
ALT00000126,TXN000119952,ACCT100004857,R005_RAPID_MVT,93,2024-01-27 09:17:22.942971,1,9,1,3
ALT00000127,TXN000119251,ACCT100008219,R003_LAYERING_SIGNAL,88,2023-04-16 08:24:02.284061,3,8,1,4
ALT00000128,TXN000119402,ACCT100005936,R002_STRUCTURING_SIGNAL,78,2023-08-19 04:24:19.914178,1,4,1,3
ALT00000129,TXN000118476,ACCT100010318,R003_LAYERING_SIGNAL,82,2022-06-18 00:51:13.002876,2,0,1,4
ALT00000130,TXN000118545,ACCT100002751,R004_MULE_SIGNAL,87,2023-08-03 13:35:15.160327,3,13,0,3
ALT00000131,TXN000119977,ACCT100011175,R004_MULE_SIGNAL,69,2022-08-16 20:45:12.466018,2,20,0,3
ALT00000132,TXN000119417,ACCT100004563,R005_RAPID_MVT,80,2023-10-29 12:26:24.538708,1,12,1,3
ALT00000133,TXN000118911,ACCT100004545,R003_LAYERING_SIGNAL,99,2024-05-14 08:22:46.752747,2,8,0,4
ALT00000134,TXN000118543,ACCT100011281,R003_LAYERING_SIGNAL,93,2022-09-26 07:19:31.712932,2,7,0,4
ALT00000135,TXN000119397,ACCT100011728,R002_STRUCTURING_SIGNAL,83,2023-12-13 09:01:25.307122,2,9,0,3
ALT00000136,TXN000118683,ACCT100005793,R002_STRUCTURING_SIGNAL,70,2022-07-19 02:43:47.816641,1,2,0,3
ALT00000137,TXN000119087,ACCT100004910,R003_LAYERING_SIGNAL,77,2022-10-25 01:24:09.020108,4,1,0,4
ALT00000138,TXN000118533,ACCT100001000,R004_MULE_SIGNAL,65,2022-03-21 21:56:38.372475,2,21,0,3
ALT00000139,TXN000119366,ACCT100001226,R004_MULE_SIGNAL,76,2023-05-02 20:38:31.859346,3,20,0,3
ALT00000140,TXN000118325,ACCT100006533,R005_RAPID_MVT,77,2023-01-14 23:11:51.767942,1,23,1,3
ALT00000141,TXN000118744,ACCT100006477,R003_LAYERING_SIGNAL,79,2023-08-18 04:45:35.531426,3,4,0,4
ALT00000142,TXN000119325,ACCT100001639,R003_LAYERING_SIGNAL,95,2022-10-05 11:49:26.618665,1,11,0,4
ALT00000143,TXN000118250,ACCT100008487,R002_STRUCTURING_SIGNAL,62,2023-02-28 04:55:07.234793,1,4,0,3
ALT00000144,TXN000119412,ACCT100011977,R004_MULE_SIGNAL,89,2022-07-11 22:19:21.314891,1,22,0,3
ALT00000145,TXN000118627,ACCT100011628,R003_LAYERING_SIGNAL,93,2024-05-04 01:22:43.194341,2,1,1,4
ALT00000146,TXN000118901,ACCT100005238,R004_MULE_SIGNAL,75,2023-02-25 00:15:55.130219,3,0,1,3
ALT00000147,TXN000119361,ACCT100001577,R002_STRUCTURING_SIGNAL,70,2022-07-05 10:11:24.131279,4,10,0,3
ALT00000148,TXN000119978,ACCT100003059,R003_LAYERING_SIGNAL,91,2022-03-10 11:42:14.820192,1,11,0,4
ALT00000149,TXN000119093,ACCT100010892,R003_LAYERING_SIGNAL,86,2023-03-09 12:35:25.623168,1,12,0,4
ALT00000150,TXN000119365,ACCT100003671,R005_RAPID_MVT,92,2024-01-19 05:30:40.068707,2,5,0,3
ALT00000151,TXN000119712,ACCT100009098,R005_RAPID_MVT,73,2022-05-24 00:10:34.063263,1,0,0,3
ALT00000152,TXN000119988,ACCT100002595,R005_RAPID_MVT,73,2022-04-26 13:58:29.664127,2,13,0,3
ALT00000153,TXN000119409,ACCT100001373,R005_RAPID_MVT,79,2022-05-19 16:56:02.037565,2,16,0,3
ALT00000154,TXN000119966,ACCT100010622,R002_STRUCTURING_SIGNAL,71,2022-09-12 09:27:29.044188,2,9,0,3
ALT00000155,TXN000118434,ACCT100006245,R005_RAPID_MVT,75,2023-12-17 20:49:54.071465,1,20,1,3
ALT00000156,TXN000118279,ACCT100003930,R003_LAYERING_SIGNAL,82,2022-06-08 08:15:33.914193,1,8,0,4
ALT00000157,TXN000119082,ACCT100003124,R004_MULE_SIGNAL,66,2023-10-05 20:10:14.265738,1,20,0,3
ALT00000158,TXN000118815,ACCT100010624,R003_LAYERING_SIGNAL,78,2022-01-15 07:26:07.171928,3,7,1,4
ALT00000159,TXN000118615,ACCT100000072,R005_RAPID_MVT,92,2023-04-29 03:53:09.938966,1,3,1,3
ALT00000160,TXN000118274,ACCT100008752,R004_MULE_SIGNAL,87,2022-04-26 07:36:35.402819,2,7,0,3
ALT00000161,TXN000118821,ACCT100006898,R005_RAPID_MVT,72,2022-11-18 12:07:24.740353,1,12,0,3
ALT00000162,TXN000118270,ACCT100004821,R005_RAPID_MVT,74,2022-07-21 20:59:01.319753,3,20,0,3
ALT00000163,TXN000119808,ACCT100007983,R005_RAPID_MVT,74,2022-07-01 00:26:20.614743,2,0,0,3
ALT00000164,TXN000119519,ACCT100007524,R003_LAYERING_SIGNAL,97,2022-08-12 05:42:25.096094,1,5,0,4
ALT00000165,TXN000118986,ACCT100002814,R005_RAPID_MVT,74,2023-08-21 10:25:56.823628,2,10,0,3
ALT00000166,TXN000118978,ACCT100006359,R004_MULE_SIGNAL,75,2023-03-11 00:52:38.310504,2,0,1,3
ALT00000167,TXN000119955,ACCT100006623,R003_LAYERING_SIGNAL,82,2023-05-29 17:26:26.050286,2,17,0,4
ALT00000168,TXN000118651,ACCT100010061,R004_MULE_SIGNAL,75,2023-09-16 06:30:37.674576,3,6,1,3
ALT00000169,TXN000119046,ACCT100003624,R003_LAYERING_SIGNAL,78,2022-08-02 09:48:56.458111,4,9,0,4
ALT00000170,TXN000119045,ACCT100000154,R002_STRUCTURING_SIGNAL,70,2022-07-21 19:19:47.998012,2,19,0,3
ALT00000171,TXN000119068,ACCT100005864,R003_LAYERING_SIGNAL,94,2022-01-28 08:18:16.413225,1,8,0,4
ALT00000172,TXN000119050,ACCT100010068,R003_LAYERING_SIGNAL,94,2022-08-19 09:51:58.765204,1,9,0,4
ALT00000173,TXN000119463,ACCT100006055,R005_RAPID_MVT,83,2022-01-27 06:29:29.453526,2,6,0,3
ALT00000174,TXN000118277,ACCT100009144,R003_LAYERING_SIGNAL,90,2023-11-28 09:47:29.359003,1,9,0,4
ALT00000175,TXN000119706,ACCT100009873,R004_MULE_SIGNAL,73,2024-03-31 07:00:47.735351,3,7,1,3
ALT00000176,TXN000119138,ACCT100004356,R003_LAYERING_SIGNAL,83,2024-04-29 04:03:17.710355,2,4,0,4
ALT00000177,TXN000119722,ACCT100003279,R005_RAPID_MVT,79,2023-06-22 04:30:56.223908,1,4,0,3
ALT00000178,TXN000119487,ACCT100006048,R002_STRUCTURING_SIGNAL,63,2022-11-27 00:53:58.218029,2,0,1,3
ALT00000179,TXN000118981,ACCT100007008,R003_LAYERING_SIGNAL,97,2022-09-27 04:24:37.597362,1,4,0,4
ALT00000180,TXN000119563,ACCT100008723,R005_RAPID_MVT,93,2023-02-22 00:19:06.952985,1,0,0,3
ALT00000181,TXN000119527,ACCT100009234,R003_LAYERING_SIGNAL,97,2022-11-27 10:36:09.627462,1,10,1,4
ALT00000182,TXN000118902,ACCT100005833,R002_STRUCTURING_SIGNAL,77,2022-02-14 09:06:09.318976,1,9,0,3
ALT00000183,TXN000119440,ACCT100001786,R005_RAPID_MVT,82,2023-08-09 14:35:06.378628,2,14,0,3
ALT00000184,TXN000118906,ACCT100007857,R005_RAPID_MVT,77,2022-11-14 05:15:41.490239,1,5,0,3
ALT00000185,TXN000119521,ACCT100006314,R002_STRUCTURING_SIGNAL,72,2022-03-06 02:28:25.590546,3,2,1,3
ALT00000186,TXN000118231,ACCT100003493,R005_RAPID_MVT,83,2023-04-06 20:39:46.622456,1,20,0,3
ALT00000187,TXN000119520,ACCT100002610,R005_RAPID_MVT,77,2022-08-12 01:41:40.407434,1,1,0,3
ALT00000188,TXN000119665,ACCT100010803,R003_LAYERING_SIGNAL,92,2023-12-16 08:07:33.771269,2,8,1,4
ALT00000189,TXN000119836,ACCT100005243,R005_RAPID_MVT,82,2023-06-12 17:09:57.417186,2,17,0,3
ALT00000190,TXN000118568,ACCT100000542,R003_LAYERING_SIGNAL,82,2023-02-20 19:47:37.169118,2,19,0,4
ALT00000191,TXN000118609,ACCT100001682,R002_STRUCTURING_SIGNAL,60,2023-01-03 12:48:16.933563,2,12,0,3
ALT00000192,TXN000119230,ACCT100001703,R005_RAPID_MVT,82,2022-09-04 23:11:00.387984,1,23,1,3
ALT00000193,TXN000119596,ACCT100007265,R005_RAPID_MVT,75,2022-05-10 17:37:04.928261,2,17,0,3
ALT00000194,TXN000119613,ACCT100011473,R002_STRUCTURING_SIGNAL,79,2023-08-09 03:24:59.150735,1,3,0,3
ALT00000195,TXN000118300,ACCT100000920,R005_RAPID_MVT,70,2022-09-25 06:11:34.993332,3,6,1,3
ALT00000196,TXN000119345,ACCT100010481,R003_LAYERING_SIGNAL,79,2024-02-16 09:43:06.712504,3,9,0,4
ALT00000197,TXN000119309,ACCT100007831,R005_RAPID_MVT,89,2023-08-26 09:59:05.570137,1,9,1,3
ALT00000198,TXN000119838,ACCT100004132,R003_LAYERING_SIGNAL,82,2022-12-21 21:19:10.158450,1,21,0,4
ALT00000199,TXN000119290,ACCT100008549,R005_RAPID_MVT,73,2023-11-07 16:27:34.090094,1,16,0,3
ALT00000200,TXN000119056,ACCT100009830,R004_MULE_SIGNAL,89,2023-07-19 10:12:11.418550,4,10,0,3
ALT00000201,TXN000118988,ACCT100001834,R002_STRUCTURING_SIGNAL,83,2024-01-14 08:19:45.222333,1,8,1,3
ALT00000202,TXN000118369,ACCT100007757,R004_MULE_SIGNAL,87,2022-08-19 18:27:07.784604,1,18,0,3
ALT00000203,TXN000119143,ACCT100005708,R003_LAYERING_SIGNAL,90,2023-01-25 19:57:41.602418,1,19,0,4
ALT00000204,TXN000118413,ACCT100003053,R005_RAPID_MVT,79,2024-05-03 06:00:48.944956,1,6,0,3
ALT00000205,TXN000119745,ACCT100010763,R005_RAPID_MVT,72,2024-01-17 10:30:24.173252,1,10,0,3
ALT00000206,TXN000119244,ACCT100010517,R002_STRUCTURING_SIGNAL,61,2023-01-05 01:06:13.196315,1,1,0,3
ALT00000207,TXN000119928,ACCT100008208,R003_LAYERING_SIGNAL,87,2023-04-18 13:52:56.498233,1,13,0,4
ALT00000208,TXN000118681,ACCT100003611,R002_STRUCTURING_SIGNAL,62,2023-09-09 16:01:31.111274,1,16,1,3
ALT00000209,TXN000119794,ACCT100006372,R003_LAYERING_SIGNAL,88,2023-06-05 18:41:52.785542,3,18,0,4
ALT00000210,TXN000119641,ACCT100007932,R002_STRUCTURING_SIGNAL,70,2023-07-10 09:40:37.175406,2,9,0,3
ALT00000211,TXN000119947,ACCT100004322,R005_RAPID_MVT,81,2022-09-22 13:19:24.983975,1,13,0,3
ALT00000212,TXN000118233,ACCT100001754,R004_MULE_SIGNAL,76,2023-11-08 08:11:54.162818,4,8,0,3
ALT00000213,TXN000119118,ACCT100002846,R003_LAYERING_SIGNAL,99,2023-06-24 21:16:35.609164,2,21,1,4
ALT00000214,TXN000119364,ACCT100001281,R005_RAPID_MVT,88,2022-04-26 20:56:03.411626,2,20,0,3
ALT00000215,TXN000118621,ACCT100002400,R003_LAYERING_SIGNAL,90,2024-02-04 16:14:38.369279,1,16,1,4
ALT00000216,TXN000119643,ACCT100005764,R002_STRUCTURING_SIGNAL,60,2024-05-28 08:59:13.259334,1,8,0,3
ALT00000217,TXN000119388,ACCT100000203,R004_MULE_SIGNAL,88,2022-04-24 05:50:07.477014,1,5,1,3
ALT00000218,TXN000119505,ACCT100000297,R005_RAPID_MVT,75,2023-10-08 21:45:43.413625,2,21,1,3
ALT00000219,TXN000119104,ACCT100010815,R005_RAPID_MVT,87,2024-03-28 04:13:26.467924,2,4,0,3
