CASE_ID,ALERT_ID,INVESTIGATOR_ID,PRIORITY,CASE_STATUS,RESOLUTION_DAYS,CASE_OPEN_DATE,ANALYST_RISK_SCORE,DOCS_REQUESTED,CUSTOMER_CONTACTED,EDD_TRIGGERED,LINKED_CASES_COUNT
CASE0000048,ALT00003800,INV_02,LOW,CLOSED_FALSE_POSITIVE,18,2022-09-17 02:40:43.578424,36,1,0,0,0
CASE0000049,ALT00008422,INV_02,LOW,CLOSED_MONITORING,23,2022-08-23 02:30:54.490345,38,1,1,0,1
CASE0000050,ALT00005263,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,36,2023-10-04 19:11:41.473059,44,1,0,0,0
CASE0000051,ALT00009138,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,16,2024-06-22 09:57:52.160431,12,0,1,0,0
CASE0000052,ALT00002914,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,21,2023-11-22 16:56:45.863745,26,1,1,0,0
CASE0000053,ALT00006249,INV_02,LOW,CLOSED_FALSE_POSITIVE,26,2023-06-25 03:09:45.040869,53,0,0,0,1
CASE0000054,ALT00010411,INV_01,MEDIUM,CLOSED_MONITORING,11,2022-03-25 18:16:40.154121,36,1,0,0,0
CASE0000055,ALT00004149,INV_03,LOW,CLOSED_FALSE_POSITIVE,44,2024-06-13 20:46:04.279217,12,0,0,0,0
CASE0000056,ALT00008972,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,44,2023-06-10 10:52:43.639158,29,0,0,0,1
CASE0000057,ALT00000959,AUTO_SYS,HIGH,CLOSED_SAR_FILED,22,2022-06-03 02:18:27.153415,62,1,0,0,2
CASE0000058,ALT00001512,INV_01,HIGH,CLOSED_FALSE_POSITIVE,8,2023-01-04 08:20:03.913409,34,0,1,0,1
CASE0000059,ALT00002408,AUTO_SYS,MEDIUM,CLOSED_MONITORING,13,2023-07-07 10:16:45.564656,37,0,0,0,0
CASE0000060,ALT00007445,INV_01,LOW,CLOSED_FALSE_POSITIVE,34,2022-05-07 09:21:47.981722,48,0,1,0,0
CASE0000061,ALT00000347,INV_01,LOW,CLOSED_FALSE_POSITIVE,37,2023-08-23 00:03:24.762903,33,1,1,0,4
CASE0000062,ALT00010022,INV_02,HIGH,CLOSED_FALSE_POSITIVE,1,2023-03-25 08:48:27.984661,33,0,0,0,1
CASE0000063,ALT00000563,INV_02,HIGH,OPEN,39,2024-05-13 00:26:33.361419,82,1,0,0,2
CASE0000064,ALT00009485,INV_01,HIGH,CLOSED_MONITORING,12,2022-04-05 23:52:31.220405,42,1,0,0,0
CASE0000065,ALT00007133,INV_04,LOW,CLOSED_FALSE_POSITIVE,2,2024-03-30 13:50:03.003446,19,0,0,0,0
CASE0000066,ALT00010157,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,39,2023-07-28 12:08:48.121343,44,0,1,0,1
CASE0000067,ALT00008834,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,36,2023-12-15 21:01:09.732122,40,1,1,0,0
CASE0000068,ALT00003835,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,33,2023-12-10 21:03:05.218605,16,0,1,0,0
CASE0000069,ALT00002677,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,2,2023-12-01 08:36:29.958026,41,1,1,0,0
CASE0000070,ALT00004033,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,13,2023-09-05 22:32:39.705735,46,0,1,0,1
CASE0000071,ALT00005013,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,9,2022-04-02 23:41:37.477957,6,0,0,0,0
CASE0000072,ALT00002068,INV_04,MEDIUM,CLOSED_MONITORING,23,2023-09-26 12:43:44.177680,39,1,0,0,1
CASE0000073,ALT00007851,INV_01,LOW,CLOSED_FALSE_POSITIVE,40,2022-03-20 02:39:21.144578,30,0,0,0,0
CASE0000074,ALT00007945,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,2,2023-08-14 00:02:13.728939,9,1,0,0,0
CASE0000075,ALT00001407,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,27,2022-08-03 01:38:57.668187,35,1,1,0,0
CASE0000076,ALT00007188,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,40,2022-06-28 12:58:08.217175,41,1,0,0,4
CASE0000077,ALT00002803,INV_01,LOW,CLOSED_FALSE_POSITIVE,28,2022-01-25 16:05:09.971849,17,1,0,0,0
CASE0000078,ALT00007302,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,34,2023-05-11 06:32:44.678881,53,1,1,0,0
CASE0000079,ALT00001776,INV_03,LOW,CLOSED_FALSE_POSITIVE,39,2022-10-14 16:59:34.977473,25,1,1,0,0
CASE0000080,ALT00010414,INV_01,MEDIUM,OPEN,2,2022-11-20 00:08:48.946569,54,1,0,0,0
CASE0000081,ALT00010144,INV_01,HIGH,OPEN,25,2023-07-21 20:28:48.765131,14,1,0,0,1
CASE0000082,ALT00002880,INV_02,HIGH,CLOSED_FALSE_POSITIVE,34,2022-10-12 12:52:13.093270,14,0,0,0,1
CASE0000083,ALT00007941,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,31,2024-04-21 12:33:47.838962,31,1,0,0,1
CASE0000084,ALT00006265,INV_04,MEDIUM,CLOSED_SAR_FILED,9,2023-05-01 21:23:44.092990,49,0,0,0,3
CASE0000085,ALT00007619,INV_02,LOW,CLOSED_FALSE_POSITIVE,26,2023-10-30 04:26:03.389631,42,1,1,0,1
CASE0000086,ALT00008738,INV_01,HIGH,CLOSED_FALSE_POSITIVE,43,2023-02-22 14:46:04.063559,52,1,0,0,0
CASE0000087,ALT00001023,INV_03,LOW,CLOSED_SAR_FILED,35,2023-12-27 03:08:46.749129,55,1,1,0,3
CASE0000088,ALT00000040,INV_02,MEDIUM,CLOSED_SAR_FILED,43,2022-03-31 08:04:27.197165,86,1,1,0,4
CASE0000089,ALT00004608,INV_04,LOW,CLOSED_FALSE_POSITIVE,24,2022-03-07 13:00:02.426852,21,0,1,0,0
CASE0000090,ALT00006576,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,5,2023-04-24 09:38:19.398067,21,0,1,0,1
CASE0000091,ALT00005681,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,15,2024-04-11 00:42:05.214789,24,1,1,0,1
CASE0000092,ALT00005034,INV_03,LOW,CLOSED_FALSE_POSITIVE,5,2022-08-01 10:11:29.436450,26,1,1,0,1
CASE0000093,ALT00008797,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,18,2023-10-22 05:27:19.096215,15,1,1,0,0
CASE0000094,ALT00003466,INV_02,MEDIUM,CLOSED_MONITORING,17,2023-07-29 21:56:03.376149,12,1,1,0,1
CASE0000095,ALT00009310,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,26,2022-01-28 22:47:30.977092,52,0,1,0,1
CASE0000096,ALT00007210,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,44,2022-09-16 03:35:07.252590,21,1,1,0,1
CASE0000097,ALT00004922,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,14,2024-05-24 21:20:05.554229,33,1,0,0,1
CASE0000098,ALT00001635,INV_03,HIGH,CLOSED_FALSE_POSITIVE,7,2024-06-01 22:31:52.659600,34,1,1,0,1
CASE0000099,ALT00002955,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,13,2022-01-12 16:44:05.555063,50,0,0,0,0
CASE0000100,ALT00002311,INV_03,MEDIUM,OPEN,17,2023-05-03 23:31:27.331595,51,0,1,0,3
CASE0000101,ALT00007803,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,37,2023-11-28 07:48:08.025254,24,0,0,0,0
CASE0000102,ALT00000796,AUTO_SYS,MEDIUM,OPEN,38,2024-05-18 10:48:15.916707,67,1,1,0,2
CASE0000103,ALT00003543,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,30,2024-04-25 03:54:55.317832,26,1,0,0,1
CASE0000104,ALT00004650,AUTO_SYS,HIGH,OPEN,3,2023-01-08 14:27:17.235583,16,0,0,0,0
CASE0000105,ALT00004717,INV_02,HIGH,CLOSED_FALSE_POSITIVE,44,2023-03-21 09:14:44.885457,17,0,1,0,1
CASE0000106,ALT00001119,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,4,2023-03-04 10:57:43.126413,39,1,0,0,0
CASE0000107,ALT00010124,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,26,2023-02-07 08:21:08.023519,28,1,0,0,0
CASE0000108,ALT00002120,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,43,2022-12-15 14:41:06.999785,39,1,1,0,0
CASE0000109,ALT00001473,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,37,2024-05-03 18:33:09.723805,22,0,0,0,0
CASE0000110,ALT00006561,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,17,2022-07-08 23:46:39.159514,26,1,0,0,1
CASE0000111,ALT00009917,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,39,2022-09-25 03:36:45.152591,35,1,1,0,1
CASE0000112,ALT00008724,INV_04,LOW,CLOSED_FALSE_POSITIVE,5,2024-01-01 09:38:25.750263,15,1,1,0,0
CASE0000113,ALT00006335,INV_02,LOW,CLOSED_FALSE_POSITIVE,31,2022-06-12 02:01:36.712963,30,0,1,0,0
CASE0000114,ALT00005776,INV_02,LOW,OPEN,16,2022-02-01 03:47:43.556184,50,1,0,0,1
CASE0000115,ALT00004460,INV_01,HIGH,CLOSED_FALSE_POSITIVE,29,2024-01-14 23:12:55.056664,27,0,0,0,0
CASE0000116,ALT00003127,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,13,2022-01-26 19:58:37.755084,50,0,1,0,1
CASE0000117,ALT00000488,INV_01,LOW,OPEN,36,2022-01-23 05:45:47.188534,88,0,0,0,2
CASE0000118,ALT00007817,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,19,2022-09-17 04:39:52.382795,16,1,0,0,1
CASE0000119,ALT00007696,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,23,2023-09-12 00:19:07.178888,21,1,1,0,0
CASE0000120,ALT00008291,INV_01,MEDIUM,CLOSED_MONITORING,23,2023-11-08 00:43:49.829310,12,0,0,0,0
CASE0000121,ALT00008084,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,36,2024-04-15 11:21:54.106012,38,1,0,0,0
CASE0000122,ALT00005732,AUTO_SYS,LOW,CLOSED_SAR_FILED,23,2024-04-20 12:07:39.006106,78,1,1,1,0
CASE0000123,ALT00004825,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,8,2024-06-02 02:01:06.427648,33,0,1,0,1
CASE0000124,ALT00009383,INV_02,HIGH,CLOSED_FALSE_POSITIVE,29,2022-04-19 12:01:46.349387,33,1,0,0,1
CASE0000125,ALT00002484,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,38,2023-01-30 01:58:44.275694,44,1,1,0,0
CASE0000126,ALT00000312,INV_04,MEDIUM,OPEN,34,2024-01-24 19:44:05.576774,41,1,0,0,3
CASE0000127,ALT00001248,INV_04,MEDIUM,CLOSED_SAR_FILED,13,2023-11-22 21:22:10.285367,20,0,1,0,0
CASE0000128,ALT00008840,INV_02,HIGH,CLOSED_SAR_FILED,17,2022-01-22 03:52:47.443557,33,0,1,0,1
CASE0000129,ALT00000484,INV_01,LOW,CLOSED_FALSE_POSITIVE,12,2024-01-09 13:12:15.123517,78,1,0,0,3
CASE0000130,ALT00003556,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,21,2022-10-01 03:39:28.677153,50,1,0,0,0
CASE0000131,ALT00006153,INV_03,MEDIUM,CLOSED_SAR_FILED,13,2022-06-12 12:20:09.764790,46,0,1,1,1
CASE0000132,ALT00001394,INV_04,HIGH,CLOSED_FALSE_POSITIVE,15,2023-06-13 13:43:04.086572,53,0,1,0,0
CASE0000133,ALT00004640,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,5,2023-11-05 13:38:25.933500,11,1,0,0,0
CASE0000134,ALT00003061,INV_04,LOW,CLOSED_SAR_FILED,30,2023-04-14 23:25:34.893143,44,0,0,0,1
CASE0000135,ALT00002827,INV_04,LOW,OPEN,37,2022-05-23 07:01:24.595079,35,0,1,0,1
CASE0000136,ALT00001769,INV_02,LOW,CLOSED_FALSE_POSITIVE,18,2022-06-06 09:13:07.056596,28,0,0,0,1
CASE0000137,ALT00008580,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,1,2022-01-01 15:49:49.630370,42,1,0,0,0
CASE0000138,ALT00006521,INV_04,HIGH,CLOSED_FALSE_POSITIVE,5,2024-02-18 00:20:45.875954,29,1,0,0,0
CASE0000139,ALT00007068,INV_01,LOW,CLOSED_FALSE_POSITIVE,14,2022-04-01 02:53:35.809372,30,0,1,0,1
CASE0000140,ALT00009857,INV_04,LOW,CLOSED_FALSE_POSITIVE,31,2023-12-16 12:01:56.920277,25,0,1,0,1
CASE0000141,ALT00009068,INV_02,LOW,CLOSED_FALSE_POSITIVE,29,2022-06-20 16:44:44.307197,34,1,1,0,0
CASE0000142,ALT00007943,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,31,2023-07-08 10:13:01.916441,9,1,1,0,0
CASE0000143,ALT00010299,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,25,2023-12-10 19:35:49.197393,41,0,0,0,1
CASE0000144,ALT00006654,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,26,2024-04-14 02:39:56.568235,54,0,1,0,1
CASE0000145,ALT00010410,INV_01,LOW,CLOSED_FALSE_POSITIVE,21,2022-08-08 15:23:34.577441,46,1,0,0,0
CASE0000146,ALT00002056,INV_04,MEDIUM,CLOSED_SAR_FILED,29,2023-11-19 13:04:44.030643,39,1,1,1,1
CASE0000147,ALT00010392,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,4,2024-03-03 02:57:43.681204,30,0,0,0,1
CASE0000148,ALT00001942,AUTO_SYS,LOW,OPEN,8,2022-03-16 04:56:38.735945,24,0,1,0,1
CASE0000149,ALT00006686,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,37,2023-04-05 21:53:51.123183,18,1,1,0,0
CASE0000150,ALT00007591,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,6,2023-10-21 05:52:25.111403,41,1,1,0,0
CASE0000151,ALT00003446,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,38,2024-04-28 10:24:20.272887,30,1,0,0,4
CASE0000152,ALT00004377,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,21,2023-07-28 08:26:21.338312,11,1,0,0,0
CASE0000153,ALT00002819,INV_01,HIGH,CLOSED_FALSE_POSITIVE,24,2023-06-04 09:30:10.561630,45,1,1,0,0
CASE0000154,ALT00004818,INV_03,HIGH,OPEN,14,2023-09-26 18:48:16.180552,48,1,0,0,0
CASE0000155,ALT00003845,INV_01,LOW,CLOSED_FALSE_POSITIVE,26,2022-01-22 15:33:34.301253,16,1,0,0,1
CASE0000156,ALT00001419,INV_04,LOW,CLOSED_FALSE_POSITIVE,4,2023-05-01 20:12:27.803679,37,1,1,0,0
CASE0000157,ALT00003544,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,32,2023-09-21 20:42:02.097582,47,1,1,0,0
CASE0000158,ALT00006775,AUTO_SYS,HIGH,OPEN,43,2022-09-30 19:53:35.627828,57,1,1,0,2
CASE0000159,ALT00006878,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,19,2022-07-27 03:03:45.602284,28,0,1,0,0
CASE0000160,ALT00006992,AUTO_SYS,MEDIUM,CLOSED_SAR_FILED,16,2022-01-16 02:28:55.694853,78,1,1,1,1
CASE0000161,ALT00008628,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,35,2024-01-26 22:26:20.861531,37,0,0,0,0
CASE0000162,ALT00007008,INV_02,LOW,CLOSED_FALSE_POSITIVE,31,2023-04-03 18:34:23.056381,24,1,0,0,1
CASE0000163,ALT00001804,INV_03,MEDIUM,CLOSED_SAR_FILED,34,2023-06-25 11:59:29.274431,91,1,1,0,4
CASE0000164,ALT00009408,INV_01,LOW,CLOSED_FALSE_POSITIVE,34,2024-04-23 08:41:53.831372,38,0,1,0,0
CASE0000165,ALT00007924,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,3,2022-05-05 16:52:00.646952,42,1,0,0,1
CASE0000166,ALT00005313,INV_04,LOW,CLOSED_FALSE_POSITIVE,34,2022-05-17 13:26:42.313624,20,1,0,0,0
CASE0000167,ALT00005275,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,21,2023-09-21 06:35:33.604245,40,1,0,0,1
CASE0000168,ALT00004289,INV_02,HIGH,CLOSED_FALSE_POSITIVE,21,2023-04-04 14:42:20.915389,43,0,0,0,0
CASE0000169,ALT00001285,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,38,2023-07-24 23:06:09.671779,27,0,1,0,1
CASE0000170,ALT00001517,INV_02,LOW,CLOSED_FALSE_POSITIVE,17,2023-09-23 20:31:13.997655,32,0,1,0,0
CASE0000171,ALT00004602,INV_02,MEDIUM,CLOSED_MONITORING,8,2022-07-13 18:59:47.001379,35,1,0,0,0
CASE0000172,ALT00008936,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,12,2022-03-04 13:44:19.861319,36,0,0,0,1
CASE0000173,ALT00002448,INV_01,HIGH,CLOSED_FALSE_POSITIVE,20,2023-02-14 22:18:01.196275,45,1,1,0,1
CASE0000174,ALT00008169,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,5,2023-07-12 06:01:30.007662,8,0,0,0,1
CASE0000175,ALT00009305,AUTO_SYS,LOW,OPEN,41,2023-09-05 15:30:57.383173,38,0,0,0,0
CASE0000176,ALT00006152,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,30,2024-03-16 16:31:36.511101,8,0,1,0,0
CASE0000177,ALT00006612,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,38,2023-10-21 16:59:42.911578,41,1,0,0,0
CASE0000178,ALT00001161,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,3,2022-04-15 01:47:55.647203,30,1,0,0,1
CASE0000179,ALT00000766,AUTO_SYS,MEDIUM,OPEN,44,2023-03-22 01:56:49.809006,57,1,0,0,2
CASE0000180,ALT00009080,INV_04,LOW,CLOSED_FALSE_POSITIVE,33,2023-11-16 05:23:46.728858,10,1,1,0,1
CASE0000181,ALT00001146,INV_03,LOW,CLOSED_FALSE_POSITIVE,20,2022-02-08 11:40:45.551043,7,0,1,0,1
CASE0000182,ALT00003140,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,29,2023-09-30 20:33:12.005341,15,0,0,0,0
CASE0000183,ALT00004095,INV_03,MEDIUM,CLOSED_SAR_FILED,7,2022-08-12 16:47:20.152634,26,1,0,0,0
CASE0000184,ALT00006107,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,28,2023-11-16 16:37:09.106742,7,0,0,0,1
CASE0000185,ALT00004490,INV_01,MEDIUM,OPEN,42,2022-06-11 21:55:43.796531,17,1,0,0,1
CASE0000186,ALT00003995,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,28,2023-04-29 13:55:58.600582,23,1,0,0,1
CASE0000187,ALT00000837,INV_02,MEDIUM,OPEN,44,2022-12-30 15:55:06.863860,91,0,0,0,4
CASE0000188,ALT00008694,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,19,2023-04-20 14:08:17.660342,30,0,1,0,0
CASE0000189,ALT00001881,AUTO_SYS,MEDIUM,OPEN,30,2023-05-04 14:00:11.041431,37,1,0,0,1
CASE0000190,ALT00009201,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,35,2022-10-14 10:26:10.976399,48,0,1,0,1
CASE0000191,ALT00003965,AUTO_SYS,LOW,CLOSED_SAR_FILED,7,2023-04-30 03:47:44.149350,26,1,1,0,1
CASE0000192,ALT00000953,AUTO_SYS,HIGH,CLOSED_SAR_FILED,38,2023-05-20 00:22:56.280193,73,1,1,0,4
CASE0000193,ALT00002108,INV_04,MEDIUM,CLOSED_SAR_FILED,29,2024-01-11 00:51:22.773771,85,1,0,0,1
CASE0000194,ALT00003795,AUTO_SYS,MEDIUM,CLOSED_SAR_FILED,8,2022-02-15 17:50:15.948893,85,0,0,0,0
CASE0000195,ALT00002271,INV_01,MEDIUM,CLOSED_MONITORING,6,2022-04-05 07:12:01.422113,15,0,0,0,0
CASE0000196,ALT00004129,INV_01,LOW,CLOSED_FALSE_POSITIVE,8,2023-11-07 06:17:32.750932,45,1,1,0,0
CASE0000197,ALT00004672,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,38,2023-12-17 10:33:59.274922,27,1,0,0,0
CASE0000198,ALT00008813,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,6,2023-07-27 05:22:24.616494,21,0,0,0,0
