STR_ID,ACCOUNT_ID,str_filed_date,JURISDICTION,STR_CATEGORY
STR0000070,ACCT100011556,2023-10-28 07:10:04.286458,FinCEN,OTHER
STR0000071,ACCT100007256,2023-03-30 08:13:55.126299,AUSTRAC,MULE
STR0000072,ACCT100006606,2023-06-07 16:35:38.323050,FIU-IND,LAYERING
STR0000073,ACCT100005304,2022-09-18 05:17:46.699964,FIU-IND,STRUCTURING
STR0000074,ACCT100004442,2022-03-03 10:01:51.341871,FinCEN,MULE
STR0000075,ACCT100005517,2022-09-09 17:58:45.049651,FIU-IND,STRUCTURING
STR0000076,ACCT100008292,2023-11-20 07:43:36.224254,FIU-IND,LAYERING
STR0000077,ACCT100001246,2022-11-28 06:43:11.312154,FINTRAC,STRUCTURING
STR0000078,ACCT100004302,2023-06-06 11:04:51.643159,FIU-IND,STRUCTURING
STR0000079,ACCT100002570,2024-06-27 01:08:12.778620,FIU-IND,LAYERING
STR0000080,ACCT100007455,2022-12-17 00:50:49.074984,FIU-IND,FRAUD
STR0000081,ACCT100006135,2022-07-30 18:36:00.750870,FinCEN,MULE
STR0000082,ACCT100001211,2023-02-06 07:31:17.303046,AUSTRAC,STRUCTURING
STR0000083,ACCT100002007,2023-03-13 01:11:24.037040,FIU-IND,OTHER
STR0000084,ACCT100004184,2023-09-27 12:08:56.182036,FIU-IND,STRUCTURING
STR0000085,ACCT100000173,2022-05-18 19:56:01.668591,FIU-IND,MULE
STR0000086,ACCT100005822,2022-08-27 15:35:57.984517,FIU-IND,STRUCTURING
STR0000087,ACCT100008956,2023-09-05 03:12:12.949617,FinCEN,MULE
STR0000088,ACCT100009918,2022-02-21 18:15:16.313293,FIU-IND,LAYERING
STR0000089,ACCT100005769,2023-09-28 08:38:12.277554,FIU-IND,STRUCTURING
STR0000090,ACCT100011238,2022-03-28 11:34:46.562582,FINTRAC,STRUCTURING
STR0000091,ACCT100010971,2022-04-08 17:15:34.331411,FIU-IND,MULE
STR0000092,ACCT100008038,2022-09-20 16:16:12.339464,FIU-IND,MULE
STR0000093,ACCT100006829,2023-07-08 11:13:53.954389,FINTRAC,MULE
STR0000094,ACCT100011852,2022-06-01 10:29:01.852684,FIU-IND,FRAUD
STR0000095,ACCT100001934,2024-05-30 07:12:57.878719,FIU-IND,LAYERING
STR0000096,ACCT100009569,2023-07-30 14:22:51.365574,AUSTRAC,FRAUD
STR0000097,ACCT100003313,2022-10-27 15:24:18.187582,FinCEN,FRAUD
STR0000098,ACCT100007613,2024-07-17 19:50:13.602615,FINTRAC,FRAUD
STR0000099,ACCT100006826,2023-09-29 02:19:21.479408,FIU-IND,MULE
STR0000100,ACCT100009240,2022-10-01 01:41:02.602568,FIU-IND,FRAUD
STR0000101,ACCT100010019,2022-11-11 15:35:30.047585,FINTRAC,STRUCTURING
STR0000102,ACCT100009560,2023-03-15 03:10:43.759676,FIU-IND,STRUCTURING
STR0000103,ACCT100000520,2024-04-04 20:42:38.649623,FIU-IND,LAYERING
STR0000104,ACCT100009893,2024-04-22 14:06:47.217648,FIU-IND,FRAUD
STR0000105,ACCT100003162,2023-10-16 04:30:35.304530,FinCEN,LAYERING
STR0000106,ACCT100009448,2022-03-01 17:59:31.265796,FinCEN,LAYERING
STR0000107,ACCT100010078,2022-08-03 00:41:48.137722,FIU-IND,LAYERING
STR0000108,ACCT100005258,2022-08-05 03:28:42.583670,FIU-IND,FRAUD
STR0000109,ACCT100011770,2024-07-07 22:38:54.458184,FIU-IND,FRAUD
STR0000110,ACCT100002665,2023-06-08 10:58:03.295852,FIU-IND,STRUCTURING
STR0000111,ACCT100008867,2023-03-02 19:38:14.354742,FIU-IND,MULE
STR0000112,ACCT100007036,2023-10-03 17:07:29.576577,FinCEN,STRUCTURING
STR0000113,ACCT100007251,2022-08-03 11:15:44.831563,AUSTRAC,FRAUD
STR0000114,ACCT100010278,2022-09-27 02:22:23.888678,FINTRAC,STRUCTURING
STR0000115,ACCT100002793,2023-09-10 13:42:13.342978,FIU-IND,LAYERING
STR0000116,ACCT100010919,2023-09-12 22:15:53.776126,FinCEN,STRUCTURING
STR0000117,ACCT100007489,2023-03-17 21:46:36.579141,FIU-IND,STRUCTURING
STR0000118,ACCT100011277,2022-06-10 08:57:43.620410,AUSTRAC,MULE
STR0000119,ACCT100002129,2023-04-18 06:46:20.768168,FIU-IND,STRUCTURING
STR0000120,ACCT100011547,2022-09-06 16:18:07.348525,FINTRAC,FRAUD
STR0000121,ACCT100005334,2022-09-27 11:39:00.350663,FINTRAC,FRAUD
STR0000122,ACCT100003227,2023-05-19 16:29:02.231709,FIU-IND,LAYERING
STR0000123,ACCT100011100,2022-06-29 00:41:33.495354,FinCEN,FRAUD
STR0000124,ACCT100005085,2023-07-05 07:20:35.103222,FinCEN,STRUCTURING
STR0000125,ACCT100007678,2023-01-18 05:17:55.542289,FIU-IND,FRAUD
STR0000126,ACCT100010453,2023-04-02 08:55:16.514516,FIU-IND,OTHER
STR0000127,ACCT100004451,2024-06-06 03:48:54.853529,FINTRAC,FRAUD
STR0000128,ACCT100002864,2023-04-20 12:08:02.739428,FIU-IND,LAYERING
STR0000129,ACCT100007974,2022-10-17 22:52:58.746971,AUSTRAC,STRUCTURING
STR0000130,ACCT100010413,2023-11-18 07:12:29.417638,FinCEN,MULE
STR0000131,ACCT100009531,2023-03-10 17:07:25.933604,FIU-IND,MULE
STR0000132,ACCT100007676,2023-08-06 00:21:17.515541,FinCEN,LAYERING
STR0000133,ACCT100006173,2023-01-06 12:09:53.811250,FinCEN,OTHER
STR0000134,ACCT100001225,2022-11-25 21:13:30.715527,FinCEN,FRAUD
STR0000135,ACCT100010552,2022-02-25 17:10:44.455687,FIU-IND,LAYERING
STR0000136,ACCT100002386,2023-07-25 05:04:41.498463,FIU-IND,STRUCTURING
STR0000137,ACCT100009834,2022-09-22 11:04:23.060611,FIU-IND,OTHER
STR0000138,ACCT100000870,2023-09-22 14:26:14.512418,AUSTRAC,STRUCTURING
STR0000139,ACCT100005353,2022-02-27 21:26:43.900607,AUSTRAC,OTHER
STR0000140,ACCT100004382,2022-12-12 04:16:50.410819,FIU-IND,FRAUD
STR0000141,ACCT100010968,2023-05-04 11:29:15.957530,FinCEN,STRUCTURING
STR0000142,ACCT100002431,2024-02-21 04:40:52.340129,FIU-IND,MULE
STR0000143,ACCT100010473,2023-03-20 09:25:33.871235,FIU-IND,STRUCTURING
STR0000144,ACCT100011701,2023-02-27 03:34:50.352050,FIU-IND,FRAUD
STR0000145,ACCT100010575,2022-01-06 23:58:07.527286,AUSTRAC,LAYERING
STR0000146,ACCT100006597,2023-06-28 05:13:33.219356,FIU-IND,STRUCTURING
STR0000147,ACCT100004682,2022-11-24 05:37:49.425760,AUSTRAC,FRAUD
STR0000148,ACCT100006028,2022-09-01 17:03:40.808791,FinCEN,FRAUD
STR0000149,ACCT100004167,2022-12-02 06:27:24.767037,FIU-IND,STRUCTURING
STR0000150,ACCT100010583,2024-07-03 04:34:02.578445,FIU-IND,MULE
STR0000151,ACCT100005508,2023-02-15 03:43:21.133055,AUSTRAC,LAYERING
STR0000152,ACCT100011275,2024-02-03 10:07:16.048555,FIU-IND,LAYERING
STR0000153,ACCT100007421,2022-03-19 20:46:39.197717,FIU-IND,OTHER
STR0000154,ACCT100000988,2022-07-28 13:33:49.335926,FIU-IND,STRUCTURING
STR0000155,ACCT100009707,2022-11-23 15:36:47.525808,FINTRAC,LAYERING
STR0000156,ACCT100000779,2022-10-25 01:27:38.587055,FIU-IND,FRAUD
STR0000157,ACCT100000657,2024-08-31 01:12:13.972398,FIU-IND,LAYERING
STR0000158,ACCT100001510,2022-07-11 13:28:42.775574,FinCEN,FRAUD
STR0000159,ACCT100001979,2022-02-22 03:47:43.556184,FIU-IND,MULE
STR0000160,ACCT100005216,2023-10-19 08:10:26.024902,FINTRAC,STRUCTURING
STR0000161,ACCT100007983,2023-09-13 09:40:38.381010,FinCEN,LAYERING
STR0000162,ACCT100011872,2022-09-09 09:08:53.085308,FIU-IND,STRUCTURING
STR0000163,ACCT100002773,2022-05-22 07:09:38.832426,FIU-IND,OTHER
STR0000164,ACCT100007618,2024-01-29 11:23:22.070444,FIU-IND,FRAUD
STR0000165,ACCT100008960,2023-09-24 08:04:25.256901,FIU-IND,OTHER
STR0000166,ACCT100005587,2022-08-23 13:45:11.366093,FINTRAC,STRUCTURING
STR0000167,ACCT100007046,2022-09-08 07:23:43.642052,FIU-IND,MULE
STR0000168,ACCT100003624,2022-04-23 23:42:10.575668,FinCEN,LAYERING
STR0000169,ACCT100000273,2022-10-06 20:12:31.136556,FIU-IND,STRUCTURING
STR0000170,ACCT100004333,2023-06-18 19:37:01.012781,FIU-IND,OTHER
STR0000171,ACCT100010333,2023-03-04 21:32:55.638331,FIU-IND,MULE
STR0000172,ACCT100005844,2022-02-23 02:08:01.232280,FIU-IND,OTHER
STR0000173,ACCT100005374,2024-05-04 11:26:45.721060,FIU-IND,FRAUD
STR0000174,ACCT100000363,2022-04-09 15:51:51.498787,FinCEN,OTHER
STR0000175,ACCT100001817,2022-09-04 11:00:29.076007,FinCEN,STRUCTURING
STR0000176,ACCT100000462,2023-08-01 21:53:31.589808,FIU-IND,STRUCTURING
STR0000177,ACCT100010621,2023-12-17 17:17:44.420638,AUSTRAC,MULE
STR0000178,ACCT100004062,2022-05-29 08:08:55.002548,FIU-IND,STRUCTURING
STR0000179,ACCT100008936,2024-05-27 09:32:23.103561,FIU-IND,FRAUD
STR0000180,ACCT100006186,2022-05-24 00:27:05.364264,FIU-IND,STRUCTURING
STR0000181,ACCT100003665,2022-10-05 11:46:16.210379,FIU-IND,LAYERING
STR0000182,ACCT100008580,2022-12-08 17:40:58.122153,FIU-IND,STRUCTURING
STR0000183,ACCT100005977,2023-09-13 16:21:09.700168,FIU-IND,LAYERING
STR0000184,ACCT100002709,2023-11-30 12:11:23.366155,FIU-IND,STRUCTURING
STR0000185,ACCT100007559,2022-06-21 16:03:47.014358,FIU-IND,STRUCTURING
STR0000186,ACCT100008091,2022-07-14 18:50:46.834980,FINTRAC,MULE
STR0000187,ACCT100004256,2024-07-23 07:38:11.690762,FIU-IND,MULE
STR0000188,ACCT100001507,2023-06-26 02:05:55.833622,FINTRAC,STRUCTURING
STR0000189,ACCT100005147,2022-06-04 03:44:01.980934,FIU-IND,FRAUD
STR0000190,ACCT100000649,2023-05-05 12:21:51.127911,AUSTRAC,LAYERING
STR0000191,ACCT100008149,2023-01-28 16:03:32.730603,FIU-IND,STRUCTURING
STR0000192,ACCT100001516,2023-12-25 17:25:04.691571,FIU-IND,LAYERING
STR0000193,ACCT100010446,2022-11-10 11:43:47.121521,FinCEN,LAYERING
STR0000194,ACCT100009616,2023-02-07 08:02:52.490515,FIU-IND,LAYERING
STR0000195,ACCT100005254,2022-09-07 10:51:31.248966,FIU-IND,FRAUD
STR0000196,ACCT100009870,2023-07-07 15:56:03.527552,FinCEN,STRUCTURING
STR0000197,ACCT100008314,2022-03-20 04:59:20.131627,FIU-IND,OTHER
STR0000198,ACCT100002421,2022-04-06 06:17:57.477970,FinCEN,MULE
STR0000199,ACCT100002691,2023-10-31 04:31:11.356723,FIU-IND,OTHER
STR0000200,ACCT100003956,2024-03-07 06:15:36.779746,FIU-IND,MULE
STR0000201,ACCT100002136,2023-03-12 04:58:52.738631,FinCEN,LAYERING
STR0000202,ACCT100001119,2022-02-18 23:50:03.361897,FIU-IND,FRAUD
STR0000203,ACCT100001209,2022-12-16 00:50:02.540525,FIU-IND,MULE
STR0000204,ACCT100010016,2023-03-01 14:34:55.707382,FIU-IND,STRUCTURING
STR0000205,ACCT100008504,2022-03-27 06:10:21.998220,FinCEN,FRAUD
STR0000206,ACCT100002800,2023-12-11 13:54:10.387453,FIU-IND,MULE
STR0000207,ACCT100000483,2023-05-28 23:09:26.875041,FIU-IND,OTHER
STR0000208,ACCT100006831,2024-01-19 02:13:27.058254,FinCEN,MULE
STR0000209,ACCT100006032,2023-04-14 20:01:32.658480,FIU-IND,MULE
STR0000210,ACCT100010394,2024-08-19 17:21:46.100995,FinCEN,STRUCTURING
STR0000211,ACCT100011771,2023-05-17 08:35:01.479877,FIU-IND,FRAUD
STR0000212,ACCT100001266,2023-06-12 09:30:10.561630,FIU-IND,STRUCTURING
STR0000213,ACCT100007084,2022-10-26 09:18:14.666028,FIU-IND,OTHER
STR0000214,ACCT100004755,2022-02-24 04:20:25.665308,FIU-IND,OTHER
STR0000215,ACCT100010263,2022-04-14 01:02:17.529064,FINTRAC,OTHER
STR0000216,ACCT100005542,2022-04-04 02:03:52.958704,FIU-IND,MULE
STR0000217,ACCT100007648,2022-06-24 08:33:02.779564,FIU-IND,FRAUD
STR0000218,ACCT100008725,2022-08-23 14:35:50.304866,FIU-IND,LAYERING
STR0000219,ACCT100005214,2023-02-28 00:38:36.383320,FIU-IND,LAYERING
STR0000220,ACCT100003024,2022-09-01 07:41:37.420285,FIU-IND,MULE
STR0000221,ACCT100011865,2022-05-02 10:44:34.931145,AUSTRAC,STRUCTURING
STR0000222,ACCT100010251,2022-12-25 12:18:15.929056,FIU-IND,STRUCTURING
STR0000223,ACCT100005212,2023-01-30 13:14:38.593803,FIU-IND,STRUCTURING
STR0000224,ACCT100005323,2022-10-31 14:55:52.054618,FIU-IND,FRAUD
STR0000225,ACCT100000196,2022-12-04 08:50:22.348425,FINTRAC,MULE
STR0000226,ACCT100007966,2023-06-20 19:47:52.803643,FinCEN,LAYERING
STR0000227,ACCT100006894,2023-07-20 07:17:58.486837,FinCEN,MULE
STR0000228,ACCT100004348,2024-03-25 20:00:12.061621,FinCEN,STRUCTURING
STR0000229,ACCT100006286,2023-02-24 01:19:32.556572,AUSTRAC,FRAUD
STR0000230,ACCT100005618,2022-12-29 19:39:41.141696,FIU-IND,FRAUD
STR0000231,ACCT100003700,2023-10-08 20:33:12.005341,AUSTRAC,STRUCTURING
STR0000232,ACCT100010764,2024-07-20 09:35:07.018329,FIU-IND,FRAUD
STR0000233,ACCT100010668,2022-10-31 08:41:50.572501,AUSTRAC,MULE
STR0000234,ACCT100006650,2022-09-28 06:12:05.566583,FIU-IND,MULE
STR0000235,ACCT100002112,2022-11-04 10:11:03.713868,FIU-IND,FRAUD
STR0000236,ACCT100005261,2022-02-14 22:38:49.036476,FIU-IND,OTHER
STR0000237,ACCT100001450,2022-08-28 09:44:14.039213,FIU-IND,OTHER
STR0000238,ACCT100004301,2023-09-30 02:11:09.174106,FIU-IND,STRUCTURING
STR0000239,ACCT100002301,2022-08-24 22:15:03.191526,FIU-IND,LAYERING
STR0000240,ACCT100005534,2024-02-07 15:59:23.358563,FinCEN,OTHER
STR0000241,ACCT100002777,2022-08-11 07:30:45.416906,FINTRAC,LAYERING
STR0000242,ACCT100004286,2023-01-11 15:16:11.739119,FinCEN,STRUCTURING
STR0000243,ACCT100000204,2022-06-27 04:46:04.598964,FIU-IND,MULE
STR0000244,ACCT100004855,2023-04-09 23:02:14.919970,FinCEN,OTHER
STR0000245,ACCT100003818,2023-06-27 08:20:39.306044,FIU-IND,MULE
STR0000246,ACCT100004198,2022-02-16 06:26:47.896411,AUSTRAC,MULE
STR0000247,ACCT100009020,2022-03-18 06:51:15.805116,FIU-IND,MULE
STR0000248,ACCT100010947,2022-09-13 18:21:37.025612,FinCEN,MULE
STR0000249,ACCT100009481,2022-03-05 14:13:56.439696,AUSTRAC,LAYERING
STR0000250,ACCT100004727,2023-01-17 11:19:16.715930,FinCEN,OTHER
STR0000251,ACCT100004610,2022-02-20 00:34:49.653793,FIU-IND,MULE
STR0000252,ACCT100003252,2022-10-12 21:23:10.345004,AUSTRAC,FRAUD
STR0000253,ACCT100008318,2024-04-25 01:41:25.489427,FIU-IND,LAYERING
STR0000254,ACCT100000871,2022-02-18 18:26:17.590642,AUSTRAC,OTHER
STR0000255,ACCT100003016,2024-04-22 07:05:17.722600,FIU-IND,MULE
STR0000256,ACCT100006480,2022-11-07 10:04:46.084507,FinCEN,MULE
STR0000257,ACCT100008660,2023-07-05 10:22:37.273594,FIU-IND,STRUCTURING
STR0000258,ACCT100007083,2023-04-29 08:32:21.653666,FIU-IND,FRAUD
STR0000259,ACCT100000202,2022-10-23 18:52:22.478156,FIU-IND,LAYERING
STR0000260,ACCT100011869,2023-08-02 06:54:02.044725,FinCEN,FRAUD
STR0000261,ACCT100001518,2022-12-04 03:21:51.926961,FIU-IND,MULE
STR0000262,ACCT100004541,2022-07-28 10:06:35.147812,FIU-IND,FRAUD
STR0000263,ACCT100004704,2022-03-05 18:55:31.656394,FIU-IND,FRAUD
STR0000264,ACCT100000580,2022-04-12 03:02:40.355099,FIU-IND,STRUCTURING
STR0000265,ACCT100005457,2022-05-11 15:25:50.480480,FIU-IND,STRUCTURING
STR0000266,ACCT100009216,2022-09-24 17:08:44.380133,FIU-IND,STRUCTURING
STR0000267,ACCT100008915,2023-04-21 04:12:45.928874,FinCEN,LAYERING
STR0000268,ACCT100007975,2022-03-15 23:38:23.201146,FIU-IND,MULE
STR0000269,ACCT100006180,2023-05-10 18:57:07.643343,AUSTRAC,STRUCTURING
STR0000270,ACCT100003015,2023-02-12 05:18:36.265647,AUSTRAC,STRUCTURING
STR0000271,ACCT100011493,2022-11-18 05:16:02.723095,FINTRAC,FRAUD
STR0000272,ACCT100008729,2022-07-11 23:45:33.309644,FinCEN,MULE
STR0000273,ACCT100009511,2022-07-19 09:47:39.434662,FIU-IND,STRUCTURING
STR0000274,ACCT100008728,2023-03-21 22:03:25.854745,FIU-IND,MULE
STR0000275,ACCT100003909,2022-06-28 23:41:43.420739,FIU-IND,FRAUD
STR0000276,ACCT100006168,2022-09-30 19:32:07.458897,FIU-IND,MULE
STR0000277,ACCT100001090,2022-08-04 12:14:04.746772,FIU-IND,OTHER
STR0000278,ACCT100008691,2023-11-08 22:34:07.933572,FinCEN,MULE
STR0000279,ACCT100011855,2023-12-18 04:16:15.945745,FINTRAC,LAYERING
STR0000280,ACCT100010462,2022-06-02 04:18:06.211611,FIU-IND,LAYERING
STR0000281,ACCT100001016,2023-12-04 08:48:10.578216,FIU-IND,STRUCTURING
STR0000282,ACCT100004015,2023-03-28 19:08:37.460840,FinCEN,FRAUD
STR0000283,ACCT100007518,2022-07-14 03:44:40.032331,AUSTRAC,LAYERING
STR0000284,ACCT100011231,2022-09-10 06:12:43.369484,FIU-IND,STRUCTURING
STR0000285,ACCT100005274,2023-11-19 13:27:48.128749,FIU-IND,STRUCTURING
STR0000286,ACCT100007310,2022-01-13 05:04:20.448845,FIU-IND,LAYERING
STR0000287,ACCT100008257,2023-05-01 22:14:02.552095,FIU-IND,LAYERING
STR0000288,ACCT100002931,2023-01-10 01:55:33.957468,FIU-IND,MULE
STR0000289,ACCT100001595,2022-11-22 23:08:59.837610,FinCEN,MULE
STR0000290,ACCT100006685,2022-06-06 21:55:33.516549,FIU-IND,MULE
STR0000291,ACCT100006585,2022-08-13 11:19:50.419188,FIU-IND,FRAUD
STR0000292,ACCT100010685,2023-04-14 02:25:32.495534,FIU-IND,MULE
STR0000293,ACCT100005459,2022-07-06 02:40:53.872048,FIU-IND,OTHER
STR0000294,ACCT100000209,2023-11-09 20:35:12.509589,FIU-IND,FRAUD
STR0000295,ACCT100005947,2023-08-18 18:20:15.295809,FIU-IND,FRAUD
STR0000296,ACCT100009302,2022-08-26 17:47:20.062948,FIU-IND,STRUCTURING
STR0000297,ACCT100000377,2022-08-22 21:55:43.796531,FIU-IND,MULE
STR0000298,ACCT100000476,2023-02-08 05:58:26.010384,FIU-IND,FRAUD
STR0000299,ACCT100004050,2022-04-05 12:27:15.231323,FIU-IND,FRAUD
STR0000300,ACCT100007132,2024-03-22 05:28:30.070845,FinCEN,STRUCTURING
STR0000301,ACCT100011942,2022-07-06 13:39:18.260529,FinCEN,STRUCTURING
STR0000302,ACCT100003984,2022-02-06 13:10:08.829540,FIU-IND,LAYERING
STR0000303,ACCT100003168,2022-08-10 09:49:21.212756,FinCEN,MULE
STR0000304,ACCT100001997,2023-04-23 09:41:52.500082,FIU-IND,LAYERING
STR0000305,ACCT100011407,2023-05-26 10:57:57.283938,FIU-IND,MULE
STR0000306,ACCT100008282,2022-07-14 05:08:00.360158,FIU-IND,FRAUD
STR0000307,ACCT100006766,2022-07-08 06:26:44.454639,FINTRAC,LAYERING
STR0000308,ACCT100007499,2022-03-07 16:07:58.010092,FIU-IND,OTHER
STR0000309,ACCT100005220,2024-01-28 21:36:42.788317,AUSTRAC,OTHER
STR0000310,ACCT100007990,2022-05-08 14:26:54.722233,FIU-IND,FRAUD
STR0000311,ACCT100001900,2024-06-22 20:07:07.920994,FIU-IND,FRAUD
STR0000312,ACCT100010556,2023-11-01 11:20:04.819791,FIU-IND,STRUCTURING
STR0000313,ACCT100010858,2022-10-11 14:53:23.677554,FIU-IND,OTHER
STR0000314,ACCT100008307,2022-05-05 06:08:55.037946,FIU-IND,STRUCTURING
STR0000315,ACCT100008304,2022-05-09 17:20:25.937580,FIU-IND,OTHER
STR0000316,ACCT100004796,2023-08-29 09:38:11.733727,FinCEN,LAYERING
STR0000317,ACCT100006139,2023-05-31 09:59:11.486703,FIU-IND,LAYERING
STR0000318,ACCT100011073,2024-06-14 17:10:01.244431,FinCEN,LAYERING
STR0000319,ACCT100003794,2024-04-25 08:31:30.287531,AUSTRAC,OTHER
STR0000320,ACCT100009727,2022-05-08 08:21:24.749007,AUSTRAC,MULE
STR0000321,ACCT100009749,2023-03-07 13:25:33.803122,FINTRAC,MULE
STR0000322,ACCT100001138,2022-11-05 18:38:16.490264,FIU-IND,STRUCTURING
STR0000323,ACCT100001196,2024-02-13 03:34:05.847289,FIU-IND,LAYERING
STR0000324,ACCT100006101,2023-09-10 02:06:29.337944,FIU-IND,FRAUD
