ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,ACCT_ALERT_COUNT,ALERT_HOUR,ALERT_IS_WEEKEND,RULE_RISK_PROFILE,FINAL_LABEL,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,OPEN_DATE,EXPECTED_MONTHLY_TXN,ACCOUNT_RISK_RATING,NUM_LINKED_ACCOUNTS,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,YEARS_AS_CUSTOMER,NUM_PRODUCTS_HELD,FATF_HIGH_RISK_NATIONALITY,CDD_TIER,KYC_REVIEW_OVERDUE,SHELL_CO_INDICATOR,CORRESPONDENT_BANK_FLAG,ACCOUNT_AGE_DAYS
ALT00000036,TXN000119762,ACCT100011830,R004_MULE_SIGNAL,88,2022-06-03 21:59:54.903277,4,21,0,3,0,CUST0007727,nre,ACTIVE,74131.3,GBP,2,2013-10-20,16215.11,7,3,IN,SELF_EMPLOYED,250k+,1,0,0,0,99.0,94,WEB,19,4,0,SIMPLIFIED,0,0,0,3148
ALT00000037,TXN000119834,ACCT100008505,R002_STRUCTURING_SIGNAL,77,2022-08-28 11:14:39.102266,2,11,1,3,1,CUST0004319,SALARY,DORMANT,45655.48,INR,1,2013-05-05,16034.48,1,2,IN,SALARIED,0-50k,3,0,0,0,89.8,83,MOBILE,14,5,0,SIMPLIFIED,0,0,0,3402
ALT00000040,TXN000118861,ACCT100011208,R003_LAYERING_SIGNAL,80,2023-12-30 21:29:49.248829,3,21,1,4,0,CUST0002602,NRE,ACTIVE,480440.15,INR,2,2020-10-24,99854.7,4,2,US,SALARIED,,1,0,0,0,91.5,128,BRANCH,7,1,0,SIMPLIFIED,0,0,0,1162
ALT00000042,TXN000119556,ACCT100001639,R005_RAPID_MVT,76,2024-05-23 17:34:28.866153,1,17,0,3,1,CUST0001493,SHELL,ACTIVE,30898.95,INR,1,2014-01-16,196155.1,10,3,KY,SALARIED,50k-100k,2,0,0,0,92.8,182,WEB,6,1,1,SIMPLIFIED,0,0,0,3780
ALT00000047,TXN000119549,ACCT100011315,R004_MULE_SIGNAL,73,2022-10-29 19:42:33.439415,1,19,1,3,1,CUST0007856,SAVINGS,ACTIVE,5818.34,USD,1,2014-12-29,12540.78,3,5,VG,SALARIED,,3,1,0,1,86.3,18,WEB,6,3,1,SIMPLIFIED,0,0,0,2861
ALT00000048,TXN000118525,ACCT100010494,R003_LAYERING_SIGNAL,85,2023-08-22 19:22:48.610459,1,19,0,4,1,CUST0002721,CURRENT,BLOCKED,244770.65,INR,3,2012-03-30,14386.98,4,1,KY,BUSINESS_OWNER,100k-250k,7,0,0,0,78.6,61,MOBILE,10,1,1,STANDARD,0,0,0,4162
ALT00000050,TXN000119844,ACCT100003169,R003_LAYERING_SIGNAL,87,2022-08-15 10:48:24.028821,1,10,0,4,1,CUST0000470,SAVINGS,ACTIVE,3663.64,SGD,1,2018-02-17,33251.8,3,3,IN,SALARIED,100k-250k,9,0,0,0,67.8,112,BRANCH,13,2,0,ENHANCED,0,0,0,1640
ALT00000057,TXN000119540,ACCT100009589,R003_LAYERING_SIGNAL,85,2024-04-16 12:49:59.100552,1,12,0,4,1,CUST0000062,SAVINGS,ACTIVE,2745.46,INR,1,2015-03-20,28329.33,2,1,IN,SALARIED,,2,0,0,0,92.0,105,WEB,11,2,0,SIMPLIFIED,0,0,0,3315
ALT00000058,TXN000118230,ACCT100011771,R005_RAPID_MVT,90,2023-03-20 08:35:01.479877,2,8,0,3,1,CUST0004721,SAVINGS,ACTIVE,48590.59,USD,2,2014-02-18,10612.23,3,2,CN,SELF_EMPLOYED,,2,0,0,0,97.8,52,MOBILE,16,1,0,SIMPLIFIED,0,0,0,3317
ALT00000060,TXN000119910,ACCT100002339,R005_RAPID_MVT,91,2023-02-07 16:24:31.537887,2,16,0,3,1,CUST0005390,SAVINGS,ACTIVE,19141.49,INR,1,2016-09-19,1046.59,1,1,IN,SALARIED,100k-250k,7,0,0,0,79.9,775,WEB,2,2,0,STANDARD,1,0,1,2332
ALT00000064,TXN000118881,ACCT100008085,R005_RAPID_MVT,87,2022-08-05 16:58:20.396215,1,16,0,3,0,CUST0005635,SALARY,ACTIVE,1942.44,USD,1,2019-08-05,3327.48,1,1,IN,BUSINESS_OWNER,100k-250k,1,0,0,0,94.3,28,WEB,1,4,0,SIMPLIFIED,0,0,0,1096
ALT00000066,TXN000119655,ACCT100002026,R002_STRUCTURING_SIGNAL,80,2024-01-11 15:20:27.920613,1,15,0,3,1,CUST0000437,NRE,ACTIVE,40278.15,INR,1,2014-10-10,161150.42,6,1,SG,SELF_EMPLOYED,0-50k,1,0,0,1,92.6,279,MOBILE,14,5,0,SIMPLIFIED,0,0,0,3380
ALT00000068,TXN000119511,ACCT100000988,R002_STRUCTURING_SIGNAL,62,2022-07-13 13:33:49.335926,1,13,0,3,1,CUST0006873,SAVINGS,ACTIVE,32907.95,AED,1,2016-03-27,9002.84,1,1,SG,SELF_EMPLOYED,0-50k,4,0,0,0,84.3,222,WEB,19,2,0,SIMPLIFIED,0,0,0,2299
ALT00000071,TXN000118583,ACCT100009580,R003_LAYERING_SIGNAL,86,2022-04-10 06:34:55.331112,1,6,1,4,1,CUST0003972,SALARY,ACTIVE,16547.15,INR,2,2016-08-18,30891.68,4,1,CN,SALARIED,,3,0,0,0,77.9,314,WEB,19,1,0,SIMPLIFIED,0,0,0,2061
ALT00000077,TXN000119228,ACCT100006101,R003_LAYERING_SIGNAL,79,2023-08-26 02:06:29.337944,1,2,1,4,1,CUST0002176,CURRENT,DORMANT,130730.08,USD,2,2012-04-07,10554.72,3,1,KY,SALARIED,50k-100k,6,0,0,0,84.2,18,MOBILE,3,3,1,STANDARD,0,0,1,4158
ALT00000081,TXN000119861,ACCT100010100,R002_STRUCTURING_SIGNAL,64,2023-05-06 07:57:53.911508,1,7,1,3,1,CUST0000107,SALARY,BLOCKED,6605.53,INR,1,2017-03-10,12424.05,5,1,US,SALARIED,,3,0,0,0,81.2,172,MOBILE,11,3,0,SIMPLIFIED,0,0,0,2248
ALT00000091,TXN000118855,ACCT100008710,R004_MULE_SIGNAL,82,2022-03-22 04:29:02.051299,2,4,0,3,1,CUST0006467,SALARY,BLOCKED,8795.17,INR,1,2013-08-20,2281.12,3,1,GB,SALARIED,0-50k,3,0,0,0,92.6,126,THIRD_PARTY,5,2,0,SIMPLIFIED,0,0,0,3136
ALT00000093,TXN000118389,ACCT100004194,R002_STRUCTURING_SIGNAL,74,2022-07-16 11:04:31.199002,2,11,1,3,1,CUST0002994,SALARY,ACTIVE,2225.75,AED,1,2012-06-19,616.91,4,3,US,SELF_EMPLOYED,100k-250k,2,0,0,0,100.0,266,MOBILE,1,3,0,SIMPLIFIED,0,0,0,3679
ALT00000094,TXN000119926,ACCT100000834,R005_RAPID_MVT,82,2022-07-01 15:53:40.970081,2,15,0,3,1,CUST0004303,NRO,ACTIVE,26512.69,USD,1,2015-03-01,149144.9,7,2,SG,SALARIED,0-50k,5,0,0,1,73.6,571,MOBILE,11,2,0,STANDARD,1,0,0,2679
ALT00000097,TXN000119976,ACCT100005148,R003_LAYERING_SIGNAL,87,2023-07-05 22:42:49.255362,2,22,0,4,0,CUST0002161,SAVINGS,DORMANT,33094.05,INR,1,2013-01-08,2250.7,1,1,SG,,0-50k,4,0,0,0,100.0,243,BRANCH,18,2,0,SIMPLIFIED,0,0,0,3830
ALT00000099,TXN000118411,ACCT100008883,R004_MULE_SIGNAL,87,2022-09-22 12:28:51.422355,1,12,0,3,1,CUST0000806,NRO,ACTIVE,15439.24,INR,1,2018-05-14,86702.73,4,5,VG,,0-50k,5,0,0,0,82.9,32,BRANCH,3,2,1,STANDARD,0,0,0,1592
ALT00000104,TXN000119718,ACCT100009609,R004_MULE_SIGNAL,74,2022-01-25 12:03:36.152978,3,12,0,3,1,CUST0001692,NRO,ACTIVE,10469.63,SGD,1,2021-04-09,223633.08,4,2,IN,SELF_EMPLOYED,250k+,3,0,0,0,94.9,1,MOBILE,11,1,0,SIMPLIFIED,0,0,0,291
ALT00000108,TXN000118684,ACCT100003653,R004_MULE_SIGNAL,86,2024-02-09 04:09:23.398226,4,4,0,3,0,CUST0004895,SALARY,ACTIVE,14843.93,INR,3,2015-09-04,4081.2,1,1,IN,SALARIED,0-50k,2,0,0,0,81.1,184,MOBILE,9,1,0,SIMPLIFIED,0,0,0,3080
ALT00000109,TXN000119450,ACCT100006361,R003_LAYERING_SIGNAL,86,2024-03-07 08:36:35.505754,1,8,0,4,1,CUST0005560,SAVINGS,ACTIVE,14557.64,GBP,1,2017-10-21,13534.13,3,2,IN,SELF_EMPLOYED,0-50k,4,0,0,0,75.7,2,MOBILE,1,3,0,SIMPLIFIED,0,0,0,2329
ALT00000119,TXN000118799,ACCT100004800,R002_STRUCTURING_SIGNAL,71,2023-06-28 20:53:24.139190,1,20,0,3,1,CUST0001833,SALARY,ACTIVE,8554.31,INR,1,2021-11-14,6411.74,4,3,IN,SALARIED,50k-100k,4,0,0,0,98.3,69,WEB,3,1,0,SIMPLIFIED,0,0,0,591
ALT00000120,TXN000118316,ACCT100005189,R004_MULE_SIGNAL,83,2023-07-26 00:20:14.099390,1,0,0,3,0,CUST0002061,CURRENT,ACTIVE,68247.42,USD,1,2019-06-25,7291.6,3,1,IN,SALARIED,0-50k,1,0,0,0,98.7,221,BRANCH,10,3,0,SIMPLIFIED,0,0,0,1492
ALT00000126,TXN000119952,ACCT100007251,R005_RAPID_MVT,93,2022-06-18 11:15:44.831563,1,11,1,3,1,CUST0006838,CURRENT,ACTIVE,154682.76,USD,2,2018-05-24,24447.56,3,4,IN,BUSINESS_OWNER,250k+,4,0,0,0,88.0,100,THIRD_PARTY,3,1,0,SIMPLIFIED,0,0,0,1486
ALT00000130,TXN000118545,ACCT100001527,R005_RAPID_MVT,92,2023-10-28 21:05:45.172381,1,21,1,3,1,CUST0000261,CURRENT,ACTIVE,92324.48,AED,1,2020-04-22,13220.23,4,3,US,SALARIED,100k-250k,4,0,0,0,81.5,41,BRANCH,12,4,0,SIMPLIFIED,0,0,0,1284
ALT00000131,TXN000119977,ACCT100000993,R002_STRUCTURING_SIGNAL,64,2023-11-02 00:51:36.282237,1,0,0,3,1,CUST0007084,SHELL,DORMANT,538108.98,USD,1,2015-07-31,561352.21,9,1,IN,SALARIED,,3,0,0,0,98.0,2,MOBILE,5,1,0,SIMPLIFIED,0,0,0,3016
ALT00000132,TXN000119417,ACCT100010746,R002_STRUCTURING_SIGNAL,70,2022-05-14 13:01:25.739978,2,13,1,3,0,CUST0005341,NRE,ACTIVE,261705.02,INR,1,2016-08-11,90870.99,6,1,IN,RETIRED,,6,0,1,0,65.8,264,WEB,4,1,0,STANDARD,0,0,0,2102
ALT00000136,TXN000118683,ACCT100010446,R002_STRUCTURING_SIGNAL,70,2022-10-05 11:43:47.121521,1,11,0,3,1,CUST0005920,CURRENT,ACTIVE,81225.39,INR,2,2020-06-25,15151.04,5,1,US,SELF_EMPLOYED,0-50k,4,0,0,1,93.3,528,WEB,9,1,0,SIMPLIFIED,1,0,0,832
ALT00000142,TXN000119325,ACCT100005459,R003_LAYERING_SIGNAL,95,2022-05-20 02:40:53.872048,1,2,0,4,1,CUST0006851,savings,ACTIVE,6088.75,AED,1,2014-10-01,9216.97,4,1,SG,RETIRED,0-50k,2,0,0,0,88.7,160,MOBILE,9,1,0,SIMPLIFIED,0,0,0,2788
ALT00000144,TXN000119412,ACCT100003714,R002_STRUCTURING_SIGNAL,84,2023-01-25 02:53:20.797230,1,2,0,3,1,CUST0004632,SHELL,DORMANT,2152839.36,INR,1,2020-11-18,838149.11,9,4,SG,SALARIED,100k-250k,2,0,0,0,95.4,11,BRANCH,16,2,0,SIMPLIFIED,0,0,0,798
ALT00000145,TXN000118627,ACCT100008562,R002_STRUCTURING_SIGNAL,78,2023-12-14 02:46:31.045707,6,2,0,3,1,CUST0007944,SALARY,ACTIVE,12553.72,INR,1,2019-10-19,40771.3,3,1,IN,SALARIED,100k-250k,1,0,0,0,87.9,129,MOBILE,17,3,0,SIMPLIFIED,0,0,1,1517
ALT00000150,TXN000119365,ACCT100011126,R004_MULE_SIGNAL,87,2022-08-16 12:52:00.647859,1,12,0,3,0,CUST0006418,NRE,ACTIVE,217302.62,GBP,3,2017-05-05,412088.74,4,4,AE,BUSINESS_OWNER,50k-100k,8,0,0,0,56.8,47,THIRD_PARTY,16,1,0,ENHANCED,0,0,0,1929
ALT00000151,TXN000119712,ACCT100001482,R003_LAYERING_SIGNAL,78,2022-10-09 17:57:23.997981,2,17,1,4,1,CUST0000509,SAVINGS,CLOSED,40930.47,INR,1,2019-03-18,14404.73,3,1,IN,POLITICIAN,100k-250k,8,1,0,0,72.2,217,MOBILE,16,2,0,ENHANCED,0,0,0,1301
ALT00000155,TXN000118434,ACCT100005374,R003_LAYERING_SIGNAL,80,2024-04-28 11:26:45.721060,1,11,1,4,1,CUST0007968,NRE,ACTIVE,2833699.69,INR,1,2014-08-24,635250.61,7,2,IN,SELF_EMPLOYED,0-50k,1,0,0,0,83.6,105,BRANCH,19,4,0,SIMPLIFIED,0,0,0,3535
ALT00000163,TXN000119808,ACCT100002976,R003_LAYERING_SIGNAL,79,2022-04-02 22:00:03.306557,1,22,1,4,1,CUST0006087,SALARY,ACTIVE,89191.61,INR,1,2019-10-24,327.42,2,1,US,BUSINESS_OWNER,100k-250k,5,0,0,0,73.5,202,MOBILE,3,3,0,STANDARD,0,0,0,891
ALT00000165,TXN000118986,ACCT100004836,R005_RAPID_MVT,74,2023-07-04 21:53:49.664290,2,21,0,3,1,CUST0005755,SAVINGS,ACTIVE,79375.04,AED,2,2015-05-15,2316.9,3,3,IN,SALARIED,0-50k,8,0,0,1,58.6,227,BRANCH,0,1,0,ENHANCED,0,0,0,2972
ALT00000169,TXN000119046,ACCT100001141,R005_RAPID_MVT,73,2024-03-26 02:54:56.169150,2,2,0,3,1,CUST0007645,CURRENT,ACTIVE,284054.45,INR,1,2016-03-16,33954.05,1,1,NG,SALARIED,100k-250k,1,1,0,0,99.0,8,MOBILE,4,5,1,SIMPLIFIED,0,0,0,2932
ALT00000170,TXN000119045,ACCT100007487,R002_STRUCTURING_SIGNAL,70,2023-07-01 22:54:58.364131,2,22,1,3,1,CUST0006949,CURRENT,ACTIVE,665778.26,AED,1,2012-12-12,14957.22,5,3,IN,SELF_EMPLOYED,50k-100k,7,0,0,0,65.6,34,WEB,4,4,0,STANDARD,0,0,0,3853
ALT00000174,TXN000118277,ACCT100008032,R002_STRUCTURING_SIGNAL,75,2022-04-07 03:30:06.723937,2,3,0,3,1,CUST0003380,CURRENT,ACTIVE,10546.01,SGD,2,2013-01-21,112673.27,3,1,GB,SALARIED,100k-250k,5,0,0,0,81.9,55,MOBILE,11,2,0,STANDARD,0,0,0,3363
ALT00000175,TXN000119706,ACCT100005880,R004_MULE_SIGNAL,73,2024-03-02 23:00:41.318571,1,23,1,3,1,CUST0007381,SAVINGS,ACTIVE,114317.91,INR,2,2012-12-05,8658.03,4,1,CN,STUDENT,50k-100k,3,0,0,0,91.2,140,BRANCH,18,2,0,SIMPLIFIED,0,0,0,4105
ALT00000177,TXN000119722,ACCT100007618,R003_LAYERING_SIGNAL,84,2024-01-05 11:23:22.070444,1,11,0,4,1,CUST0000692,SALARY,ACTIVE,2373.03,USD,1,2021-05-16,10076.19,5,1,IN,BUSINESS_OWNER,100k-250k,3,0,0,1,84.9,33,BRANCH,16,2,0,SIMPLIFIED,0,0,0,964
ALT00000179,TXN000118981,ACCT100007288,R002_STRUCTURING_SIGNAL,82,2023-06-24 22:56:18.469596,1,22,1,3,1,CUST0001548,SAVINGS,BLOCKED,178290.96,INR,1,2013-09-29,35996.52,5,3,US,SALARIED,250k+,4,0,0,1,88.1,91,WEB,11,1,0,SIMPLIFIED,0,0,0,3555
ALT00000181,TXN000119527,ACCT100001539,R003_LAYERING_SIGNAL,97,2022-04-02 02:14:06.820481,1,2,1,4,1,CUST0004412,TRUST,DORMANT,158573.49,INR,3,2014-04-22,299747.32,7,3,SG,STUDENT,0-50k,1,0,0,0,85.2,30,BRANCH,1,2,0,SIMPLIFIED,0,0,0,2902
ALT00000182,TXN000118902,ACCT100008580,R003_LAYERING_SIGNAL,92,2022-10-10 17:40:58.122153,1,17,0,4,1,CUST0007806,SAVINGS,ACTIVE,8469.54,USD,2,2017-09-15,3411.54,3,4,SG,SALARIED,250k+,1,0,0,0,85.0,225,MOBILE,16,3,0,SIMPLIFIED,0,0,0,1851
ALT00000183,TXN000119440,ACCT100002639,R003_LAYERING_SIGNAL,87,2024-06-24 00:03:40.271524,1,0,0,4,1,CUST0002067,CURRENT,DORMANT,54420.52,INR,1,2014-01-02,4940.47,1,1,IN,BUSINESS_OWNER,50k-100k,2,0,0,0,91.8,372,WEB,5,5,0,SIMPLIFIED,1,0,0,3826
ALT00000186,TXN000118231,ACCT100000822,R002_STRUCTURING_SIGNAL,73,2023-06-17 04:27:32.130903,1,4,1,3,1,CUST0006455,SALARY,ACTIVE,16053.82,AED,1,2020-06-23,14491.63,1,3,GB,SALARIED,50k-100k,7,0,0,0,68.4,232,BRANCH,18,5,0,STANDARD,0,0,0,1089
ALT00000190,TXN000118568,ACCT100001935,R003_LAYERING_SIGNAL,82,2023-12-04 18:33:06.736555,1,18,0,4,1,CUST0003483,CURRENT,ACTIVE,13778.44,SGD,3,2021-08-07,49118.12,4,1,AE,SELF_EMPLOYED,0-50k,2,0,0,0,89.5,272,MOBILE,7,1,0,SIMPLIFIED,0,0,0,849
ALT00000197,TXN000119309,ACCT100011457,R002_STRUCTURING_SIGNAL,79,2023-11-16 13:28:42.618814,1,13,0,3,1,CUST0005817,SALARY,BLOCKED,79717.89,SGD,1,2019-12-02,28807.22,3,1,IN,SALARIED,100k-250k,1,0,0,0,92.8,200,MOBILE,1,4,0,SIMPLIFIED,0,0,0,1445
ALT00000200,TXN000119056,ACCT100006286,R002_STRUCTURING_SIGNAL,84,2023-02-15 01:19:32.556572,1,1,0,3,1,CUST0007777,CURRENT,ACTIVE,61816.73,INR,1,2014-08-13,35184.52,4,4,SG,POLITICIAN,50k-100k,2,1,0,0,87.8,10,WEB,19,2,0,SIMPLIFIED,0,0,0,3108
ALT00000201,TXN000118988,ACCT100005363,R005_RAPID_MVT,93,2023-01-31 14:24:50.447263,2,14,0,3,1,CUST0000290,TRUST,ACTIVE,103449.43,INR,1,2021-11-29,763518.65,10,1,IN,SELF_EMPLOYED,50k-100k,4,0,0,0,89.1,54,MOBILE,13,3,0,SIMPLIFIED,0,0,0,428
ALT00000211,TXN000119947,ACCT100009371,R004_MULE_SIGNAL,76,2024-01-01 03:03:25.513981,2,3,0,3,0,CUST0003015,SAVINGS,ACTIVE,7439.97,USD,1,2014-10-11,13491.08,5,1,IN,STUDENT,50k-100k,4,0,0,0,85.3,397,BRANCH,18,2,0,SIMPLIFIED,1,0,0,3369
ALT00000216,TXN000119643,ACCT100005852,R005_RAPID_MVT,70,2023-05-11 01:11:19.375318,1,1,0,3,1,CUST0002825,NRE,DORMANT,182560.67,INR,1,2020-08-30,127641.94,7,2,SG,BUSINESS_OWNER,0-50k,2,0,0,0,93.8,257,MOBILE,16,3,0,SIMPLIFIED,0,0,1,984
ALT00000222,TXN000119741,ACCT100005619,R005_RAPID_MVT,71,2022-11-07 06:47:25.658880,2,6,0,3,1,CUST0002838,SAVINGS,ACTIVE,480598.94,SGD,1,2013-11-09,11976.62,5,2,IN,STUDENT,0-50k,1,0,0,0,93.6,76,WEB,7,2,0,SIMPLIFIED,0,0,0,3285
ALT00000226,TXN000118784,ACCT100001578,R004_MULE_SIGNAL,86,2023-02-14 19:37:32.750439,1,19,0,3,1,CUST0004952,CURRENT,ACTIVE,32129.0,INR,1,2017-09-20,47798.5,3,3,NG,RETIRED,0-50k,1,0,0,0,100.0,126,BRANCH,1,3,1,SIMPLIFIED,0,0,0,1973
ALT00000229,TXN000118397,ACCT100007499,R003_LAYERING_SIGNAL,92,2022-02-03 16:36:48.920141,3,16,0,4,1,CUST0004086,SAVINGS,BLOCKED,2110.02,INR,1,2013-08-26,18142.73,3,3,US,SALARIED,50k-100k,1,0,0,0,86.9,19,WEB,3,3,0,SIMPLIFIED,0,0,0,3083
ALT00000230,TXN000119099,ACCT100006936,R005_RAPID_MVT,86,2023-11-02 14:10:48.577052,1,14,0,3,1,CUST0004664,SAVINGS,ACTIVE,73413.82,INR,1,2016-04-17,81388.82,3,1,IN,BUSINESS_OWNER,,6,0,0,0,67.9,117,MOBILE,19,4,0,STANDARD,0,0,0,2755
ALT00000231,TXN000119208,ACCT100000394,R002_STRUCTURING_SIGNAL,80,2023-06-24 19:05:33.964592,3,19,1,3,1,CUST0005647,SAVINGS,ACTIVE,4545.83,GBP,1,2019-12-23,11454.98,4,1,CN,BUSINESS_OWNER,,1,0,0,0,100.0,168,BRANCH,19,3,0,SIMPLIFIED,0,0,0,1279
ALT00000237,TXN000119670,ACCT100006544,R003_LAYERING_SIGNAL,81,2022-01-09 10:25:42.268686,2,10,1,4,1,CUST0007193,SAVINGS,ACTIVE,14579.17,AED,1,2019-01-25,9146.62,2,1,IN,SALARIED,100k-250k,3,0,0,0,85.5,74,MOBILE,18,2,0,SIMPLIFIED,0,0,0,1080
ALT00000241,TXN000119653,ACCT100000592,R005_RAPID_MVT,86,2024-02-10 05:37:03.430840,1,5,1,3,1,CUST0003988,SAVINGS,ACTIVE,2890.67,INR,1,2016-05-21,61510.09,5,1,GB,SALARIED,100k-250k,3,0,0,0,100.0,94,MOBILE,6,2,0,SIMPLIFIED,0,0,0,2821
ALT00000242,TXN000119473,ACCT100007046,R004_MULE_SIGNAL,80,2022-08-09 07:23:43.642052,1,7,0,3,1,CUST0003986,CURRENT,ACTIVE,337.82,INR,3,2013-06-01,14846.79,2,4,MY,SELF_EMPLOYED,100k-250k,8,0,0,0,64.0,257,MOBILE,1,1,0,ENHANCED,0,0,0,3356
ALT00000249,TXN000119317,ACCT100003667,R002_STRUCTURING_SIGNAL,67,2024-04-28 20:26:12.981719,2,20,1,3,0,CUST0002143,SAVINGS,ACTIVE,56657.94,SGD,1,2016-12-09,51705.11,1,3,SG,POLITICIAN,0-50k,5,1,0,0,84.9,304,WEB,4,4,0,STANDARD,0,0,0,2697
ALT00000252,TXN000119569,ACCT100008660,R003_LAYERING_SIGNAL,81,2024-01-07 16:48:33.743752,2,16,1,4,0,CUST0000557,NRE,ACTIVE,268240.55,AED,1,2017-12-01,64227.04,4,1,AE,SALARIED,100k-250k,1,0,0,0,98.5,176,MOBILE,2,1,0,SIMPLIFIED,0,0,0,2228
ALT00000253,TXN000119675,ACCT100010426,R005_RAPID_MVT,73,2023-05-25 09:23:19.439587,3,9,0,3,1,CUST0002335,NRE,ACTIVE,1422058.23,INR,1,2014-01-22,98126.0,7,2,IN,SALARIED,50k-100k,1,0,0,0,97.9,111,BRANCH,11,2,0,SIMPLIFIED,0,0,0,3410
