ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,ACCT_ALERT_COUNT,ALERT_HOUR,ALERT_IS_WEEKEND,RULE_RISK_PROFILE,FINAL_LABEL,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES,OPEN_DATE,EXPECTED_MONTHLY_TXN,ACCOUNT_RISK_RATING,NUM_LINKED_ACCOUNTS,NATIONALITY,OCCUPATION,INCOME_BRACKET,CUSTOMER_RISK_RATING,PEP_FLAG,SANCTION_HIT,ADVERSE_MEDIA_FLAG,KYC_COMPLETENESS_PCT,DAYS_SINCE_KYC,ONBOARDING_CHANNEL,YEARS_AS_CUSTOMER,NUM_PRODUCTS_HELD,FATF_HIGH_RISK_NATIONALITY,CDD_TIER,KYC_REVIEW_OVERDUE,SHELL_CO_INDICATOR,CORRESPONDENT_BANK_FLAG,ACCOUNT_AGE_DAYS,w7_vol,w7_cnt,w7_avg_amt,w7_max_amt,w7_std_amt,w30_vol,w30_cnt,w30_avg_amt,w30_max_amt,w30_std_amt,w90_vol,w90_cnt,w90_avg_amt,w90_max_amt,w90_std_amt,w365_vol,w365_cnt,w365_avg_amt,w365_max_amt,w365_std_amt,vol_spike_30_vs_90,cnt_spike_30_vs_90,vol_spike_7_vs_30,cnt_spike_7_vs_30,avg_spike_30_vs_90,counterparty_hhi,top_dest_concentration,pct_hr_dest_30d,pct_fatf_dest_30d,unique_dest_30d,structuring_txn_cnt,pct_just_below_10k,swift_cnt_30d,layering_score,velocity_per_hour_7d,txn_span_hours_7d,pass_through_ratio_30d,net_flow_30d,credit_vol_30d,debit_vol_30d,pct_offhour_txns_30d,pct_weekend_txns_30d,actual_vs_expected_vol,cash_intensity_30d,cash_intensity_7d,round_txn_cnt_30d,pct_round_txns_30d,KYC_STALE_FLAG,KYC_INCOMPLETE_FLAG,KYC_RISK_SCORE,COMBINED_RISK_FLAGS,IS_OFFSHORE_NAT,IS_HIGH_RISK_ACCT,IS_DORMANT,IS_NEW_ACCOUNT,IS_THIRD_PARTY_ONBOARD,HIGH_RISK_OCC,MULTI_SIGNATORY_RISK,LOG_BALANCE,LOG_W30_VOL,LOG_W90_VOL,LOG_W30_MAX,RISK_SCORE_BAND,BALANCE_TO_W30_AVG,BALANCE_TO_W90_VOL,COMBINED_ACCT_CUST_RISK,PEER_GROUP,zscore_vol_vs_peer,zscore_avg_vs_peer,zscore_cnt_vs_peer,ratio_vol_vs_peer,zscore_vol_vs_pop,zscore_avg_vs_pop,zscore_cnt_vs_pop
ALT00000036,TXN000119762,ACCT100011830,R004_MULE_SIGNAL,88,2022-06-03 21:59:54.903277,4,21,0,3,0,CUST0007727,NRE,ACTIVE,74131.3,GBP,2,2013-10-20,16215.11,7,3,IN,SELF_EMPLOYED,250K+,1,0,0,0,99.0,94,WEB,19,4,0,SIMPLIFIED,0,0,0,3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13953.18,1.0,13953.18,13953.18,0.0,13953.18,1.0,13953.18,13953.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.966666666666667,0,0,0,0,0,0,0,1,11.213606613744387,0.0,9.543534383943001,0.0,3,74131.3,5.312479844749029,3.4,SELF_EMPLOYED_250K+,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000037,TXN000119834,ACCT100008505,R002_STRUCTURING_SIGNAL,77,2022-08-28 11:14:39.102266,2,11,1,3,1,CUST0004319,SALARY,DORMANT,45655.48,INR,1,2013-05-05,16034.48,1,2,IN,SALARIED,0-50K,3,0,0,0,89.8,83,MOBILE,14,5,0,SIMPLIFIED,0,0,0,3402,9004.81,1.0,9004.81,9004.81,0.0,13517.289999999999,2.0,6758.6449999999995,9004.81,3176.557006327763,13517.289999999999,2.0,6758.6449999999995,9004.81,3176.557006327763,102821.17,5.0,20564.234,61036.47,23343.42414969214,0.9999260261467982,0.6666666666666666,0.6661204930505263,0.3333333333333333,0.9998520632370487,1.0,1.0,0.0,0.0,1.0,1.0,33.33333333333333,0.0,0.0,0,0.0,0.5010632025325873,-4492.33,4512.48,9004.81,33.33333333333333,0.0,0.8429613581882176,0.0,0.0,1.0,50.0,0,0,14.463333333333335,0,0,0,1,0,0,0,0,10.72890082556587,9.511798862307835,9.511798862307835,9.105625203592558,2,6.7541239221882226,3.3773117753798747,2.2,SALARIED_0-50K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000040,TXN000118861,ACCT100011208,R003_LAYERING_SIGNAL,80,2023-12-30 21:29:49.248829,3,21,1,4,0,CUST0002602,NRE,ACTIVE,480440.15,INR,2,2020-10-24,99854.7,4,2,US,SALARIED,UNKNOWN,1,0,0,0,91.5,128,BRANCH,7,1,0,SIMPLIFIED,0,0,0,1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35588.77,1.0,35588.77,35588.77,0.0,67456.73999999999,4.0,16864.184999999998,35588.77,17887.33555876615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.533333333333333,0,0,0,0,0,0,0,1,13.082460023304726,0.0,10.479813515993893,0.0,2,480440.15,13.499389009819396,2.2,SALARIED_UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000042,TXN000119556,ACCT100001639,R005_RAPID_MVT,76,2024-05-23 17:34:28.866153,1,17,0,3,1,CUST0001493,SHELL,ACTIVE,30898.95,INR,1,2014-01-16,196155.1,10,3,KY,SALARIED,50K-100K,2,0,0,0,92.8,182,WEB,6,1,1,SIMPLIFIED,0,0,0,3780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140673.06999999998,4.0,35168.267499999994,108835.65,49419.728813846115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.913333333333334,4,1,1,0,0,0,0,0,10.33850984476155,0.0,0.0,0.0,2,30898.95,30898.95,5.2,SALARIED_50K-100K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000047,TXN000119549,ACCT100011315,R004_MULE_SIGNAL,73,2022-10-29 19:42:33.439415,1,19,1,3,1,CUST0007856,SAVINGS,ACTIVE,5818.34,USD,1,2014-12-29,12540.78,3,5,VG,SALARIED,UNKNOWN,3,1,0,1,86.3,18,WEB,6,3,1,SIMPLIFIED,0,0,0,2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29365.33,1.0,29365.33,29365.33,0.0,114906.36000000002,6.0,19151.06,38267.98,15611.446255741972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.780000000000001,12,1,0,0,0,0,0,0,8.668942132233127,0.0,10.28760405894527,0.0,2,5818.34,0.19812962668471,3.0,SALARIED_UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000048,TXN000118525,ACCT100010494,R003_LAYERING_SIGNAL,85,2023-08-22 19:22:48.610459,1,19,0,4,1,CUST0002721,CURRENT,BLOCKED,244770.65,INR,3,2012-03-30,14386.98,4,1,KY,BUSINESS_OWNER,100K-250K,7,0,0,0,78.6,61,MOBILE,10,1,1,STANDARD,0,0,0,4162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15376.75,1.0,15376.75,15376.75,0.0,56198.94,3.0,18732.98,30731.87,10722.248199901922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,30.576666666666668,4,1,0,0,0,0,0,1,12.408081014090419,0.0,9.640676938469474,0.0,3,244770.65,15.91719529840191,5.8,BUSINESS_OWNER_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000050,TXN000119844,ACCT100003169,R003_LAYERING_SIGNAL,87,2022-08-15 10:48:24.028821,1,10,0,4,1,CUST0000470,SAVINGS,ACTIVE,3663.64,SGD,1,2018-02-17,33251.8,3,3,IN,SALARIED,100K-250K,9,0,0,0,67.8,112,BRANCH,13,2,0,ENHANCED,0,0,0,1640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68511.93000000001,2.0,34255.965000000004,67002.55,46310.664628403356,68511.93000000001,2.0,34255.965000000004,67002.55,46310.664628403356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,41.74666666666667,0,0,0,0,0,0,0,0,8.20648538302964,0.0,11.134777765561642,0.0,3,3663.64,0.05347370197129213,6.6,SALARIED_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000057,TXN000119540,ACCT100009589,R003_LAYERING_SIGNAL,85,2024-04-16 12:49:59.100552,1,12,0,4,1,CUST0000062,SAVINGS,ACTIVE,2745.46,INR,1,2015-03-20,28329.33,2,1,IN,SALARIED,UNKNOWN,2,0,0,0,92.0,105,WEB,11,2,0,SIMPLIFIED,0,0,0,3315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18358.28,1.0,18358.28,18358.28,0.0,31942.1,3.0,10647.366666666667,18358.28,6740.686769056498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.95,0,0,0,0,0,0,0,0,7.918068088686086,0.0,9.817890447719252,0.0,3,2745.46,0.1495407227298674,2.0,SALARIED_UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000058,TXN000118230,ACCT100011771,R005_RAPID_MVT,90,2023-03-20 08:35:01.479877,2,8,0,3,1,CUST0004721,SAVINGS,ACTIVE,48590.59,USD,2,2014-02-18,10612.23,3,2,CN,SELF_EMPLOYED,UNKNOWN,2,0,0,0,97.8,52,MOBILE,16,1,0,SIMPLIFIED,0,0,0,3317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58563.23,1.0,58563.23,58563.23,0.0,155234.85,5.0,31046.97,83236.07,37439.8409785031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.746666666666668,0,0,0,0,0,0,0,1,10.791205749647036,0.0,10.977879379633029,0.0,3,48590.59,0.8296974108598371,2.4,SELF_EMPLOYED_UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000060,TXN000119910,ACCT100002339,R005_RAPID_MVT,91,2023-02-07 16:24:31.537887,2,16,0,3,1,CUST0005390,SAVINGS,ACTIVE,19141.49,INR,1,2016-09-19,1046.59,1,1,IN,SALARIED,100K-250K,7,0,0,0,79.9,775,WEB,2,2,0,STANDARD,1,0,1,2332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6466.83,1.0,6466.83,6466.83,0.0,33886.71,5.0,6777.342,13517.24,4295.711451409417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,41.95666666666666,3,0,0,0,0,0,0,0,9.859665750589336,0.0,8.774595937111018,0.0,4,19141.49,2.959491823378166,4.6,SALARIED_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000064,TXN000118881,ACCT100008085,R005_RAPID_MVT,87,2022-08-05 16:58:20.396215,1,16,0,3,0,CUST0005635,SALARY,ACTIVE,1942.44,USD,1,2019-08-05,3327.48,1,1,IN,BUSINESS_OWNER,100K-250K,1,0,0,0,94.3,28,WEB,1,4,0,SIMPLIFIED,0,0,0,1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,5.746666666666668,0,0,0,0,0,0,0,0,7.572214877677828,0.0,0.0,0.0,3,1942.44,1942.44,1.0,BUSINESS_OWNER_100K-250K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000066,TXN000119655,ACCT100002026,R002_STRUCTURING_SIGNAL,80,2024-01-11 15:20:27.920613,1,15,0,3,1,CUST0000437,NRE,ACTIVE,40278.15,INR,1,2014-10-10,161150.42,6,1,SG,SELF_EMPLOYED,0-50K,1,0,0,1,92.6,279,MOBILE,14,5,0,SIMPLIFIED,0,0,0,3380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.3,1.0,1546.3,1546.3,0.0,28311.05,3.0,9437.016666666666,24591.24,13127.688742632245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.610000000000003,3,0,0,0,0,0,0,0,10.60358924432583,0.0,7.344266755495627,0.0,2,40278.15,26.031247980352873,3.0,SELF_EMPLOYED_0-50K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT00000068,TXN000119511,ACCT100000988,R002_STRUCTURING_SIGNAL,62,2022-07-13 13:33:49.335926,1,13,0,3,1,CUST0006873,SAVINGS,ACTIVE,32907.95,AED,1,2016-03-27,9002.84,1,1,SG,SELF_EMPLOYED,0-50K,4,0,0,0,84.3,222,WEB,19,2,0,SIMPLIFIED,0,0,0,2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4846.01,1.0,4846.01,4846.01,0.0,17565.11,2.0,8782.555,12719.1,5567.115327891996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21.98,0,0,0,0,0,0,0,0,10.401499936232415,0.0,8.486117298975081,0.0,1,32907.95,6.789329916794064,2.8,SELF_EMPLOYED_0-50K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
