CASE_ID,ALERT_ID,INVESTIGATOR_ID,PRIORITY,CASE_STATUS,RESOLUTION_DAYS
CASE0000200,ALT00005174,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,23
CASE0000201,ALT00000120,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,37
CASE0000202,ALT00003890,INV_01,MEDIUM,OPEN,41
CASE0000203,ALT00007117,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,18
CASE0000204,ALT00004251,INV_02,HIGH,CLOSED_FALSE_POSITIVE,11
CASE0000205,ALT00003209,INV_01,HIGH,OPEN,42
CASE0000206,ALT00008826,INV_01,LOW,CLOSED_FALSE_POSITIVE,43
CASE0000207,ALT00009177,INV_03,HIGH,CLOSED_FALSE_POSITIVE,28
CASE0000208,ALT00005021,INV_04,HIGH,CLOSED_FALSE_POSITIVE,24
CASE0000209,ALT00009686,INV_02,HIGH,OPEN,42
CASE0000210,ALT00003539,INV_01,HIGH,CLOSED_FALSE_POSITIVE,2
CASE0000211,ALT00002516,INV_01,LOW,CLOSED_FALSE_POSITIVE,29
CASE0000212,ALT00007880,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,18
CASE0000213,ALT00002190,INV_03,HIGH,CLOSED_SAR_FILED,40
CASE0000214,ALT00007404,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,9
CASE0000215,ALT00003870,INV_02,LOW,CLOSED_SAR_FILED,8
CASE0000216,ALT00007721,INV_02,HIGH,CLOSED_FALSE_POSITIVE,8
CASE0000217,ALT00001146,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,3
CASE0000218,ALT00001454,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,14
CASE0000219,ALT00007708,INV_03,HIGH,CLOSED_FALSE_POSITIVE,16
CASE0000220,ALT00002320,INV_03,LOW,CLOSED_SAR_FILED,33
CASE0000221,ALT00003351,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,8
CASE0000222,ALT00002961,INV_01,MEDIUM,OPEN,2
CASE0000223,ALT00004636,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,13
CASE0000224,ALT00001459,INV_02,LOW,CLOSED_FALSE_POSITIVE,40
CASE0000225,ALT00000305,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,11
CASE0000226,ALT00009282,INV_03,LOW,OPEN,10
CASE0000227,ALT00000322,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,40
CASE0000228,ALT00003398,AUTO_SYS,LOW,CLOSED_MONITORING,30
CASE0000229,ALT00005385,INV_02,LOW,CLOSED_SAR_FILED,40
CASE0000230,ALT00004685,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,39
CASE0000231,ALT00009045,INV_01,LOW,CLOSED_FALSE_POSITIVE,44
CASE0000232,ALT00001544,AUTO_SYS,LOW,OPEN,36
CASE0000233,ALT00002046,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,8
CASE0000234,ALT00001356,INV_02,HIGH,CLOSED_FALSE_POSITIVE,21
CASE0000235,ALT00000622,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,15
CASE0000236,ALT00002253,INV_01,LOW,CLOSED_FALSE_POSITIVE,27
CASE0000237,ALT00005423,INV_03,LOW,CLOSED_MONITORING,39
CASE0000238,ALT00002685,INV_01,LOW,CLOSED_FALSE_POSITIVE,2
CASE0000239,ALT00004849,INV_03,HIGH,CLOSED_FALSE_POSITIVE,21
CASE0000240,ALT00009806,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,6
CASE0000241,ALT00003402,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,5
CASE0000242,ALT00002158,INV_02,LOW,CLOSED_FALSE_POSITIVE,28
CASE0000243,ALT00005355,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,7
CASE0000244,ALT00003910,INV_02,HIGH,OPEN,34
CASE0000245,ALT00006854,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,39
CASE0000246,ALT00008427,INV_01,MEDIUM,CLOSED_SAR_FILED,10
CASE0000247,ALT00004763,INV_02,LOW,CLOSED_FALSE_POSITIVE,3
CASE0000248,ALT00007399,INV_04,MEDIUM,CLOSED_SAR_FILED,11
CASE0000249,ALT00003746,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,39
CASE0000250,ALT00001023,AUTO_SYS,HIGH,CLOSED_SAR_FILED,2
CASE0000251,ALT00006381,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,7
CASE0000252,ALT00007268,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,37
CASE0000253,ALT00003210,INV_01,LOW,CLOSED_FALSE_POSITIVE,21
CASE0000254,ALT00003072,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,26
CASE0000255,ALT00007581,AUTO_SYS,HIGH,OPEN,5
CASE0000256,ALT00008066,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,15
CASE0000257,ALT00003603,INV_01,MEDIUM,CLOSED_SAR_FILED,1
CASE0000258,ALT00005332,INV_03,LOW,CLOSED_FALSE_POSITIVE,6
CASE0000259,ALT00002255,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,7
CASE0000260,ALT00000374,INV_01,MEDIUM,CLOSED_SAR_FILED,6
CASE0000261,ALT00009354,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,22
CASE0000262,ALT00001834,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,43
CASE0000263,ALT00008687,INV_01,LOW,CLOSED_MONITORING,26
CASE0000264,ALT00002520,INV_04,LOW,CLOSED_FALSE_POSITIVE,43
CASE0000265,ALT00003609,INV_03,HIGH,CLOSED_MONITORING,18
CASE0000266,ALT00001594,AUTO_SYS,HIGH,CLOSED_FALSE_POSITIVE,31
CASE0000267,ALT00001703,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,12
CASE0000268,ALT00006561,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,37
CASE0000269,ALT00006786,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,26
CASE0000270,ALT00002767,AUTO_SYS,LOW,CLOSED_SAR_FILED,41
CASE0000271,ALT00006612,INV_02,HIGH,OPEN,30
CASE0000272,ALT00002123,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,34
CASE0000273,ALT00003474,INV_03,HIGH,CLOSED_FALSE_POSITIVE,17
CASE0000274,ALT00005968,INV_01,LOW,CLOSED_FALSE_POSITIVE,41
CASE0000275,ALT00001088,INV_03,HIGH,CLOSED_FALSE_POSITIVE,26
CASE0000276,ALT00004760,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,27
CASE0000277,ALT00007770,INV_01,LOW,CLOSED_FALSE_POSITIVE,21
CASE0000278,ALT00002949,INV_04,MEDIUM,CLOSED_FALSE_POSITIVE,25
CASE0000279,ALT00006389,INV_02,LOW,CLOSED_FALSE_POSITIVE,21
CASE0000280,ALT00005503,INV_02,LOW,OPEN,5
CASE0000281,ALT00001108,INV_03,MEDIUM,CLOSED_MONITORING,1
CASE0000282,ALT00006276,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,2
CASE0000283,ALT00003881,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,31
CASE0000284,ALT00005422,INV_03,MEDIUM,CLOSED_MONITORING,20
CASE0000285,ALT00005426,INV_01,LOW,OPEN,9
CASE0000286,ALT00009633,INV_01,LOW,OPEN,21
CASE0000287,ALT00004909,AUTO_SYS,LOW,OPEN,17
CASE0000288,ALT00000714,INV_01,LOW,CLOSED_SAR_FILED,19
CASE0000289,ALT00008384,INV_03,LOW,CLOSED_SAR_FILED,20
CASE0000290,ALT00004717,INV_04,LOW,CLOSED_FALSE_POSITIVE,44
CASE0000291,ALT00003544,INV_01,HIGH,CLOSED_FALSE_POSITIVE,16
CASE0000292,ALT00008694,INV_04,HIGH,CLOSED_SAR_FILED,24
CASE0000293,ALT00007298,INV_04,LOW,CLOSED_FALSE_POSITIVE,11
CASE0000294,ALT00007150,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,23
CASE0000295,ALT00002827,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,18
CASE0000296,ALT00003380,INV_02,HIGH,CLOSED_FALSE_POSITIVE,39
CASE0000297,ALT00007205,INV_01,LOW,CLOSED_FALSE_POSITIVE,27
CASE0000298,ALT00005545,INV_01,LOW,CLOSED_SAR_FILED,7
CASE0000299,ALT00005472,INV_01,LOW,CLOSED_FALSE_POSITIVE,33
CASE0000300,ALT00005598,AUTO_SYS,LOW,CLOSED_FALSE_POSITIVE,40
CASE0000301,ALT00001761,AUTO_SYS,MEDIUM,CLOSED_FALSE_POSITIVE,40
CASE0000302,ALT00006307,INV_01,MEDIUM,CLOSED_FALSE_POSITIVE,43
CASE0000303,ALT00002013,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,22
CASE0000304,ALT00007059,INV_04,LOW,CLOSED_FALSE_POSITIVE,34
CASE0000305,ALT00009256,INV_03,HIGH,CLOSED_FALSE_POSITIVE,32
CASE0000306,ALT00004540,INV_04,LOW,CLOSED_FALSE_POSITIVE,29
CASE0000307,ALT00004206,INV_04,MEDIUM,CLOSED_SAR_FILED,34
CASE0000308,ALT00002649,INV_01,LOW,OPEN,14
CASE0000309,ALT00005268,INV_02,HIGH,CLOSED_MONITORING,18
CASE0000310,ALT00005361,INV_04,LOW,OPEN,43
CASE0000311,ALT00003132,INV_02,HIGH,CLOSED_FALSE_POSITIVE,21
CASE0000312,ALT00002454,INV_03,HIGH,CLOSED_FALSE_POSITIVE,18
CASE0000313,ALT00005817,INV_02,LOW,CLOSED_FALSE_POSITIVE,4
CASE0000314,ALT00007924,INV_02,HIGH,CLOSED_SAR_FILED,42
CASE0000315,ALT00008010,INV_02,LOW,CLOSED_FALSE_POSITIVE,26
CASE0000316,ALT00010136,INV_02,LOW,CLOSED_FALSE_POSITIVE,41
CASE0000317,ALT00009234,INV_02,LOW,CLOSED_FALSE_POSITIVE,36
CASE0000318,ALT00009324,INV_03,LOW,CLOSED_FALSE_POSITIVE,32
CASE0000319,ALT00007130,AUTO_SYS,LOW,CLOSED_MONITORING,42
CASE0000320,ALT00000336,INV_03,MEDIUM,CLOSED_FALSE_POSITIVE,6
CASE0000321,ALT00001661,AUTO_SYS,LOW,OPEN,37
CASE0000322,ALT00004158,INV_04,HIGH,CLOSED_FALSE_POSITIVE,15
CASE0000323,ALT00001079,INV_01,LOW,CLOSED_MONITORING,10
CASE0000324,ALT00002471,INV_02,MEDIUM,CLOSED_FALSE_POSITIVE,17
