ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,IS_TRUE_POS
ALT00000024,TXN000111624,ACCT100004074,R004_SIGNAL,74,2022-06-24 12:55:31.214298,1
ALT00000025,TXN000111625,ACCT100007261,R005_SIGNAL,88,2024-01-07 02:35:54.091730,1
ALT00000026,TXN000111626,ACCT100002725,R002_SIGNAL,76,2023-01-06 05:50:13.067062,1
ALT00000027,TXN000111627,ACCT100004346,R002_SIGNAL,74,2024-04-24 01:23:28.177084,1
ALT00000028,TXN000111628,ACCT100009490,R003_SIGNAL,87,2023-11-02 06:09:27.637357,1
ALT00000029,TXN000111629,ACCT100002580,R005_SIGNAL,79,2022-02-21 19:36:54.472277,1
ALT00000030,TXN000111630,ACCT100004034,R003_SIGNAL,84,2023-06-12 09:29:10.584016,1
ALT00000031,TXN000111631,ACCT100010973,R004_SIGNAL,76,2023-10-15 10:49:03.116855,1
ALT00000032,TXN000111632,ACCT100000153,R004_SIGNAL,89,2023-02-22 11:57:16.799518,1
ALT00000033,TXN000111633,ACCT100005719,R004_SIGNAL,80,2024-03-13 11:12:51.456529,1
ALT00000034,TXN000111634,ACCT100010715,R004_SIGNAL,70,2023-04-27 20:45:33.491002,1
ALT00000035,TXN000111635,ACCT100009065,R003_SIGNAL,87,2022-05-22 14:42:47.157553,1
ALT00000036,TXN000111636,ACCT100008005,R004_SIGNAL,70,2022-08-17 18:30:54.198922,1
ALT00000037,TXN000111637,ACCT100000059,R004_SIGNAL,87,2022-10-31 20:52:48.576222,1
ALT00000038,TXN000111638,ACCT100001233,R005_SIGNAL,79,2024-05-10 22:35:37.432737,1
ALT00000039,TXN000111639,ACCT100009053,R004_SIGNAL,80,2022-05-15 21:55:21.099531,1
ALT00000040,TXN000111640,ACCT100011175,R004_SIGNAL,68,2022-08-16 07:43:05.586132,1
ALT00000041,TXN000111641,ACCT100006756,R003_SIGNAL,99,2022-01-23 13:55:44.459551,1
ALT00000042,TXN000111642,ACCT100006268,R003_SIGNAL,80,2024-03-05 13:03:16.349252,1
ALT00000043,TXN000111643,ACCT100003653,R004_SIGNAL,87,2022-01-22 13:23:57.121125,1
ALT00000044,TXN000111644,ACCT100010511,R004_SIGNAL,84,2023-04-10 01:38:44.483082,1
ALT00000045,TXN000111645,ACCT100009513,R004_SIGNAL,73,2024-05-26 20:51:01.007318,1
ALT00000046,TXN000111646,ACCT100009933,R004_SIGNAL,86,2024-06-15 15:19:57.394048,1
ALT00000047,TXN000111647,ACCT100011254,R005_SIGNAL,72,2023-10-18 09:37:03.004690,1
ALT00000048,TXN000111648,ACCT100010210,R002_SIGNAL,60,2022-10-13 23:27:05.988801,1
ALT00000049,TXN000111649,ACCT100009084,R005_SIGNAL,80,2022-04-26 23:01:13.579066,1
ALT00000050,TXN000111650,ACCT100004701,R002_SIGNAL,79,2022-07-11 11:26:03.200187,1
ALT00000051,TXN000111651,ACCT100007753,R005_SIGNAL,74,2023-12-25 02:13:50.757793,1
ALT00000052,TXN000111652,ACCT100003849,R004_SIGNAL,79,2023-09-05 22:00:16.347823,1
ALT00000053,TXN000111653,ACCT100001194,R003_SIGNAL,95,2023-02-19 21:13:08.779664,1
ALT00000054,TXN000111654,ACCT100001747,R005_SIGNAL,74,2023-12-11 03:23:01.584819,1
ALT00000055,TXN000111655,ACCT100007479,R003_SIGNAL,87,2022-05-02 11:19:34.334036,1
ALT00000056,TXN000111656,ACCT100006992,R005_SIGNAL,89,2024-01-27 15:33:51.576441,1
ALT00000057,TXN000111657,ACCT100008541,R003_SIGNAL,98,2023-03-18 11:13:45.052408,1
ALT00000058,TXN000111658,ACCT100005239,R004_SIGNAL,71,2024-03-24 13:08:19.219659,1
ALT00000059,TXN000111659,ACCT100006798,R003_SIGNAL,86,2023-01-07 07:45:09.426205,1
ALT00000060,TXN000111660,ACCT100011396,R005_SIGNAL,91,2022-01-18 19:02:48.127609,1
ALT00000061,TXN000111661,ACCT100006390,R004_SIGNAL,80,2024-02-17 11:47:09.568475,1
ALT00000062,TXN000111662,ACCT100000476,R003_SIGNAL,83,2022-12-21 05:58:26.010384,1
ALT00000063,TXN000111663,ACCT100000442,R003_SIGNAL,95,2024-04-06 05:05:33.545750,1
ALT00000064,TXN000111664,ACCT100002978,R005_SIGNAL,92,2022-02-15 19:25:23.615743,1
ALT00000065,TXN000111665,ACCT100004134,R005_SIGNAL,89,2024-01-31 14:29:32.077099,1
ALT00000066,TXN000111666,ACCT100010652,R004_SIGNAL,84,2022-03-04 12:16:19.385686,1
ALT00000067,TXN000111667,ACCT100002497,R002_SIGNAL,77,2022-08-06 07:32:47.794053,1
ALT00000068,TXN000111668,ACCT100002750,R004_SIGNAL,72,2023-07-06 23:14:16.188499,1
ALT00000069,TXN000111669,ACCT100009482,R004_SIGNAL,75,2022-01-24 09:25:59.142276,1
ALT00000070,TXN000111670,ACCT100001670,R003_SIGNAL,77,2023-09-28 03:25:40.103643,1
ALT00000071,TXN000111671,ACCT100008729,R002_SIGNAL,65,2023-01-26 06:03:24.772912,1
ALT00000072,TXN000111672,ACCT100007103,R005_SIGNAL,70,2024-05-25 06:39:33.730486,1
ALT00000073,TXN000111673,ACCT100008818,R004_SIGNAL,83,2023-12-07 16:45:38.415327,1
ALT00000074,TXN000111674,ACCT100004570,R003_SIGNAL,78,2024-03-14 03:59:03.145332,1
ALT00000075,TXN000111675,ACCT100005326,R002_SIGNAL,77,2022-06-15 15:44:47.892825,1
ALT00000076,TXN000111676,ACCT100000167,R004_SIGNAL,80,2023-04-16 15:32:17.633383,1
ALT00000077,TXN000111677,ACCT100007343,R003_SIGNAL,89,2023-12-24 08:41:03.223842,1
ALT00000078,TXN000111678,ACCT100009069,R004_SIGNAL,73,2023-04-29 16:04:37.569256,1
ALT00000079,TXN000111679,ACCT100003778,R005_SIGNAL,84,2022-04-20 22:01:12.951208,1
ALT00000080,TXN000111680,ACCT100011872,R003_SIGNAL,95,2023-06-22 02:43:41.202936,1
ALT00000081,TXN000111681,ACCT100002940,R003_SIGNAL,82,2022-10-03 08:46:42.819944,1
ALT00000082,TXN000111682,ACCT100004787,R002_SIGNAL,60,2023-09-28 08:20:01.962919,1
ALT00000083,TXN000111683,ACCT100007844,R004_SIGNAL,73,2023-02-06 06:24:35.288805,1
ALT00000084,TXN000111684,ACCT100008057,R002_SIGNAL,74,2022-03-09 11:43:57.253690,1
ALT00000085,TXN000111685,ACCT100004067,R004_SIGNAL,76,2022-04-18 21:49:29.842289,1
ALT00000086,TXN000111686,ACCT100004872,R005_SIGNAL,75,2024-02-23 14:41:02.333845,1
ALT00000087,TXN000111687,ACCT100010249,R002_SIGNAL,74,2022-07-12 05:51:17.532566,1
ALT00000088,TXN000111688,ACCT100000044,R002_SIGNAL,71,2023-01-08 03:49:41.551100,1
ALT00000089,TXN000111689,ACCT100011518,R004_SIGNAL,86,2024-02-23 02:26:29.666505,1
ALT00000090,TXN000111690,ACCT100003684,R002_SIGNAL,66,2023-08-13 23:53:08.132899,1
ALT00000091,TXN000111691,ACCT100009326,R004_SIGNAL,67,2024-04-19 04:57:12.432054,1
ALT00000092,TXN000111692,ACCT100008848,R004_SIGNAL,69,2023-03-26 20:20:19.232739,1
ALT00000093,TXN000111693,ACCT100001497,R004_SIGNAL,88,2022-07-28 13:12:12.331231,1
ALT00000094,TXN000111694,ACCT100000660,R004_SIGNAL,79,2023-11-27 04:36:54.961957,1
ALT00000095,TXN000111695,ACCT100001495,R005_SIGNAL,82,2023-03-05 04:18:26.191487,1
ALT00000096,TXN000111696,ACCT100010856,R005_SIGNAL,70,2024-05-11 01:42:41.576436,1
ALT00000097,TXN000111697,ACCT100005297,R004_SIGNAL,67,2022-04-16 14:30:35.617271,1
ALT00000098,TXN000111698,ACCT100008495,R002_SIGNAL,74,2022-11-26 13:56:38.070572,1
ALT00000099,TXN000111699,ACCT100002147,R004_SIGNAL,72,2024-04-25 02:38:14.075171,1
ALT00000100,TXN000111700,ACCT100009025,R003_SIGNAL,79,2022-01-13 10:58:42.567909,1
ALT00000101,TXN000111701,ACCT100008166,R002_SIGNAL,84,2024-04-29 15:31:35.408637,1
ALT00000102,TXN000111702,ACCT100007484,R005_SIGNAL,73,2023-05-18 04:51:34.707293,1
ALT00000103,TXN000111703,ACCT100006799,R002_SIGNAL,67,2022-11-06 15:01:56.335624,1
ALT00000104,TXN000111704,ACCT100009502,R004_SIGNAL,71,2024-06-29 00:00:02.209414,1
ALT00000105,TXN000111705,ACCT100008904,R004_SIGNAL,67,2022-12-10 15:19:14.251197,1
ALT00000106,TXN000111706,ACCT100011555,R005_SIGNAL,86,2024-04-12 03:14:13.881150,1
ALT00000107,TXN000111707,ACCT100008230,R002_SIGNAL,72,2024-05-29 10:29:27.224256,1
ALT00000108,TXN000111708,ACCT100006718,R005_SIGNAL,71,2024-03-04 10:04:42.548086,1
ALT00000109,TXN000111709,ACCT100011049,R005_SIGNAL,89,2024-02-22 20:39:27.052758,1
ALT00000110,TXN000111710,ACCT100010341,R002_SIGNAL,64,2023-09-16 11:42:44.261319,1
ALT00000111,TXN000111711,ACCT100007270,R002_SIGNAL,72,2022-06-01 13:23:58.909372,1
ALT00000112,TXN000111712,ACCT100005874,R002_SIGNAL,63,2022-12-08 11:31:32.112651,1
ALT00000113,TXN000111713,ACCT100010154,R003_SIGNAL,81,2023-09-15 08:03:16.042697,1
ALT00000114,TXN000111714,ACCT100004184,R004_SIGNAL,79,2023-08-31 11:48:19.592332,1
ALT00000115,TXN000111715,ACCT100004902,R005_SIGNAL,82,2023-08-06 01:45:20.838238,1
ALT00000116,TXN000111716,ACCT100003887,R005_SIGNAL,94,2022-12-14 10:08:56.414351,1
ALT00000117,TXN000111717,ACCT100011237,R005_SIGNAL,73,2023-12-11 01:00:18.601909,1
ALT00000118,TXN000111718,ACCT100003589,R003_SIGNAL,86,2023-08-03 23:00:47.824995,1
ALT00000119,TXN000111719,ACCT100007223,R002_SIGNAL,78,2022-01-31 09:28:55.600156,1
ALT00000120,TXN000111720,ACCT100008838,R005_SIGNAL,81,2024-03-09 10:56:04.151018,1
ALT00000121,TXN000111721,ACCT100005550,R005_SIGNAL,89,2024-01-03 15:44:24.806576,1
ALT00000122,TXN000111722,ACCT100005993,R005_SIGNAL,71,2022-03-24 06:22:55.457153,1
ALT00000123,TXN000111723,ACCT100009578,R004_SIGNAL,88,2022-12-14 02:44:29.457936,1
ALT00000124,TXN000111724,ACCT100009199,R002_SIGNAL,61,2022-10-26 19:31:45.644358,1
ALT00000125,TXN000111725,ACCT100001912,R004_SIGNAL,76,2022-05-08 08:05:04.565248,1
ALT00000126,TXN000111726,ACCT100006368,R003_SIGNAL,92,2023-02-18 06:28:01.562227,1
ALT00000127,TXN000111727,ACCT100008018,R003_SIGNAL,90,2023-07-15 20:37:12.028852,1
ALT00000128,TXN000111728,ACCT100005943,R005_SIGNAL,90,2022-04-01 12:17:22.244598,1
ALT00000129,TXN000111729,ACCT100002002,R004_SIGNAL,88,2024-05-14 13:10:18.748428,1
ALT00000130,TXN000111730,ACCT100002064,R004_SIGNAL,83,2023-12-18 22:29:21.040376,1
ALT00000131,TXN000111731,ACCT100009765,R003_SIGNAL,90,2022-01-03 13:59:47.391213,1
ALT00000132,TXN000111732,ACCT100002160,R003_SIGNAL,94,2022-01-14 12:54:22.300460,1
ALT00000133,TXN000111733,ACCT100006898,R003_SIGNAL,96,2023-04-25 06:20:02.232729,1
ALT00000134,TXN000111734,ACCT100008255,R002_SIGNAL,70,2022-07-21 19:57:49.947586,1
ALT00000135,TXN000111735,ACCT100007848,R002_SIGNAL,72,2024-02-11 21:20:07.252111,1
ALT00000136,TXN000111736,ACCT100009967,R002_SIGNAL,60,2022-05-16 03:10:14.751258,1
ALT00000137,TXN000111737,ACCT100008283,R004_SIGNAL,67,2023-07-06 13:03:04.932461,1
ALT00000138,TXN000111738,ACCT100005554,R005_SIGNAL,91,2024-01-24 18:41:38.150127,1
ALT00000139,TXN000111739,ACCT100006133,R004_SIGNAL,69,2024-05-18 17:20:48.498808,1
ALT00000140,TXN000111740,ACCT100007076,R002_SIGNAL,83,2022-03-29 23:17:05.113026,1
ALT00000141,TXN000111741,ACCT100006731,R004_SIGNAL,83,2022-11-19 03:04:06.287206,1
ALT00000142,TXN000111742,ACCT100001698,R004_SIGNAL,82,2023-06-11 11:36:37.749873,1
ALT00000143,TXN000111743,ACCT100009114,R002_SIGNAL,74,2022-12-01 20:21:17.318354,1
ALT00000144,TXN000111744,ACCT100010778,R002_SIGNAL,84,2024-01-26 15:19:50.562041,1
ALT00000145,TXN000111745,ACCT100000101,R004_SIGNAL,70,2022-06-15 06:15:04.049134,1
ALT00000146,TXN000111746,ACCT100008692,R002_SIGNAL,81,2022-07-15 23:39:55.040590,1
ALT00000147,TXN000111747,ACCT100009769,R004_SIGNAL,73,2022-03-19 09:30:02.599420,1
ALT00000148,TXN000111748,ACCT100007260,R002_SIGNAL,80,2023-08-27 00:37:39.286415,1
ALT00000149,TXN000111749,ACCT100007044,R002_SIGNAL,84,2022-04-12 00:29:38.325844,1
ALT00000150,TXN000111750,ACCT100000898,R003_SIGNAL,81,2022-01-08 00:04:13.606014,1
ALT00000151,TXN000111751,ACCT100000127,R004_SIGNAL,78,2023-03-30 02:49:58.169286,1
ALT00000152,TXN000111752,ACCT100006506,R004_SIGNAL,71,2024-02-25 01:36:57.640543,1
ALT00000153,TXN000111753,ACCT100007034,R004_SIGNAL,73,2023-06-07 08:48:38.242397,1
ALT00000154,TXN000111754,ACCT100002816,R002_SIGNAL,63,2024-01-01 00:06:27.294637,1
ALT00000155,TXN000111755,ACCT100007139,R002_SIGNAL,83,2023-06-21 11:04:54.650837,1
ALT00000156,TXN000111756,ACCT100001252,R004_SIGNAL,84,2023-04-11 01:12:23.519626,1
ALT00000157,TXN000111757,ACCT100004194,R003_SIGNAL,78,2022-06-29 17:09:02.508997,1
ALT00000158,TXN000111758,ACCT100009495,R005_SIGNAL,78,2023-02-13 22:51:52.340184,1
ALT00000159,TXN000111759,ACCT100007206,R004_SIGNAL,82,2022-03-04 05:00:38.720704,1
ALT00000160,TXN000111760,ACCT100007566,R002_SIGNAL,74,2023-02-16 16:38:40.977426,1
ALT00000161,TXN000111761,ACCT100000673,R005_SIGNAL,75,2023-02-14 16:58:39.707844,1
ALT00000162,TXN000111762,ACCT100007382,R005_SIGNAL,75,2022-04-05 06:57:54.160703,1
ALT00000163,TXN000111763,ACCT100008587,R003_SIGNAL,82,2023-04-22 05:21:46.954965,1
ALT00000164,TXN000111764,ACCT100000858,R004_SIGNAL,68,2023-12-20 23:39:27.474149,1
ALT00000165,TXN000111765,ACCT100002464,R005_SIGNAL,94,2022-10-31 16:37:39.203141,1
ALT00000166,TXN000111766,ACCT100005073,R005_SIGNAL,74,2023-05-25 04:16:19.705696,1
ALT00000167,TXN000111767,ACCT100005941,R005_SIGNAL,70,2022-10-09 09:02:51.921156,1
ALT00000168,TXN000111768,ACCT100001658,R003_SIGNAL,75,2023-04-08 12:07:40.364442,1
ALT00000169,TXN000111769,ACCT100002148,R004_SIGNAL,87,2023-06-29 02:11:46.275324,1
ALT00000170,TXN000111770,ACCT100011082,R005_SIGNAL,72,2023-10-18 13:01:16.218332,1
ALT00000171,TXN000111771,ACCT100003179,R003_SIGNAL,82,2022-12-02 02:28:28.958276,1
ALT00000172,TXN000111772,ACCT100002656,R005_SIGNAL,93,2024-01-15 04:30:36.223935,1
ALT00000173,TXN000111773,ACCT100001681,R005_SIGNAL,78,2023-10-11 02:04:15.469427,1
ALT00000174,TXN000111774,ACCT100002415,R003_SIGNAL,82,2024-01-28 02:00:19.642699,1
ALT00000175,TXN000111775,ACCT100000873,R002_SIGNAL,78,2022-12-28 04:04:10.203749,1
ALT00000176,TXN000111776,ACCT100001624,R002_SIGNAL,71,2024-02-04 11:45:01.268425,1
ALT00000177,TXN000111777,ACCT100011560,R005_SIGNAL,93,2023-03-04 08:37:25.752460,1
ALT00000178,TXN000111778,ACCT100008648,R003_SIGNAL,90,2023-01-21 14:02:31.378700,1
ALT00000179,TXN000111779,ACCT100007490,R003_SIGNAL,79,2022-02-27 05:12:55.978941,1
ALT00000180,TXN000111780,ACCT100007033,R003_SIGNAL,82,2022-01-02 10:12:09.507052,1
ALT00000181,TXN000111781,ACCT100005909,R002_SIGNAL,65,2022-03-03 15:44:26.577884,1
ALT00000182,TXN000111782,ACCT100006117,R005_SIGNAL,87,2022-08-20 01:48:33.508862,1
ALT00000183,TXN000111783,ACCT100005448,R002_SIGNAL,64,2022-05-02 12:52:02.181666,1
ALT00000184,TXN000111784,ACCT100001034,R005_SIGNAL,91,2023-10-15 07:36:32.901420,1
ALT00000185,TXN000111785,ACCT100005081,R003_SIGNAL,88,2023-04-15 12:20:48.463657,1
ALT00000186,TXN000111786,ACCT100010744,R003_SIGNAL,99,2022-10-30 09:12:04.834950,1
ALT00000187,TXN000111787,ACCT100005555,R005_SIGNAL,71,2024-06-06 01:29:32.810892,1
ALT00000188,TXN000111788,ACCT100001294,R002_SIGNAL,65,2023-01-28 06:47:41.177052,1
ALT00000189,TXN000111789,ACCT100005373,R002_SIGNAL,78,2023-08-26 02:20:16.288659,1
ALT00000190,TXN000111790,ACCT100011909,R005_SIGNAL,78,2024-03-03 14:29:34.063559,1
ALT00000191,TXN000111791,ACCT100000511,R005_SIGNAL,78,2022-05-11 01:43:49.066604,1
ALT00000192,TXN000111792,ACCT100005934,R003_SIGNAL,81,2022-12-15 18:43:43.098684,1
ALT00000193,TXN000111793,ACCT100007274,R004_SIGNAL,69,2023-11-27 04:04:44.009055,1
ALT00000194,TXN000111794,ACCT100001859,R004_SIGNAL,75,2022-01-24 14:34:09.424753,1
ALT00000195,TXN000111795,ACCT100003516,R004_SIGNAL,84,2024-06-26 16:31:36.523746,1
ALT00000196,TXN000111796,ACCT100002829,R002_SIGNAL,76,2024-03-29 16:43:05.984797,1
ALT00000197,TXN000111797,ACCT100008883,R002_SIGNAL,70,2022-09-22 12:28:51.422355,1
ALT00000198,TXN000111798,ACCT100002276,R003_SIGNAL,77,2022-08-04 15:59:59.759693,1
ALT00000199,TXN000111799,ACCT100001078,R003_SIGNAL,96,2022-10-09 18:19:56.092952,1
ALT00000200,TXN000111800,ACCT100002054,R005_SIGNAL,81,2024-06-04 20:06:37.619341,1
ALT00000201,TXN000111801,ACCT100007089,R003_SIGNAL,89,2023-04-04 02:36:49.776945,1
ALT00000202,TXN000111802,ACCT100005670,R003_SIGNAL,83,2024-05-13 03:46:16.691542,1
ALT00000203,TXN000111803,ACCT100010241,R004_SIGNAL,71,2022-10-03 20:57:25.876672,1
ALT00000204,TXN000111804,ACCT100000675,R004_SIGNAL,80,2024-01-22 18:57:56.695786,1
ALT00000205,TXN000111805,ACCT100010128,R003_SIGNAL,96,2023-08-06 02:54:12.335237,1
ALT00000206,TXN000111806,ACCT100004013,R004_SIGNAL,78,2024-01-04 01:42:06.493582,1
ALT00000207,TXN000111807,ACCT100007203,R002_SIGNAL,73,2023-01-14 15:09:13.893211,1
ALT00000208,TXN000111808,ACCT100006533,R004_SIGNAL,85,2022-04-30 03:04:16.095149,1
ALT00000209,TXN000111809,ACCT100004062,R005_SIGNAL,91,2022-05-09 08:08:55.002548,1
ALT00000210,TXN000111810,ACCT100011815,R003_SIGNAL,75,2022-10-12 21:11:56.507038,1
ALT00000211,TXN000111811,ACCT100000380,R004_SIGNAL,84,2022-03-24 00:50:00.290534,1
ALT00000212,TXN000111812,ACCT100000829,R004_SIGNAL,65,2022-09-14 07:34:29.935916,1
ALT00000213,TXN000111813,ACCT100007061,R002_SIGNAL,63,2022-05-03 00:21:13.015613,1
ALT00000214,TXN000111814,ACCT100003190,R005_SIGNAL,89,2022-11-27 06:13:11.414085,1
ALT00000215,TXN000111815,ACCT100011148,R004_SIGNAL,78,2023-07-11 15:50:50.059328,1
ALT00000216,TXN000111816,ACCT100005991,R004_SIGNAL,70,2023-11-19 18:33:30.697235,1
ALT00000217,TXN000111817,ACCT100011692,R002_SIGNAL,82,2022-10-31 09:36:07.134598,1
ALT00000218,TXN000111818,ACCT100006439,R004_SIGNAL,75,2024-06-21 10:49:20.949732,1
ALT00000219,TXN000111819,ACCT100007781,R005_SIGNAL,83,2024-01-14 03:31:56.964155,1
ALT00000220,TXN000111820,ACCT100009780,R004_SIGNAL,84,2023-03-09 08:26:25.586721,1
ALT00000221,TXN000111821,ACCT100007872,R002_SIGNAL,76,2022-06-05 08:04:32.584904,1
ALT00000222,TXN000111822,ACCT100003126,R003_SIGNAL,94,2022-01-18 06:02:47.771393,1
ALT00000223,TXN000111823,ACCT100011564,R005_SIGNAL,84,2022-05-06 19:02:07.689148,1
ALT00000224,TXN000111824,ACCT100005609,R003_SIGNAL,94,2023-05-13 15:43:03.596048,1
ALT00000225,TXN000111825,ACCT100003685,R003_SIGNAL,98,2024-05-07 16:38:23.945653,1
ALT00000226,TXN000111826,ACCT100004716,R005_SIGNAL,86,2022-04-22 00:39:19.611864,1
ALT00000227,TXN000111827,ACCT100011701,R003_SIGNAL,81,2022-03-13 23:53:58.520110,1
ALT00000228,TXN000111828,ACCT100009209,R003_SIGNAL,85,2023-09-27 05:05:21.542432,1
ALT00000229,TXN000111829,ACCT100003698,R002_SIGNAL,78,2023-08-05 04:01:12.550823,1
ALT00000230,TXN000111830,ACCT100002588,R003_SIGNAL,75,2023-01-06 16:37:28.274236,1
ALT00000231,TXN000111831,ACCT100004677,R004_SIGNAL,89,2023-08-12 09:54:43.476310,1
ALT00000232,TXN000111832,ACCT100006847,R002_SIGNAL,84,2024-03-14 17:24:14.735793,1
ALT00000233,TXN000111833,ACCT100000152,R004_SIGNAL,68,2022-09-29 20:02:50.258097,1
ALT00000234,TXN000111834,ACCT100008262,R005_SIGNAL,81,2023-03-03 08:48:21.936793,1
ALT00000235,TXN000111835,ACCT100000231,R005_SIGNAL,90,2023-11-03 01:24:49.201354,1
ALT00000236,TXN000111836,ACCT100005373,R005_SIGNAL,88,2022-03-21 00:26:04.559872,1
ALT00000237,TXN000111837,ACCT100003859,R003_SIGNAL,96,2023-02-11 23:25:31.615595,1
ALT00000238,TXN000111838,ACCT100001018,R004_SIGNAL,88,2023-09-01 08:28:32.210249,1
ALT00000239,TXN000111839,ACCT100006022,R002_SIGNAL,82,2023-07-14 22:10:14.873582,1
ALT00000240,TXN000111840,ACCT100011501,R004_SIGNAL,70,2023-05-16 08:27:47.882897,1
ALT00000241,TXN000111841,ACCT100007320,R002_SIGNAL,81,2023-04-27 03:58:37.865051,1
ALT00000242,TXN000111842,ACCT100002696,R003_SIGNAL,82,2022-10-26 21:57:50.513744,1
ALT00000243,TXN000111843,ACCT100002162,R005_SIGNAL,70,2023-04-13 13:39:03.037539,1
ALT00000244,TXN000111844,ACCT100006488,R004_SIGNAL,67,2022-08-20 19:27:09.495699,1
ALT00000245,TXN000111845,ACCT100008867,R005_SIGNAL,89,2024-06-24 15:31:10.965603,1
ALT00000246,TXN000111846,ACCT100010511,R005_SIGNAL,72,2024-06-10 06:16:44.189690,1
ALT00000247,TXN000111847,ACCT100002179,R005_SIGNAL,76,2023-08-19 08:52:10.300175,1
ALT00000248,TXN000111848,ACCT100000057,R003_SIGNAL,81,2023-11-20 21:06:24.215312,1
ALT00000249,TXN000111849,ACCT100007547,R005_SIGNAL,85,2022-11-12 08:26:11.204770,1
ALT00000250,TXN000111850,ACCT100003944,R005_SIGNAL,79,2022-07-07 17:46:06.888479,1
ALT00000251,TXN000111851,ACCT100007192,R002_SIGNAL,78,2022-08-02 11:35:38.345467,1
ALT00000252,TXN000111852,ACCT100009797,R004_SIGNAL,67,2023-12-05 18:46:31.719753,1
ALT00000253,TXN000111853,ACCT100000999,R003_SIGNAL,95,2023-05-23 04:05:05.763310,1
ALT00000254,TXN000111854,ACCT100010541,R005_SIGNAL,85,2023-09-04 14:13:58.659746,1
ALT00000255,TXN000111855,ACCT100003013,R004_SIGNAL,83,2023-11-19 06:33:12.780052,1
ALT00000256,TXN000111856,ACCT100006762,R005_SIGNAL,90,2024-05-31 15:40:38.014980,1
ALT00000257,TXN000111857,ACCT100007370,R003_SIGNAL,83,2024-02-11 17:43:27.659087,1
ALT00000258,TXN000111858,ACCT100000648,R005_SIGNAL,80,2024-03-06 20:50:15.735895,1
ALT00000259,TXN000111859,ACCT100004968,R003_SIGNAL,98,2024-05-21 20:16:48.158959,1
ALT00000260,TXN000111860,ACCT100006499,R003_SIGNAL,90,2024-04-13 16:19:29.685193,1
ALT00000261,TXN000111861,ACCT100004286,R004_SIGNAL,81,2022-11-24 15:16:11.739119,1
ALT00000262,TXN000111862,ACCT100006074,R004_SIGNAL,81,2022-10-13 01:43:37.274080,1
ALT00000263,TXN000111863,ACCT100005405,R005_SIGNAL,91,2022-07-29 13:07:38.060167,1
ALT00000264,TXN000111864,ACCT100007551,R005_SIGNAL,80,2022-06-03 06:15:37.566304,1
ALT00000265,TXN000111865,ACCT100000555,R002_SIGNAL,80,2024-02-04 09:23:36.758256,1
ALT00000266,TXN000111866,ACCT100001114,R003_SIGNAL,82,2023-10-07 05:33:19.226925,1
