ACCOUNT_ID,customer_id,account_type,account_currency,account_status,account_balance_current,avg_balance_30d,avg_balance_90d,account_age_days,customer_account_age_days,customer_kyc_age_days,customer_age_years,customer_address_change_count_12m,customer_phone_change_count_12m,account_txn_velocity_1h,account_txn_velocity_24h,account_pass_through_ratio_1d,account_pass_through_ratio_7d,account_pass_through_ratio_30d,account_incoming_txn_spike_score,account_outgoing_txn_spike_score,account_dormancy_days,account_dormant_reactivation_flag,account_unique_beneficiary_count_7d,account_unique_beneficiary_count_30d,upi_transaction_velocity_score,upi_transaction_entropy_score,upi_failed_transaction_ratio,upi_reversal_count_7d,upi_first_transaction_delay_minutes,upi_new_account_high_velocity_flag,upi_round_amount_transaction_ratio,upi_unique_counterparty_count_7d,upi_new_counterparty_ratio,upi_counterparty_growth_rate,upi_night_transaction_ratio,upi_ip_change_count_30d,upi_geo_location_variance,upi_device_change_count_30d,upi_pass_through_ratio_24h,upi_pass_through_ratio_7d,upi_burst_transaction_flag,upi_new_device_transfer_flag,atm_cash_withdrawal_count_24h,atm_cash_withdrawal_count_7d,atm_cash_withdrawal_amount_24h,atm_cash_withdrawal_amount_7d,atm_cash_deposit_count_24h,atm_cash_deposit_count_7d,atm_cash_deposit_amount_24h,atm_cash_deposit_amount_7d,atm_round_amount_deposit_ratio,atm_deposit_to_withdrawal_ratio,atm_night_withdrawal_ratio,atm_pin_retry_count_24h,atm_failed_transaction_count_7d,atm_terminal_usage_count_24h,atm_terminal_usage_count_7d,atm_geo_distance_variance,atm_multi_city_withdrawal_flag,atm_withdrawal_velocity_score,atm_rapid_withdrawal_flag,atm_new_account_cash_activity_flag,branch_cash_deposit_count_7d,branch_cash_deposit_count_30d,branch_cash_deposit_amount_7d,branch_cash_deposit_amount_30d,branch_structured_cash_deposit_flag,branch_multiple_same_day_deposits_flag,branch_deposit_round_amount_ratio,branch_cash_deposit_frequency_score,branch_deposit_spike_flag,branch_deposit_to_transfer_delay_minutes,branch_deposit_to_upi_transfer_ratio,branch_deposit_to_imps_transfer_ratio,branch_deposit_to_neft_transfer_ratio,branch_deposit_to_rtgs_transfer_ratio,branch_cash_pass_through_ratio,branch_deposit_count_new_account_7d,branch_deposit_amount_new_account_7d,mule_flag,mule_event_date,target_source_type,target_reason_summary,event_strength_score,mule_typology,typology_confidence,typology_reason_summary
ACC00000011,CUST0004769,SALARY,INR,ACTIVE,15589.06,15727.52,14762.51,1994,1993.0,851.0,37.18,0.0,0.0,0.0,0.0,0.0,73.85306194794836,39.754112544909546,0.0,0.0,5.0,0.0,2.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0,0.0,2356352.0,0.0,0.2333333333333333,1.0,0.05,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000012,CUST0005007,SALARY,INR,ACTIVE,36946.55,34623.18,30585.79,3415,3414.0,3020.0,47.95,0.0,0.0,0.0,0.0,0.0,0.0,34.833322163393866,0.0,0.0,2.0,0.0,0.0,1.0,-0.1638873139879005,0.0,0.0,0.0,4411227.0,0.0,0.21875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000013,CUST0005314,SAVINGS,GBP,ACTIVE,19220.35,15676.0,16381.88,3337,3336.0,2081.0,40.44,0.0,0.0,0.0,0.0,0.0,0.0,2.644843427331898,0.0,0.0,5.0,0.0,1.0,4.0,-0.0158990409379026,-1.4428232973175177e-12,0.0277777777777777,0.0,4311918.0,0.0,0.1944444444444444,1.0,0.04,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000014,CUST0002259,WALLET,GBP,ACTIVE,20598.58,22177.83,17916.85,2973,2972.0,744.0,39.11,0.0,0.0,0.0,0.0,0.0,0.0,0.8386486781548763,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0588235294117647,0.0,3768081.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,-0.2489765297862206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000015,CUST0001613,CURRENT,USD,ACTIVE,14004.53,12128.14,9843.87,1370,1369.0,1282.0,18.19,0.0,0.0,0.0,0.0,0.0,0.0,1462.0094,0.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1459610.0,0.0,0.34375,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000016,CUST0006665,SAVINGS,INR,ACTIVE,110616.53,119608.63,103703.11,1740,1739.0,117.0,56.74,1.0,1.0,0.0,0.0,0.0,0.0,1.0266281783577973,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1982172.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000017,CUST0004594,CURRENT,INR,ACTIVE,9140.67,7738.51,6854.98,1096,1095.0,2630.0,35.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.027027027027027,0.0,1062200.0,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000018,CUST0001639,CURRENT,INR,ACTIVE,9060.88,9292.4,8678.41,3511,3510.0,419.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,19.036040921085927,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4533868.0,0.0,0.1851851851851851,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.2489765297862206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000019,CUST0007972,SAVINGS,INR,ACTIVE,280742.25,259665.04,207180.37,1885,1884.0,2528.0,33.98,0.0,0.0,0.0,0.0,0.0,0.0,0.9565222381855156,0.0,0.0,1.0,0.0,1.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0526315789473684,0.0,2198144.0,0.0,0.1578947368421052,1.0,0.0384615384615384,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000020,CUST0003453,SAVINGS,INR,ACTIVE,71212.03,60192.26,67720.92,2537,2536.0,172.0,48.9,1.0,1.0,0.0,0.0,0.0,0.0,2.8034334801264182,0.0,0.0,3.0,0.0,2.0,3.0,-0.1638873139879005,-1.4428232973175177e-12,0.0333333333333333,0.0,3130468.0,0.0,0.3,1.0,0.0454545454545454,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-0.2489765297862206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000021,CUST0006798,SAVINGS,INR,ACTIVE,1258.74,1324.25,1234.9,1565,1564.0,1091.0,35.42,0.0,0.0,0.0,1.0,0.0,0.0,9.897909153043251,2.5,0.0,-1.0,0.0,2.0,4.0,-0.0158990409379026,0.9999999999971146,0.0526315789473684,0.0,1744475.0,0.0,0.2368421052631578,3.0,0.0909090909090909,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000022,CUST0004234,SALARY,INR,ACTIVE,11177.85,10929.13,10987.81,2854,2853.0,493.0,58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.3070749454203211,0.0,1.6666666666666667,-1.0,0.0,2.0,4.0,-0.0158990409379026,0.9999999999971146,0.0263157894736842,0.0,3597794.0,0.0,0.2368421052631578,3.0,0.0869565217391304,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000023,CUST0000538,SAVINGS,INR,ACTIVE,2503.92,2082.0,1812.4,3253,3252.0,2462.0,27.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.032258064516129,0.0,4161209.0,0.0,0.2258064516129032,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000024,CUST0006042,NRO,EUR,ACTIVE,7038.65,6767.58,5485.64,2646,2645.0,2351.0,45.73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0263157894736842,0.0,3289806.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000025,CUST0007296,NRO,INR,ACTIVE,509.68,471.51,481.33,1807,1806.0,1497.0,27.45,0.0,0.0,0.0,1.0,0.0,36.039586644765095,1.247041927637769,0.0,0.0,0.0,0.0,2.0,6.0,-0.0158990409379026,0.9999999999971146,0.0,0.0,2091524.0,0.0,0.1212121212121212,2.0,0.0909090909090909,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-0.2489765297862206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000026,CUST0007016,CURRENT,INR,ACTIVE,18687.54,18197.97,18133.49,1139,1138.0,2242.0,36.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0,1130314.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000027,CUST0000419,OD,INR,ACTIVE,5595.23,4681.54,4876.49,1696,1695.0,1021.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928004.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000028,CUST0000957,WALLET,USD,ACTIVE,23668.17,25068.08,21503.21,3719,3718.0,0.0,48.8,1.0,2.0,0.0,0.0,0.0,0.0313995,0.9837210023200528,0.0,0.0,4.0,0.0,1.0,3.0,-0.0158990409379026,-1.4428232973175177e-12,0.0,0.0,4850626.0,0.0,0.3421052631578947,1.0,0.037037037037037,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000029,CUST0001294,NRE,INR,ACTIVE,3133.34,2949.2,2737.05,2102,2101.0,836.0,58.14,0.0,0.0,0.0,0.0,0.0,0.0,0.9072570950680234,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2529339.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000030,CUST0000358,SAVINGS,INR,ACTIVE,24330.7,25529.56,23437.46,2267,2266.0,926.0,22.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0833333333333333,0.0,2757408.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
ACC00000031,CUST0002083,CURRENT,INR,FROZEN,13387.82,13650.49,12100.84,3741,3740.0,3653.0,58.07,0.0,0.0,0.0,0.0,0.0,0.0,0.420108207053982,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4884871.0,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
