account_id,customer_id,account_open_date,customer_type,risk_rating,occupation,expected_turnover,is_mule
ACC100063,CUST100063,2022-08-01 23:29:38.055110,individual,LOW,SELF_EMP,12923,False
ACC100064,CUST100064,2022-12-16 23:29:38.055110,individual,LOW,SELF_EMP,18880,False
ACC100065,CUST100065,2024-09-20 23:29:38.055110,individual,HIGH,SALARIED,15234,True
ACC100066,CUST100066,2024-11-11 23:29:38.055110,individual,LOW,SALARIED,51141,False
ACC100067,CUST100067,2023-02-11 23:29:38.055110,individual,LOW,SELF_EMP,9272,False
ACC100068,CUST100068,2021-08-15 23:29:38.056116,business,LOW,UNKNOWN,25281,False
ACC100069,CUST100069,2023-12-26 23:29:38.056116,individual,LOW,UNKNOWN,25320,False
ACC100070,CUST100070,2024-03-21 23:29:38.056116,individual,LOW,SELF_EMP,15862,False
ACC100071,CUST100071,2021-10-13 23:29:38.056116,individual,LOW,STUDENT,14920,False
ACC100072,CUST100072,2023-12-30 23:29:38.056116,individual,LOW,STUDENT,27088,False
ACC100073,CUST100073,2024-01-28 23:29:38.056116,individual,LOW,SALARIED,43089,False
ACC100074,CUST100074,2023-04-21 23:29:38.056116,individual,HIGH,SELF_EMP,46685,True
ACC100075,CUST100075,2022-05-22 23:29:38.056116,business,LOW,SELF_EMP,22857,False
ACC100076,CUST100076,2025-10-16 23:29:38.056621,individual,LOW,SALARIED,11473,False
ACC100077,CUST100077,2021-05-21 23:29:38.056621,individual,LOW,UNKNOWN,30786,False
ACC100078,CUST100078,2024-03-24 23:29:38.056621,individual,LOW,UNKNOWN,17126,False
ACC100079,CUST100079,2023-01-29 23:29:38.056621,business,LOW,SELF_EMP,37147,False
ACC100080,CUST100080,2024-05-20 23:29:38.056621,business,LOW,STUDENT,33714,False
ACC100081,CUST100081,2022-03-27 23:29:38.056621,individual,LOW,SELF_EMP,16152,False
ACC100082,CUST100082,2021-11-27 23:29:38.056621,individual,LOW,SELF_EMP,13546,False
ACC100083,CUST100083,2022-07-18 23:29:38.056621,individual,LOW,STUDENT,22919,False
ACC100084,CUST100084,2025-10-16 23:29:38.056621,individual,LOW,SELF_EMP,21938,False
ACC100085,CUST100085,2022-07-09 23:29:38.056621,individual,LOW,UNKNOWN,46164,False
ACC100086,CUST100086,2023-10-15 23:29:38.056621,individual,LOW,UNKNOWN,15909,False
ACC100087,CUST100087,2023-07-30 23:29:38.056621,individual,LOW,STUDENT,17265,False
ACC100088,CUST100088,2022-01-31 23:29:38.056621,individual,HIGH,UNKNOWN,28295,True
ACC100089,CUST100089,2022-12-20 23:29:38.056621,individual,LOW,STUDENT,13510,False
ACC100090,CUST100090,2021-11-22 23:29:38.056621,individual,HIGH,STUDENT,22169,True
ACC100091,CUST100091,2025-08-16 23:29:38.056621,individual,LOW,SELF_EMP,14216,False
ACC100092,CUST100092,2022-02-22 23:29:38.057628,individual,HIGH,STUDENT,15341,True
ACC100093,CUST100093,2024-06-26 23:29:38.057628,business,LOW,UNKNOWN,74378,False
ACC100094,CUST100094,2022-06-30 23:29:38.057628,individual,LOW,UNKNOWN,32254,False
ACC100095,CUST100095,2024-12-29 23:29:38.057628,individual,LOW,SALARIED,30302,False
ACC100096,CUST100096,2023-11-06 23:29:38.057628,individual,LOW,UNKNOWN,12025,False
ACC100097,CUST100097,2023-04-02 23:29:38.057628,individual,LOW,SELF_EMP,9830,False
ACC100098,CUST100098,2025-04-21 23:29:38.057628,individual,LOW,STUDENT,35776,False
ACC100099,CUST100099,2022-11-09 23:29:38.057628,individual,LOW,UNKNOWN,31583,False
ACC100100,CUST100100,2025-09-27 23:29:38.058132,individual,LOW,SALARIED,32160,False
ACC100101,CUST100101,2026-01-24 23:29:38.058132,individual,LOW,SALARIED,13889,False
ACC100102,CUST100102,2021-08-09 23:29:38.058132,individual,LOW,STUDENT,19256,False
ACC100103,CUST100103,2023-05-02 23:29:38.058132,individual,LOW,UNKNOWN,17677,False
ACC100104,CUST100104,2022-05-06 23:29:38.058132,business,LOW,UNKNOWN,18682,False
ACC100105,CUST100105,2022-02-10 23:29:38.058132,individual,LOW,SALARIED,17411,False
ACC100106,CUST100106,2022-09-19 23:29:38.058132,individual,LOW,UNKNOWN,19634,False
ACC100107,CUST100107,2026-01-10 23:29:38.058132,individual,LOW,UNKNOWN,30153,False
ACC100108,CUST100108,2024-10-16 23:29:38.058132,individual,LOW,STUDENT,19255,False
ACC100109,CUST100109,2024-02-12 23:29:38.058132,individual,LOW,UNKNOWN,12666,False
ACC100110,CUST100110,2023-05-23 23:29:38.058132,individual,LOW,UNKNOWN,44103,False
ACC100111,CUST100111,2022-01-14 23:29:38.058132,individual,HIGH,SALARIED,5827,True
ACC100112,CUST100112,2024-11-18 23:29:38.058132,business,LOW,SELF_EMP,40582,False
ACC100113,CUST100113,2022-02-23 23:29:38.058132,individual,LOW,UNKNOWN,7426,False
ACC100114,CUST100114,2024-01-31 23:29:38.058132,individual,LOW,STUDENT,12829,False
ACC100115,CUST100115,2022-04-01 23:29:38.058132,individual,LOW,SALARIED,29970,False
ACC100116,CUST100116,2022-12-19 23:29:38.059139,individual,LOW,SALARIED,17513,False
ACC100117,CUST100117,2021-12-03 23:29:38.059139,business,LOW,STUDENT,37959,False
ACC100118,CUST100118,2022-09-20 23:29:38.059139,individual,LOW,SELF_EMP,21329,False
ACC100119,CUST100119,2026-01-31 23:29:38.059139,individual,LOW,UNKNOWN,11255,False
ACC100120,CUST100120,2023-07-16 23:29:38.059139,business,LOW,UNKNOWN,24292,False
ACC100121,CUST100121,2026-01-08 23:29:38.059139,individual,LOW,STUDENT,13504,False
ACC100122,CUST100122,2021-12-27 23:29:38.059139,individual,LOW,SALARIED,20352,False
ACC100123,CUST100123,2022-06-29 23:29:38.059645,individual,LOW,STUDENT,32968,False
ACC100124,CUST100124,2025-12-11 23:29:38.059645,individual,LOW,SELF_EMP,28868,False
ACC100125,CUST100125,2021-04-08 23:29:38.059645,individual,LOW,SALARIED,23540,False
ACC100126,CUST100126,2022-09-12 23:29:38.059645,individual,LOW,SELF_EMP,24098,False
ACC100127,CUST100127,2022-02-06 23:29:38.059645,individual,LOW,SELF_EMP,18630,False
ACC100128,CUST100128,2022-06-03 23:29:38.059645,business,LOW,SALARIED,11388,False
ACC100129,CUST100129,2024-02-25 23:29:38.059645,individual,LOW,SELF_EMP,19670,False
ACC100130,CUST100130,2024-12-30 23:29:38.059645,individual,LOW,SALARIED,23196,False
ACC100131,CUST100131,2023-09-05 23:29:38.059645,individual,HIGH,SELF_EMP,16861,True
ACC100132,CUST100132,2024-05-30 23:29:38.059645,individual,LOW,SELF_EMP,43404,False
ACC100133,CUST100133,2022-10-28 23:29:38.059645,business,HIGH,SALARIED,5674,True
ACC100134,CUST100134,2026-01-19 23:29:38.059645,individual,LOW,SELF_EMP,36898,False
ACC100135,CUST100135,2022-02-25 23:29:38.059645,individual,HIGH,SELF_EMP,10479,True
ACC100136,CUST100136,2025-03-01 23:29:38.059645,individual,LOW,UNKNOWN,19280,False
ACC100137,CUST100137,2025-04-17 23:29:38.059645,individual,LOW,SELF_EMP,15799,False
ACC100138,CUST100138,2022-06-19 23:29:38.059645,individual,HIGH,STUDENT,36031,True
ACC100139,CUST100139,2021-09-19 23:29:38.060651,individual,LOW,SELF_EMP,19791,False
ACC100140,CUST100140,2021-03-05 23:29:38.060651,individual,LOW,STUDENT,16015,False
ACC100141,CUST100141,2021-12-13 23:29:38.060651,individual,LOW,SALARIED,39915,False
ACC100142,CUST100142,2023-06-28 23:29:38.060651,individual,LOW,SALARIED,20608,False
ACC100143,CUST100143,2022-03-18 23:29:38.060651,business,LOW,UNKNOWN,38670,False
ACC100144,CUST100144,2022-05-29 23:29:38.060651,individual,LOW,SALARIED,34674,False
ACC100145,CUST100145,2025-11-04 23:29:38.060651,business,LOW,STUDENT,22425,False
ACC100146,CUST100146,2021-03-31 23:29:38.060651,individual,LOW,SALARIED,15921,False
ACC100147,CUST100147,2021-10-13 23:29:38.061156,individual,HIGH,SALARIED,28008,True
ACC100148,CUST100148,2026-01-18 23:29:38.061156,individual,LOW,SELF_EMP,24234,False
ACC100149,CUST100149,2022-08-27 23:29:38.061156,individual,HIGH,STUDENT,22543,True
ACC100150,CUST100150,2023-03-31 23:29:38.061156,individual,LOW,STUDENT,20066,False
ACC100151,CUST100151,2024-03-02 23:29:38.061156,business,HIGH,STUDENT,17991,True
ACC100152,CUST100152,2023-07-03 23:29:38.061156,individual,LOW,SALARIED,20629,False
ACC100153,CUST100153,2025-08-31 23:29:38.061156,individual,LOW,STUDENT,7961,False
ACC100154,CUST100154,2023-09-19 23:29:38.061156,individual,LOW,SALARIED,30488,False
ACC100155,CUST100155,2023-07-16 23:29:38.061156,individual,LOW,SALARIED,20960,False
ACC100156,CUST100156,2023-05-26 23:29:38.061156,individual,LOW,UNKNOWN,11993,False
ACC100157,CUST100157,2025-02-20 23:29:38.061156,individual,LOW,UNKNOWN,23792,False
ACC100158,CUST100158,2024-09-01 23:29:38.061156,individual,LOW,SALARIED,10796,False
ACC100159,CUST100159,2021-04-30 23:29:38.061156,individual,LOW,SALARIED,29824,False
ACC100160,CUST100160,2023-11-26 23:29:38.061156,individual,LOW,SELF_EMP,36745,False
ACC100161,CUST100161,2022-01-09 23:29:38.061156,individual,LOW,UNKNOWN,12748,False
ACC100162,CUST100162,2023-01-04 23:29:38.061156,individual,LOW,STUDENT,17403,False
ACC100163,CUST100163,2022-06-16 23:29:38.062163,individual,LOW,UNKNOWN,37705,False
ACC100164,CUST100164,2021-05-27 23:29:38.062163,individual,LOW,UNKNOWN,26528,False
ACC100165,CUST100165,2024-12-21 23:29:38.062163,individual,LOW,UNKNOWN,20212,False
ACC100166,CUST100166,2022-08-17 23:29:38.062163,individual,HIGH,STUDENT,18974,True
ACC100167,CUST100167,2025-04-03 23:29:38.062163,individual,LOW,SALARIED,64979,False
ACC100168,CUST100168,2025-12-31 23:29:38.062163,business,LOW,UNKNOWN,12532,False
ACC100169,CUST100169,2025-08-29 23:29:38.062163,business,LOW,UNKNOWN,29206,False
ACC100170,CUST100170,2022-12-21 23:29:38.062163,business,LOW,SALARIED,10087,False
ACC100171,CUST100171,2023-08-08 23:29:38.062667,individual,LOW,SALARIED,59926,False
ACC100172,CUST100172,2023-05-06 23:29:38.062667,business,LOW,SELF_EMP,25897,False
ACC100173,CUST100173,2025-09-27 23:29:38.062667,individual,LOW,UNKNOWN,19039,False
ACC100174,CUST100174,2025-04-09 23:29:38.062667,individual,LOW,SALARIED,17433,False
ACC100175,CUST100175,2021-02-28 23:29:38.062667,individual,LOW,STUDENT,26193,False
ACC100176,CUST100176,2022-12-31 23:29:38.062667,individual,LOW,STUDENT,11518,False
ACC100177,CUST100177,2022-04-15 23:29:38.062667,individual,LOW,SELF_EMP,10339,False
ACC100178,CUST100178,2024-10-07 23:29:38.062667,individual,LOW,UNKNOWN,11864,False
ACC100179,CUST100179,2022-09-13 23:29:38.062667,business,LOW,SALARIED,30170,False
ACC100180,CUST100180,2022-06-27 23:29:38.062667,individual,LOW,STUDENT,7625,False
ACC100181,CUST100181,2023-04-09 23:29:38.062667,individual,LOW,SELF_EMP,25501,False
ACC100182,CUST100182,2022-09-11 23:29:38.062667,individual,LOW,UNKNOWN,34031,False
ACC100183,CUST100183,2024-06-26 23:29:38.062667,individual,LOW,STUDENT,28221,False
ACC100184,CUST100184,2022-09-09 23:29:38.062667,individual,LOW,SELF_EMP,33509,False
ACC100185,CUST100185,2024-06-29 23:29:38.062667,business,LOW,SALARIED,54594,False
ACC100186,CUST100186,2025-01-03 23:29:38.062667,business,LOW,STUDENT,34569,False
ACC100187,CUST100187,2023-02-11 23:29:38.063674,individual,LOW,UNKNOWN,20549,False
ACC100188,CUST100188,2022-07-24 23:29:38.063674,individual,LOW,STUDENT,11538,False
ACC100189,CUST100189,2022-01-22 23:29:38.063674,business,LOW,SALARIED,16309,False
ACC100190,CUST100190,2022-05-26 23:29:38.063674,individual,LOW,SALARIED,44008,False
ACC100191,CUST100191,2025-01-01 23:29:38.063674,individual,HIGH,SELF_EMP,29200,True
ACC100192,CUST100192,2021-09-30 23:29:38.063674,individual,LOW,SALARIED,9447,False
ACC100193,CUST100193,2024-06-25 23:29:38.063674,individual,HIGH,UNKNOWN,20969,True
ACC100194,CUST100194,2022-08-19 23:29:38.063674,individual,LOW,UNKNOWN,16471,False
ACC100195,CUST100195,2022-10-27 23:29:38.064179,individual,LOW,STUDENT,14076,False
ACC100196,CUST100196,2021-07-23 23:29:38.064179,individual,LOW,STUDENT,12968,False
ACC100197,CUST100197,2021-08-13 23:29:38.064179,individual,LOW,SALARIED,27966,False
ACC100198,CUST100198,2022-09-03 23:29:38.064179,individual,HIGH,SALARIED,28629,True
ACC100199,CUST100199,2022-11-08 23:29:38.064179,individual,LOW,SALARIED,15253,False
ACC100200,CUST100200,2021-10-10 23:29:38.064179,business,HIGH,SALARIED,27099,True
ACC100201,CUST100201,2025-04-22 23:29:38.064179,individual,HIGH,STUDENT,14970,True
ACC100202,CUST100202,2024-07-23 23:29:38.064179,individual,LOW,UNKNOWN,16427,False
ACC100203,CUST100203,2021-10-02 23:29:38.064179,business,LOW,SELF_EMP,19954,False
ACC100204,CUST100204,2024-04-13 23:29:38.064179,individual,LOW,STUDENT,8303,False
ACC100205,CUST100205,2023-04-05 23:29:38.064179,individual,HIGH,STUDENT,16083,True
ACC100206,CUST100206,2025-04-24 23:29:38.064179,business,LOW,UNKNOWN,15113,False
ACC100207,CUST100207,2021-10-14 23:29:38.064179,individual,LOW,SELF_EMP,32684,False
ACC100208,CUST100208,2022-10-19 23:29:38.064179,business,LOW,UNKNOWN,8794,False
ACC100209,CUST100209,2025-02-27 23:29:38.064179,individual,LOW,SALARIED,28395,False
ACC100210,CUST100210,2022-01-10 23:29:38.064179,individual,HIGH,SELF_EMP,26543,True
ACC100211,CUST100211,2023-09-29 23:29:38.065185,individual,HIGH,STUDENT,59932,True
ACC100212,CUST100212,2025-11-01 23:29:38.065185,individual,LOW,SALARIED,8229,False
ACC100213,CUST100213,2022-12-21 23:29:38.065185,individual,LOW,SALARIED,19749,False
ACC100214,CUST100214,2024-08-10 23:29:38.065695,individual,LOW,SALARIED,24857,False
ACC100215,CUST100215,2023-02-16 23:29:38.065695,individual,HIGH,SALARIED,13564,True
ACC100216,CUST100216,2022-05-23 23:29:38.065695,individual,LOW,SALARIED,16616,False
ACC100217,CUST100217,2025-10-26 23:29:38.065695,individual,LOW,SALARIED,17935,False
ACC100218,CUST100218,2024-09-03 23:29:38.066201,business,LOW,SELF_EMP,11120,False
ACC100219,CUST100219,2024-12-26 23:29:38.066201,individual,HIGH,SALARIED,19685,True
ACC100220,CUST100220,2025-08-15 23:29:38.066201,individual,LOW,SELF_EMP,12122,False
ACC100221,CUST100221,2025-08-05 23:29:38.066201,individual,LOW,SELF_EMP,28464,False
ACC100222,CUST100222,2026-01-14 23:29:38.066201,individual,LOW,UNKNOWN,14222,False
ACC100223,CUST100223,2021-10-04 23:29:38.066201,individual,LOW,UNKNOWN,7057,False
ACC100224,CUST100224,2023-07-05 23:29:38.066201,individual,LOW,SELF_EMP,13706,False
ACC100225,CUST100225,2025-11-09 23:29:38.066201,business,LOW,SALARIED,7473,False
ACC100226,CUST100226,2025-02-03 23:29:38.066201,individual,LOW,UNKNOWN,14746,False
ACC100227,CUST100227,2023-12-24 23:29:38.066201,individual,LOW,SALARIED,42167,False
ACC100228,CUST100228,2023-06-18 23:29:38.066201,individual,LOW,SALARIED,29838,False
ACC100229,CUST100229,2023-12-30 23:29:38.066201,individual,LOW,UNKNOWN,42428,False
ACC100230,CUST100230,2023-08-27 23:29:38.066201,individual,HIGH,UNKNOWN,31981,True
ACC100231,CUST100231,2023-10-12 23:29:38.066201,individual,LOW,UNKNOWN,29635,False
ACC100232,CUST100232,2021-07-25 23:29:38.066201,individual,LOW,SALARIED,33868,False
ACC100233,CUST100233,2025-04-08 23:29:38.067208,business,LOW,STUDENT,16456,False
ACC100234,CUST100234,2025-04-27 23:29:38.067208,individual,LOW,STUDENT,26898,False
ACC100235,CUST100235,2024-03-10 23:29:38.067208,individual,LOW,UNKNOWN,15903,False
ACC100236,CUST100236,2025-02-07 23:29:38.067208,individual,HIGH,SALARIED,16136,True
ACC100237,CUST100237,2023-09-14 23:29:38.067208,individual,LOW,STUDENT,27974,False
ACC100238,CUST100238,2024-06-16 23:29:38.067208,individual,LOW,UNKNOWN,25310,False
ACC100239,CUST100239,2023-03-28 23:29:38.067208,individual,LOW,SALARIED,45588,False
ACC100240,CUST100240,2024-08-17 23:29:38.067208,individual,LOW,SALARIED,52233,False
ACC100241,CUST100241,2021-03-06 23:29:38.067208,individual,LOW,SALARIED,18037,False
ACC100242,CUST100242,2023-02-21 23:29:38.067208,individual,LOW,SALARIED,23464,False
ACC100243,CUST100243,2023-08-04 23:29:38.067208,individual,LOW,SALARIED,15615,False
ACC100244,CUST100244,2026-01-16 23:29:38.067208,business,LOW,SALARIED,29046,False
ACC100245,CUST100245,2024-10-16 23:29:38.067208,individual,HIGH,SALARIED,17207,True
ACC100246,CUST100246,2025-11-18 23:29:38.067208,individual,LOW,UNKNOWN,19668,False
ACC100247,CUST100247,2021-07-31 23:29:38.067208,individual,LOW,UNKNOWN,13633,False
ACC100248,CUST100248,2023-02-02 23:29:38.067208,individual,HIGH,SELF_EMP,28475,True
ACC100249,CUST100249,2023-12-05 23:29:38.067208,business,LOW,UNKNOWN,16876,False
ACC100250,CUST100250,2025-05-10 23:29:38.067208,individual,LOW,UNKNOWN,13670,False
ACC100251,CUST100251,2021-08-06 23:29:38.067208,business,HIGH,SELF_EMP,13673,True
ACC100252,CUST100252,2024-04-03 23:29:38.067208,individual,LOW,UNKNOWN,20426,False
ACC100253,CUST100253,2023-08-23 23:29:38.067208,individual,LOW,STUDENT,19565,False
ACC100254,CUST100254,2023-10-05 23:29:38.067208,individual,HIGH,STUDENT,11309,True
ACC100255,CUST100255,2024-06-16 23:29:38.067208,individual,LOW,UNKNOWN,73673,False
ACC100256,CUST100256,2024-06-04 23:29:38.067208,individual,HIGH,UNKNOWN,11283,True
ACC100257,CUST100257,2024-05-08 23:29:38.067208,individual,HIGH,UNKNOWN,29021,True
ACC100258,CUST100258,2025-01-09 23:29:38.068797,individual,LOW,UNKNOWN,16086,False
ACC100259,CUST100259,2022-04-01 23:29:38.068797,individual,LOW,SELF_EMP,29769,False
ACC100260,CUST100260,2023-04-29 23:29:38.068797,individual,LOW,SELF_EMP,22963,False
ACC100261,CUST100261,2021-09-08 23:29:38.068797,individual,LOW,UNKNOWN,34222,False
ACC100262,CUST100262,2023-01-03 23:29:38.068797,individual,LOW,UNKNOWN,32295,False
ACC100263,CUST100263,2025-04-27 23:29:38.068797,individual,LOW,SELF_EMP,20012,False
ACC100264,CUST100264,2023-05-21 23:29:38.068797,individual,LOW,STUDENT,16724,False
ACC100265,CUST100265,2022-12-09 23:29:38.068797,individual,LOW,SALARIED,35317,False
ACC100266,CUST100266,2021-10-27 23:29:38.068797,business,LOW,UNKNOWN,14314,False
ACC100267,CUST100267,2021-12-26 23:29:38.068797,individual,LOW,STUDENT,26417,False
ACC100268,CUST100268,2023-05-29 23:29:38.068797,individual,LOW,SALARIED,12647,False
ACC100269,CUST100269,2022-02-24 23:29:38.068797,individual,LOW,SALARIED,14473,False
ACC100270,CUST100270,2023-10-21 23:29:38.068797,individual,LOW,STUDENT,10309,False
ACC100271,CUST100271,2023-07-14 23:29:38.068797,individual,LOW,UNKNOWN,41024,False
ACC100272,CUST100272,2025-09-14 23:29:38.068797,individual,LOW,SALARIED,43823,False
ACC100273,CUST100273,2022-03-12 23:29:38.068797,business,LOW,UNKNOWN,36544,False
ACC100274,CUST100274,2025-09-15 23:29:38.068797,business,LOW,UNKNOWN,10092,False
ACC100275,CUST100275,2024-05-31 23:29:38.068797,individual,HIGH,STUDENT,10785,True
ACC100276,CUST100276,2021-07-20 23:29:38.068797,individual,LOW,SELF_EMP,36373,False
ACC100277,CUST100277,2025-04-24 23:29:38.068797,individual,HIGH,UNKNOWN,61600,True
ACC100278,CUST100278,2025-11-28 23:29:38.068797,individual,LOW,SELF_EMP,30570,False
ACC100279,CUST100279,2023-02-14 23:29:38.068797,individual,LOW,STUDENT,47280,False
ACC100280,CUST100280,2023-04-28 23:29:38.068797,individual,LOW,STUDENT,26206,False
ACC100281,CUST100281,2022-06-20 23:29:38.068797,individual,HIGH,STUDENT,39409,True
ACC100282,CUST100282,2024-08-20 23:29:38.068797,individual,LOW,STUDENT,18499,False
ACC100283,CUST100283,2024-07-05 23:29:38.070336,individual,HIGH,SALARIED,18443,True
ACC100284,CUST100284,2025-04-27 23:29:38.070336,individual,LOW,SELF_EMP,23227,False
ACC100285,CUST100285,2022-06-30 23:29:38.070336,individual,LOW,STUDENT,17417,False
ACC100286,CUST100286,2025-02-28 23:29:38.070336,individual,LOW,STUDENT,18871,False
ACC100287,CUST100287,2023-11-10 23:29:38.070336,individual,LOW,UNKNOWN,15122,False
ACC100288,CUST100288,2026-02-03 23:29:38.070336,individual,LOW,SELF_EMP,18041,False
ACC100289,CUST100289,2022-06-20 23:29:38.070336,individual,LOW,STUDENT,15891,False
ACC100290,CUST100290,2022-05-28 23:29:38.070336,individual,LOW,SELF_EMP,49321,False
ACC100291,CUST100291,2025-03-09 23:29:38.070336,business,LOW,SELF_EMP,34489,False
ACC100292,CUST100292,2024-02-22 23:29:38.070336,individual,LOW,STUDENT,12451,False
ACC100293,CUST100293,2022-05-02 23:29:38.070336,individual,LOW,SALARIED,22101,False
ACC100294,CUST100294,2022-07-12 23:29:38.070336,individual,LOW,STUDENT,8269,False
ACC100295,CUST100295,2025-01-25 23:29:38.070336,individual,LOW,SALARIED,31771,False
