ALERT_ID,TRANSACTION_ID,ACCOUNT_ID,RULE_TRIGGERED,RISK_SCORE,ALERT_DATE,IS_STR,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,CURRENT_BALANCE,PEP_STATUS,INCOME_BRACKET,KYC_RISK,ONBOARDING_CHANNEL,total_txn_volume,txn_count,avg_txn_size,unique_channels
ALT0000032,TXN00492191,ACCT100062893,ML_PATTERN_DETECTED,54,2023-05-21 02:28:58.946628,0,CUST0003348,SALARY,ACTIVE,1087.56,False,0-50k,LOW,WEB,30421.78,5,6084.356,2
ALT0000033,TXN00493669,ACCT100073055,ML_PATTERN_DETECTED,54,2023-09-24 07:19:48.188200,0,CUST0023368,SAVINGS,ACTIVE,65565.48,True,,LOW,THIRD_PARTY,468537.83,3,156179.27666666667,1
ALT0000034,TXN00489600,ACCT100042035,ML_PATTERN_DETECTED,79,2023-09-27 12:03:07.391830,0,CUST0066803,SALARY,ACTIVE,9042.49,False,100k-250k,LOW,THIRD_PARTY,74045.49,3,24681.83,3
ALT0000035,TXN00499319,ACCT100087838,ML_PATTERN_DETECTED,63,2023-08-10 12:04:12.707721,0,CUST0022117,CURRENT,ACTIVE,40587.31,False,50k-100k,LOW,THIRD_PARTY,251068.05,3,83689.34999999999,3
ALT0000036,TXN00479996,ACCT100004811,ML_PATTERN_DETECTED,81,2024-09-08 05:06:24.180353,0,CUST0002596, CURRENT ,ACTIVE,79500.13,False,250k+,MEDIUM,THIRD_PARTY,352597.13,2,176298.565,2
ALT0000037,TXN00495711,ACCT100082324,ML_PATTERN_DETECTED,68,2024-08-16 10:03:15.706400,0,CUST0073315,SALARY,ACTIVE,180117.53,False,250k+,MEDIUM,THIRD_PARTY,29310.35,8,3663.79375,4
ALT0000038,TXN00494356,ACCT100021790,ML_PATTERN_DETECTED,54,2024-07-12 20:29:04.442620,1,CUST0018181, SALARY ,ACTIVE,21596.7,False,50k-100k,LOW,THIRD_PARTY,336901.32,5,67380.264,3
ALT0000039,TXN00492658,ACCT100074699,ML_PATTERN_DETECTED,52,2023-08-25 09:35:05.622775,0,CUST0032853,NRE,ACTIVE,75342.69,False,,LOW,THIRD_PARTY,223314.03,8,27914.25375,4
ALT0000040,TXN00488657,ACCT100050130,ML_PATTERN_DETECTED,53,2023-05-17 12:14:12.533293,0,CUST0010859,NRE,BLOCKED,13386.55,False,250k+,HIGH,BRANCH,621266.24,5,124253.24799999999,2
ALT0000041,TXN00486781,ACCT100001015,ML_PATTERN_DETECTED,73,2024-11-17 16:42:06.165401,0,CUST0012701,SAVINGS,ACTIVE,1753.91,False,50k-100k,LOW,MOBILE_APP,22035.55,6,3672.5916666666667,4
ALT0000042,TXN00481640,ACCT100043787,ML_PATTERN_DETECTED,50,2023-05-05 21:53:20.001901,0,CUST0071485,CURRENT,ACTIVE,24055.7,False,0-50k,LOW,WEB,834160.23,14,59582.87357142857,4
ALT0000043,TXN00476095,ACCT100060372,ML_PATTERN_DETECTED,60,2023-04-11 16:18:22.663491,0,CUST0064192,CURRENT,ACTIVE,70160.29,False,,LOW,WEB,437501.32,8,54687.665,3
ALT0000044,TXN00487863,ACCT100072240,ML_PATTERN_DETECTED,71,2024-03-14 22:04:49.144500,0,CUST0064021,SALARY,ACTIVE,1429.99,False,,MEDIUM,WEB,200976.49,7,28710.92714285714,2
ALT0000045,TXN00478001,ACCT100056540,ML_PATTERN_DETECTED,54,2023-04-25 06:04:17.710361,0,CUST0030465,Nro,ACTIVE,46841.19,False,0-50k,MEDIUM,THIRD_PARTY,39199.09,5,7839.817999999999,2
ALT0000046,TXN00499086,ACCT100059892,ML_PATTERN_DETECTED,65,2023-01-22 08:55:17.178704,0,CUST0072046,NRE,ACTIVE,5305.54,False,50k-100k,LOW,WEB,496348.31,11,45122.57363636364,4
ALT0000047,TXN00494498,ACCT100033927,ML_PATTERN_DETECTED,86,2024-09-16 20:12:57.939012,0,CUST0033405,SALARY,ACTIVE,28591.23,False,0-50k,LOW,THIRD_PARTY,349684.43,4,87421.1075,3
ALT0000048,TXN00486968,ACCT100011726,ML_PATTERN_DETECTED,95,2023-11-09 09:33:25.135531,0,CUST0024744,SAVINGS,DORMANT,72912.21,False,250k+,LOW,WEB,536814.3700000001,4,134203.59250000003,3
ALT0000049,TXN00489303,ACCT100046469,ML_PATTERN_DETECTED,66,2023-07-15 01:24:56.308116,0,CUST0067778,SALARY,ACTIVE,590682.04,False,50k-100k,HIGH,BRANCH,200251.3,3,66750.43333333333,2
ALT0000050,TXN00482246,ACCT100060064,ML_PATTERN_DETECTED,67,2024-06-11 14:34:36.153001,0,CUST0059017,NRO,ACTIVE,1247.06,False,0-50k,LOW,THIRD_PARTY,143610.86,6,23935.14333333333,4
ALT0000051,TXN00487498,ACCT100038683,ML_PATTERN_DETECTED,96,2023-05-16 05:50:13.628668,1,CUST0021844, NRO ,ACTIVE,601.21,False,0-50k,LOW,THIRD_PARTY,434562.47000000003,6,72427.07833333334,4
ALT0000052,TXN00477256,ACCT100095510,ML_PATTERN_DETECTED,78,2023-02-26 16:32:35.333205,0,CUST0061699,NRE,ACTIVE,23936.66,False,250k+,HIGH,WEB,473531.64,6,78921.94,3
ALT0000053,TXN00492371,ACCT100046012,ML_PATTERN_DETECTED,96,2023-09-22 18:00:46.199596,0,CUST0003173,SALARY,ACTIVE,236023.46,False,50k-100k,LOW,BRANCH,501898.54,6,83649.75666666667,3
ALT0000054,TXN00493519,ACCT100032750,ML_PATTERN_DETECTED,79,2023-02-07 02:39:22.918208,0,CUST0026277,SALARY,ACTIVE,3802.38,False,50k-100k,LOW,BRANCH,17799.989999999998,3,5933.329999999999,2
ALT0000055,TXN00490480,ACCT100010473,ML_PATTERN_DETECTED,83,2024-06-03 05:25:57.142427,0,CUST0060054,NRO,ACTIVE,420781.2,False,250k+,HIGH,THIRD_PARTY,10051.54,2,5025.77,1
ALT0000056,TXN00488886,ACCT100001915,ML_PATTERN_DETECTED,77,2024-10-03 08:41:46.304687,0,CUST0058392,SALARY,DORMANT,12342.93,False,50k-100k,LOW,WEB,519565.13,4,129891.2825,3
ALT0000057,TXN00498468,ACCT100040977,ML_PATTERN_DETECTED,78,2024-03-23 15:57:55.492041,0,CUST0060100,SAVINGS,ACTIVE,81924.33,False,,LOW,BRANCH,198971.97,9,22107.996666666666,4
ALT0000058,TXN00484098,ACCT100059628,ML_PATTERN_DETECTED,97,2024-08-06 07:20:53.266695,0,CUST0027032,NRE,ACTIVE,74799.17,False,100k-250k,LOW,WEB,289850.37000000005,9,32205.59666666667,3
ALT0000059,TXN00492529,ACCT100062751,ML_PATTERN_DETECTED,64,2024-04-12 01:38:51.351979,0,CUST0073390,current,DORMANT,10863.19,False,0-50k,HIGH,BRANCH,825006.8400000001,6,137501.14,3
ALT0000060,TXN00493909,ACCT100065120,ML_PATTERN_DETECTED,89,2024-02-22 16:35:24.422904,1,CUST0020116,NRE,ACTIVE,29153.66,False,250k+,LOW,THIRD_PARTY,250192.22999999998,6,41698.704999999994,3
ALT0000061,TXN00480711,ACCT100090704,ML_PATTERN_DETECTED,70,2023-02-03 09:31:29.584026,1,CUST0044179,NRO,ACTIVE,7554.93,False,250k+,MEDIUM,THIRD_PARTY,31606.940000000002,8,3950.8675000000003,4
ALT0000062,TXN00491618,ACCT100097311,ML_PATTERN_DETECTED,59,2024-10-01 13:02:29.147084,0,CUST0056377,SAVINGS,DORMANT,4178.62,False,0-50k,LOW,THIRD_PARTY,455801.32,5,91160.264,3
ALT0000063,TXN00493052,ACCT100035074,ML_PATTERN_DETECTED,56,2023-03-11 23:18:33.314705,0,CUST0003170,CURRENT,ACTIVE,21821.96,False,250k+,MEDIUM,MOBILE_APP,351237.06999999995,7,50176.72428571428,4
ALT0000064,TXN00490504,ACCT100099928,ML_PATTERN_DETECTED,58,2024-04-18 05:30:54.084925,1,CUST0044032,SALARY,ACTIVE,23288.57,False,250k+,MEDIUM,MOBILE_APP,150825.11,6,25137.51833333333,2
ALT0000065,TXN00480252,ACCT100099287,ML_PATTERN_DETECTED,66,2024-03-10 01:11:10.257277,0,CUST0067897,Salary,ACTIVE,3345.12,False,50k-100k,MEDIUM,THIRD_PARTY,117532.28,6,19588.713333333333,3
ALT0000066,TXN00489561,ACCT100028607,ML_PATTERN_DETECTED,95,2023-02-19 20:15:26.446051,1,CUST0051792,SAVINGS,ACTIVE,3457.73,False,0-50k,MEDIUM,THIRD_PARTY,186454.23,4,46613.5575,2
ALT0000067,TXN00485174,ACCT100062219,ML_PATTERN_DETECTED,78,2023-05-26 21:29:34.087374,0,CUST0014534,CURRENT,ACTIVE,4153.3,False,0-50k,LOW,WEB,268192.69,5,53638.538,3
ALT0000068,TXN00483426,ACCT100026438,ML_PATTERN_DETECTED,73,2023-12-08 08:34:00.702218,0,CUST0067121,NRE,ACTIVE,26910.39,False,0-50k,LOW,THIRD_PARTY,81867.68,4,20466.92,2
ALT0000069,TXN00482415,ACCT100054838,ML_PATTERN_DETECTED,54,2023-07-01 14:49:49.836299,0,CUST0043395,CURRENT,ACTIVE,175432.14,False,100k-250k,HIGH,THIRD_PARTY,166436.65,6,27739.441666666666,3
ALT0000070,TXN00485846,ACCT100038696,ML_PATTERN_DETECTED,89,2023-09-24 03:18:30.689093,1,CUST0056395,NRO,ACTIVE,674335.6,False,100k-250k,LOW,MOBILE_APP,566774.66,6,94462.44333333334,3
ALT0000071,TXN00490364,ACCT100009948,ML_PATTERN_DETECTED,92,2024-07-10 21:40:39.577602,0,CUST0051750,CURRENT,ACTIVE,283176.26,False,100k-250k,LOW,THIRD_PARTY,317943.49,3,105981.16333333333,2
ALT0000072,TXN00489799,ACCT100076827,ML_PATTERN_DETECTED,82,2024-10-19 10:55:01.825856,0,CUST0040938,NRE,ACTIVE,151952.19,False,250k+,LOW,BRANCH,21207.15,6,3534.525,4
ALT0000073,TXN00493783,ACCT100099921,ML_PATTERN_DETECTED,76,2023-01-11 17:17:53.413834,0,CUST0027781,NRE,ACTIVE,48956.79,False,50k-100k,LOW,THIRD_PARTY,517033.49,4,129258.3725,3
ALT0000074,TXN00491031,ACCT100019599,ML_PATTERN_DETECTED,84,2024-08-25 08:09:54.101978,0,CUST0041857, NRO ,ACTIVE,129210.06,True,0-50k,LOW,BRANCH,114999.73000000001,5,22999.946000000004,2
ALT0000075,TXN00496445,ACCT100001857,ML_PATTERN_DETECTED,95,2024-06-13 20:19:04.346214,1,CUST0047493,CURRENT,ACTIVE,32016.19,False,,MEDIUM,THIRD_PARTY,401656.87,5,80331.374,3
ALT0000076,TXN00480831,ACCT100091135,ML_PATTERN_DETECTED,61,2024-08-24 05:48:19.994170,0,CUST0015941,SALARY,ACTIVE,4142.43,False,250k+,LOW,MOBILE_APP,348743.97000000003,9,38749.33,4
ALT0000077,TXN00485659,ACCT100015752,ML_PATTERN_DETECTED,62,2024-08-11 12:15:14.601425,0,CUST0062980,SALARY,ACTIVE,12350.73,False,0-50k,LOW,WEB,502900.94,7,71842.99142857143,3
ALT0000078,TXN00493663,ACCT100044919,ML_PATTERN_DETECTED,57,2024-04-21 15:13:47.840932,0,CUST0039267,NRE,DORMANT,32542.61,False,0-50k,LOW,THIRD_PARTY,396204.9,7,56600.700000000004,3
ALT0000079,TXN00480763,ACCT100031928,ML_PATTERN_DETECTED,61,2023-10-24 12:01:50.492255,0,CUST0069547,SAVINGS,ACTIVE,369502.36,False,100k-250k,LOW,WEB,323339.0,4,80834.75,2
ALT0000080,TXN00479722,ACCT100057359,ML_PATTERN_DETECTED,82,2024-12-01 15:48:02.450954,0,CUST0068544,NRO,ACTIVE,39971.66,False,0-50k,MEDIUM,WEB,31981.89,6,5330.315,3
ALT0000081,TXN00490256,ACCT100056552,ML_PATTERN_DETECTED,50,2024-07-28 11:28:15.839133,0,CUST0049894,SALARY,ACTIVE,34962.62,False,250k+,LOW,WEB,140142.8,7,20020.399999999998,3
ALT0000082,TXN00476194,ACCT100085526,ML_PATTERN_DETECTED,87,2024-05-10 07:43:03.531101,1,CUST0024903,SAVINGS,DORMANT,59585.94,False,50k-100k,HIGH,MOBILE_APP,234972.96,2,117486.48,1
ALT0000083,TXN00489988,ACCT100054815,ML_PATTERN_DETECTED,90,2024-08-09 18:26:08.557400,1,CUST0068975,NRO,ACTIVE,13423.25,False,50k-100k,LOW,WEB,241834.46000000002,7,34547.780000000006,4
ALT0000084,TXN00490974,ACCT100013279,ML_PATTERN_DETECTED,51,2023-09-28 21:19:39.861214,1,CUST0012470,NRE,ACTIVE,7939.05,False,250k+,LOW,WEB,408418.33,4,102104.5825,3
ALT0000085,TXN00496251,ACCT100094889,ML_PATTERN_DETECTED,76,2023-06-30 04:05:26.101580,1,CUST0046932,CURRENT,ACTIVE,7259.43,False,50k-100k,MEDIUM,MOBILE_APP,28316.11,4,7079.0275,3
ALT0000086,TXN00478389,ACCT100075839,ML_PATTERN_DETECTED,91,2023-05-24 05:37:59.226345,1,CUST0003786,NRE,ACTIVE,25371.1,False,50k-100k,MEDIUM,THIRD_PARTY,479617.16,5,95923.432,4
ALT0000087,TXN00498189,ACCT100009500,ML_PATTERN_DETECTED,51,2024-06-25 18:16:07.539881,0,CUST0010797,SALARY,ACTIVE,341211.23,False,250k+,LOW,WEB,165372.74,5,33074.547999999995,3
ALT0000088,TXN00492459,ACCT100050558,ML_PATTERN_DETECTED,64,2023-05-19 01:28:14.748137,0,CUST0053201,NRE,ACTIVE,23038.1,False,0-50k,MEDIUM,MOBILE_APP,441895.11,6,73649.185,3
ALT0000089,TXN00479637,ACCT100052642,ML_PATTERN_DETECTED,86,2024-04-16 16:23:38.226142,1,CUST0054763,CURRENT,ACTIVE,25110.94,False,50k-100k,LOW,BRANCH,541669.91,9,60185.54555555556,3
ALT0000090,TXN00491223,ACCT100077782,ML_PATTERN_DETECTED,78,2023-06-24 07:49:17.053177,0,CUST0044942,CURRENT,ACTIVE,116272.79,False,250k+,HIGH,WEB,492632.09,5,98526.418,2
ALT0000091,TXN00488108,ACCT100054795,ML_PATTERN_DETECTED,89,2024-01-08 04:11:47.418533,1,CUST0017231,NRE,ACTIVE,65299.9,False,,MEDIUM,MOBILE_APP,42643.8,6,7107.3,4
ALT0000092,TXN00490855,ACCT100049091,ML_PATTERN_DETECTED,51,2024-03-07 23:43:01.906414,0,CUST0073619, SALARY ,ACTIVE,5889.14,False,50k-100k,MEDIUM,MOBILE_APP,493952.17000000004,5,98790.43400000001,2
ALT0000093,TXN00489021,ACCT100054988,ML_PATTERN_DETECTED,57,2024-12-06 03:17:19.580068,0,CUST0042018,CURRENT,ACTIVE,11436.61,False,50k-100k,LOW,WEB,45223.07,7,6460.438571428572,4
ALT0000094,TXN00475484,ACCT100041908,ML_PATTERN_DETECTED,54,2023-04-03 16:13:32.858344,0,CUST0071635,NRO,ACTIVE,26025.29,False,100k-250k,LOW,BRANCH,14575.41,4,3643.8525,3
ALT0000095,TXN00480462,ACCT100076660,ML_PATTERN_DETECTED,65,2024-03-19 17:48:59.970329,0,CUST0046178,SAVINGS,ACTIVE,6474.52,False,0-50k,LOW,BRANCH,39354.32,7,5622.045714285714,4
ALT0000096,TXN00489221,ACCT100011168,ML_PATTERN_DETECTED,51,2023-08-10 03:56:34.986715,0,CUST0066698,CURRENT,ACTIVE,120833.32,False,50k-100k,LOW,WEB,275015.77,7,39287.967142857146,4
ALT0000097,TXN00475666,ACCT100021987,ML_PATTERN_DETECTED,82,2024-06-07 00:12:29.790040,0,CUST0024836,NRE,ACTIVE,4494.14,False,0-50k,MEDIUM,WEB,209491.68,3,69830.56,2
ALT0000098,TXN00480545,ACCT100003548,ML_PATTERN_DETECTED,77,2023-06-14 04:56:17.962456,0,CUST0021686,NRE,ACTIVE,32208.2,False,100k-250k,LOW,MOBILE_APP,12935.91,3,4311.97,2
ALT0000099,TXN00496185,ACCT100006924,ML_PATTERN_DETECTED,97,2023-09-11 18:11:39.955780,1,CUST0021596,SAVINGS,ACTIVE,14660.23,False,,MEDIUM,WEB,32550.53,8,4068.81625,4
ALT0000100,TXN00482561,ACCT100085946,ML_PATTERN_DETECTED,57,2024-03-04 00:36:40.793648,0,CUST0044074,SAVINGS,ACTIVE,36533.9,False,100k-250k,LOW,BRANCH,222603.33,4,55650.8325,2
ALT0000101,TXN00493624,ACCT100053072,ML_PATTERN_DETECTED,70,2024-02-06 13:57:29.009606,0,CUST0052442,CURRENT,ACTIVE,23500.55,False,250k+,LOW,BRANCH,408528.5,10,40852.85,4
ALT0000102,TXN00489548,ACCT100024289,ML_PATTERN_DETECTED,90,2024-11-28 03:34:06.292118,0,CUST0071763,NRE,ACTIVE,158964.29,False,0-50k,LOW,MOBILE_APP,18120.58,3,6040.193333333334,2
ALT0000103,TXN00495692,ACCT100085009,ML_PATTERN_DETECTED,85,2024-12-30 07:07:02.823648,0,CUST0020290,NRE,BLOCKED,47026.27,False,250k+,LOW,MOBILE_APP,120526.68000000001,4,30131.670000000002,2
ALT0000104,TXN00495329,ACCT100087227,ML_PATTERN_DETECTED,57,2024-10-01 18:03:58.896770,0,CUST0043070,SAVINGS,ACTIVE,20743.9,False,100k-250k,HIGH,THIRD_PARTY,147244.59,5,29448.917999999998,3
ALT0000105,TXN00489452,ACCT100034358,ML_PATTERN_DETECTED,84,2024-12-30 08:24:37.912212,0,CUST0061399,SALARY,ACTIVE,16739.06,False,100k-250k,MEDIUM,MOBILE_APP,216685.09000000003,12,18057.090833333335,4
ALT0000106,TXN00484967,ACCT100004430,ML_PATTERN_DETECTED,83,2023-04-16 16:14:21.391166,0,CUST0025177,NRO,ACTIVE,38157.47,False,250k+,LOW,WEB,48654.59,6,8109.098333333332,4
ALT0000107,TXN00497472,ACCT100002534,ML_PATTERN_DETECTED,77,2023-02-04 00:53:46.225161,0,CUST0025554,SALARY,ACTIVE,10999.83,False,100k-250k,LOW,BRANCH,20512.11,5,4102.4220000000005,3
ALT0000108,TXN00487325,ACCT100008852,ML_PATTERN_DETECTED,60,2024-03-09 03:02:51.169643,0,CUST0043173,NRE,ACTIVE,10205.07,False,0-50k,LOW,BRANCH,333342.51,7,47620.35857142857,3
ALT0000109,TXN00495145,ACCT100095674,ML_PATTERN_DETECTED,60,2023-07-11 14:52:44.562858,0,CUST0063308,SALARY,ACTIVE,15386.33,False,100k-250k,MEDIUM,BRANCH,13473.39,3,4491.13,2
ALT0000110,TXN00498135,ACCT100098844,ML_PATTERN_DETECTED,93,2024-04-21 01:31:54.209297,1,CUST0008547,CURRENT,ACTIVE,38756.38,False,100k-250k,HIGH,MOBILE_APP,306020.32,5,61204.064,3
ALT0000111,TXN00496320,ACCT100090186,ML_PATTERN_DETECTED,88,2024-03-09 19:22:34.618392,1,CUST0062056,savings,ACTIVE,51420.26,False,250k+,LOW,WEB,326218.16,4,81554.54,3
ALT0000112,TXN00492811,ACCT100019053,ML_PATTERN_DETECTED,76,2023-04-03 11:01:23.013107,0,CUST0001943,NRE,ACTIVE,4193.68,False,,LOW,THIRD_PARTY,368714.06,4,92178.515,2
ALT0000113,TXN00479045,ACCT100016767,ML_PATTERN_DETECTED,87,2023-04-14 20:17:03.478444,1,CUST0035867,NRE,DORMANT,66291.94,False,250k+,LOW,BRANCH,58140.15000000001,6,9690.025000000001,3
ALT0000114,TXN00495699,ACCT100021989,ML_PATTERN_DETECTED,97,2024-10-15 03:18:31.091918,1,CUST0049023,NRO,ACTIVE,8801.54,False,100k-250k,LOW,MOBILE_APP,493167.55,9,54796.39444444444,4
ALT0000115,TXN00498492,ACCT100034210,ML_PATTERN_DETECTED,56,2023-12-12 19:36:07.626387,0,CUST0045144,CURRENT,ACTIVE,3476.62,False,100k-250k,MEDIUM,BRANCH,201105.87,7,28729.41,3
ALT0000116,TXN00481414,ACCT100095992,ML_PATTERN_DETECTED,55,2024-09-25 12:02:03.216838,0,CUST0058091,NRE,ACTIVE,78963.07,False,100k-250k,MEDIUM,WEB,426726.08,4,106681.52,2
ALT0000117,TXN00495999,ACCT100013895,ML_PATTERN_DETECTED,67,2023-12-19 19:28:54.790236,0,CUST0023816,SALARY,ACTIVE,653662.01,False,0-50k,MEDIUM,WEB,474964.24,2,237482.12,2
