STR_ID,CASE_ID,ALERT_ID,ACCOUNT_ID,IS_STR,FILED_DATE
STR000032,CASE002554,ALT0000161,ACCT100014815,1,2024-07-08
STR000033,CASE001061,ALT0000165,ACCT100077796,1,2024-12-25
STR000034,NO_CASE_GENERATED,ALT0000181,ACCT100075770,1,2024-04-12
STR000035,NO_CASE_GENERATED,ALT0000182,ACCT100019885,1,2023-01-30
STR000036,CASE002640,ALT0000183,ACCT100089821,1,2023-04-16
STR000037,CASE001682,ALT0000189,ACCT100054625,1,2024-02-14
STR000038,NO_CASE_GENERATED,ALT0000194,ACCT100082223,1,2023-11-30
STR000039,NO_CASE_GENERATED,ALT0000199,ACCT100062194,1,2024-11-25
STR000040,NO_CASE_GENERATED,ALT0000200,ACCT100011967,1,2023-01-08
STR000041,NO_CASE_GENERATED,ALT0000205,ACCT100015521,1,2023-11-08
STR000042,NO_CASE_GENERATED,ALT0000206,ACCT100016218,1,2024-10-20
STR000043,CASE002661,ALT0000209,ACCT100058874,1,2023-05-02
STR000044,NO_CASE_GENERATED,ALT0000214,ACCT100045744,1,2023-05-03
STR000045,NO_CASE_GENERATED,ALT0000215,ACCT100055146,1,2024-03-06
STR000046,NO_CASE_GENERATED,ALT0000222,ACCT100097849,1,2024-10-12
STR000047,CASE001499,ALT0000225,ACCT100083285,1,2023-09-05
STR000048,NO_CASE_GENERATED,ALT0000230,ACCT100067286,1,2024-03-02
STR000049,NO_CASE_GENERATED,ALT0000235,ACCT100085507,1,2024-02-20
STR000050,CASE000106,ALT0000241,ACCT100095628,1,2024-06-12
STR000051,NO_CASE_GENERATED,ALT0000247,ACCT100079739,1,2024-12-21
STR000052,NO_CASE_GENERATED,ALT0000250,ACCT100044518,1,2024-01-25
STR000053,NO_CASE_GENERATED,ALT0000252,ACCT100081281,1,2024-12-22
STR000054,CASE002791,ALT0000255,ACCT100065753,1,2024-03-03
STR000055,NO_CASE_GENERATED,ALT0000258,ACCT100088101,1,2023-04-08
STR000056,CASE001329,ALT0000266,ACCT100022392,1,2023-09-03
STR000057,CASE001237,ALT0000267,ACCT100022749,1,2024-11-13
STR000058,CASE002389,ALT0000270,ACCT100008968,1,2023-04-27
STR000059,CASE000060,ALT0000274,ACCT100022279,1,2023-02-11
STR000060,NO_CASE_GENERATED,ALT0000284,ACCT100018922,1,2023-08-24
STR000061,NO_CASE_GENERATED,ALT0000290,ACCT100080164,1,2023-07-27
STR000062,CASE002171,ALT0000291,ACCT100045323,1,2023-06-12
STR000063,CASE000045,ALT0000295,ACCT100015175,1,2023-01-16
STR000064,NO_CASE_GENERATED,ALT0000300,ACCT100086607,1,2024-10-29
STR000065,NO_CASE_GENERATED,ALT0000304,ACCT100087676,1,2023-07-31
STR000066,CASE000957,ALT0000305,ACCT100001895,1,2023-02-19
STR000067,NO_CASE_GENERATED,ALT0000306,ACCT100053344,1,2023-08-06
STR000068,NO_CASE_GENERATED,ALT0000314,ACCT100085998,1,2024-06-20
STR000069,NO_CASE_GENERATED,ALT0000315,ACCT100034477,1,2024-01-22
STR000070,NO_CASE_GENERATED,ALT0000316,ACCT100034653,1,2024-12-25
STR000071,NO_CASE_GENERATED,ALT0000317,ACCT100083590,1,2023-02-12
STR000072,NO_CASE_GENERATED,ALT0000320,ACCT100009368,1,2024-02-20
STR000073,NO_CASE_GENERATED,ALT0000322,ACCT100031480,1,2024-01-02
STR000074,NO_CASE_GENERATED,ALT0000327,ACCT100007900,1,2023-07-19
STR000075,CASE000997,ALT0000328,ACCT100029215,1,2024-11-27
STR000076,CASE000198,ALT0000337,ACCT100014666,1,2024-01-05
STR000077,CASE002113,ALT0000341,ACCT100049310,1,2024-07-12
STR000078,NO_CASE_GENERATED,ALT0000343,ACCT100047646,1,2024-07-30
STR000079,NO_CASE_GENERATED,ALT0000346,ACCT100063556,1,2024-07-11
STR000080,NO_CASE_GENERATED,ALT0000347,ACCT100013683,1,2023-08-28
STR000081,NO_CASE_GENERATED,ALT0000353,ACCT100027939,1,2023-05-31
STR000082,CASE002617,ALT0000360,ACCT100030250,1,2023-08-29
STR000083,NO_CASE_GENERATED,ALT0000361,ACCT100051051,1,2023-08-06
STR000084,NO_CASE_GENERATED,ALT0000362,ACCT100036483,1,2023-02-04
STR000085,NO_CASE_GENERATED,ALT0000366,ACCT100091307,1,2025-01-04
STR000086,NO_CASE_GENERATED,ALT0000379,ACCT100002517,1,2023-08-14
STR000087,NO_CASE_GENERATED,ALT0000381,ACCT100046060,1,2024-04-06
STR000088,CASE002630,ALT0000382,ACCT100035412,1,2024-10-11
STR000089,CASE001253,ALT0000398,ACCT100092416,1,2024-09-02
STR000090,NO_CASE_GENERATED,ALT0000406,ACCT100072745,1,2024-05-13
STR000091,CASE002133,ALT0000411,ACCT100023865,1,2024-08-28
STR000092,NO_CASE_GENERATED,ALT0000412,ACCT100001003,1,2024-07-23
STR000093,NO_CASE_GENERATED,ALT0000415,ACCT100074018,1,2023-08-12
STR000094,NO_CASE_GENERATED,ALT0000416,ACCT100025423,1,2024-12-18
STR000095,NO_CASE_GENERATED,ALT0000417,ACCT100098092,1,2024-01-12
STR000096,CASE002896,ALT0000421,ACCT100095286,1,2023-10-30
STR000097,NO_CASE_GENERATED,ALT0000424,ACCT100087786,1,2023-05-26
STR000098,NO_CASE_GENERATED,ALT0000426,ACCT100001626,1,2024-03-13
STR000099,CASE000904,ALT0000430,ACCT100032431,1,2023-11-29
STR000100,NO_CASE_GENERATED,ALT0000433,ACCT100052471,1,2023-09-25
STR000101,NO_CASE_GENERATED,ALT0000435,ACCT100099141,1,2023-02-08
STR000102,CASE002750,ALT0000440,ACCT100044241,1,2023-05-29
STR000103,CASE001564,ALT0000442,ACCT100069049,1,2023-04-02
STR000104,NO_CASE_GENERATED,ALT0000447,ACCT100049518,1,2024-01-17
STR000105,NO_CASE_GENERATED,ALT0000450,ACCT100054765,1,2024-06-06
STR000106,NO_CASE_GENERATED,ALT0000454,ACCT100081712,1,2023-07-11
STR000107,NO_CASE_GENERATED,ALT0000456,ACCT100047855,1,2024-06-23
STR000108,NO_CASE_GENERATED,ALT0000461,ACCT100009899,1,2024-11-24
STR000109,NO_CASE_GENERATED,ALT0000463,ACCT100082999,1,2023-03-11
STR000110,NO_CASE_GENERATED,ALT0000468,ACCT100006755,1,2024-04-08
STR000111,CASE000934,ALT0000475,ACCT100055403,1,2024-02-05
STR000112,NO_CASE_GENERATED,ALT0000483,ACCT100078652,1,2024-09-13
STR000113,NO_CASE_GENERATED,ALT0000488,ACCT100050579,1,2023-03-08
STR000114,NO_CASE_GENERATED,ALT0000490,ACCT100087401,1,2024-09-23
STR000115,NO_CASE_GENERATED,ALT0000494,ACCT100063401,1,2023-10-20
STR000116,NO_CASE_GENERATED,ALT0000503,ACCT100034866,1,2024-10-04
STR000117,NO_CASE_GENERATED,ALT0000509,ACCT100084758,1,2023-11-07
STR000118,NO_CASE_GENERATED,ALT0000514,ACCT100001950,1,2024-11-30
STR000119,NO_CASE_GENERATED,ALT0000516,ACCT100030347,1,2023-08-10
STR000120,NO_CASE_GENERATED,ALT0000521,ACCT100091956,1,2023-06-29
STR000121,NO_CASE_GENERATED,ALT0000528,ACCT100008775,1,2023-02-01
STR000122,NO_CASE_GENERATED,ALT0000531,ACCT100070878,1,2023-03-01
STR000123,NO_CASE_GENERATED,ALT0000534,ACCT100023312,1,2024-06-19
STR000124,NO_CASE_GENERATED,ALT0000544,ACCT100036003,1,2024-05-06
STR000125,NO_CASE_GENERATED,ALT0000545,ACCT100090455,1,2024-03-29
STR000126,CASE002397,ALT0000549,ACCT100006298,1,2024-03-02
STR000127,CASE000396,ALT0000552,ACCT100069018,1,2023-02-25
STR000128,NO_CASE_GENERATED,ALT0000553,ACCT100041494,1,2023-12-08
STR000129,NO_CASE_GENERATED,ALT0000554,ACCT100054286,1,2024-04-09
STR000130,NO_CASE_GENERATED,ALT0000557,ACCT100046868,1,2024-04-16
STR000131,CASE000605,ALT0000560,ACCT100019694,1,2024-10-05
STR000132,NO_CASE_GENERATED,ALT0000574,ACCT100086509,1,2024-02-26
STR000133,NO_CASE_GENERATED,ALT0000578,ACCT100021609,1,2024-11-02
STR000134,NO_CASE_GENERATED,ALT0000580,ACCT100068145,1,2023-09-04
STR000135,CASE002609,ALT0000583,ACCT100052696,1,2023-09-24
STR000136,CASE002116,ALT0000589,ACCT100073707,1,2024-05-28
STR000137,CASE002912,ALT0000594,ACCT100055665,1,2023-08-27
STR000138,NO_CASE_GENERATED,ALT0000597,ACCT100069183,1,2023-04-11
STR000139,NO_CASE_GENERATED,ALT0000603,ACCT100054813,1,2023-12-05
STR000140,NO_CASE_GENERATED,ALT0000607,ACCT100043344,1,2024-10-24
STR000141,CASE001708,ALT0000609,ACCT100056357,1,2023-10-03
STR000142,NO_CASE_GENERATED,ALT0000612,ACCT100064831,1,2024-08-21
STR000143,NO_CASE_GENERATED,ALT0000615,ACCT100004548,1,2024-11-12
STR000144,NO_CASE_GENERATED,ALT0000621,ACCT100008259,1,2023-04-22
STR000145,NO_CASE_GENERATED,ALT0000626,ACCT100043953,1,2023-04-25
STR000146,NO_CASE_GENERATED,ALT0000637,ACCT100038818,1,2023-11-24
STR000147,CASE002165,ALT0000642,ACCT100075104,1,2023-09-06
STR000148,NO_CASE_GENERATED,ALT0000656,ACCT100024772,1,2023-04-09
STR000149,NO_CASE_GENERATED,ALT0000657,ACCT100090007,1,2024-01-12
STR000150,CASE000299,ALT0000660,ACCT100077625,1,2024-03-08
STR000151,CASE001013,ALT0000666,ACCT100011779,1,2023-04-08
STR000152,NO_CASE_GENERATED,ALT0000669,ACCT100097436,1,2023-02-10
STR000153,NO_CASE_GENERATED,ALT0000672,ACCT100034069,1,2023-01-13
STR000154,CASE002597,ALT0000677,ACCT100035267,1,2024-08-27
STR000155,NO_CASE_GENERATED,ALT0000686,ACCT100000739,1,2023-12-17
STR000156,NO_CASE_GENERATED,ALT0000688,ACCT100097891,1,2023-07-19
STR000157,NO_CASE_GENERATED,ALT0000690,ACCT100075104,1,2024-04-27
STR000158,CASE000731,ALT0000695,ACCT100094883,1,2024-02-21
STR000159,NO_CASE_GENERATED,ALT0000697,ACCT100017421,1,2024-10-08
STR000160,NO_CASE_GENERATED,ALT0000698,ACCT100050903,1,2023-09-21
STR000161,NO_CASE_GENERATED,ALT0000705,ACCT100098655,1,2024-02-19
STR000162,CASE002920,ALT0000710,ACCT100020345,1,2024-10-03
STR000163,NO_CASE_GENERATED,ALT0000714,ACCT100044478,1,2023-08-06
STR000164,NO_CASE_GENERATED,ALT0000722,ACCT100040713,1,2023-07-05
STR000165,NO_CASE_GENERATED,ALT0000726,ACCT100026844,1,2024-08-02
STR000166,CASE000431,ALT0000729,ACCT100044667,1,2024-07-03
STR000167,CASE000967,ALT0000737,ACCT100098214,1,2023-01-09
STR000168,NO_CASE_GENERATED,ALT0000738,ACCT100031469,1,2024-05-07
STR000169,NO_CASE_GENERATED,ALT0000740,ACCT100056616,1,2024-07-30
STR000170,CASE002281,ALT0000741,ACCT100088765,1,2023-05-20
STR000171,NO_CASE_GENERATED,ALT0000744,ACCT100061700,1,2023-09-22
STR000172,NO_CASE_GENERATED,ALT0000747,ACCT100043269,1,2024-10-11
STR000173,NO_CASE_GENERATED,ALT0000752,ACCT100090353,1,2024-09-14
STR000174,NO_CASE_GENERATED,ALT0000756,ACCT100008679,1,2024-10-10
STR000175,NO_CASE_GENERATED,ALT0000760,ACCT100081191,1,2023-12-09
STR000176,NO_CASE_GENERATED,ALT0000763,ACCT100029309,1,2024-08-17
STR000177,NO_CASE_GENERATED,ALT0000764,ACCT100074836,1,2023-06-01
STR000178,NO_CASE_GENERATED,ALT0000766,ACCT100005653,1,2023-04-09
STR000179,CASE002408,ALT0000771,ACCT100058604,1,2024-09-24
STR000180,CASE002890,ALT0000783,ACCT100034537,1,2023-07-08
STR000181,NO_CASE_GENERATED,ALT0000785,ACCT100038460,1,2024-04-13
STR000182,NO_CASE_GENERATED,ALT0000786,ACCT100075416,1,2023-11-06
STR000183,NO_CASE_GENERATED,ALT0000788,ACCT100017953,1,2024-05-25
STR000184,CASE000852,ALT0000791,ACCT100067576,1,2023-12-13
STR000185,CASE000459,ALT0000800,ACCT100083217,1,2023-08-13
STR000186,NO_CASE_GENERATED,ALT0000813,ACCT100001656,1,2024-11-18
STR000187,NO_CASE_GENERATED,ALT0000816,ACCT100076862,1,2023-03-15
STR000188,NO_CASE_GENERATED,ALT0000818,ACCT100016127,1,2023-10-29
STR000189,NO_CASE_GENERATED,ALT0000819,ACCT100049119,1,2024-02-22
STR000190,NO_CASE_GENERATED,ALT0000826,ACCT100092468,1,2023-11-29
STR000191,CASE001383,ALT0000828,ACCT100059933,1,2024-12-22
STR000192,NO_CASE_GENERATED,ALT0000834,ACCT100062335,1,2024-05-07
STR000193,NO_CASE_GENERATED,ALT0000835,ACCT100079386,1,2023-06-08
STR000194,NO_CASE_GENERATED,ALT0000843,ACCT100078046,1,2024-02-19
STR000195,NO_CASE_GENERATED,ALT0000850,ACCT100048651,1,2023-02-19
STR000196,NO_CASE_GENERATED,ALT0000852,ACCT100087758,1,2024-04-29
STR000197,NO_CASE_GENERATED,ALT0000856,ACCT100001818,1,2024-05-17
STR000198,NO_CASE_GENERATED,ALT0000860,ACCT100090437,1,2023-01-22
STR000199,NO_CASE_GENERATED,ALT0000861,ACCT100057683,1,2023-07-27
STR000200,CASE000325,ALT0000862,ACCT100099215,1,2024-07-12
STR000201,NO_CASE_GENERATED,ALT0000871,ACCT100077824,1,2024-10-29
STR000202,NO_CASE_GENERATED,ALT0000876,ACCT100083223,1,2024-05-05
STR000203,NO_CASE_GENERATED,ALT0000879,ACCT100077006,1,2024-03-23
STR000204,NO_CASE_GENERATED,ALT0000883,ACCT100061668,1,2024-11-08
STR000205,NO_CASE_GENERATED,ALT0000884,ACCT100097784,1,2024-02-01
STR000206,CASE001658,ALT0000885,ACCT100000093,1,2024-08-15
STR000207,NO_CASE_GENERATED,ALT0000892,ACCT100064562,1,2023-11-11
STR000208,CASE002861,ALT0000897,ACCT100031532,1,2024-09-15
STR000209,CASE001487,ALT0000904,ACCT100067540,1,2023-02-09
STR000210,CASE002681,ALT0000905,ACCT100056958,1,2023-07-17
STR000211,CASE001459,ALT0000909,ACCT100084508,1,2023-04-19
STR000212,CASE001795,ALT0000911,ACCT100093057,1,2024-02-26
STR000213,CASE000640,ALT0000915,ACCT100030074,1,2024-11-16
STR000214,NO_CASE_GENERATED,ALT0000924,ACCT100020097,1,2024-03-21
STR000215,NO_CASE_GENERATED,ALT0000930,ACCT100028523,1,2024-02-24
STR000216,CASE002684,ALT0000932,ACCT100077513,1,2024-10-01
STR000217,CASE002837,ALT0000933,ACCT100095501,1,2023-09-04
STR000218,NO_CASE_GENERATED,ALT0000936,ACCT100090523,1,2023-03-10
STR000219,NO_CASE_GENERATED,ALT0000944,ACCT100039975,1,2024-01-03
STR000220,CASE001208,ALT0000951,ACCT100038111,1,2023-02-09
STR000221,CASE000693,ALT0000954,ACCT100005482,1,2023-08-10
STR000222,NO_CASE_GENERATED,ALT0000960,ACCT100027813,1,2024-01-12
STR000223,NO_CASE_GENERATED,ALT0000966,ACCT100065438,1,2024-02-02
STR000224,NO_CASE_GENERATED,ALT0000967,ACCT100050490,1,2024-07-12
STR000225,NO_CASE_GENERATED,ALT0000970,ACCT100006588,1,2023-09-29
STR000226,CASE002633,ALT0000972,ACCT100050000,1,2024-07-07
STR000227,NO_CASE_GENERATED,ALT0000974,ACCT100087788,1,2024-08-25
STR000228,NO_CASE_GENERATED,ALT0000979,ACCT100094688,1,2024-12-20
STR000229,CASE000445,ALT0000980,ACCT100034735,1,2024-03-13
STR000230,NO_CASE_GENERATED,ALT0000981,ACCT100045844,1,2024-10-22
STR000231,NO_CASE_GENERATED,ALT0000988,ACCT100053306,1,2023-09-30
STR000232,NO_CASE_GENERATED,ALT0000997,ACCT100060006,1,2023-02-12
STR000233,NO_CASE_GENERATED,ALT0001001,ACCT100099524,1,2024-05-24
STR000234,CASE001529,ALT0001006,ACCT100069209,1,2023-05-21
STR000235,CASE002703,ALT0001007,ACCT100016450,1,2023-11-22
STR000236,NO_CASE_GENERATED,ALT0001008,ACCT100030421,1,2023-07-26
STR000237,CASE001717,ALT0001009,ACCT100002394,1,2023-04-04
STR000238,CASE000436,ALT0001011,ACCT100064402,1,2024-05-07
STR000239,NO_CASE_GENERATED,ALT0001012,ACCT100069591,1,2023-08-18
STR000240,NO_CASE_GENERATED,ALT0001017,ACCT100058829,1,2024-10-08
STR000241,NO_CASE_GENERATED,ALT0001018,ACCT100005375,1,2024-03-14
STR000242,NO_CASE_GENERATED,ALT0001023,ACCT100081344,1,2023-05-05
STR000243,NO_CASE_GENERATED,ALT0001028,ACCT100099718,1,2023-07-05
STR000244,CASE000371,ALT0001033,ACCT100063009,1,2023-04-17
STR000245,CASE002184,ALT0001037,ACCT100030147,1,2024-02-09
STR000246,NO_CASE_GENERATED,ALT0001045,ACCT100011708,1,2023-05-09
STR000247,NO_CASE_GENERATED,ALT0001051,ACCT100081060,1,2024-09-21
STR000248,NO_CASE_GENERATED,ALT0001052,ACCT100069869,1,2023-03-11
STR000249,NO_CASE_GENERATED,ALT0001053,ACCT100048801,1,2023-05-05
STR000250,NO_CASE_GENERATED,ALT0001054,ACCT100048942,1,2023-05-20
STR000251,NO_CASE_GENERATED,ALT0001057,ACCT100002923,1,2024-04-02
STR000252,CASE001809,ALT0001063,ACCT100054130,1,2024-11-23
STR000253,NO_CASE_GENERATED,ALT0001067,ACCT100064976,1,2024-11-30
STR000254,NO_CASE_GENERATED,ALT0001069,ACCT100045999,1,2023-06-16
STR000255,NO_CASE_GENERATED,ALT0001075,ACCT100062666,1,2023-03-26
STR000256,CASE000532,ALT0001079,ACCT100072347,1,2024-08-24
STR000257,NO_CASE_GENERATED,ALT0001082,ACCT100063591,1,2024-04-13
STR000258,NO_CASE_GENERATED,ALT0001088,ACCT100064120,1,2024-01-16
STR000259,NO_CASE_GENERATED,ALT0001090,ACCT100064148,1,2023-08-08
STR000260,NO_CASE_GENERATED,ALT0001092,ACCT100013922,1,2024-09-03
STR000261,NO_CASE_GENERATED,ALT0001104,ACCT100088052,1,2023-02-20
STR000262,NO_CASE_GENERATED,ALT0001109,ACCT100088607,1,2023-06-21
STR000263,NO_CASE_GENERATED,ALT0001113,ACCT100057907,1,2023-02-04
STR000264,CASE001088,ALT0001115,ACCT100021889,1,2024-12-14
STR000265,CASE001373,ALT0001122,ACCT100071544,1,2023-03-31
STR000266,NO_CASE_GENERATED,ALT0001126,ACCT100072571,1,2024-02-09
STR000267,CASE001553,ALT0001129,ACCT100066025,1,2024-03-18
STR000268,NO_CASE_GENERATED,ALT0001138,ACCT100065040,1,2023-04-17
STR000269,CASE001464,ALT0001140,ACCT100037900,1,2024-05-14
STR000270,NO_CASE_GENERATED,ALT0001141,ACCT100080138,1,2024-12-04
STR000271,CASE001498,ALT0001142,ACCT100073957,1,2024-02-02
STR000272,NO_CASE_GENERATED,ALT0001144,ACCT100023794,1,2023-12-25
STR000273,NO_CASE_GENERATED,ALT0001148,ACCT100086301,1,2024-06-07
STR000274,NO_CASE_GENERATED,ALT0001150,ACCT100036366,1,2023-10-17
STR000275,NO_CASE_GENERATED,ALT0001151,ACCT100088256,1,2024-07-17
STR000276,NO_CASE_GENERATED,ALT0001157,ACCT100069310,1,2024-06-11
STR000277,NO_CASE_GENERATED,ALT0001158,ACCT100079646,1,2023-12-23
STR000278,CASE000293,ALT0001162,ACCT100008921,1,2023-07-31
STR000279,CASE002028,ALT0001163,ACCT100055511,1,2024-09-12
STR000280,CASE002287,ALT0001164,ACCT100096837,1,2024-03-17
STR000281,NO_CASE_GENERATED,ALT0001165,ACCT100001204,1,2023-04-28
STR000282,CASE000025,ALT0001174,ACCT100078206,1,2024-07-24
STR000283,NO_CASE_GENERATED,ALT0001181,ACCT100047759,1,2023-10-13
STR000284,NO_CASE_GENERATED,ALT0001184,ACCT100012734,1,2023-02-04
STR000285,NO_CASE_GENERATED,ALT0001190,ACCT100037693,1,2023-12-21
STR000286,CASE002125,ALT0001194,ACCT100071440,1,2023-11-27
STR000287,NO_CASE_GENERATED,ALT0001205,ACCT100077134,1,2023-07-11
STR000288,CASE000430,ALT0001206,ACCT100012187,1,2023-11-30
STR000289,CASE000676,ALT0001214,ACCT100009168,1,2024-05-31
STR000290,NO_CASE_GENERATED,ALT0001216,ACCT100079453,1,2024-06-24
STR000291,NO_CASE_GENERATED,ALT0001222,ACCT100085488,1,2023-05-11
STR000292,NO_CASE_GENERATED,ALT0001228,ACCT100012359,1,2024-01-22
STR000293,CASE001207,ALT0001231,ACCT100071670,1,2023-08-26
STR000294,NO_CASE_GENERATED,ALT0001235,ACCT100066400,1,2025-01-02
STR000295,CASE000603,ALT0001238,ACCT100053730,1,2024-10-30
STR000296,NO_CASE_GENERATED,ALT0001239,ACCT100056753,1,2023-07-04
STR000297,NO_CASE_GENERATED,ALT0001241,ACCT100014994,1,2024-07-26
STR000298,NO_CASE_GENERATED,ALT0001242,ACCT100044987,1,2023-09-18
STR000299,NO_CASE_GENERATED,ALT0001244,ACCT100089624,1,2024-05-10
STR000300,NO_CASE_GENERATED,ALT0001254,ACCT100000773,1,2023-03-13
STR000301,NO_CASE_GENERATED,ALT0001265,ACCT100025067,1,2023-06-05
STR000302,NO_CASE_GENERATED,ALT0001269,ACCT100055199,1,2023-04-12
STR000303,NO_CASE_GENERATED,ALT0001272,ACCT100023543,1,2023-09-05
STR000304,NO_CASE_GENERATED,ALT0001276,ACCT100064934,1,2024-01-02
STR000305,NO_CASE_GENERATED,ALT0001277,ACCT100001614,1,2024-07-19
STR000306,CASE002193,ALT0001282,ACCT100037417,1,2023-08-25
STR000307,NO_CASE_GENERATED,ALT0001283,ACCT100027833,1,2024-07-12
STR000308,CASE001718,ALT0001285,ACCT100038896,1,2023-10-24
STR000309,NO_CASE_GENERATED,ALT0001292,ACCT100042845,1,2024-05-19
STR000310,NO_CASE_GENERATED,ALT0001294,ACCT100093562,1,2024-01-24
STR000311,NO_CASE_GENERATED,ALT0001308,ACCT100093554,1,2023-10-21
STR000312,NO_CASE_GENERATED,ALT0001309,ACCT100086152,1,2023-11-19
STR000313,NO_CASE_GENERATED,ALT0001310,ACCT100077774,1,2024-11-28
STR000314,NO_CASE_GENERATED,ALT0001313,ACCT100057513,1,2023-01-16
STR000315,CASE002581,ALT0001314,ACCT100038678,1,2024-03-26
STR000316,NO_CASE_GENERATED,ALT0001322,ACCT100076198,1,2024-04-05
STR000317,NO_CASE_GENERATED,ALT0001332,ACCT100038688,1,2024-12-17
STR000318,CASE000585,ALT0001337,ACCT100005057,1,2024-11-19
STR000319,NO_CASE_GENERATED,ALT0001340,ACCT100028450,1,2024-02-04
STR000320,CASE000893,ALT0001342,ACCT100051269,1,2023-08-02
STR000321,NO_CASE_GENERATED,ALT0001347,ACCT100000916,1,2024-08-02
STR000322,NO_CASE_GENERATED,ALT0001365,ACCT100093134,1,2024-10-10
STR000323,CASE000058,ALT0001366,ACCT100015453,1,2024-07-22
STR000324,NO_CASE_GENERATED,ALT0001370,ACCT100090672,1,2024-11-02
STR000325,NO_CASE_GENERATED,ALT0001375,ACCT100021120,1,2024-07-21
STR000326,NO_CASE_GENERATED,ALT0001376,ACCT100051852,1,2024-05-05
STR000327,NO_CASE_GENERATED,ALT0001387,ACCT100030326,1,2023-05-26
STR000328,CASE002505,ALT0001388,ACCT100074115,1,2023-03-01
STR000329,NO_CASE_GENERATED,ALT0001412,ACCT100073208,1,2023-06-11
STR000330,NO_CASE_GENERATED,ALT0001422,ACCT100016388,1,2023-12-24
STR000331,CASE002037,ALT0001423,ACCT100051358,1,2024-04-03
STR000332,CASE001848,ALT0001434,ACCT100094900,1,2023-01-23
STR000333,NO_CASE_GENERATED,ALT0001436,ACCT100021346,1,2024-07-25
STR000334,NO_CASE_GENERATED,ALT0001441,ACCT100090773,1,2023-08-29
STR000335,NO_CASE_GENERATED,ALT0001444,ACCT100094544,1,2023-11-24
STR000336,NO_CASE_GENERATED,ALT0001445,ACCT100044175,1,2024-05-23
STR000337,CASE001184,ALT0001446,ACCT100010203,1,2023-03-31
STR000338,NO_CASE_GENERATED,ALT0001449,ACCT100074291,1,2023-12-15
STR000339,CASE001053,ALT0001458,ACCT100036024,1,2024-08-06
STR000340,NO_CASE_GENERATED,ALT0001463,ACCT100025687,1,2023-07-27
STR000341,CASE001917,ALT0001466,ACCT100085726,1,2024-03-05
STR000342,NO_CASE_GENERATED,ALT0001468,ACCT100085085,1,2023-12-09
STR000343,NO_CASE_GENERATED,ALT0001474,ACCT100006181,1,2024-02-22
STR000344,NO_CASE_GENERATED,ALT0001475,ACCT100043955,1,2024-09-12
STR000345,NO_CASE_GENERATED,ALT0001483,ACCT100038690,1,2023-09-03
STR000346,NO_CASE_GENERATED,ALT0001495,ACCT100041817,1,2023-01-17
STR000347,NO_CASE_GENERATED,ALT0001497,ACCT100012390,1,2023-03-11
STR000348,NO_CASE_GENERATED,ALT0001499,ACCT100057669,1,2024-03-11
STR000349,NO_CASE_GENERATED,ALT0001504,ACCT100090384,1,2024-05-09
