CUSTOMER_ID,PEP_STATUS,ONBOARDING_CHANNEL,INCOME_BRACKET,KYC_RISK,STATE_CODE,IS_ACTIVE
CUST0000058,False,WEB,50k-100k,LOW,GJ,True
CUST0000059,False,BRANCH,100k-250k,HIGH,KA,True
CUST0000060,False,WEB,250k+,MEDIUM,DL,True
CUST0000061,False,WEB,50k-100k,LOW,DL,True
CUST0000062,False,WEB,100k-250k,LOW,WB,True
CUST0000063,False,MOBILE_APP,100k-250k,LOW,UP,True
CUST0000064,False,WEB,100k-250k,LOW,DL,True
CUST0000065,False,WEB,,LOW,DL,True
CUST0000066,False,BRANCH,0-50k,MEDIUM,DL,True
CUST0000067,False,WEB,50k-100k,LOW,RJ,True
CUST0000068,False,MOBILE_APP,50k-100k,LOW,RJ,True
CUST0000069,False,MOBILE_APP,100k-250k,HIGH,UP,True
CUST0000070,False,WEB,50k-100k,LOW,RJ,True
CUST0000071,False,MOBILE_APP,100k-250k,MEDIUM,DL,True
CUST0000072,False,THIRD_PARTY,50k-100k,LOW,MH,True
CUST0000073,True,MOBILE_APP,0-50k,LOW,DL,True
CUST0000074,False,THIRD_PARTY,100k-250k,LOW,UP,True
CUST0000075,False,MOBILE_APP,,LOW,DL,True
CUST0000076,False,MOBILE_APP,0-50k,HIGH,DL,True
CUST0000077,False,BRANCH,50k-100k,MEDIUM,RJ,True
CUST0000078,False,WEB,50k-100k,LOW,MH,True
CUST0000079,False,BRANCH,100k-250k,MEDIUM,UP,True
CUST0000080,False,THIRD_PARTY,100k-250k,MEDIUM,GJ,True
CUST0000081,False,BRANCH,100k-250k,MEDIUM,TN,True
CUST0000082,False,BRANCH,50k-100k,LOW,KA,True
CUST0000083,False,MOBILE_APP,,LOW,KA,True
CUST0000084,False,THIRD_PARTY,100k-250k,HIGH,GJ,True
CUST0000085,False,MOBILE_APP,50k-100k,MEDIUM,WB,True
CUST0000086,False,THIRD_PARTY,0-50k,HIGH,DL,True
CUST0000087,False,THIRD_PARTY,100k-250k,LOW,TN,True
CUST0000088,False,MOBILE_APP,50k-100k,HIGH,DL,True
CUST0000089,False,WEB,50k-100k,HIGH,WB,True
CUST0000090,False,WEB,,LOW,UP,True
CUST0000091,False,THIRD_PARTY,0-50k,LOW,GJ,True
CUST0000092,False,WEB,,MEDIUM,MH,True
CUST0000093,False,MOBILE_APP,50k-100k,MEDIUM,RJ,True
CUST0000094,False,MOBILE_APP,100k-250k,LOW,MH,True
CUST0000095,False,MOBILE_APP,250k+,LOW,RJ,True
CUST0000096,False,BRANCH,,LOW,KA,True
CUST0000097,False,BRANCH,0-50k,LOW,MH,True
CUST0000098,False,MOBILE_APP,0-50k,LOW,WB,True
CUST0000099,False,THIRD_PARTY,50k-100k,LOW,KA,False
CUST0000100,False,BRANCH,50k-100k,LOW,UP,True
CUST0000101,False,THIRD_PARTY,50k-100k,MEDIUM,TN,True
CUST0000102,False,MOBILE_APP,0-50k,MEDIUM,DL,True
CUST0000103,False,THIRD_PARTY,0-50k,MEDIUM,MH,True
CUST0000104,False,MOBILE_APP,50k-100k,LOW,UP,True
CUST0000105,False,THIRD_PARTY,50k-100k,LOW,DL,True
CUST0000106,False,BRANCH,100k-250k,LOW,TN,True
CUST0000107,False,THIRD_PARTY,250k+,HIGH,RJ,True
CUST0000108,False,MOBILE_APP,0-50k,LOW,MH,True
CUST0000109,False,WEB,100k-250k,HIGH,MH,True
CUST0000110,False,WEB,50k-100k,MEDIUM,GJ,True
CUST0000111,False,BRANCH,250k+,LOW,DL,True
CUST0000112,False,MOBILE_APP,50k-100k,LOW,UP,True
CUST0000113,False,THIRD_PARTY,0-50k,MEDIUM,DL,True
CUST0000114,False,MOBILE_APP,0-50k,LOW,KA,True
CUST0000115,False,MOBILE_APP,250k+,MEDIUM,UP,False
CUST0000116,False,BRANCH,100k-250k,LOW,WB,True
CUST0000117,False,THIRD_PARTY,250k+,LOW,KA,True
CUST0000118,False,MOBILE_APP,100k-250k,LOW,RJ,True
CUST0000119,False,WEB,100k-250k,MEDIUM,UP,True
CUST0000120,False,THIRD_PARTY,0-50k,MEDIUM,UP,True
CUST0000121,False,WEB,50k-100k,LOW,UP,True
CUST0000122,False,WEB,0-50k,LOW,MH,True
CUST0000123,False,BRANCH,50k-100k,LOW,WB,False
CUST0000124,False,WEB,0-50k,MEDIUM,WB,True
CUST0000125,False,WEB,,LOW,MH,True
CUST0000126,False,BRANCH,,LOW,GJ,True
CUST0000127,False,MOBILE_APP,,MEDIUM,TN,True
CUST0000128,False,MOBILE_APP,0-50k,MEDIUM,DL,True
CUST0000129,True,MOBILE_APP,0-50k,LOW,GJ,True
CUST0000130,False,WEB,,HIGH,KA,True
CUST0000131,False,MOBILE_APP,100k-250k,LOW,GJ,True
CUST0000132,False,THIRD_PARTY,100k-250k,LOW,GJ,True
CUST0000133,False,WEB,0-50k,LOW,MH,False
CUST0000134,False,MOBILE_APP,100k-250k,LOW,GJ,True
CUST0000135,False,WEB,100k-250k,MEDIUM,UP,True
CUST0000136,False,THIRD_PARTY,,MEDIUM,GJ,True
CUST0000137,False,BRANCH,50k-100k,LOW,KA,True
CUST0000138,False,WEB,50k-100k,LOW,UP,True
CUST0000139,False,BRANCH,250k+,LOW,RJ,True
CUST0000140,False,THIRD_PARTY,250k+,MEDIUM,GJ,True
CUST0000141,False,BRANCH,250k+,LOW,WB,False
CUST0000142,False,THIRD_PARTY,,LOW,TN,True
CUST0000143,False,BRANCH,50k-100k,MEDIUM,MH,True
CUST0000144,False,THIRD_PARTY,50k-100k,LOW,KA,True
CUST0000145,False,MOBILE_APP,250k+,MEDIUM,WB,True
CUST0000146,False,MOBILE_APP,100k-250k,MEDIUM,KA,True
CUST0000147,False,MOBILE_APP,50k-100k,LOW,UP,True
CUST0000148,False,BRANCH,,LOW,TN,True
CUST0000149,False,BRANCH,100k-250k,LOW,MH,True
CUST0000150,False,THIRD_PARTY,50k-100k,LOW,UP,False
CUST0000151,False,THIRD_PARTY,250k+,LOW,MH,True
CUST0000152,False,WEB,50k-100k,LOW,MH,True
CUST0000153,False,WEB,50k-100k,HIGH,KA,True
CUST0000154,False,BRANCH,250k+,LOW,KA,True
CUST0000155,False,BRANCH,0-50k,MEDIUM,KA,True
CUST0000156,False,MOBILE_APP,0-50k,HIGH,DL,True
CUST0000157,False,MOBILE_APP,0-50k,LOW,KA,True
CUST0000158,False,WEB,50k-100k,LOW,RJ,True
CUST0000159,False,THIRD_PARTY,0-50k,LOW,GJ,True
CUST0000160,False,THIRD_PARTY,0-50k,LOW,TN,True
CUST0000161,False,THIRD_PARTY,0-50k,LOW,UP,True
CUST0000162,False,BRANCH,100k-250k,LOW,GJ,True
CUST0000163,False,MOBILE_APP,100k-250k,LOW,WB,True
CUST0000164,False,THIRD_PARTY,50k-100k,LOW,DL,True
CUST0000165,False,MOBILE_APP,250k+,LOW,DL,True
CUST0000166,False,THIRD_PARTY,250k+,LOW,DL,True
CUST0000167,False,WEB,250k+,LOW,MH,True
CUST0000168,False,MOBILE_APP,0-50k,MEDIUM,WB,True
CUST0000169,False,WEB,0-50k,LOW,UP,True
CUST0000170,False,MOBILE_APP,0-50k,MEDIUM,GJ,True
CUST0000171,False,THIRD_PARTY,0-50k,MEDIUM,TN,True
CUST0000172,True,THIRD_PARTY,100k-250k,LOW,RJ,True
CUST0000173,False,THIRD_PARTY,100k-250k,MEDIUM,DL,True
CUST0000174,False,THIRD_PARTY,,MEDIUM,KA,True
CUST0000175,False,THIRD_PARTY,50k-100k,LOW,GJ,True
CUST0000176,False,THIRD_PARTY,250k+,MEDIUM,KA,False
CUST0000177,False,THIRD_PARTY,250k+,LOW,RJ,True
CUST0000178,False,BRANCH,100k-250k,MEDIUM,TN,True
CUST0000179,False,MOBILE_APP,50k-100k,HIGH,MH,True
CUST0000180,False,WEB,0-50k,LOW,UP,True
CUST0000181,False,BRANCH,50k-100k,LOW,DL,True
CUST0000182,False,MOBILE_APP,,LOW,RJ,True
CUST0000183,False,WEB,50k-100k,LOW,KA,True
CUST0000184,False,MOBILE_APP,250k+,LOW,DL,True
CUST0000185,False,WEB,250k+,LOW,WB,True
CUST0000186,False,WEB,50k-100k,MEDIUM,MH,True
CUST0000187,False,WEB,100k-250k,LOW,DL,True
CUST0000188,False,MOBILE_APP,100k-250k,LOW,WB,False
CUST0000189,False,MOBILE_APP,250k+,LOW,WB,True
CUST0000190,False,WEB,100k-250k,LOW,GJ,True
CUST0000191,False,WEB,,LOW,TN,True
CUST0000192,False,THIRD_PARTY,250k+,HIGH,TN,True
CUST0000193,False,WEB,50k-100k,HIGH,RJ,True
CUST0000194,False,THIRD_PARTY,0-50k,LOW,GJ,True
CUST0000195,False,THIRD_PARTY,0-50k,MEDIUM,MH,True
CUST0000196,False,THIRD_PARTY,50k-100k,LOW,TN,True
CUST0000197,False,WEB,250k+,LOW,TN,True
CUST0000198,False,WEB,0-50k,LOW,MH,True
CUST0000199,False,WEB,0-50k,LOW,UP,True
CUST0000200,False,WEB,0-50k,LOW,RJ,True
CUST0000201,False,THIRD_PARTY,250k+,LOW,KA,True
CUST0000202,False,WEB,100k-250k,LOW,KA,True
CUST0000203,False,THIRD_PARTY,100k-250k,LOW,GJ,True
CUST0000204,False,THIRD_PARTY,100k-250k,HIGH,DL,True
CUST0000205,False,THIRD_PARTY,50k-100k,LOW,KA,True
CUST0000206,True,MOBILE_APP,50k-100k,MEDIUM,WB,True
CUST0000207,False,BRANCH,100k-250k,LOW,RJ,True
CUST0000208,False,THIRD_PARTY,100k-250k,LOW,TN,True
CUST0000209,True,THIRD_PARTY,250k+,LOW,DL,True
CUST0000210,False,BRANCH,0-50k,HIGH,WB,True
CUST0000211,False,MOBILE_APP,250k+,LOW,KA,True
CUST0000212,False,WEB,50k-100k,LOW,UP,True
CUST0000213,False,MOBILE_APP,100k-250k,LOW,MH,True
CUST0000214,False,WEB,50k-100k,LOW,DL,True
CUST0000215,False,BRANCH,,MEDIUM,TN,True
CUST0000216,False,MOBILE_APP,50k-100k,LOW,RJ,True
CUST0000217,False,BRANCH,250k+,MEDIUM,UP,True
CUST0000218,False,MOBILE_APP,250k+,MEDIUM,TN,True
CUST0000219,False,MOBILE_APP,50k-100k,HIGH,RJ,True
CUST0000220,False,BRANCH,250k+,HIGH,KA,True
CUST0000221,False,BRANCH,100k-250k,LOW,RJ,True
CUST0000222,False,BRANCH,100k-250k,LOW,RJ,True
CUST0000223,False,WEB,250k+,MEDIUM,TN,True
CUST0000224,False,BRANCH,100k-250k,LOW,DL,True
CUST0000225,False,THIRD_PARTY,,LOW,KA,True
CUST0000226,False,THIRD_PARTY,0-50k,HIGH,DL,True
CUST0000227,False,BRANCH,250k+,LOW,TN,True
CUST0000228,False,BRANCH,0-50k,LOW,GJ,True
CUST0000229,False,MOBILE_APP,0-50k,LOW,KA,True
CUST0000230,False,THIRD_PARTY,0-50k,MEDIUM,DL,True
CUST0000231,False,WEB,50k-100k,LOW,DL,True
CUST0000232,False,MOBILE_APP,,MEDIUM,RJ,True
CUST0000233,False,WEB,100k-250k,MEDIUM,DL,True
CUST0000234,False,BRANCH,100k-250k,LOW,DL,True
CUST0000235,False,MOBILE_APP,0-50k,MEDIUM,WB,True
CUST0000236,False,THIRD_PARTY,0-50k,HIGH,MH,True
CUST0000237,False,MOBILE_APP,0-50k,MEDIUM,DL,True
CUST0000238,False,WEB,,MEDIUM,UP,True
CUST0000239,False,THIRD_PARTY,50k-100k,LOW,KA,True
CUST0000240,False,WEB,100k-250k,MEDIUM,WB,True
CUST0000241,False,THIRD_PARTY,0-50k,MEDIUM,WB,True
CUST0000242,False,BRANCH,100k-250k,LOW,TN,True
CUST0000243,False,BRANCH,50k-100k,HIGH,WB,True
CUST0000244,False,BRANCH,50k-100k,LOW,DL,True
CUST0000245,True,THIRD_PARTY,0-50k,LOW,MH,True
CUST0000246,False,MOBILE_APP,0-50k,LOW,GJ,True
CUST0000247,False,BRANCH,0-50k,MEDIUM,DL,True
CUST0000248,False,THIRD_PARTY,50k-100k,LOW,WB,True
CUST0000249,False,THIRD_PARTY,0-50k,LOW,UP,True
CUST0000250,False,BRANCH,250k+,LOW,TN,True
CUST0000251,False,THIRD_PARTY,250k+,MEDIUM,KA,True
CUST0000252,False,THIRD_PARTY,50k-100k,MEDIUM,GJ,True
CUST0000253,False,BRANCH,250k+,LOW,GJ,True
CUST0000254,False,MOBILE_APP,50k-100k,LOW,MH,True
CUST0000255,False,WEB,50k-100k,LOW,UP,True
CUST0000256,False,MOBILE_APP,250k+,LOW,MH,True
CUST0000257,False,THIRD_PARTY,50k-100k,LOW,DL,True
CUST0000258,False,THIRD_PARTY,0-50k,LOW,KA,True
CUST0000259,False,THIRD_PARTY,100k-250k,LOW,RJ,True
CUST0000260,False,BRANCH,100k-250k,MEDIUM,DL,True
CUST0000261,False,WEB,0-50k,LOW,RJ,True
CUST0000262,False,THIRD_PARTY,0-50k,HIGH,GJ,True
CUST0000263,False,THIRD_PARTY,250k+,LOW,WB,True
CUST0000264,False,MOBILE_APP,50k-100k,MEDIUM,UP,True
CUST0000265,False,THIRD_PARTY,250k+,LOW,MH,True
CUST0000266,False,THIRD_PARTY,0-50k,MEDIUM,MH,True
CUST0000267,False,BRANCH,50k-100k,MEDIUM,DL,True
CUST0000268,False,MOBILE_APP,0-50k,MEDIUM,MH,True
CUST0000269,False,MOBILE_APP,50k-100k,HIGH,UP,True
CUST0000270,False,THIRD_PARTY,0-50k,LOW,WB,True
CUST0000271,False,BRANCH,50k-100k,LOW,UP,True
CUST0000272,False,BRANCH,,LOW,MH,True
CUST0000273,False,WEB,250k+,MEDIUM,WB,True
CUST0000274,False,WEB,100k-250k,MEDIUM,UP,True
CUST0000275,False,THIRD_PARTY,,HIGH,KA,True
CUST0000276,False,WEB,250k+,MEDIUM,RJ,True
CUST0000277,False,BRANCH,50k-100k,LOW,UP,True
CUST0000278,False,MOBILE_APP,,LOW,RJ,True
CUST0000279,False,WEB,0-50k,LOW,KA,True
CUST0000280,False,THIRD_PARTY,,LOW,MH,True
CUST0000281,False,BRANCH,,LOW,DL,True
CUST0000282,False,WEB,50k-100k,LOW,KA,True
CUST0000283,False,BRANCH,100k-250k,MEDIUM,GJ,True
CUST0000284,False,MOBILE_APP,,MEDIUM,UP,True
CUST0000285,False,BRANCH,250k+,LOW,GJ,True
CUST0000286,False,THIRD_PARTY,250k+,LOW,KA,True
CUST0000287,False,WEB,0-50k,LOW,WB,True
CUST0000288,False,BRANCH,100k-250k,LOW,TN,True
CUST0000289,False,MOBILE_APP,50k-100k,LOW,DL,True
CUST0000290,False,WEB,250k+,LOW,MH,True
CUST0000291,False,WEB,100k-250k,LOW,RJ,True
CUST0000292,False,THIRD_PARTY,250k+,MEDIUM,UP,True
CUST0000293,False,MOBILE_APP,50k-100k,LOW,RJ,True
CUST0000294,False,BRANCH,50k-100k,HIGH,KA,True
CUST0000295,False,MOBILE_APP,250k+,LOW,TN,True
CUST0000296,False,MOBILE_APP,100k-250k,LOW,DL,True
CUST0000297,False,MOBILE_APP,,LOW,MH,True
CUST0000298,False,BRANCH,50k-100k,LOW,DL,True
CUST0000299,False,WEB,0-50k,LOW,DL,True
CUST0000300,False,MOBILE_APP,,LOW,GJ,True
CUST0000301,False,BRANCH,50k-100k,MEDIUM,MH,True
CUST0000302,False,WEB,100k-250k,LOW,RJ,True
CUST0000303,False,THIRD_PARTY,0-50k,LOW,RJ,True
CUST0000304,False,BRANCH,,HIGH,KA,True
CUST0000305,False,MOBILE_APP,0-50k,LOW,DL,True
CUST0000306,False,MOBILE_APP,250k+,LOW,RJ,True
CUST0000307,False,BRANCH,50k-100k,LOW,MH,True
CUST0000308,False,BRANCH,250k+,LOW,GJ,True
CUST0000309,False,MOBILE_APP,100k-250k,LOW,RJ,False
CUST0000310,False,BRANCH,0-50k,LOW,DL,True
CUST0000311,False,MOBILE_APP,250k+,MEDIUM,MH,True
CUST0000312,False,BRANCH,,MEDIUM,TN,True
CUST0000313,False,THIRD_PARTY,0-50k,LOW,UP,True
CUST0000314,False,WEB,100k-250k,LOW,TN,True
CUST0000315,False,THIRD_PARTY,,MEDIUM,MH,True
CUST0000316,False,BRANCH,0-50k,LOW,GJ,True
CUST0000317,False,THIRD_PARTY,0-50k,LOW,MH,False
CUST0000318,False,THIRD_PARTY,100k-250k,MEDIUM,UP,True
CUST0000319,False,WEB,50k-100k,MEDIUM,DL,False
CUST0000320,False,BRANCH,250k+,MEDIUM,KA,True
CUST0000321,False,THIRD_PARTY,250k+,LOW,UP,True
CUST0000322,False,THIRD_PARTY,250k+,MEDIUM,MH,True
CUST0000323,False,BRANCH,50k-100k,LOW,DL,True
CUST0000324,False,WEB,50k-100k,LOW,TN,True
CUST0000325,False,THIRD_PARTY,,LOW,MH,True
CUST0000326,False,MOBILE_APP,100k-250k,LOW,MH,True
CUST0000327,False,WEB,0-50k,MEDIUM,WB,True
CUST0000328,False,BRANCH,100k-250k,LOW,UP,True
CUST0000329,False,MOBILE_APP,50k-100k,MEDIUM,TN,True
CUST0000330,False,MOBILE_APP,0-50k,LOW,DL,True
CUST0000331,False,THIRD_PARTY,250k+,LOW,RJ,True
CUST0000332,False,THIRD_PARTY,100k-250k,MEDIUM,UP,True
CUST0000333,True,BRANCH,250k+,LOW,KA,True
CUST0000334,False,THIRD_PARTY,100k-250k,LOW,TN,True
CUST0000335,False,WEB,0-50k,LOW,DL,True
CUST0000336,False,MOBILE_APP,,LOW,RJ,True
CUST0000337,False,WEB,250k+,LOW,WB,True
CUST0000338,False,MOBILE_APP,50k-100k,LOW,RJ,True
CUST0000339,False,BRANCH,50k-100k,MEDIUM,DL,True
CUST0000340,False,MOBILE_APP,0-50k,LOW,WB,True
CUST0000341,False,THIRD_PARTY,100k-250k,LOW,WB,True
CUST0000342,False,BRANCH,250k+,HIGH,DL,False
CUST0000343,False,BRANCH,0-50k,LOW,GJ,True
CUST0000344,False,BRANCH,0-50k,LOW,RJ,True
CUST0000345,False,MOBILE_APP,0-50k,MEDIUM,WB,True
CUST0000346,False,WEB,,MEDIUM,KA,True
CUST0000347,False,THIRD_PARTY,50k-100k,LOW,GJ,True
CUST0000348,False,WEB,,LOW,GJ,True
CUST0000349,False,MOBILE_APP,100k-250k,LOW,DL,True
CUST0000350,False,WEB,50k-100k,LOW,DL,True
CUST0000351,False,WEB,,LOW,DL,True
CUST0000352,False,WEB,0-50k,LOW,KA,True
CUST0000353,False,BRANCH,100k-250k,MEDIUM,MH,True
CUST0000354,False,MOBILE_APP,50k-100k,LOW,WB,True
CUST0000355,False,MOBILE_APP,250k+,MEDIUM,DL,True
CUST0000356,False,THIRD_PARTY,100k-250k,MEDIUM,UP,True
CUST0000357,False,THIRD_PARTY,100k-250k,LOW,RJ,True
CUST0000358,False,BRANCH,0-50k,MEDIUM,DL,True
CUST0000359,False,MOBILE_APP,100k-250k,MEDIUM,KA,True
CUST0000360,False,THIRD_PARTY,50k-100k,LOW,KA,True
CUST0000361,False,THIRD_PARTY,50k-100k,LOW,DL,True
CUST0000362,False,BRANCH,,LOW,GJ,True
CUST0000363,False,THIRD_PARTY,100k-250k,LOW,UP,True
CUST0000364,False,THIRD_PARTY,0-50k,MEDIUM,TN,True
CUST0000365,False,THIRD_PARTY,0-50k,MEDIUM,UP,True
CUST0000366,False,THIRD_PARTY,0-50k,MEDIUM,TN,True
CUST0000367,False,WEB,50k-100k,LOW,TN,True
CUST0000368,False,BRANCH,,LOW,UP,True
CUST0000369,False,BRANCH,100k-250k,MEDIUM,UP,True
CUST0000370,False,WEB,0-50k,MEDIUM,GJ,True
CUST0000371,False,THIRD_PARTY,50k-100k,MEDIUM,WB,True
CUST0000372,True,MOBILE_APP,250k+,LOW,GJ,True
CUST0000373,False,THIRD_PARTY,0-50k,LOW,TN,True
CUST0000374,False,WEB,,LOW,UP,True
CUST0000375,False,THIRD_PARTY,,LOW,TN,True
CUST0000376,False,BRANCH,250k+,LOW,GJ,True
CUST0000377,False,THIRD_PARTY,100k-250k,HIGH,WB,True
CUST0000378,False,MOBILE_APP,250k+,HIGH,TN,True
CUST0000379,False,BRANCH,0-50k,LOW,KA,True
CUST0000380,False,THIRD_PARTY,0-50k,HIGH,DL,True
CUST0000381,False,THIRD_PARTY,100k-250k,LOW,KA,True
CUST0000382,False,MOBILE_APP,50k-100k,MEDIUM,TN,True
CUST0000383,False,THIRD_PARTY,100k-250k,LOW,DL,True
CUST0000384,False,WEB,50k-100k,MEDIUM,DL,True
CUST0000385,False,MOBILE_APP,250k+,LOW,UP,True
CUST0000386,False,WEB,50k-100k,MEDIUM,WB,True
CUST0000387,False,MOBILE_APP,0-50k,MEDIUM,WB,True
CUST0000388,False,BRANCH,0-50k,LOW,DL,True
CUST0000389,False,MOBILE_APP,50k-100k,LOW,UP,True
CUST0000390,False,MOBILE_APP,250k+,MEDIUM,TN,True
CUST0000391,False,WEB,0-50k,MEDIUM,MH,True
CUST0000392,False,WEB,50k-100k,MEDIUM,MH,True
CUST0000393,False,MOBILE_APP,250k+,LOW,UP,True
CUST0000394,False,BRANCH,100k-250k,LOW,WB,True
CUST0000395,False,MOBILE_APP,100k-250k,MEDIUM,GJ,True
CUST0000396,False,THIRD_PARTY,100k-250k,LOW,KA,True
CUST0000397,False,MOBILE_APP,,LOW,MH,True
CUST0000398,False,BRANCH,100k-250k,LOW,RJ,True
CUST0000399,False,WEB,100k-250k,LOW,TN,True
CUST0000400,False,THIRD_PARTY,100k-250k,LOW,KA,True
CUST0000401,False,MOBILE_APP,50k-100k,LOW,TN,False
CUST0000402,False,MOBILE_APP,250k+,LOW,DL,True
CUST0000403,False,MOBILE_APP,0-50k,MEDIUM,RJ,True
CUST0000404,False,WEB,250k+,MEDIUM,KA,True
CUST0000405,False,BRANCH,100k-250k,MEDIUM,MH,True
CUST0000406,False,THIRD_PARTY,50k-100k,LOW,GJ,True
CUST0000407,False,BRANCH,50k-100k,LOW,RJ,True
CUST0000408,True,BRANCH,,LOW,MH,True
CUST0000409,False,MOBILE_APP,0-50k,HIGH,KA,True
CUST0000410,False,THIRD_PARTY,50k-100k,LOW,DL,True
CUST0000411,False,THIRD_PARTY,,MEDIUM,MH,True
CUST0000412,False,WEB,0-50k,LOW,MH,True
CUST0000413,False,THIRD_PARTY,0-50k,MEDIUM,WB,True
CUST0000414,False,BRANCH,0-50k,LOW,RJ,True
CUST0000415,False,MOBILE_APP,0-50k,LOW,RJ,True
CUST0000416,False,MOBILE_APP,,LOW,KA,True
CUST0000417,False,MOBILE_APP,250k+,LOW,WB,True
CUST0000418,False,BRANCH,0-50k,MEDIUM,UP,True
CUST0000419,False,WEB,250k+,LOW,GJ,True
CUST0000420,False,WEB,0-50k,LOW,UP,True
CUST0000421,False,THIRD_PARTY,50k-100k,MEDIUM,RJ,False
CUST0000422,False,MOBILE_APP,50k-100k,MEDIUM,KA,True
CUST0000423,False,MOBILE_APP,100k-250k,MEDIUM,MH,True
CUST0000424,False,MOBILE_APP,100k-250k,LOW,GJ,True
CUST0000425,False,MOBILE_APP,100k-250k,MEDIUM,KA,True
CUST0000426,False,MOBILE_APP,0-50k,LOW,GJ,True
CUST0000427,False,THIRD_PARTY,,MEDIUM,MH,True
CUST0000428,False,WEB,50k-100k,LOW,DL,True
CUST0000429,False,WEB,50k-100k,LOW,MH,True
CUST0000430,False,BRANCH,250k+,MEDIUM,KA,True
CUST0000431,False,MOBILE_APP,50k-100k,MEDIUM,WB,True
CUST0000432,False,WEB,50k-100k,MEDIUM,UP,True
CUST0000433,False,WEB,250k+,LOW,KA,True
CUST0000434,False,THIRD_PARTY,250k+,LOW,RJ,True
CUST0000435,False,THIRD_PARTY,0-50k,HIGH,KA,True
CUST0000436,False,BRANCH,0-50k,LOW,WB,True
CUST0000437,False,BRANCH,250k+,MEDIUM,DL,True
CUST0000438,False,WEB,0-50k,LOW,RJ,True
CUST0000439,False,BRANCH,0-50k,LOW,TN,True
CUST0000440,False,WEB,,HIGH,TN,True
CUST0000441,False,THIRD_PARTY,0-50k,LOW,MH,True
