CASE_ID,ALERT_ID,INVESTIGATOR_ID,CASE_STATUS
CASE000212,ALT0005646,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000213,ALT0008755,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000214,ALT0007201,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000215,ALT0009952,INV_01,CLOSED_FALSE_POSITIVE
CASE000216,ALT0003685,INV_03,OPEN
CASE000217,ALT0005754,INV_02,CLOSED_SAR_FILED
CASE000218,ALT0002630,INV_02,CLOSED_FALSE_POSITIVE
CASE000219,ALT0007395,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000220,ALT0005120,INV_03,CLOSED_FALSE_POSITIVE
CASE000221,ALT0005699,INV_03,CLOSED_FALSE_POSITIVE
CASE000222,ALT0005956,INV_01,CLOSED_SAR_FILED
CASE000223,ALT0003373,INV_01,CLOSED_FALSE_POSITIVE
CASE000224,ALT0005024,INV_02,OPEN
CASE000225,ALT0005137,INV_01,CLOSED_FALSE_POSITIVE
CASE000226,ALT0007130,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000227,ALT0001934,INV_02,CLOSED_FALSE_POSITIVE
CASE000228,ALT0005203,INV_03,CLOSED_FALSE_POSITIVE
CASE000229,ALT0000983,INV_01,CLOSED_FALSE_POSITIVE
CASE000230,ALT0007690,INV_01,CLOSED_FALSE_POSITIVE
CASE000231,ALT0002497,INV_02,CLOSED_FALSE_POSITIVE
CASE000232,ALT0005796,INV_03,CLOSED_SAR_FILED
CASE000233,ALT0000575,INV_02,CLOSED_FALSE_POSITIVE
CASE000234,ALT0000750,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000235,ALT0003132,INV_03,CLOSED_FALSE_POSITIVE
CASE000236,ALT0008933,INV_02,CLOSED_SAR_FILED
CASE000237,ALT0006450,INV_03,CLOSED_FALSE_POSITIVE
CASE000238,ALT0006926,INV_01,CLOSED_FALSE_POSITIVE
CASE000239,ALT0005697,INV_03,OPEN
CASE000240,ALT0006523,INV_03,CLOSED_FALSE_POSITIVE
CASE000241,ALT0008187,INV_01,OPEN
CASE000242,ALT0005993,INV_03,OPEN
CASE000243,ALT0004484,INV_02,CLOSED_FALSE_POSITIVE
CASE000244,ALT0004880,INV_02,CLOSED_FALSE_POSITIVE
CASE000245,ALT0008015,INV_03,CLOSED_FALSE_POSITIVE
CASE000246,ALT0009924,INV_02,CLOSED_FALSE_POSITIVE
CASE000247,ALT0004499,INV_03,CLOSED_FALSE_POSITIVE
CASE000248,ALT0007206,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000249,ALT0000047,INV_02,CLOSED_SAR_FILED
CASE000250,ALT0008368,INV_02,CLOSED_FALSE_POSITIVE
CASE000251,ALT0005192,INV_03,CLOSED_FALSE_POSITIVE
CASE000252,ALT0009931,AUTO_SYS,OPEN
CASE000253,ALT0001716,INV_03,CLOSED_FALSE_POSITIVE
CASE000254,ALT0005772,INV_01,CLOSED_FALSE_POSITIVE
CASE000255,ALT0005825,INV_01,CLOSED_FALSE_POSITIVE
CASE000256,ALT0008519,INV_02,CLOSED_FALSE_POSITIVE
CASE000257,ALT0003196,INV_02,CLOSED_FALSE_POSITIVE
CASE000258,ALT0008028,INV_01,CLOSED_FALSE_POSITIVE
CASE000259,ALT0009735,INV_02,OPEN
CASE000260,ALT0005008,INV_03,OPEN
CASE000261,ALT0003141,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000262,ALT0008593,INV_02,OPEN
CASE000263,ALT0009715,INV_03,CLOSED_FALSE_POSITIVE
CASE000264,ALT0005336,INV_01,CLOSED_FALSE_POSITIVE
CASE000265,ALT0001170,INV_02,CLOSED_FALSE_POSITIVE
CASE000266,ALT0009004,INV_02,CLOSED_FALSE_POSITIVE
CASE000267,ALT0008005,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000268,ALT0003396,INV_02,CLOSED_FALSE_POSITIVE
CASE000269,ALT0003749,INV_01,CLOSED_FALSE_POSITIVE
CASE000270,ALT0000730,INV_01,CLOSED_FALSE_POSITIVE
CASE000271,ALT0005263,AUTO_SYS,CLOSED_SAR_FILED
CASE000272,ALT0003062,INV_02,CLOSED_FALSE_POSITIVE
CASE000273,ALT0009341,INV_03,OPEN
CASE000274,ALT0007603,INV_02,CLOSED_FALSE_POSITIVE
CASE000275,ALT0004734,INV_03,OPEN
CASE000276,ALT0005644,INV_01,CLOSED_FALSE_POSITIVE
CASE000277,ALT0008354,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000278,ALT0005660,INV_02,OPEN
CASE000279,ALT0000943,INV_01,CLOSED_FALSE_POSITIVE
CASE000280,ALT0004923,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000281,ALT0008822,INV_01,CLOSED_FALSE_POSITIVE
CASE000282,ALT0006912,INV_01,OPEN
CASE000283,ALT0002669,INV_02,CLOSED_FALSE_POSITIVE
CASE000284,ALT0009499,INV_01,OPEN
CASE000285,ALT0005912,INV_01,CLOSED_FALSE_POSITIVE
CASE000286,ALT0003157,INV_01,OPEN
CASE000287,ALT0001858,INV_02,CLOSED_FALSE_POSITIVE
CASE000288,ALT0001324,INV_03,CLOSED_SAR_FILED
CASE000289,ALT0002775,INV_02,CLOSED_FALSE_POSITIVE
CASE000290,ALT0007701,INV_03,OPEN
CASE000291,ALT0000307,INV_03,CLOSED_FALSE_POSITIVE
CASE000292,ALT0003066,INV_02,OPEN
CASE000293,ALT0001162,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000294,ALT0006115,INV_03,CLOSED_FALSE_POSITIVE
CASE000295,ALT0004553,INV_03,CLOSED_FALSE_POSITIVE
CASE000296,ALT0002765,INV_03,CLOSED_SAR_FILED
CASE000297,ALT0007530,INV_03,CLOSED_FALSE_POSITIVE
CASE000298,ALT0008622,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000299,ALT0000660,INV_02,CLOSED_SAR_FILED
CASE000300,ALT0005985,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000301,ALT0008729,INV_02,CLOSED_FALSE_POSITIVE
CASE000302,ALT0001481,INV_02,CLOSED_FALSE_POSITIVE
CASE000303,ALT0003572,INV_01,CLOSED_FALSE_POSITIVE
CASE000304,ALT0003003,INV_01,CLOSED_FALSE_POSITIVE
CASE000305,ALT0003972,INV_01,CLOSED_FALSE_POSITIVE
CASE000306,ALT0007654,INV_03,CLOSED_FALSE_POSITIVE
CASE000307,ALT0005404,AUTO_SYS,OPEN
CASE000308,ALT0004712,INV_02,CLOSED_FALSE_POSITIVE
CASE000309,ALT0002072,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000310,ALT0009118,INV_02,CLOSED_FALSE_POSITIVE
CASE000311,ALT0002968,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000312,ALT0005226,INV_01,OPEN
CASE000313,ALT0002283,INV_03,CLOSED_FALSE_POSITIVE
CASE000314,ALT0005204,AUTO_SYS,OPEN
CASE000315,ALT0002541,INV_02,CLOSED_FALSE_POSITIVE
CASE000316,ALT0002643,INV_02,CLOSED_FALSE_POSITIVE
CASE000317,ALT0004963,INV_03,CLOSED_FALSE_POSITIVE
CASE000318,ALT0001020,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000319,ALT0006435,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000320,ALT0007630,INV_02,CLOSED_FALSE_POSITIVE
CASE000321,ALT0000451,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000322,ALT0001818,INV_01,OPEN
CASE000323,ALT0003399,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000324,ALT0002040,INV_01,CLOSED_SAR_FILED
CASE000325,ALT0000862,INV_02,OPEN
CASE000326,ALT0005363,INV_02,CLOSED_FALSE_POSITIVE
CASE000327,ALT0002089,INV_02,CLOSED_SAR_FILED
CASE000328,ALT0001505,INV_03,CLOSED_FALSE_POSITIVE
CASE000329,ALT0004773,INV_02,CLOSED_FALSE_POSITIVE
CASE000330,ALT0008754,INV_03,CLOSED_FALSE_POSITIVE
CASE000331,ALT0009990,INV_02,CLOSED_FALSE_POSITIVE
CASE000332,ALT0003831,INV_01,CLOSED_FALSE_POSITIVE
CASE000333,ALT0001549,INV_03,OPEN
CASE000334,ALT0000076,INV_03,CLOSED_FALSE_POSITIVE
CASE000335,ALT0005370,INV_02,CLOSED_FALSE_POSITIVE
CASE000336,ALT0006749,AUTO_SYS,OPEN
CASE000337,ALT0008968,INV_02,OPEN
CASE000338,ALT0004831,INV_02,CLOSED_FALSE_POSITIVE
CASE000339,ALT0009179,AUTO_SYS,OPEN
CASE000340,ALT0009282,AUTO_SYS,CLOSED_SAR_FILED
CASE000341,ALT0002660,AUTO_SYS,OPEN
CASE000342,ALT0007830,AUTO_SYS,OPEN
CASE000343,ALT0008828,INV_01,CLOSED_FALSE_POSITIVE
CASE000344,ALT0005426,INV_03,CLOSED_FALSE_POSITIVE
CASE000345,ALT0009903,AUTO_SYS,CLOSED_SAR_FILED
CASE000346,ALT0006524,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000347,ALT0001225,INV_03,OPEN
CASE000348,ALT0001095,INV_02,CLOSED_FALSE_POSITIVE
CASE000349,ALT0008218,INV_02,CLOSED_FALSE_POSITIVE
CASE000350,ALT0006422,INV_02,CLOSED_FALSE_POSITIVE
CASE000351,ALT0002106,INV_01,CLOSED_SAR_FILED
CASE000352,ALT0008518,INV_01,CLOSED_FALSE_POSITIVE
CASE000353,ALT0000131,INV_03,CLOSED_FALSE_POSITIVE
CASE000354,ALT0005900,INV_02,CLOSED_FALSE_POSITIVE
CASE000355,ALT0009988,INV_03,CLOSED_FALSE_POSITIVE
CASE000356,ALT0003828,INV_02,CLOSED_FALSE_POSITIVE
CASE000357,ALT0006023,INV_02,CLOSED_SAR_FILED
CASE000358,ALT0009110,AUTO_SYS,CLOSED_SAR_FILED
CASE000359,ALT0006801,INV_03,CLOSED_FALSE_POSITIVE
CASE000360,ALT0008870,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000361,ALT0008739,INV_02,CLOSED_FALSE_POSITIVE
CASE000362,ALT0008303,INV_03,CLOSED_FALSE_POSITIVE
CASE000363,ALT0009015,INV_02,CLOSED_FALSE_POSITIVE
CASE000364,ALT0001116,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000365,ALT0007910,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000366,ALT0003522,INV_02,CLOSED_FALSE_POSITIVE
CASE000367,ALT0008342,INV_02,CLOSED_FALSE_POSITIVE
CASE000368,ALT0001900,INV_01,CLOSED_FALSE_POSITIVE
CASE000369,ALT0000577,INV_01,CLOSED_FALSE_POSITIVE
CASE000370,ALT0002083,INV_02,CLOSED_SAR_FILED
CASE000371,ALT0001033,INV_03,CLOSED_FALSE_POSITIVE
CASE000372,ALT0007992,INV_02,OPEN
CASE000373,ALT0006399,INV_03,CLOSED_FALSE_POSITIVE
CASE000374,ALT0008820,INV_02,CLOSED_FALSE_POSITIVE
CASE000375,ALT0006098,INV_03,CLOSED_FALSE_POSITIVE
CASE000376,ALT0005558,INV_03,CLOSED_SAR_FILED
CASE000377,ALT0007191,INV_02,CLOSED_FALSE_POSITIVE
CASE000378,ALT0001737,INV_02,CLOSED_FALSE_POSITIVE
CASE000379,ALT0009548,INV_02,CLOSED_FALSE_POSITIVE
CASE000380,ALT0007510,INV_01,CLOSED_FALSE_POSITIVE
CASE000381,ALT0005066,INV_02,CLOSED_FALSE_POSITIVE
CASE000382,ALT0006151,INV_02,CLOSED_FALSE_POSITIVE
CASE000383,ALT0008872,AUTO_SYS,OPEN
CASE000384,ALT0003803,AUTO_SYS,CLOSED_FALSE_POSITIVE
CASE000385,ALT0002848,AUTO_SYS,OPEN
CASE000386,ALT0007220,INV_01,CLOSED_FALSE_POSITIVE
CASE000387,ALT0009385,INV_03,CLOSED_FALSE_POSITIVE
CASE000388,ALT0008841,INV_02,CLOSED_SAR_FILED
CASE000389,ALT0002987,INV_02,CLOSED_FALSE_POSITIVE
CASE000390,ALT0002465,AUTO_SYS,CLOSED_SAR_FILED
CASE000391,ALT0002747,INV_02,OPEN
CASE000392,ALT0005408,INV_01,CLOSED_FALSE_POSITIVE
CASE000393,ALT0007908,AUTO_SYS,OPEN
CASE000394,ALT0006935,INV_03,OPEN
CASE000395,ALT0007342,AUTO_SYS,OPEN
CASE000396,ALT0000552,INV_03,CLOSED_FALSE_POSITIVE
CASE000397,ALT0006526,INV_03,CLOSED_FALSE_POSITIVE
CASE000398,ALT0007269,INV_01,OPEN
CASE000399,ALT0002900,INV_01,CLOSED_FALSE_POSITIVE
CASE000400,ALT0002048,INV_03,CLOSED_FALSE_POSITIVE
CASE000401,ALT0006784,INV_01,OPEN
CASE000402,ALT0006331,AUTO_SYS,CLOSED_SAR_FILED
CASE000403,ALT0000701,INV_02,CLOSED_FALSE_POSITIVE
CASE000404,ALT0004607,INV_03,CLOSED_FALSE_POSITIVE
CASE000405,ALT0007003,INV_02,CLOSED_FALSE_POSITIVE
CASE000406,ALT0001050,INV_02,CLOSED_FALSE_POSITIVE
CASE000407,ALT0005079,INV_02,CLOSED_FALSE_POSITIVE
CASE000408,ALT0002582,INV_01,CLOSED_FALSE_POSITIVE
CASE000409,ALT0004468,INV_01,OPEN
CASE000410,ALT0000065,INV_01,CLOSED_FALSE_POSITIVE
