STR_ID,ACCOUNT_ID,str_filed_date
STR0000039,ACCT100001000,2022-05-23 21:56:38.372475
STR0000040,ACCT100010396,2022-07-25 19:55:30.704846
STR0000041,ACCT100009428,2023-03-26 19:29:16.582775
STR0000042,ACCT100009832,2022-05-20 13:52:53.107485
STR0000043,ACCT100004977,2023-08-08 06:30:40.438147
STR0000044,ACCT100000113,2024-01-25 23:34:40.343271
STR0000045,ACCT100011379,2023-09-04 23:47:56.185354
STR0000046,ACCT100004845,2022-03-13 01:34:29.175871
STR0000047,ACCT100007706,2022-10-14 09:15:53.235576
STR0000048,ACCT100005810,2023-10-08 22:14:20.160660
STR0000049,ACCT100003333,2022-11-12 18:51:04.038240
STR0000050,ACCT100009905,2022-10-01 21:05:50.749314
STR0000051,ACCT100009114,2022-12-09 20:21:17.318354
STR0000052,ACCT100008941,2023-06-22 21:36:48.640295
STR0000053,ACCT100008900,2022-08-12 01:42:06.972863
STR0000054,ACCT100005165,2024-02-14 03:32:49.224819
STR0000055,ACCT100000796,2022-08-12 20:59:33.569013
STR0000056,ACCT100010575,2023-04-11 01:14:29.386935
STR0000057,ACCT100010177,2024-02-02 11:14:06.384346
STR0000058,ACCT100003477,2024-06-01 12:11:17.166196
STR0000059,ACCT100001169,2022-12-21 20:53:46.181272
STR0000060,ACCT100004713,2023-10-24 07:17:03.857729
STR0000061,ACCT100006671,2022-07-30 03:00:38.377359
STR0000062,ACCT100002645,2022-08-14 07:05:38.638111
STR0000063,ACCT100003031,2024-03-23 11:58:15.344207
STR0000064,ACCT100008015,2022-06-11 12:22:05.859809
STR0000065,ACCT100001406,2024-02-11 10:27:01.317817
STR0000066,ACCT100002456,2024-04-11 07:16:07.034299
STR0000067,ACCT100005883,2023-11-12 16:54:05.802582
STR0000068,ACCT100006522,2023-02-27 23:08:38.149997
STR0000069,ACCT100004662,2024-02-07 04:18:41.127433
STR0000070,ACCT100000420,2022-05-02 01:54:15.480858
STR0000071,ACCT100004276,2022-09-17 19:15:33.483306
STR0000072,ACCT100011254,2022-12-16 10:47:47.865521
STR0000073,ACCT100010872,2022-06-20 20:29:49.144521
STR0000074,ACCT100001547,2022-09-19 15:43:56.427016
STR0000075,ACCT100005500,2022-09-29 18:15:35.776626
STR0000076,ACCT100004603,2023-02-21 13:55:14.750975
STR0000077,ACCT100011142,2022-10-11 05:26:41.503968
STR0000078,ACCT100007321,2023-06-19 05:03:52.853909
STR0000079,ACCT100010039,2024-02-16 06:22:37.846232
STR0000080,ACCT100006977,2023-10-12 20:44:16.357453
STR0000081,ACCT100008855,2022-07-20 18:27:10.859903
STR0000082,ACCT100006521,2023-06-25 23:56:57.591577
STR0000083,ACCT100011581,2022-11-06 15:03:47.557355
STR0000084,ACCT100004649,2023-02-28 21:01:36.195409
STR0000085,ACCT100000467,2022-06-08 00:37:24.878855
STR0000086,ACCT100009420,2022-05-12 04:29:08.113529
STR0000087,ACCT100006870,2022-11-17 00:25:38.894045
STR0000088,ACCT100001946,2022-03-27 04:43:54.354257
STR0000089,ACCT100007033,2022-01-07 10:12:09.507052
STR0000090,ACCT100000812,2023-10-03 21:23:26.595434
STR0000091,ACCT100000916,2024-01-25 12:18:23.637731
STR0000092,ACCT100001284,2024-08-06 07:45:09.101053
STR0000093,ACCT100000968,2024-06-30 19:42:28.992401
STR0000094,ACCT100010087,2024-08-10 03:56:49.972914
STR0000095,ACCT100006984,2022-11-20 07:40:11.143445
STR0000096,ACCT100002936,2023-06-24 09:31:26.318565
STR0000097,ACCT100004134,2024-02-08 14:29:32.077099
STR0000098,ACCT100002533,2023-04-22 23:53:29.715578
STR0000099,ACCT100003862,2022-12-08 08:59:31.889508
STR0000100,ACCT100011426,2023-09-22 18:53:39.973323
STR0000101,ACCT100005194,2023-06-08 10:54:28.557226
STR0000102,ACCT100010609,2023-08-29 15:36:48.076936
STR0000103,ACCT100007581,2023-01-10 12:11:19.464862
STR0000104,ACCT100006858,2022-04-13 14:24:00.775527
STR0000105,ACCT100005329,2022-12-24 02:23:48.285275
STR0000106,ACCT100004339,2022-08-01 08:36:24.237280
STR0000107,ACCT100010860,2024-05-27 01:29:04.491993
STR0000108,ACCT100006816,2023-10-05 23:59:11.679423
STR0000109,ACCT100000837,2022-12-05 11:31:07.391706
STR0000110,ACCT100008873,2022-05-12 08:58:42.283774
STR0000111,ACCT100009291,2023-05-27 05:04:36.813349
STR0000112,ACCT100000088,2024-04-30 09:07:20.939886
STR0000113,ACCT100007825,2023-02-17 03:29:50.485891
STR0000114,ACCT100001636,2024-09-08 01:54:43.069351
STR0000115,ACCT100010356,2024-07-26 19:32:29.089608
STR0000116,ACCT100007698,2023-02-12 16:39:21.784821
STR0000117,ACCT100001492,2024-03-22 20:52:17.086003
STR0000118,ACCT100007362,2023-02-17 03:49:43.189510
STR0000119,ACCT100006436,2022-11-11 04:40:35.613300
STR0000120,ACCT100006047,2023-05-07 03:22:02.374458
STR0000121,ACCT100006692,2022-03-13 10:29:44.091494
STR0000122,ACCT100002868,2023-03-02 21:35:29.274748
STR0000123,ACCT100010390,2022-04-05 22:06:42.634510
STR0000124,ACCT100005124,2022-09-24 02:11:44.994353
STR0000125,ACCT100007318,2023-08-08 06:22:33.785395
STR0000126,ACCT100007519,2023-07-12 10:55:37.207028
STR0000127,ACCT100006268,2024-05-11 13:03:16.349252
STR0000128,ACCT100008860,2024-06-15 15:59:03.544171
STR0000129,ACCT100003460,2022-09-06 11:18:54.677890
STR0000130,ACCT100001691,2022-05-24 05:05:12.235893
STR0000131,ACCT100010181,2023-05-16 18:12:57.563589
STR0000132,ACCT100005276,2022-08-29 16:45:25.649190
STR0000133,ACCT100008487,2023-11-19 12:37:32.274911
STR0000134,ACCT100009228,2024-03-03 01:01:16.376905
STR0000135,ACCT100010082,2022-07-14 20:31:15.091416
STR0000136,ACCT100002362,2024-01-15 00:49:01.698595
STR0000137,ACCT100008571,2023-03-22 07:57:49.969528
STR0000138,ACCT100001852,2023-08-08 20:41:43.453534
STR0000139,ACCT100011892,2024-03-11 10:29:29.200868
STR0000140,ACCT100004180,2024-01-25 15:42:52.897012
STR0000141,ACCT100003405,2022-10-23 05:50:44.207479
STR0000142,ACCT100008035,2022-04-16 23:13:16.077836
STR0000143,ACCT100008529,2023-07-07 10:43:05.753092
STR0000144,ACCT100008361,2022-11-11 11:33:08.299872
STR0000145,ACCT100010731,2023-08-17 22:35:58.913852
STR0000146,ACCT100000070,2023-06-28 23:52:04.297231
STR0000147,ACCT100006805,2024-03-11 04:59:17.434903
STR0000148,ACCT100009059,2023-01-21 06:09:24.953452
STR0000149,ACCT100006574,2022-11-03 18:44:44.548223
STR0000150,ACCT100005725,2024-05-14 13:15:17.427624
STR0000151,ACCT100008049,2022-03-14 01:51:59.606551
STR0000152,ACCT100000004,2023-01-17 15:21:28.704167
STR0000153,ACCT100004715,2023-02-04 23:33:08.806899
STR0000154,ACCT100007385,2023-08-25 08:48:31.828624
STR0000155,ACCT100006361,2023-07-17 11:09:37.872518
STR0000156,ACCT100010550,2022-03-25 23:31:51.144362
STR0000157,ACCT100009050,2022-04-17 23:55:28.455797
STR0000158,ACCT100008725,2023-06-09 11:45:05.254533
STR0000159,ACCT100009341,2022-09-17 22:14:36.481418
STR0000160,ACCT100008539,2023-02-07 08:49:06.836898
STR0000161,ACCT100000571,2022-10-21 18:55:49.079693
STR0000162,ACCT100000343,2022-12-09 01:09:40.802648
STR0000163,ACCT100001717,2022-09-02 18:36:08.442664
STR0000164,ACCT100008108,2022-09-19 04:40:42.413054
STR0000165,ACCT100011336,2023-11-09 12:54:30.591462
STR0000166,ACCT100003680,2022-11-11 03:31:58.986200
STR0000167,ACCT100003186,2023-08-28 03:29:57.120527
STR0000168,ACCT100003877,2022-04-20 01:09:39.880744
STR0000169,ACCT100001341,2024-07-21 04:02:10.852728
STR0000170,ACCT100004068,2022-11-24 17:17:57.984780
STR0000171,ACCT100010358,2023-01-03 07:37:10.348202
STR0000172,ACCT100011722,2022-09-27 22:41:38.944892
STR0000173,ACCT100009390,2023-09-22 02:06:14.178470
STR0000174,ACCT100007950,2023-04-09 00:27:29.436308
STR0000175,ACCT100003996,2023-02-23 19:52:24.561822
STR0000176,ACCT100006862,2022-01-17 03:55:09.777308
STR0000177,ACCT100002231,2022-08-01 20:15:49.140396
STR0000178,ACCT100008268,2022-07-12 22:40:56.628070
STR0000179,ACCT100008237,2023-01-28 05:29:27.001900
STR0000180,ACCT100009204,2023-06-26 20:37:52.955280
STR0000181,ACCT100005223,2022-09-17 05:53:45.480786
STR0000182,ACCT100010033,2022-03-27 21:11:56.645686
STR0000183,ACCT100006599,2023-08-25 21:16:03.026904
STR0000184,ACCT100011291,2024-04-05 21:06:55.695450
STR0000185,ACCT100004545,2023-01-16 06:23:49.878441
STR0000186,ACCT100003586,2022-03-13 06:38:11.698736
STR0000187,ACCT100000602,2022-07-03 10:27:58.450123
STR0000188,ACCT100007421,2023-05-07 05:34:01.347724
STR0000189,ACCT100011646,2022-05-14 20:13:27.375968
STR0000190,ACCT100008190,2022-08-27 05:48:10.579049
STR0000191,ACCT100007383,2024-01-19 20:56:53.228887
STR0000192,ACCT100000368,2022-09-03 23:36:27.365251
STR0000193,ACCT100001338,2022-09-19 16:15:48.705431
STR0000194,ACCT100010835,2024-08-03 13:37:26.719709
STR0000195,ACCT100003113,2023-04-01 05:35:46.468760
STR0000196,ACCT100010590,2022-05-08 09:34:54.195848
STR0000197,ACCT100008545,2023-01-23 22:58:40.670701
STR0000198,ACCT100009001,2022-09-15 07:05:41.321689
STR0000199,ACCT100005153,2022-01-25 06:20:54.935795
STR0000200,ACCT100007727,2022-09-07 19:44:24.157295
STR0000201,ACCT100008002,2022-12-12 14:28:52.653146
STR0000202,ACCT100004848,2023-08-04 22:46:54.378666
STR0000203,ACCT100000112,2022-11-01 13:48:33.471932
STR0000204,ACCT100009017,2022-05-21 14:02:08.791233
STR0000205,ACCT100004395,2022-11-22 21:29:53.579382
STR0000206,ACCT100003055,2024-02-24 08:05:19.966539
STR0000207,ACCT100004432,2023-08-16 07:17:56.651588
STR0000208,ACCT100009953,2022-04-26 12:20:05.223383
STR0000209,ACCT100003767,2023-07-24 06:59:59.444746
STR0000210,ACCT100000043,2024-05-31 14:10:06.076221
STR0000211,ACCT100002198,2023-04-15 17:14:48.002484
STR0000212,ACCT100001353,2023-06-17 14:50:29.782886
STR0000213,ACCT100010252,2022-04-07 12:30:01.968471
STR0000214,ACCT100007712,2023-04-02 03:59:10.389056
STR0000215,ACCT100011100,2022-07-07 00:41:33.495354
STR0000216,ACCT100002796,2022-10-08 01:46:23.970818
STR0000217,ACCT100009462,2024-04-10 23:40:28.589366
STR0000218,ACCT100011735,2023-05-30 08:38:48.874171
STR0000219,ACCT100011620,2023-05-13 16:23:58.154771
STR0000220,ACCT100000781,2023-04-07 04:00:30.504388
STR0000221,ACCT100005536,2023-05-04 14:38:21.119362
STR0000222,ACCT100008167,2023-12-10 13:13:22.467687
STR0000223,ACCT100011447,2022-07-13 20:42:28.023543
STR0000224,ACCT100006736,2022-04-14 19:33:27.076170
STR0000225,ACCT100006397,2023-10-13 04:30:34.156373
STR0000226,ACCT100009767,2022-06-15 01:08:29.310012
STR0000227,ACCT100009453,2022-05-04 21:04:43.762614
STR0000228,ACCT100003158,2024-04-30 06:12:52.866146
STR0000229,ACCT100011981,2023-09-28 15:44:28.326233
STR0000230,ACCT100010507,2022-10-18 18:07:36.855339
STR0000231,ACCT100009288,2022-05-24 23:02:25.540323
STR0000232,ACCT100011658,2022-12-25 14:31:22.305920
STR0000233,ACCT100010795,2022-04-13 05:58:10.613849
STR0000234,ACCT100000282,2024-05-03 00:48:22.784269
STR0000235,ACCT100008249,2023-07-15 04:24:44.353942
STR0000236,ACCT100006757,2022-06-11 06:06:53.362028
STR0000237,ACCT100001138,2023-01-31 01:50:49.595939
STR0000238,ACCT100004714,2022-03-26 12:15:52.961217
STR0000239,ACCT100010388,2022-06-30 13:15:38.306541
STR0000240,ACCT100009639,2023-07-06 14:56:24.598640
STR0000241,ACCT100008086,2024-03-31 03:45:59.123142
STR0000242,ACCT100002978,2022-03-20 05:59:59.702911
STR0000243,ACCT100004644,2022-12-27 13:42:48.127521
STR0000244,ACCT100008046,2022-04-10 12:35:37.892524
STR0000245,ACCT100006865,2024-08-11 16:21:22.210682
STR0000246,ACCT100003920,2023-09-21 17:20:16.894366
STR0000247,ACCT100002573,2024-08-28 05:46:48.028583
STR0000248,ACCT100007466,2022-06-07 04:08:46.677939
STR0000249,ACCT100011585,2024-01-20 18:50:37.459951
STR0000250,ACCT100004559,2022-11-29 08:25:15.936390
STR0000251,ACCT100001977,2023-05-18 12:04:48.241833
STR0000252,ACCT100007654,2023-08-04 07:17:56.235929
STR0000253,ACCT100000254,2022-06-16 21:49:03.308073
STR0000254,ACCT100001090,2022-10-08 19:39:30.189795
STR0000255,ACCT100004406,2022-01-25 20:54:12.039618
STR0000256,ACCT100010667,2022-11-11 02:31:37.933512
STR0000257,ACCT100010375,2022-05-02 21:04:42.432348
STR0000258,ACCT100006186,2023-10-22 00:46:51.963867
STR0000259,ACCT100008722,2023-08-31 05:00:35.888463
STR0000260,ACCT100002646,2024-07-15 20:24:06.790692
STR0000261,ACCT100003091,2022-08-22 17:09:50.250695
STR0000262,ACCT100007856,2023-02-08 14:02:36.438608
STR0000263,ACCT100001588,2022-10-01 08:02:42.720737
STR0000264,ACCT100000026,2022-04-26 16:28:50.838180
STR0000265,ACCT100008371,2023-04-09 05:30:31.585179
STR0000266,ACCT100002187,2023-06-12 03:55:17.221236
STR0000267,ACCT100006030,2023-01-04 15:15:09.321849
STR0000268,ACCT100011571,2022-01-19 22:35:27.806605
STR0000269,ACCT100010239,2023-05-25 06:26:07.960141
STR0000270,ACCT100008581,2024-04-27 01:24:13.061772
STR0000271,ACCT100008762,2022-05-19 06:08:23.959163
STR0000272,ACCT100000694,2023-03-17 09:30:18.850612
STR0000273,ACCT100005642,2023-05-31 10:11:28.305688
STR0000274,ACCT100004376,2023-01-22 04:31:53.825834
STR0000275,ACCT100009375,2022-10-25 19:43:08.219752
STR0000276,ACCT100003030,2023-05-15 09:49:30.612414
STR0000277,ACCT100007183,2023-05-23 13:33:07.161747
STR0000278,ACCT100007799,2022-03-08 13:23:03.910544
STR0000279,ACCT100002520,2022-04-08 07:18:43.617170
STR0000280,ACCT100003343,2022-12-26 08:01:27.036214
STR0000281,ACCT100003945,2023-05-16 07:57:49.231814
STR0000282,ACCT100004010,2022-11-24 07:50:17.069898
STR0000283,ACCT100002420,2024-05-21 01:42:04.453955
STR0000284,ACCT100006480,2023-12-20 13:26:14.089590
STR0000285,ACCT100007061,2022-08-01 10:44:50.553497
STR0000286,ACCT100001624,2024-02-09 15:26:21.630000
STR0000287,ACCT100009816,2024-01-03 22:12:20.689901
STR0000288,ACCT100011475,2023-02-28 21:08:32.372485
STR0000289,ACCT100007719,2022-08-10 12:24:33.079047
STR0000290,ACCT100000608,2022-05-04 17:51:52.634731
STR0000291,ACCT100004513,2022-08-19 18:01:42.474620
STR0000292,ACCT100009304,2022-03-06 11:06:58.408048
STR0000293,ACCT100001022,2023-12-22 12:48:38.131751
STR0000294,ACCT100009514,2023-01-05 07:59:31.510978
STR0000295,ACCT100008023,2023-04-29 10:29:16.189644
STR0000296,ACCT100004793,2022-06-15 17:31:11.225081
STR0000297,ACCT100007994,2023-02-08 16:51:59.817850
STR0000298,ACCT100001787,2023-09-06 00:19:53.406917
STR0000299,ACCT100006964,2022-06-30 13:49:48.127683
STR0000300,ACCT100011810,2022-03-19 21:41:07.547652
STR0000301,ACCT100007265,2023-04-03 03:09:14.841621
STR0000302,ACCT100009849,2022-07-14 07:55:43.300929
STR0000303,ACCT100001749,2022-09-20 08:54:58.379753
STR0000304,ACCT100001505,2024-01-15 06:00:34.254125
STR0000305,ACCT100005171,2022-11-29 14:40:34.943176
STR0000306,ACCT100005040,2023-04-27 22:53:02.871038
STR0000307,ACCT100006296,2022-12-04 14:05:52.271190
STR0000308,ACCT100001959,2023-05-22 03:40:57.429931
STR0000309,ACCT100008216,2022-09-21 06:43:32.009458
STR0000310,ACCT100002668,2024-03-31 23:00:37.326052
STR0000311,ACCT100001827,2024-07-14 06:08:05.271010
STR0000312,ACCT100007215,2022-11-28 21:10:03.235360
STR0000313,ACCT100004260,2022-10-15 01:33:24.970822
STR0000314,ACCT100001112,2023-09-17 21:29:05.174982
STR0000315,ACCT100008286,2022-03-11 11:51:33.494790
STR0000316,ACCT100008115,2022-10-07 02:32:35.780358
STR0000317,ACCT100003216,2022-06-26 15:12:43.917027
STR0000318,ACCT100002459,2023-10-19 19:46:07.926959
STR0000319,ACCT100007153,2022-04-28 03:24:32.334922
STR0000320,ACCT100001262,2022-05-04 13:25:58.234931
STR0000321,ACCT100011837,2022-07-13 14:09:07.533457
STR0000322,ACCT100008436,2022-09-10 16:49:17.576610
STR0000323,ACCT100001964,2023-11-23 12:51:26.839029
STR0000324,ACCT100009519,2023-03-26 19:54:08.492956
STR0000325,ACCT100009287,2022-04-22 09:50:17.378273
STR0000326,ACCT100003717,2023-09-09 00:17:27.100347
STR0000327,ACCT100007179,2022-08-24 12:38:08.078102
STR0000328,ACCT100002900,2022-04-15 18:40:01.391389
STR0000329,ACCT100008758,2023-01-24 23:02:52.911240
STR0000330,ACCT100012000,2023-03-23 16:58:55.856894
STR0000331,ACCT100008776,2022-09-02 00:30:04.870928
STR0000332,ACCT100006227,2024-07-10 05:18:28.991168
STR0000333,ACCT100000487,2022-05-06 17:43:42.686377
STR0000334,ACCT100001967,2022-03-23 07:43:52.953214
STR0000335,ACCT100011308,2024-03-24 22:28:56.088871
STR0000336,ACCT100006430,2022-04-24 00:45:17.877576
STR0000337,ACCT100004167,2022-05-08 20:09:09.200559
STR0000338,ACCT100006573,2022-09-06 21:53:11.444398
STR0000339,ACCT100000016,2024-05-24 05:14:39.580164
STR0000340,ACCT100008008,2023-06-05 08:56:33.160465
STR0000341,ACCT100001703,2022-08-25 06:47:30.027684
STR0000342,ACCT100001199,2024-03-01 01:42:12.644881
STR0000343,ACCT100007439,2023-04-19 00:51:58.484097
STR0000344,ACCT100004889,2022-05-05 01:22:15.191007
STR0000345,ACCT100004259,2022-06-01 03:36:05.756969
STR0000346,ACCT100001151,2023-08-09 23:34:53.298167
STR0000347,ACCT100005954,2023-12-14 20:58:48.357164
STR0000348,ACCT100008232,2024-03-21 12:25:22.936435
STR0000349,ACCT100008919,2022-07-30 04:44:58.623155
STR0000350,ACCT100011228,2023-05-27 01:52:56.093586
STR0000351,ACCT100009052,2023-01-14 04:17:55.511158
STR0000352,ACCT100010565,2022-03-04 19:46:38.616847
STR0000353,ACCT100009124,2024-08-07 23:15:18.372144
STR0000354,ACCT100001065,2022-07-05 07:11:23.921891
STR0000355,ACCT100002401,2022-11-25 07:05:28.334769
STR0000356,ACCT100001347,2023-04-23 07:48:53.989780
STR0000357,ACCT100002247,2024-04-11 12:55:25.996093
STR0000358,ACCT100003429,2023-12-18 07:50:23.171708
STR0000359,ACCT100002608,2022-09-27 01:58:58.945594
STR0000360,ACCT100004201,2023-09-29 09:20:24.607738
STR0000361,ACCT100004131,2022-05-04 12:14:30.704941
STR0000362,ACCT100008349,2022-01-21 17:38:22.836154
STR0000363,ACCT100002987,2024-06-17 14:10:40.567572
STR0000364,ACCT100006374,2023-02-22 20:57:09.225524
STR0000365,ACCT100006830,2022-02-18 09:25:11.237564
STR0000366,ACCT100008021,2023-03-12 08:18:55.116674
STR0000367,ACCT100004784,2022-07-22 12:42:45.066521
STR0000368,ACCT100003011,2024-01-20 21:27:06.712892
STR0000369,ACCT100000982,2022-02-01 23:29:37.434156
STR0000370,ACCT100011224,2022-08-10 06:21:13.313947
STR0000371,ACCT100011148,2022-08-05 21:27:17.719317
STR0000372,ACCT100000298,2022-03-27 19:21:18.521764
STR0000373,ACCT100006154,2022-06-03 08:14:42.821154
STR0000374,ACCT100010140,2022-09-08 05:44:50.238844
STR0000375,ACCT100000242,2023-06-04 15:37:24.063859
STR0000376,ACCT100008798,2022-11-28 05:48:17.789186
STR0000377,ACCT100008988,2022-10-19 10:55:52.656577
STR0000378,ACCT100009684,2023-08-19 11:54:46.805779
STR0000379,ACCT100001285,2022-12-23 03:44:10.713475
STR0000380,ACCT100010148,2022-04-03 17:18:02.553088
STR0000381,ACCT100004999,2022-12-29 05:26:30.934793
STR0000382,ACCT100007836,2022-03-03 14:19:54.804775
STR0000383,ACCT100001648,2023-07-25 22:38:18.459494
STR0000384,ACCT100002469,2023-02-11 16:26:19.285090
STR0000385,ACCT100005021,2022-10-02 12:26:06.304490
STR0000386,ACCT100001789,2022-05-13 04:09:52.915262
STR0000387,ACCT100006770,2024-07-07 06:58:21.981686
STR0000388,ACCT100004807,2024-02-26 14:07:40.362722
STR0000389,ACCT100007382,2023-12-04 00:24:37.846073
STR0000390,ACCT100000506,2024-02-06 01:08:23.172963
STR0000391,ACCT100008091,2023-11-04 21:37:34.133662
STR0000392,ACCT100007161,2022-09-25 08:26:29.218121
STR0000393,ACCT100006900,2023-05-03 12:58:44.860487
STR0000394,ACCT100011814,2022-02-25 20:49:01.533058
STR0000395,ACCT100008217,2023-11-28 00:35:43.163375
STR0000396,ACCT100008460,2024-03-24 20:52:34.290190
STR0000397,ACCT100006532,2023-11-17 19:58:35.986842
STR0000398,ACCT100010196,2024-03-11 07:53:43.191937
STR0000399,ACCT100001095,2022-08-22 04:25:01.373074
STR0000400,ACCT100011623,2022-07-28 00:51:30.771173
STR0000401,ACCT100005533,2022-12-18 09:22:43.734299
STR0000402,ACCT100004424,2023-12-29 19:16:07.831465
STR0000403,ACCT100010393,2023-03-27 08:07:17.837826
STR0000404,ACCT100010638,2024-04-03 00:14:25.816464
STR0000405,ACCT100002183,2024-04-19 00:34:22.485919
STR0000406,ACCT100006350,2022-08-10 10:14:34.821353
STR0000407,ACCT100005273,2023-03-01 16:21:29.375577
STR0000408,ACCT100011910,2022-08-19 07:11:59.070284
STR0000409,ACCT100005696,2023-09-14 23:24:35.954614
STR0000410,ACCT100010711,2023-11-24 20:46:16.824504
STR0000411,ACCT100005077,2023-06-22 15:58:55.835144
STR0000412,ACCT100006073,2024-05-25 10:13:51.773920
STR0000413,ACCT100008001,2023-11-05 06:11:01.263784
STR0000414,ACCT100008858,2023-02-01 01:00:08.788178
STR0000415,ACCT100001017,2022-10-12 22:17:46.671101
STR0000416,ACCT100007568,2022-07-23 11:12:35.462540
STR0000417,ACCT100000691,2024-05-25 20:17:30.133174
STR0000418,ACCT100002536,2023-04-24 03:47:06.270950
STR0000419,ACCT100008564,2022-06-02 12:15:50.624071
STR0000420,ACCT100007260,2022-05-26 12:31:14.877382
STR0000421,ACCT100006628,2022-07-18 04:34:58.662865
STR0000422,ACCT100000482,2022-10-23 14:27:47.628587
STR0000423,ACCT100006044,2023-01-22 03:35:37.269475
STR0000424,ACCT100000712,2023-10-31 13:15:44.407079
STR0000425,ACCT100007720,2022-03-26 17:21:53.242797
STR0000426,ACCT100002586,2022-10-10 09:19:56.513749
STR0000427,ACCT100005813,2022-10-01 00:39:28.646177
STR0000428,ACCT100008192,2022-02-08 09:44:49.227831
STR0000429,ACCT100001417,2023-03-06 00:23:42.712779
STR0000430,ACCT100003781,2022-03-06 11:57:11.756732
STR0000431,ACCT100004939,2022-05-30 15:17:44.502147
STR0000432,ACCT100004030,2022-08-24 15:37:47.434924
STR0000433,ACCT100000668,2024-05-22 09:45:08.605659
STR0000434,ACCT100007594,2022-06-05 11:36:14.687173
STR0000435,ACCT100007246,2023-08-18 17:15:16.793530
STR0000436,ACCT100008511,2023-03-09 15:03:47.326993
STR0000437,ACCT100007233,2023-09-19 16:07:59.847666
STR0000438,ACCT100003258,2023-10-21 07:03:10.140968
STR0000439,ACCT100005278,2022-08-10 18:11:24.234249
STR0000440,ACCT100011202,2022-05-01 08:53:39.428322
STR0000441,ACCT100004636,2022-02-09 01:21:56.245320
STR0000442,ACCT100005958,2022-07-09 15:40:43.730130
STR0000443,ACCT100004120,2022-03-06 12:18:53.795993
STR0000444,ACCT100006988,2023-03-07 00:52:04.997126
STR0000445,ACCT100005653,2022-03-27 01:39:49.976841
STR0000446,ACCT100007968,2022-07-04 18:20:26.543053
STR0000447,ACCT100003577,2022-08-20 11:58:34.546643
STR0000448,ACCT100008437,2022-11-22 07:37:32.686235
STR0000449,ACCT100004191,2024-04-24 12:23:18.720227
STR0000450,ACCT100002069,2022-09-14 07:16:07.523774
STR0000451,ACCT100005783,2022-10-13 00:25:41.419752
STR0000452,ACCT100006507,2024-07-23 01:13:47.133397
STR0000453,ACCT100001475,2023-11-28 12:45:04.959696
STR0000454,ACCT100001188,2024-07-28 20:44:22.573875
STR0000455,ACCT100006179,2023-08-05 01:07:06.072927
STR0000456,ACCT100004403,2023-10-06 14:17:34.353902
STR0000457,ACCT100010263,2023-10-12 06:48:53.480011
STR0000458,ACCT100006241,2022-07-10 09:25:23.603302
STR0000459,ACCT100003008,2022-10-04 03:34:42.655504
STR0000460,ACCT100008726,2023-01-09 12:52:01.396423
STR0000461,ACCT100003793,2023-05-02 08:19:26.114729
STR0000462,ACCT100001444,2023-02-08 20:15:58.854527
STR0000463,ACCT100004711,2023-06-20 02:03:05.527010
STR0000464,ACCT100006109,2022-11-19 12:02:02.342943
STR0000465,ACCT100004902,2023-04-19 03:02:17.049134
