account_id,customer_id,account_type,account_open_date,account_status,dormancy_flag,last_dormant_date,account_close_date
ACC_000033,CUST_00028,SAVINGS,1998-11-15,ACTIVE,N,,
ACC_000034,CUST_00029,SAVINGS,1961-03-21,ACTIVE,N,,
ACC_000035,CUST_00030,SAVINGS,1990-01-31,ACTIVE,N,,
ACC_000036,CUST_00031,SAVINGS,2018-04-16,ACTIVE,N,,
ACC_000037,CUST_00032,SAVINGS,2019-10-16,ACTIVE,N,,
ACC_000038,CUST_00032,SAVINGS,2024-05-26,ACTIVE,N,,
ACC_000039,CUST_00033,SAVINGS,1960-08-21,ACTIVE,N,,
ACC_000040,CUST_00034,CURRENT,1987-08-16,ACTIVE,N,,
ACC_000041,CUST_00035,SAVINGS,1980-12-30,ACTIVE,N,,
ACC_000042,CUST_00036,SAVINGS,1963-05-24,ACTIVE,N,,
ACC_000043,CUST_00036,SAVINGS,1966-02-21,ACTIVE,N,,
ACC_000044,CUST_00037,SAVINGS,1959-09-17,ACTIVE,N,,
ACC_000045,CUST_00038,SAVINGS,1999-01-11,ACTIVE,N,,
ACC_000046,CUST_00039,SAVINGS,1955-03-18,ACTIVE,N,,
ACC_000047,CUST_00040,CURRENT,2024-04-25,ACTIVE,N,,
ACC_000048,CUST_00041,SAVINGS,1977-04-06,ACTIVE,N,,
ACC_000049,CUST_00042,SAVINGS,1995-06-05,ACTIVE,N,,
ACC_000050,CUST_00043,SAVINGS,1976-10-06,ACTIVE,N,,
ACC_000051,CUST_00043,SAVINGS,1994-10-23,ACTIVE,N,,
ACC_000052,CUST_00044,CURRENT,1984-01-11,ACTIVE,N,,
ACC_000053,CUST_00045,SAVINGS,1991-03-15,ACTIVE,N,,
ACC_000054,CUST_00046,CURRENT,1987-05-10,ACTIVE,N,,
ACC_000055,CUST_00047,SAVINGS,1975-12-12,ACTIVE,N,,
ACC_000056,CUST_00047,SAVINGS,1968-10-06,ACTIVE,N,,
ACC_000057,CUST_00048,SAVINGS,2023-12-02,ACTIVE,N,,
ACC_000058,CUST_00049,SAVINGS,1985-07-17,ACTIVE,N,,
ACC_000059,CUST_00050,SAVINGS,1951-03-01,ACTIVE,N,,
ACC_000060,CUST_00051,SAVINGS,1990-10-04,ACTIVE,N,,
ACC_000061,CUST_00052,CURRENT,1988-05-11,ACTIVE,N,,
ACC_000062,CUST_00053,CURRENT,1997-03-06,ACTIVE,N,,
ACC_000063,CUST_00053,CURRENT,2004-12-16,DORMANT,Y,2018-10-06,
ACC_000064,CUST_00054,CURRENT,1951-08-15,ACTIVE,N,,
ACC_000065,CUST_00054,CURRENT,2014-03-29,DORMANT,Y,2022-12-17,
ACC_000066,CUST_00054,CURRENT,1970-04-26,INACTIVE,N,,1997-05-14
ACC_000067,CUST_00055,SAVINGS,1980-12-21,ACTIVE,N,,
ACC_000068,CUST_00056,CURRENT,1980-11-19,INACTIVE,N,,1995-03-02
ACC_000069,CUST_00057,SAVINGS,2014-07-28,DORMANT,Y,2018-07-19,
ACC_000070,CUST_00058,SAVINGS,2020-03-15,DORMANT,Y,2024-11-25,
ACC_000071,CUST_00059,SAVINGS,2013-10-18,INACTIVE,N,,2021-08-24
ACC_000072,CUST_00060,CURRENT,1996-05-13,ACTIVE,N,,
ACC_000073,CUST_00060,CURRENT,1961-09-08,ACTIVE,N,,
ACC_000074,CUST_00061,SAVINGS,1992-08-11,ACTIVE,N,,
ACC_000075,CUST_00062,CURRENT,1975-07-26,ACTIVE,N,,
ACC_000076,CUST_00063,SAVINGS,2008-05-11,ACTIVE,N,,
ACC_000077,CUST_00063,SAVINGS,2006-11-06,ACTIVE,N,,
ACC_000078,CUST_00064,SAVINGS,1978-07-11,ACTIVE,N,,
ACC_000079,CUST_00065,SAVINGS,2009-09-14,ACTIVE,N,,
ACC_000080,CUST_00065,SAVINGS,2011-03-30,ACTIVE,N,,
ACC_000081,CUST_00066,SAVINGS,1954-02-05,ACTIVE,N,,
ACC_000082,CUST_00067,SAVINGS,2000-12-30,DORMANT,Y,2005-09-21,
ACC_000083,CUST_00068,SAVINGS,1967-06-21,ACTIVE,N,,
ACC_000084,CUST_00068,SAVINGS,1991-08-04,ACTIVE,N,,
ACC_000085,CUST_00068,SAVINGS,1951-04-27,ACTIVE,N,,
ACC_000086,CUST_00069,SAVINGS,2018-01-09,ACTIVE,N,,
ACC_000087,CUST_00070,SAVINGS,1998-04-09,INACTIVE,N,,2009-10-31
ACC_000088,CUST_00071,SAVINGS,1980-09-09,ACTIVE,N,,
ACC_000089,CUST_00072,SAVINGS,2007-01-17,ACTIVE,N,,
ACC_000090,CUST_00073,SAVINGS,2007-12-10,ACTIVE,N,,
ACC_000091,CUST_00074,SAVINGS,2004-11-24,ACTIVE,N,,
ACC_000092,CUST_00075,SAVINGS,2023-03-03,ACTIVE,N,,
ACC_000093,CUST_00076,SAVINGS,1990-10-13,ACTIVE,N,,
ACC_000094,CUST_00077,SAVINGS,1994-05-19,ACTIVE,N,,
ACC_000095,CUST_00077,SAVINGS,1953-03-01,ACTIVE,N,,
ACC_000096,CUST_00078,SAVINGS,1954-05-21,ACTIVE,N,,
ACC_000097,CUST_00078,SAVINGS,1968-12-08,ACTIVE,N,,
ACC_000098,CUST_00079,CURRENT,1970-12-02,ACTIVE,N,,
ACC_000099,CUST_00080,SAVINGS,1994-12-12,ACTIVE,N,,
ACC_000100,CUST_00080,SAVINGS,2003-03-15,ACTIVE,N,,
ACC_000101,CUST_00081,CURRENT,2001-11-24,INACTIVE,N,,2008-11-04
ACC_000102,CUST_00082,SAVINGS,2003-03-02,ACTIVE,N,,
ACC_000103,CUST_00083,SAVINGS,1958-09-03,ACTIVE,N,,
ACC_000104,CUST_00084,SAVINGS,2022-09-29,ACTIVE,N,,
ACC_000105,CUST_00085,SAVINGS,2002-08-05,ACTIVE,N,,
ACC_000106,CUST_00086,SAVINGS,1975-08-20,DORMANT,Y,2007-12-10,
ACC_000107,CUST_00087,SAVINGS,1964-10-14,INACTIVE,N,,1987-03-01
ACC_000108,CUST_00088,SAVINGS,2011-06-15,ACTIVE,N,,
ACC_000109,CUST_00088,SAVINGS,1991-06-19,ACTIVE,N,,
ACC_000110,CUST_00089,CURRENT,1962-09-10,ACTIVE,N,,
ACC_000111,CUST_00090,SAVINGS,1973-05-01,ACTIVE,N,,
ACC_000112,CUST_00091,SAVINGS,1964-03-13,ACTIVE,N,,
ACC_000113,CUST_00092,SAVINGS,1974-03-06,DORMANT,Y,1976-05-10,
ACC_000114,CUST_00093,SAVINGS,2016-07-02,DORMANT,Y,2016-09-23,
ACC_000115,CUST_00094,SAVINGS,1975-05-30,ACTIVE,N,,
ACC_000116,CUST_00094,SAVINGS,1977-01-31,ACTIVE,N,,
ACC_000117,CUST_00094,SAVINGS,1959-06-17,ACTIVE,N,,
ACC_000118,CUST_00095,SAVINGS,2002-07-09,ACTIVE,N,,
ACC_000119,CUST_00096,SAVINGS,1988-08-17,DORMANT,Y,2002-08-21,
ACC_000120,CUST_00096,SAVINGS,1981-09-19,ACTIVE,N,,
ACC_000121,CUST_00096,CURRENT,1989-08-14,DORMANT,Y,1994-05-19,
ACC_000122,CUST_00097,SAVINGS,2011-11-18,ACTIVE,N,,
ACC_000123,CUST_00097,SAVINGS,1957-10-27,ACTIVE,N,,
ACC_000124,CUST_00098,SAVINGS,2000-03-04,ACTIVE,N,,
ACC_000125,CUST_00099,SAVINGS,2020-07-28,INACTIVE,N,,2020-08-31
ACC_000126,CUST_00100,SAVINGS,1973-05-21,ACTIVE,N,,
ACC_000127,CUST_00101,SAVINGS,1994-06-22,ACTIVE,N,,
ACC_000128,CUST_00102,SAVINGS,2005-12-02,ACTIVE,N,,
ACC_000129,CUST_00102,SAVINGS,2003-03-25,DORMANT,Y,2008-07-27,
ACC_000130,CUST_00103,SAVINGS,1965-01-27,ACTIVE,N,,
ACC_000131,CUST_00104,SAVINGS,1967-07-30,ACTIVE,N,,
ACC_000132,CUST_00105,CURRENT,2023-01-05,ACTIVE,N,,
ACC_000133,CUST_00105,CURRENT,2006-12-12,DORMANT,Y,2023-03-21,
ACC_000134,CUST_00106,SAVINGS,1959-05-12,ACTIVE,N,,
ACC_000135,CUST_00107,SAVINGS,2002-12-10,ACTIVE,N,,
ACC_000136,CUST_00108,SAVINGS,1978-02-07,ACTIVE,N,,
ACC_000137,CUST_00109,SAVINGS,1967-09-07,ACTIVE,N,,
ACC_000138,CUST_00110,SAVINGS,1977-12-29,ACTIVE,N,,
ACC_000139,CUST_00111,CURRENT,1992-02-28,ACTIVE,N,,
ACC_000140,CUST_00112,SAVINGS,2008-10-27,ACTIVE,N,,
ACC_000141,CUST_00113,CURRENT,2014-08-14,ACTIVE,N,,
ACC_000142,CUST_00114,CURRENT,1971-08-12,ACTIVE,N,,
ACC_000143,CUST_00115,SAVINGS,1992-03-26,ACTIVE,N,,
ACC_000144,CUST_00116,CURRENT,1977-08-16,ACTIVE,N,,
ACC_000145,CUST_00117,SAVINGS,2018-05-22,DORMANT,Y,2024-06-25,
ACC_000146,CUST_00118,SAVINGS,2012-06-18,ACTIVE,N,,
ACC_000147,CUST_00119,CURRENT,1987-06-28,ACTIVE,N,,
ACC_000148,CUST_00120,SAVINGS,1977-06-14,ACTIVE,N,,
ACC_000149,CUST_00120,SAVINGS,1951-01-06,ACTIVE,N,,
ACC_000150,CUST_00121,SAVINGS,1969-06-03,ACTIVE,N,,
ACC_000151,CUST_00122,CURRENT,2010-08-31,ACTIVE,N,,
ACC_000152,CUST_00123,SAVINGS,1958-09-15,ACTIVE,N,,
ACC_000153,CUST_00124,SAVINGS,2004-05-03,ACTIVE,N,,
ACC_000154,CUST_00125,SAVINGS,1983-08-06,ACTIVE,N,,
ACC_000155,CUST_00126,CURRENT,2021-07-27,INACTIVE,N,,2022-12-19
ACC_000156,CUST_00127,SAVINGS,2016-10-26,ACTIVE,N,,
ACC_000157,CUST_00128,CURRENT,2012-08-19,ACTIVE,N,,
ACC_000158,CUST_00129,SAVINGS,2012-12-21,ACTIVE,N,,
ACC_000159,CUST_00129,SAVINGS,1955-04-27,ACTIVE,N,,
ACC_000160,CUST_00130,SAVINGS,1962-05-26,ACTIVE,N,,
ACC_000161,CUST_00130,SAVINGS,1989-03-09,ACTIVE,N,,
ACC_000162,CUST_00130,SAVINGS,2012-02-08,ACTIVE,N,,
ACC_000163,CUST_00131,SAVINGS,1997-03-13,ACTIVE,N,,
ACC_000164,CUST_00132,SAVINGS,1990-06-26,ACTIVE,N,,
ACC_000165,CUST_00133,SAVINGS,2003-03-25,DORMANT,Y,2024-02-01,
ACC_000166,CUST_00134,SAVINGS,1973-11-01,ACTIVE,N,,
ACC_000167,CUST_00135,CURRENT,2006-06-28,ACTIVE,N,,
ACC_000168,CUST_00136,CURRENT,1983-11-28,ACTIVE,N,,
ACC_000169,CUST_00137,SAVINGS,1974-06-10,ACTIVE,N,,
ACC_000170,CUST_00138,SAVINGS,2008-10-21,ACTIVE,N,,
ACC_000171,CUST_00139,SAVINGS,2012-04-23,ACTIVE,N,,
ACC_000172,CUST_00140,CURRENT,2002-05-09,ACTIVE,N,,
ACC_000173,CUST_00141,SAVINGS,1974-12-20,DORMANT,Y,2022-07-02,
ACC_000174,CUST_00142,SAVINGS,1963-01-02,ACTIVE,N,,
ACC_000175,CUST_00143,SAVINGS,2003-07-25,ACTIVE,N,,
ACC_000176,CUST_00144,SAVINGS,1955-12-11,ACTIVE,N,,
ACC_000177,CUST_00145,SAVINGS,1982-08-16,ACTIVE,N,,
ACC_000178,CUST_00146,SAVINGS,1971-06-30,DORMANT,Y,1990-02-14,
ACC_000179,CUST_00147,SAVINGS,2023-03-10,ACTIVE,N,,
ACC_000180,CUST_00148,SAVINGS,1989-09-22,ACTIVE,N,,
ACC_000181,CUST_00148,SAVINGS,1959-01-31,ACTIVE,N,,
ACC_000182,CUST_00149,SAVINGS,1979-07-27,DORMANT,Y,2013-02-23,
ACC_000183,CUST_00150,CURRENT,2005-12-22,ACTIVE,N,,
ACC_000184,CUST_00151,CURRENT,1966-07-02,ACTIVE,N,,
ACC_000185,CUST_00151,CURRENT,2000-03-08,DORMANT,Y,2002-10-15,
ACC_000186,CUST_00152,SAVINGS,1964-04-27,ACTIVE,N,,
ACC_000187,CUST_00152,SAVINGS,2018-08-25,ACTIVE,N,,
ACC_000188,CUST_00153,SAVINGS,1994-05-16,DORMANT,Y,2008-04-28,
ACC_000189,CUST_00154,SAVINGS,2011-05-17,DORMANT,Y,2014-03-06,
ACC_000190,CUST_00154,SAVINGS,1984-05-27,ACTIVE,N,,
ACC_000191,CUST_00155,SAVINGS,1978-03-23,ACTIVE,N,,
ACC_000192,CUST_00155,SAVINGS,2018-11-16,ACTIVE,N,,
ACC_000193,CUST_00156,SAVINGS,1956-01-28,ACTIVE,N,,
ACC_000194,CUST_00157,SAVINGS,2012-11-25,ACTIVE,N,,
ACC_000195,CUST_00158,SAVINGS,1953-08-21,ACTIVE,N,,
ACC_000196,CUST_00159,SAVINGS,1959-12-18,ACTIVE,N,,
ACC_000197,CUST_00160,SAVINGS,2012-11-12,ACTIVE,N,,
ACC_000198,CUST_00161,SAVINGS,2001-11-16,ACTIVE,N,,
ACC_000199,CUST_00162,SAVINGS,1996-10-09,ACTIVE,N,,
ACC_000200,CUST_00163,SAVINGS,2004-05-08,ACTIVE,N,,
ACC_000201,CUST_00164,SAVINGS,1976-06-16,ACTIVE,N,,
ACC_000202,CUST_00165,SAVINGS,2003-12-27,ACTIVE,N,,
ACC_000203,CUST_00166,SAVINGS,1955-02-21,ACTIVE,N,,
ACC_000204,CUST_00167,SAVINGS,1951-06-18,ACTIVE,N,,
ACC_000205,CUST_00167,SAVINGS,1984-02-09,INACTIVE,N,,1991-11-29
ACC_000206,CUST_00168,SAVINGS,1968-07-29,ACTIVE,N,,
ACC_000207,CUST_00169,SAVINGS,1994-07-09,DORMANT,Y,2017-04-29,
ACC_000208,CUST_00169,SAVINGS,2013-03-08,DORMANT,Y,2021-06-06,
ACC_000209,CUST_00170,SAVINGS,2012-10-16,ACTIVE,N,,
ACC_000210,CUST_00170,SAVINGS,1959-04-16,ACTIVE,N,,
ACC_000211,CUST_00171,SAVINGS,1961-03-27,ACTIVE,N,,
ACC_000212,CUST_00172,CURRENT,2024-08-22,ACTIVE,N,,
ACC_000213,CUST_00173,CURRENT,1982-12-23,ACTIVE,N,,
ACC_000214,CUST_00174,SAVINGS,2009-07-29,ACTIVE,N,,
ACC_000215,CUST_00175,SAVINGS,1969-02-02,ACTIVE,N,,
ACC_000216,CUST_00175,SAVINGS,2014-01-27,ACTIVE,N,,
ACC_000217,CUST_00176,SAVINGS,1987-12-29,ACTIVE,N,,
ACC_000218,CUST_00177,SAVINGS,1971-12-18,ACTIVE,N,,
ACC_000219,CUST_00177,SAVINGS,1973-03-21,ACTIVE,N,,
ACC_000220,CUST_00177,CURRENT,1952-06-17,INACTIVE,N,,1966-02-20
ACC_000221,CUST_00178,SAVINGS,1974-02-14,ACTIVE,N,,
ACC_000222,CUST_00179,CURRENT,1990-01-13,ACTIVE,N,,
ACC_000223,CUST_00180,SAVINGS,1966-11-24,ACTIVE,N,,
ACC_000224,CUST_00181,SAVINGS,2022-10-07,ACTIVE,N,,
ACC_000225,CUST_00182,SAVINGS,2003-03-13,ACTIVE,N,,
ACC_000226,CUST_00182,SAVINGS,1972-12-04,ACTIVE,N,,
ACC_000227,CUST_00183,CURRENT,1960-07-23,ACTIVE,N,,
ACC_000228,CUST_00184,CURRENT,1951-07-12,ACTIVE,N,,
ACC_000229,CUST_00184,CURRENT,1987-03-11,ACTIVE,N,,
ACC_000230,CUST_00185,CURRENT,1970-11-22,ACTIVE,N,,
ACC_000231,CUST_00186,SAVINGS,2009-12-22,INACTIVE,N,,2016-01-25
ACC_000232,CUST_00187,SAVINGS,1974-03-21,ACTIVE,N,,
ACC_000233,CUST_00187,SAVINGS,1979-06-28,ACTIVE,N,,
ACC_000234,CUST_00188,SAVINGS,1954-09-09,DORMANT,Y,1984-02-09,
ACC_000235,CUST_00189,SAVINGS,2010-03-01,ACTIVE,N,,
ACC_000236,CUST_00189,SAVINGS,1956-07-01,ACTIVE,N,,
ACC_000237,CUST_00189,SAVINGS,2021-03-01,ACTIVE,N,,
ACC_000238,CUST_00190,SAVINGS,1963-12-28,ACTIVE,N,,
ACC_000239,CUST_00191,SAVINGS,2003-03-01,ACTIVE,N,,
ACC_000240,CUST_00192,CURRENT,1991-12-18,INACTIVE,N,,2007-01-25
ACC_000241,CUST_00193,CURRENT,1957-02-18,ACTIVE,N,,
ACC_000242,CUST_00193,CURRENT,1950-08-20,ACTIVE,N,,
ACC_000243,CUST_00194,CURRENT,1956-08-16,ACTIVE,N,,
ACC_000244,CUST_00195,SAVINGS,2001-05-13,ACTIVE,N,,
ACC_000245,CUST_00195,SAVINGS,1977-06-16,INACTIVE,N,,1994-06-13
ACC_000246,CUST_00196,SAVINGS,2000-12-27,ACTIVE,N,,
ACC_000247,CUST_00197,SAVINGS,1982-06-19,ACTIVE,N,,
ACC_000248,CUST_00198,CURRENT,1977-03-21,ACTIVE,N,,
ACC_000249,CUST_00199,CURRENT,1962-06-09,ACTIVE,N,,
ACC_000250,CUST_00200,CURRENT,1952-03-08,ACTIVE,N,,
ACC_000251,CUST_00201,SAVINGS,2007-05-23,DORMANT,Y,2008-05-04,
ACC_000252,CUST_00202,SAVINGS,1951-12-25,ACTIVE,N,,
ACC_000253,CUST_00203,SAVINGS,1995-11-19,ACTIVE,N,,
ACC_000254,CUST_00204,CURRENT,1976-02-25,INACTIVE,N,,2022-06-03
ACC_000255,CUST_00204,CURRENT,1958-08-07,ACTIVE,N,,
ACC_000256,CUST_00205,SAVINGS,1980-01-08,ACTIVE,N,,
ACC_000257,CUST_00206,SAVINGS,1963-02-24,ACTIVE,N,,
ACC_000258,CUST_00206,SAVINGS,1972-11-06,ACTIVE,N,,
ACC_000259,CUST_00206,SAVINGS,1972-09-25,ACTIVE,N,,
ACC_000260,CUST_00207,SAVINGS,1955-12-28,ACTIVE,N,,
ACC_000261,CUST_00208,SAVINGS,2006-07-29,DORMANT,Y,2024-01-05,
ACC_000262,CUST_00209,SAVINGS,1964-08-27,ACTIVE,N,,
ACC_000263,CUST_00210,CURRENT,1994-07-11,ACTIVE,N,,
ACC_000264,CUST_00210,SAVINGS,1993-12-01,ACTIVE,N,,
ACC_000265,CUST_00211,SAVINGS,1975-10-19,ACTIVE,N,,
ACC_000266,CUST_00212,SAVINGS,1978-03-10,ACTIVE,N,,
ACC_000267,CUST_00213,SAVINGS,2023-09-23,ACTIVE,N,,
ACC_000268,CUST_00214,SAVINGS,2003-10-08,ACTIVE,N,,
ACC_000269,CUST_00215,SAVINGS,2008-03-27,ACTIVE,N,,
ACC_000270,CUST_00216,SAVINGS,1966-06-11,DORMANT,Y,1982-04-04,
ACC_000271,CUST_00217,SAVINGS,1979-02-05,ACTIVE,N,,
ACC_000272,CUST_00218,SAVINGS,1964-05-30,ACTIVE,N,,
ACC_000273,CUST_00219,SAVINGS,1998-07-13,ACTIVE,N,,
ACC_000274,CUST_00220,SAVINGS,1994-01-04,ACTIVE,N,,
ACC_000275,CUST_00221,SAVINGS,1973-08-18,ACTIVE,N,,
ACC_000276,CUST_00222,SAVINGS,1952-01-16,ACTIVE,N,,
ACC_000277,CUST_00222,SAVINGS,2004-09-24,ACTIVE,N,,
ACC_000278,CUST_00223,SAVINGS,1993-01-15,ACTIVE,N,,
ACC_000279,CUST_00224,SAVINGS,1951-08-19,ACTIVE,N,,
ACC_000280,CUST_00225,SAVINGS,2002-12-20,ACTIVE,N,,
ACC_000281,CUST_00226,SAVINGS,1978-12-16,DORMANT,Y,2010-03-05,
ACC_000282,CUST_00226,SAVINGS,1979-12-16,ACTIVE,N,,
ACC_000283,CUST_00227,SAVINGS,1958-12-26,ACTIVE,N,,
ACC_000284,CUST_00228,SAVINGS,1987-11-25,ACTIVE,N,,
ACC_000285,CUST_00228,SAVINGS,2000-03-21,ACTIVE,N,,
ACC_000286,CUST_00229,CURRENT,1955-12-25,ACTIVE,N,,
ACC_000287,CUST_00230,SAVINGS,1959-03-02,ACTIVE,N,,
ACC_000288,CUST_00231,SAVINGS,1979-09-30,ACTIVE,N,,
ACC_000289,CUST_00232,CURRENT,2005-12-13,ACTIVE,N,,
ACC_000290,CUST_00233,SAVINGS,1991-01-15,DORMANT,Y,2017-02-25,
ACC_000291,CUST_00234,CURRENT,2017-12-29,ACTIVE,N,,
ACC_000292,CUST_00235,SAVINGS,1963-11-10,ACTIVE,N,,
ACC_000293,CUST_00236,SAVINGS,2022-12-22,DORMANT,Y,2024-08-27,
ACC_000294,CUST_00237,SAVINGS,1973-05-03,ACTIVE,N,,
ACC_000295,CUST_00238,SAVINGS,1984-04-16,ACTIVE,N,,
ACC_000296,CUST_00238,SAVINGS,1962-11-23,ACTIVE,N,,
ACC_000297,CUST_00239,SAVINGS,1994-02-22,ACTIVE,N,,
ACC_000298,CUST_00240,SAVINGS,2002-11-19,ACTIVE,N,,
ACC_000299,CUST_00240,SAVINGS,1968-02-04,INACTIVE,N,,1990-09-09
ACC_000300,CUST_00241,CURRENT,1973-11-11,DORMANT,Y,2017-02-04,
ACC_000301,CUST_00242,CURRENT,1993-04-11,ACTIVE,N,,
ACC_000302,CUST_00243,CURRENT,2015-08-14,ACTIVE,N,,
ACC_000303,CUST_00244,SAVINGS,1959-03-11,ACTIVE,N,,
ACC_000304,CUST_00245,SAVINGS,1995-08-11,ACTIVE,N,,
ACC_000305,CUST_00245,SAVINGS,1952-05-27,ACTIVE,N,,
ACC_000306,CUST_00246,CURRENT,2011-02-05,ACTIVE,N,,
ACC_000307,CUST_00247,SAVINGS,2002-01-15,ACTIVE,N,,
ACC_000308,CUST_00248,SAVINGS,2019-07-21,DORMANT,Y,2021-07-12,
ACC_000309,CUST_00249,SAVINGS,2018-07-08,ACTIVE,N,,
ACC_000310,CUST_00250,CURRENT,1951-10-23,ACTIVE,N,,
ACC_000311,CUST_00250,CURRENT,1981-08-28,ACTIVE,N,,
ACC_000312,CUST_00251,SAVINGS,1952-11-20,ACTIVE,N,,
ACC_000313,CUST_00252,SAVINGS,1966-11-19,ACTIVE,N,,
ACC_000314,CUST_00253,CURRENT,1992-01-13,ACTIVE,N,,
ACC_000315,CUST_00254,SAVINGS,1982-03-05,ACTIVE,N,,
ACC_000316,CUST_00255,SAVINGS,2008-04-26,DORMANT,Y,2021-03-14,
ACC_000317,CUST_00256,SAVINGS,1983-02-23,ACTIVE,N,,
ACC_000318,CUST_00257,CURRENT,1960-10-21,ACTIVE,N,,
ACC_000319,CUST_00257,CURRENT,1958-02-26,ACTIVE,N,,
ACC_000320,CUST_00257,CURRENT,1968-09-20,INACTIVE,N,,1994-03-16
ACC_000321,CUST_00258,SAVINGS,2017-11-16,ACTIVE,N,,
ACC_000322,CUST_00259,SAVINGS,1990-05-15,ACTIVE,N,,
ACC_000323,CUST_00260,SAVINGS,1977-06-30,ACTIVE,N,,
ACC_000324,CUST_00261,SAVINGS,1970-08-23,ACTIVE,N,,
ACC_000325,CUST_00262,SAVINGS,2001-02-20,ACTIVE,N,,
ACC_000326,CUST_00263,SAVINGS,1977-10-26,ACTIVE,N,,
ACC_000327,CUST_00264,SAVINGS,1955-02-28,ACTIVE,N,,
ACC_000328,CUST_00265,CURRENT,1982-05-27,ACTIVE,N,,
ACC_000329,CUST_00266,SAVINGS,2010-05-23,ACTIVE,N,,
ACC_000330,CUST_00267,SAVINGS,1994-09-26,ACTIVE,N,,
ACC_000331,CUST_00268,SAVINGS,1968-04-10,DORMANT,Y,1987-03-14,
ACC_000332,CUST_00269,SAVINGS,1993-03-20,ACTIVE,N,,
ACC_000333,CUST_00270,SAVINGS,1955-05-23,ACTIVE,N,,
ACC_000334,CUST_00270,SAVINGS,2020-11-21,DORMANT,Y,2024-04-03,
ACC_000335,CUST_00271,CURRENT,2006-06-20,ACTIVE,N,,
ACC_000336,CUST_00271,SAVINGS,1989-04-05,ACTIVE,N,,
ACC_000337,CUST_00272,SAVINGS,1953-03-23,ACTIVE,N,,
ACC_000338,CUST_00273,CURRENT,1981-03-03,ACTIVE,N,,
ACC_000339,CUST_00274,CURRENT,1995-02-01,ACTIVE,N,,
ACC_000340,CUST_00274,CURRENT,1996-08-24,ACTIVE,N,,
ACC_000341,CUST_00275,SAVINGS,1982-12-21,ACTIVE,N,,
ACC_000342,CUST_00276,SAVINGS,1978-01-05,ACTIVE,N,,
ACC_000343,CUST_00277,SAVINGS,2023-05-27,DORMANT,Y,2023-07-08,
ACC_000344,CUST_00277,SAVINGS,1983-10-19,INACTIVE,N,,1998-12-07
ACC_000345,CUST_00278,SAVINGS,2001-12-02,ACTIVE,N,,
ACC_000346,CUST_00278,SAVINGS,2020-12-21,ACTIVE,N,,
ACC_000347,CUST_00279,SAVINGS,1993-10-10,ACTIVE,N,,
ACC_000348,CUST_00280,CURRENT,1974-12-25,ACTIVE,N,,
ACC_000349,CUST_00280,SAVINGS,2010-03-16,ACTIVE,N,,
