CASE_ID,CASE_DATE,CASE_STATUS,CASE_RISK
CASE001352,2023-07-30,OPEN,MEDIUM
CASE003719,2024-04-25,OPEN,HIGH
CASE000141,2023-01-06,ESCALATED,CRITICAL
CASE000769,2023-06-19,OPEN,MEDIUM
CASE001591,2023-11-03,CLOSED,MEDIUM
CASE003850,2023-04-17,CLOSED,MEDIUM
CASE003858,2024-03-23,ESCALATED,HIGH
CASE002089,2024-02-29,ESCALATED,CRITICAL
CASE001595,2023-04-12,CLOSED,MEDIUM
CASE000797,2023-11-15,OPEN,MEDIUM
CASE001530,2024-07-21,ESCALATED,CRITICAL
CASE003334,2023-12-06,CLOSED,MEDIUM
CASE004809,2024-03-02,CLOSED,CRITICAL
CASE002948,2024-06-29,CLOSED,CRITICAL
CASE004963,2023-04-10,CLOSED,MEDIUM
CASE002421,2024-10-14,CLOSED,MEDIUM
CASE003266,2024-07-17,OPEN,HIGH
CASE000743,2023-04-24,OPEN,MEDIUM
CASE002099,2024-02-02,CLOSED,MEDIUM
CASE001349,2024-11-30,ESCALATED,MEDIUM
CASE000765,2024-11-30,CLOSED,MEDIUM
CASE000076,2024-05-11,ESCALATED,HIGH
CASE000396,2023-06-01,ESCALATED,HIGH
CASE000598,2024-01-11,ESCALATED,MEDIUM
CASE001912,2023-12-03,ESCALATED,MEDIUM
CASE004447,2024-02-01,ESCALATED,CRITICAL
CASE003529,2023-02-04,CLOSED,CRITICAL
CASE001676,2024-01-23,CLOSED,MEDIUM
CASE002553,2024-09-23,CLOSED,CRITICAL
CASE000052,2024-01-19,CLOSED,MEDIUM
CASE003868,2023-12-24,OPEN,MEDIUM
CASE002349,2023-10-24,OPEN,HIGH
CASE000351,2023-07-18,OPEN,MEDIUM
CASE000374,2023-10-10,CLOSED,CRITICAL
CASE001078,2023-05-01,ESCALATED,MEDIUM
CASE004020,2024-10-08,OPEN,CRITICAL
CASE000533,2024-11-07,ESCALATED,CRITICAL
CASE002202,2023-01-07,OPEN,MEDIUM
CASE003009,2023-08-08,OPEN,CRITICAL
CASE001883,2024-12-30,CLOSED,HIGH
CASE000440,2024-12-04,OPEN,HIGH
CASE003599,2023-05-25,CLOSED,MEDIUM
CASE001732,2023-08-01,ESCALATED,HIGH
CASE002485,2023-08-30,CLOSED,MEDIUM
CASE003764,2023-01-05,OPEN,CRITICAL
CASE002554,2023-03-13,ESCALATED,HIGH
CASE002950,2024-11-21,ESCALATED,MEDIUM
CASE001560,2023-11-13,OPEN,CRITICAL
CASE001339,2024-03-07,ESCALATED,MEDIUM
CASE001441,2023-03-01,ESCALATED,MEDIUM
CASE004132,2024-01-08,OPEN,MEDIUM
CASE002815,2023-06-11,CLOSED,CRITICAL
CASE001636,2023-12-13,OPEN,CRITICAL
CASE002018,2024-09-10,CLOSED,CRITICAL
CASE004768,2024-08-29,ESCALATED,MEDIUM
CASE001741,2024-07-16,OPEN,CRITICAL
CASE000009,2024-11-24,CLOSED,CRITICAL
CASE000643,2024-07-02,CLOSED,MEDIUM
CASE003976,2024-08-04,OPEN,CRITICAL
CASE004031,2024-08-25,ESCALATED,CRITICAL
CASE003546,2023-02-09,CLOSED,MEDIUM
CASE002747,2024-12-08,OPEN,CRITICAL
CASE002854,2024-09-06,CLOSED,HIGH
CASE003739,2024-08-24,OPEN,MEDIUM
CASE001042,2024-09-17,CLOSED,MEDIUM
CASE001779,2023-05-22,CLOSED,HIGH
CASE002378,2024-07-21,CLOSED,HIGH
CASE000381,2023-11-06,OPEN,CRITICAL
CASE004022,2023-04-01,CLOSED,MEDIUM
CASE003988,2024-02-11,CLOSED,CRITICAL
CASE000011,2023-05-29,CLOSED,MEDIUM
CASE004962,2023-01-12,CLOSED,MEDIUM
CASE000046,2023-03-18,CLOSED,MEDIUM
CASE004471,2024-04-08,CLOSED,CRITICAL
CASE004637,2024-04-30,CLOSED,MEDIUM
CASE003253,2023-01-11,CLOSED,MEDIUM
CASE000405,2023-09-07,ESCALATED,HIGH
CASE003655,2023-03-31,OPEN,MEDIUM
CASE004629,2023-02-18,ESCALATED,CRITICAL
CASE002733,2024-01-21,ESCALATED,MEDIUM
CASE002711,2024-01-14,OPEN,MEDIUM
CASE003674,2024-12-23,OPEN,MEDIUM
CASE003924,2024-11-14,CLOSED,CRITICAL
CASE000540,2023-05-23,CLOSED,HIGH
CASE001243,2024-05-05,CLOSED,MEDIUM
CASE002177,2024-04-21,OPEN,MEDIUM
CASE004640,2023-03-27,CLOSED,MEDIUM
CASE003333,2023-06-20,OPEN,HIGH
CASE001757,2023-05-31,OPEN,CRITICAL
CASE004857,2024-04-10,CLOSED,HIGH
CASE003362,2024-07-28,OPEN,CRITICAL
CASE003940,2023-11-25,OPEN,MEDIUM
CASE003282,2024-07-24,CLOSED,CRITICAL
CASE003586,2024-04-07,CLOSED,MEDIUM
CASE004376,2023-11-09,ESCALATED,CRITICAL
CASE001904,2023-09-02,CLOSED,CRITICAL
CASE003071,2023-09-22,ESCALATED,CRITICAL
CASE003901,2023-05-31,ESCALATED,HIGH
CASE003218,2024-09-27,OPEN,HIGH
CASE000270,2024-01-27,CLOSED,HIGH
CASE000705,2024-02-21,ESCALATED,CRITICAL
CASE002789,2023-03-25,CLOSED,CRITICAL
CASE000428,2024-02-19,CLOSED,MEDIUM
CASE003395,2024-09-09,OPEN,CRITICAL
CASE002640,2023-05-01,CLOSED,MEDIUM
CASE004772,2023-03-02,CLOSED,CRITICAL
CASE001175,2024-01-31,OPEN,HIGH
CASE001265,2024-05-20,OPEN,MEDIUM
CASE002040,2023-05-27,ESCALATED,CRITICAL
CASE003374,2024-03-17,ESCALATED,CRITICAL
CASE003990,2023-01-05,CLOSED,MEDIUM
CASE002401,2023-05-01,OPEN,HIGH
CASE004327,2023-03-17,ESCALATED,HIGH
CASE004433,2023-01-30,OPEN,MEDIUM
CASE002874,2023-07-13,CLOSED,HIGH
CASE004264,2024-06-07,CLOSED,CRITICAL
CASE002734,2023-01-12,CLOSED,HIGH
CASE001221,2024-06-06,CLOSED,CRITICAL
CASE003061,2023-11-14,OPEN,HIGH
CASE004149,2023-11-22,CLOSED,CRITICAL
CASE001762,2024-09-21,ESCALATED,MEDIUM
CASE001192,2024-05-19,OPEN,MEDIUM
CASE001901,2023-06-08,ESCALATED,MEDIUM
CASE001845,2023-09-15,ESCALATED,HIGH
CASE002612,2023-09-21,CLOSED,MEDIUM
CASE001485,2024-09-29,OPEN,HIGH
CASE001983,2024-06-11,CLOSED,CRITICAL
CASE003205,2024-06-27,ESCALATED,MEDIUM
CASE001723,2024-10-15,ESCALATED,CRITICAL
CASE004080,2024-10-18,CLOSED,CRITICAL
CASE001570,2023-06-21,OPEN,HIGH
CASE002223,2024-08-15,ESCALATED,CRITICAL
CASE000524,2023-03-02,OPEN,MEDIUM
CASE004240,2023-05-15,OPEN,MEDIUM
CASE003284,2023-12-08,ESCALATED,CRITICAL
CASE000061,2024-10-06,OPEN,CRITICAL
CASE003259,2024-08-12,CLOSED,MEDIUM
CASE002648,2024-11-21,ESCALATED,HIGH
CASE004472,2024-01-28,ESCALATED,CRITICAL
CASE000248,2024-06-14,CLOSED,MEDIUM
CASE003726,2024-01-11,OPEN,MEDIUM
CASE002460,2023-12-22,ESCALATED,CRITICAL
CASE002848,2023-02-03,CLOSED,MEDIUM
CASE004527,2024-10-08,ESCALATED,HIGH
CASE000494,2024-04-24,OPEN,MEDIUM
CASE001985,2024-06-13,ESCALATED,MEDIUM
CASE004621,2024-08-13,ESCALATED,HIGH
CASE003973,2024-05-18,OPEN,MEDIUM
CASE004798,2023-01-25,CLOSED,CRITICAL
CASE001275,2024-03-09,OPEN,HIGH
CASE002275,2023-12-07,ESCALATED,CRITICAL
CASE003653,2024-09-26,OPEN,CRITICAL
CASE002239,2024-06-27,OPEN,CRITICAL
CASE002515,2024-01-26,OPEN,CRITICAL
CASE001146,2023-10-29,ESCALATED,CRITICAL
CASE003919,2023-05-08,CLOSED,HIGH
CASE001179,2024-12-01,OPEN,HIGH
CASE004258,2023-12-27,OPEN,CRITICAL
CASE000584,2024-04-15,ESCALATED,CRITICAL
CASE004517,2023-04-04,OPEN,HIGH
CASE003113,2023-02-07,CLOSED,HIGH
CASE001763,2024-05-06,OPEN,CRITICAL
CASE003904,2023-06-12,ESCALATED,CRITICAL
CASE004648,2023-05-23,OPEN,MEDIUM
CASE003706,2023-11-03,ESCALATED,CRITICAL
CASE000155,2023-08-14,ESCALATED,HIGH
CASE003683,2023-06-15,OPEN,MEDIUM
CASE004603,2023-10-31,ESCALATED,MEDIUM
CASE002898,2024-05-10,CLOSED,CRITICAL
CASE000928,2024-08-13,CLOSED,HIGH
CASE003348,2023-11-03,ESCALATED,MEDIUM
CASE001735,2024-09-26,OPEN,MEDIUM
CASE004881,2024-07-27,CLOSED,MEDIUM
CASE002411,2024-08-30,ESCALATED,MEDIUM
CASE004493,2024-02-11,CLOSED,MEDIUM
CASE001322,2024-07-09,CLOSED,CRITICAL
CASE001252,2023-06-02,CLOSED,HIGH
CASE004004,2024-10-27,CLOSED,CRITICAL
CASE002222,2024-04-27,CLOSED,HIGH
CASE001177,2023-05-26,ESCALATED,HIGH
CASE004581,2024-04-22,OPEN,CRITICAL
CASE004176,2024-07-08,CLOSED,HIGH
CASE003138,2024-06-02,ESCALATED,HIGH
CASE003210,2024-07-28,OPEN,CRITICAL
CASE004872,2023-10-04,OPEN,HIGH
CASE001608,2023-02-26,ESCALATED,MEDIUM
CASE003276,2023-10-28,ESCALATED,MEDIUM
CASE003823,2024-01-25,ESCALATED,MEDIUM
CASE002299,2024-09-01,OPEN,CRITICAL
CASE001418,2023-10-06,OPEN,HIGH
CASE002396,2024-06-19,ESCALATED,HIGH
CASE003329,2024-05-01,OPEN,CRITICAL
CASE000149,2023-07-26,CLOSED,MEDIUM
CASE004844,2023-07-02,OPEN,CRITICAL
CASE001694,2024-06-07,ESCALATED,HIGH
CASE002722,2024-05-17,OPEN,MEDIUM
CASE004577,2023-07-14,ESCALATED,MEDIUM
CASE002940,2023-11-23,CLOSED,MEDIUM
CASE003830,2023-12-11,CLOSED,CRITICAL
CASE001604,2024-04-03,OPEN,HIGH
CASE001758,2023-10-08,ESCALATED,CRITICAL
CASE004119,2023-10-10,OPEN,HIGH
CASE004624,2024-09-09,CLOSED,HIGH
CASE004224,2023-03-29,CLOSED,CRITICAL
CASE001573,2024-07-22,OPEN,MEDIUM
CASE000747,2023-01-24,CLOSED,MEDIUM
CASE001766,2023-02-22,OPEN,MEDIUM
CASE002735,2023-03-28,OPEN,MEDIUM
CASE004555,2023-06-13,ESCALATED,MEDIUM
CASE004661,2024-07-15,CLOSED,MEDIUM
CASE003420,2024-08-21,ESCALATED,MEDIUM
CASE004735,2024-04-01,OPEN,MEDIUM
CASE003948,2024-10-15,ESCALATED,CRITICAL
CASE001711,2023-06-30,OPEN,HIGH
CASE003597,2024-12-18,CLOSED,MEDIUM
CASE003652,2024-07-12,ESCALATED,MEDIUM
CASE001199,2023-05-28,CLOSED,CRITICAL
CASE002309,2024-02-18,OPEN,MEDIUM
CASE003417,2023-09-26,ESCALATED,MEDIUM
CASE004304,2023-03-20,OPEN,CRITICAL
CASE004557,2024-08-29,CLOSED,HIGH
CASE001239,2023-04-30,CLOSED,HIGH
CASE001838,2024-09-13,ESCALATED,HIGH
CASE002104,2024-06-05,OPEN,CRITICAL
CASE000968,2023-04-17,ESCALATED,MEDIUM
CASE004157,2024-09-25,OPEN,HIGH
CASE003570,2024-08-24,ESCALATED,CRITICAL
CASE002009,2024-07-05,CLOSED,HIGH
CASE003478,2023-01-01,OPEN,MEDIUM
CASE004181,2023-05-11,ESCALATED,CRITICAL
CASE000738,2024-02-21,ESCALATED,MEDIUM
CASE002095,2023-03-24,OPEN,CRITICAL
CASE004268,2023-08-02,CLOSED,MEDIUM
CASE001739,2024-09-15,ESCALATED,MEDIUM
CASE002255,2023-07-28,ESCALATED,HIGH
CASE001581,2024-09-13,CLOSED,MEDIUM
CASE002825,2023-05-16,OPEN,HIGH
CASE003424,2024-01-02,OPEN,HIGH
CASE002680,2023-07-12,ESCALATED,CRITICAL
CASE002730,2024-05-10,OPEN,CRITICAL
CASE003496,2023-01-15,ESCALATED,MEDIUM
CASE002083,2024-05-14,CLOSED,HIGH
CASE004719,2023-03-14,CLOSED,MEDIUM
CASE003581,2023-07-22,CLOSED,MEDIUM
CASE000720,2024-12-16,ESCALATED,CRITICAL
CASE003762,2023-04-23,CLOSED,MEDIUM
CASE002026,2023-10-01,ESCALATED,CRITICAL
CASE000658,2023-03-04,ESCALATED,HIGH
CASE000874,2024-05-11,CLOSED,MEDIUM
CASE001343,2024-07-20,ESCALATED,MEDIUM
CASE000168,2024-12-07,ESCALATED,CRITICAL
CASE001672,2024-08-21,OPEN,MEDIUM
CASE002472,2024-07-15,CLOSED,CRITICAL
CASE004999,2023-11-02,OPEN,MEDIUM
CASE003153,2023-06-27,OPEN,HIGH
CASE003313,2023-05-20,ESCALATED,MEDIUM
CASE003879,2023-06-08,CLOSED,HIGH
CASE001156,2024-05-12,OPEN,CRITICAL
CASE000189,2024-12-18,OPEN,MEDIUM
CASE000918,2024-12-19,CLOSED,MEDIUM
CASE002931,2024-09-11,CLOSED,MEDIUM
CASE000229,2023-06-06,OPEN,HIGH
CASE004497,2024-02-28,ESCALATED,CRITICAL
CASE002769,2023-12-06,OPEN,MEDIUM
CASE000751,2024-12-29,ESCALATED,MEDIUM
CASE001734,2024-10-24,OPEN,MEDIUM
CASE003959,2024-09-01,OPEN,CRITICAL
CASE002045,2023-10-28,OPEN,CRITICAL
CASE001665,2023-11-21,ESCALATED,CRITICAL
CASE000237,2024-05-06,CLOSED,CRITICAL
CASE000741,2024-08-19,OPEN,HIGH
CASE002910,2024-04-23,OPEN,HIGH
CASE001278,2023-04-13,CLOSED,CRITICAL
CASE001749,2024-06-13,CLOSED,CRITICAL
CASE003400,2024-07-08,CLOSED,MEDIUM
CASE002182,2024-01-24,ESCALATED,CRITICAL
CASE000954,2023-10-31,OPEN,CRITICAL
CASE001319,2024-12-19,OPEN,CRITICAL
CASE001624,2024-02-26,CLOSED,HIGH
CASE003814,2023-07-22,OPEN,MEDIUM
CASE003750,2023-11-04,CLOSED,MEDIUM
CASE000631,2024-05-10,CLOSED,HIGH
CASE002292,2023-10-26,ESCALATED,MEDIUM
CASE004980,2024-04-12,OPEN,CRITICAL
CASE003707,2023-06-07,OPEN,HIGH
CASE004568,2024-06-25,ESCALATED,HIGH
CASE001360,2024-06-15,ESCALATED,MEDIUM
CASE004484,2023-07-20,CLOSED,HIGH
CASE003793,2023-05-18,ESCALATED,CRITICAL
CASE000456,2024-01-22,CLOSED,CRITICAL
CASE004564,2024-03-17,OPEN,HIGH
CASE003255,2023-07-19,OPEN,MEDIUM
CASE003025,2023-01-12,CLOSED,HIGH
CASE000353,2024-08-18,ESCALATED,CRITICAL
CASE000484,2024-03-11,ESCALATED,CRITICAL
CASE000032,2024-09-10,OPEN,CRITICAL
CASE000637,2024-06-28,OPEN,MEDIUM
CASE001527,2023-06-16,OPEN,HIGH
CASE000499,2024-06-25,OPEN,CRITICAL
CASE002966,2024-07-19,OPEN,MEDIUM
CASE001947,2024-11-07,CLOSED,HIGH
CASE002092,2024-08-04,OPEN,HIGH
CASE004307,2023-07-23,ESCALATED,HIGH
CASE004087,2023-11-03,ESCALATED,MEDIUM
CASE002976,2023-06-24,CLOSED,CRITICAL
CASE003175,2024-05-13,CLOSED,CRITICAL
CASE004741,2023-02-25,ESCALATED,MEDIUM
CASE001906,2023-06-14,ESCALATED,CRITICAL
CASE004337,2024-06-22,OPEN,CRITICAL
CASE004925,2023-03-26,OPEN,MEDIUM
CASE003260,2023-10-16,CLOSED,MEDIUM
CASE001605,2023-03-07,CLOSED,HIGH
CASE002876,2024-08-27,OPEN,HIGH
CASE000047,2023-06-02,ESCALATED,HIGH
CASE000406,2024-12-11,ESCALATED,CRITICAL
CASE004618,2023-03-05,OPEN,HIGH
CASE003735,2024-08-11,CLOSED,MEDIUM
CASE000153,2023-01-25,CLOSED,CRITICAL
CASE002423,2023-09-11,ESCALATED,HIGH
CASE004606,2023-08-27,ESCALATED,CRITICAL
CASE001567,2023-10-08,OPEN,HIGH
CASE000151,2023-03-07,CLOSED,MEDIUM
CASE000113,2023-02-04,CLOSED,CRITICAL
CASE003521,2024-01-18,ESCALATED,HIGH
CASE001627,2024-09-06,OPEN,CRITICAL
CASE003659,2024-05-17,ESCALATED,CRITICAL
CASE004786,2023-01-10,CLOSED,CRITICAL
CASE004544,2024-05-24,OPEN,HIGH
CASE004029,2024-03-01,OPEN,MEDIUM
CASE001114,2023-03-10,CLOSED,CRITICAL
CASE004690,2024-11-30,OPEN,MEDIUM
CASE001474,2024-04-16,OPEN,HIGH
CASE001587,2023-06-24,CLOSED,CRITICAL
CASE004913,2024-11-04,CLOSED,MEDIUM
CASE004721,2023-07-05,OPEN,CRITICAL
CASE003656,2024-05-28,OPEN,HIGH
CASE000316,2023-04-07,OPEN,MEDIUM
CASE003148,2024-01-15,CLOSED,MEDIUM
CASE003621,2024-12-19,OPEN,CRITICAL
CASE002985,2024-06-15,OPEN,MEDIUM
CASE000884,2023-05-13,ESCALATED,CRITICAL
CASE001737,2023-06-14,CLOSED,MEDIUM
CASE001284,2023-08-19,CLOSED,MEDIUM
CASE003051,2023-01-27,OPEN,CRITICAL
CASE004416,2024-11-28,CLOSED,MEDIUM
CASE003792,2023-08-13,CLOSED,HIGH
CASE000461,2024-01-31,CLOSED,MEDIUM
CASE000082,2023-06-07,OPEN,CRITICAL
CASE002894,2024-06-05,CLOSED,HIGH
CASE003604,2024-10-09,OPEN,HIGH
CASE004183,2023-08-21,CLOSED,CRITICAL
CASE003876,2023-04-27,ESCALATED,HIGH
CASE004874,2023-04-23,ESCALATED,CRITICAL
CASE000094,2023-08-05,ESCALATED,MEDIUM
CASE004109,2023-02-28,ESCALATED,MEDIUM
CASE001891,2023-05-21,ESCALATED,MEDIUM
CASE000109,2024-11-16,OPEN,CRITICAL
CASE003232,2023-04-20,CLOSED,CRITICAL
CASE003737,2023-09-25,CLOSED,CRITICAL
CASE003685,2024-09-09,ESCALATED,CRITICAL
CASE003499,2024-10-09,OPEN,CRITICAL
CASE002219,2023-10-20,ESCALATED,HIGH
CASE004877,2024-04-20,OPEN,MEDIUM
CASE002003,2023-12-17,CLOSED,HIGH
CASE001121,2024-09-14,ESCALATED,MEDIUM
CASE004197,2024-11-22,CLOSED,CRITICAL
CASE000089,2024-08-29,ESCALATED,CRITICAL
CASE001154,2023-09-10,CLOSED,MEDIUM
CASE001531,2024-03-11,ESCALATED,CRITICAL
CASE004287,2024-09-20,CLOSED,CRITICAL
CASE004115,2023-03-27,ESCALATED,MEDIUM
CASE004294,2024-11-16,CLOSED,HIGH
CASE003194,2023-07-27,ESCALATED,HIGH
CASE000534,2023-03-04,CLOSED,CRITICAL
CASE001459,2024-12-27,OPEN,HIGH
CASE002340,2024-06-10,OPEN,CRITICAL
CASE001855,2023-02-19,OPEN,MEDIUM
CASE001764,2023-05-02,CLOSED,MEDIUM
CASE003101,2024-04-26,OPEN,CRITICAL
CASE001206,2024-07-23,CLOSED,MEDIUM
CASE002252,2024-05-01,ESCALATED,MEDIUM
CASE002434,2023-02-17,ESCALATED,MEDIUM
CASE003389,2023-02-13,ESCALATED,HIGH
CASE001327,2024-05-27,ESCALATED,HIGH
CASE004305,2024-11-11,OPEN,CRITICAL
CASE002427,2024-11-11,OPEN,CRITICAL
CASE000619,2024-03-12,OPEN,HIGH
CASE002077,2023-03-20,ESCALATED,HIGH
CASE002451,2023-07-29,OPEN,MEDIUM
CASE003407,2024-07-11,OPEN,CRITICAL
CASE002249,2023-12-21,ESCALATED,MEDIUM
CASE002629,2024-10-29,ESCALATED,HIGH
CASE003807,2024-01-29,CLOSED,CRITICAL
CASE001225,2024-02-10,OPEN,MEDIUM
CASE000088,2024-10-24,ESCALATED,CRITICAL
CASE003324,2024-06-11,OPEN,CRITICAL
CASE002435,2024-05-31,ESCALATED,MEDIUM
CASE003200,2023-07-20,OPEN,MEDIUM
CASE002845,2023-05-17,ESCALATED,CRITICAL
CASE003696,2024-10-15,OPEN,MEDIUM
CASE002468,2023-04-08,OPEN,MEDIUM
CASE002445,2024-04-21,OPEN,CRITICAL
CASE003035,2024-02-17,CLOSED,HIGH
CASE001367,2023-10-24,CLOSED,HIGH
CASE004704,2023-05-06,ESCALATED,HIGH
CASE004528,2024-06-08,CLOSED,HIGH
CASE000291,2024-03-30,OPEN,HIGH
CASE001771,2024-10-01,CLOSED,MEDIUM
CASE002152,2023-04-17,CLOSED,MEDIUM
CASE000579,2023-06-14,ESCALATED,CRITICAL
CASE003720,2023-03-24,ESCALATED,HIGH
CASE003422,2024-11-19,CLOSED,HIGH
CASE003681,2023-04-08,ESCALATED,HIGH
CASE000117,2024-10-20,ESCALATED,CRITICAL
CASE004697,2023-12-24,ESCALATED,MEDIUM
CASE002282,2024-04-23,ESCALATED,MEDIUM
CASE000211,2023-11-21,CLOSED,HIGH
CASE001210,2023-05-25,CLOSED,HIGH
CASE003303,2024-05-14,ESCALATED,HIGH
CASE000449,2024-05-01,ESCALATED,HIGH
