ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,OPEN_DATE,ACCOUNT_RISK
ACCT000033,CUST000054,NRE,2018-07-15,LOW
ACCT000034,CUST001308,NRE,2021-05-18,HIGH
ACCT000035,CUST005720,NRO,2016-04-04,LOW
ACCT000036,CUST003463,CURRENT,2019-01-22,LOW
ACCT000037,CUST002788,SAVINGS,2017-04-17,MEDIUM
ACCT000038,CUST002277,CURRENT,2020-08-25,HIGH
ACCT000039,CUST001274,NRE,2017-11-11,HIGH
ACCT000040,CUST001764,CURRENT,2015-10-18,HIGH
ACCT000041,CUST002758,NRO,2015-01-23,MEDIUM
ACCT000042,CUST000838,NRO,2021-06-19,HIGH
ACCT000043,CUST000760,SAVINGS,2020-04-23,LOW
ACCT000044,CUST003113,CURRENT,2016-09-26,LOW
ACCT000045,CUST000793,NRO,2018-12-07,LOW
ACCT000046,CUST002941,NRO,2021-04-01,LOW
ACCT000047,CUST002818,CURRENT,2019-04-19,MEDIUM
ACCT000048,CUST004946,NRE,2015-06-19,MEDIUM
ACCT000049,CUST002167,NRE,2016-12-23,HIGH
ACCT000050,CUST000356,CURRENT,2022-08-17,HIGH
ACCT000051,CUST005978,CURRENT,2022-01-09,MEDIUM
ACCT000052,CUST003764,NRE,2021-11-15,HIGH
ACCT000053,CUST004393,SAVINGS,2016-03-09,HIGH
ACCT000054,CUST001023,NRE,2018-11-27,MEDIUM
ACCT000055,CUST003101,NRE,2019-05-12,HIGH
ACCT000056,CUST000646,CURRENT,2020-02-16,MEDIUM
ACCT000057,CUST004523,CURRENT,2017-12-11,LOW
ACCT000058,CUST002402,SAVINGS,2019-07-23,HIGH
ACCT000059,CUST005150,NRO,2018-09-20,MEDIUM
ACCT000060,CUST005067,SAVINGS,2018-12-13,LOW
ACCT000061,CUST002963,NRE,2020-10-29,MEDIUM
ACCT000062,CUST004730,SAVINGS,2022-12-04,HIGH
ACCT000063,CUST001576,NRE,2020-07-23,MEDIUM
ACCT000064,CUST005772,CURRENT,2020-02-01,MEDIUM
ACCT000065,CUST000570,NRE,2016-09-22,MEDIUM
ACCT000066,CUST000376,NRE,2016-06-06,LOW
ACCT000067,CUST005418,NRE,2016-06-09,LOW
ACCT000068,CUST001867,NRE,2018-06-29,LOW
ACCT000069,CUST002371,SAVINGS,2022-10-22,HIGH
ACCT000070,CUST000654,SAVINGS,2015-06-30,HIGH
ACCT000071,CUST001908,NRE,2017-12-13,HIGH
ACCT000072,CUST000828,NRO,2021-04-06,HIGH
ACCT000073,CUST003114,NRE,2016-07-28,LOW
ACCT000074,CUST002278,CURRENT,2021-09-16,MEDIUM
ACCT000075,CUST003715,SAVINGS,2017-02-02,LOW
ACCT000076,CUST005208,NRE,2016-05-16,MEDIUM
ACCT000077,CUST002989,CURRENT,2019-04-29,HIGH
ACCT000078,CUST001333,CURRENT,2018-03-13,MEDIUM
ACCT000079,CUST003033,SAVINGS,2020-03-26,MEDIUM
ACCT000080,CUST002911,NRO,2017-09-30,HIGH
ACCT000081,CUST001717,NRE,2018-01-15,HIGH
ACCT000082,CUST005491,NRO,2015-01-22,LOW
ACCT000083,CUST002188,NRE,2018-06-09,MEDIUM
ACCT000084,CUST005750,SAVINGS,2020-04-14,MEDIUM
ACCT000085,CUST005600,CURRENT,2019-11-25,HIGH
ACCT000086,CUST005309,NRO,2021-11-15,MEDIUM
ACCT000087,CUST000585,SAVINGS,2019-01-26,MEDIUM
ACCT000088,CUST004991,NRE,2018-12-23,LOW
ACCT000089,CUST005202,NRO,2018-10-27,HIGH
ACCT000090,CUST001402,NRE,2019-12-13,LOW
ACCT000091,CUST004376,CURRENT,2015-01-08,LOW
ACCT000092,CUST005974,CURRENT,2016-02-08,MEDIUM
ACCT000093,CUST002006,NRO,2018-03-15,LOW
ACCT000094,CUST001339,NRO,2015-04-07,LOW
ACCT000095,CUST003787,SAVINGS,2018-07-04,HIGH
ACCT000096,CUST003109,NRO,2015-03-27,HIGH
ACCT000097,CUST002212,SAVINGS,2022-09-12,LOW
ACCT000098,CUST005243,NRO,2018-07-21,HIGH
ACCT000099,CUST005638,NRO,2015-12-07,MEDIUM
ACCT000100,CUST004563,CURRENT,2019-09-16,LOW
ACCT000101,CUST001800,CURRENT,2016-09-29,MEDIUM
ACCT000102,CUST005609,NRO,2015-10-26,LOW
ACCT000103,CUST002657,SAVINGS,2021-08-28,LOW
ACCT000104,CUST000459,NRO,2015-08-09,HIGH
ACCT000105,CUST001877,NRE,2015-10-02,LOW
ACCT000106,CUST000263,CURRENT,2016-03-28,MEDIUM
ACCT000107,CUST002585,SAVINGS,2015-10-15,HIGH
ACCT000108,CUST003287,NRO,2022-11-03,HIGH
ACCT000109,CUST002194,CURRENT,2021-08-27,MEDIUM
ACCT000110,CUST000543,CURRENT,2019-03-27,MEDIUM
ACCT000111,CUST001729,CURRENT,2019-02-05,MEDIUM
ACCT000112,CUST004647,CURRENT,2015-05-28,HIGH
ACCT000113,CUST005882,NRO,2015-05-30,LOW
ACCT000114,CUST002578,CURRENT,2015-11-12,HIGH
ACCT000115,CUST001742,SAVINGS,2022-10-18,LOW
ACCT000116,CUST005370,NRE,2022-01-05,LOW
ACCT000117,CUST004090,NRO,2020-06-22,MEDIUM
ACCT000118,CUST003242,NRE,2020-07-01,MEDIUM
ACCT000119,CUST005267,NRO,2022-05-12,HIGH
ACCT000120,CUST003759,CURRENT,2017-03-06,HIGH
ACCT000121,CUST001171,CURRENT,2016-02-16,LOW
ACCT000122,CUST002170,SAVINGS,2018-10-21,HIGH
ACCT000123,CUST001144,NRE,2022-02-11,HIGH
ACCT000124,CUST002021,NRE,2020-10-22,HIGH
ACCT000125,CUST004599,NRO,2021-02-17,MEDIUM
ACCT000126,CUST004416,SAVINGS,2018-03-10,LOW
ACCT000127,CUST002153,SAVINGS,2021-08-16,LOW
ACCT000128,CUST004789,SAVINGS,2017-07-18,MEDIUM
ACCT000129,CUST003510,NRE,2017-08-17,HIGH
ACCT000130,CUST004781,SAVINGS,2021-10-04,MEDIUM
ACCT000131,CUST003272,SAVINGS,2019-01-03,MEDIUM
ACCT000132,CUST002966,NRO,2017-02-01,HIGH
ACCT000133,CUST001797,CURRENT,2021-04-08,MEDIUM
ACCT000134,CUST001134,NRO,2020-04-24,MEDIUM
ACCT000135,CUST004175,NRO,2015-12-17,HIGH
ACCT000136,CUST004043,CURRENT,2022-09-16,MEDIUM
ACCT000137,CUST000745,NRE,2020-03-28,HIGH
ACCT000138,CUST000386,NRE,2018-04-03,MEDIUM
ACCT000139,CUST000899,NRO,2016-04-25,MEDIUM
ACCT000140,CUST001253,NRE,2017-02-04,HIGH
ACCT000141,CUST005141,NRO,2017-09-08,HIGH
ACCT000142,CUST001311,NRE,2017-09-02,MEDIUM
ACCT000143,CUST005575,SAVINGS,2022-03-23,MEDIUM
ACCT000144,CUST003459,CURRENT,2016-08-11,LOW
ACCT000145,CUST004886,CURRENT,2017-09-21,LOW
ACCT000146,CUST000521,NRO,2022-09-10,HIGH
ACCT000147,CUST003153,SAVINGS,2022-05-17,LOW
ACCT000148,CUST003127,SAVINGS,2018-07-17,HIGH
ACCT000149,CUST004882,CURRENT,2015-11-16,HIGH
ACCT000150,CUST003835,CURRENT,2020-01-21,LOW
ACCT000151,CUST004335,NRE,2015-04-18,LOW
ACCT000152,CUST002060,NRE,2021-12-09,LOW
ACCT000153,CUST004533,CURRENT,2022-08-12,MEDIUM
ACCT000154,CUST000095,SAVINGS,2019-04-02,HIGH
ACCT000155,CUST005573,SAVINGS,2022-04-29,MEDIUM
ACCT000156,CUST005905,NRO,2015-09-26,MEDIUM
ACCT000157,CUST000939,SAVINGS,2017-09-18,LOW
ACCT000158,CUST005585,NRE,2021-10-01,HIGH
ACCT000159,CUST004399,NRO,2016-07-18,LOW
ACCT000160,CUST002186,NRO,2022-10-07,LOW
ACCT000161,CUST005251,SAVINGS,2019-04-21,MEDIUM
ACCT000162,CUST002787,SAVINGS,2016-08-26,HIGH
ACCT000163,CUST000914,CURRENT,2020-03-16,HIGH
ACCT000164,CUST002405,SAVINGS,2015-10-19,LOW
ACCT000165,CUST003562,SAVINGS,2021-08-13,HIGH
ACCT000166,CUST001296,CURRENT,2020-06-17,MEDIUM
ACCT000167,CUST003717,NRE,2015-07-10,MEDIUM
ACCT000168,CUST000027,CURRENT,2019-03-09,LOW
ACCT000169,CUST005916,NRE,2021-06-22,MEDIUM
ACCT000170,CUST005896,NRO,2018-01-06,HIGH
ACCT000171,CUST002158,CURRENT,2020-09-18,LOW
ACCT000172,CUST004101,NRE,2019-06-17,LOW
ACCT000173,CUST001464,NRE,2021-06-22,MEDIUM
ACCT000174,CUST004159,NRE,2022-09-22,LOW
ACCT000175,CUST000872,CURRENT,2020-04-29,LOW
ACCT000176,CUST005123,NRO,2021-09-29,LOW
ACCT000177,CUST002445,SAVINGS,2019-02-12,HIGH
ACCT000178,CUST005235,CURRENT,2016-10-06,MEDIUM
ACCT000179,CUST004159,NRE,2018-11-12,HIGH
ACCT000180,CUST004989,NRE,2015-08-13,LOW
ACCT000181,CUST001630,CURRENT,2021-02-15,MEDIUM
ACCT000182,CUST001253,CURRENT,2019-03-16,MEDIUM
ACCT000183,CUST003064,NRE,2019-06-11,LOW
ACCT000184,CUST001324,CURRENT,2020-09-18,MEDIUM
ACCT000185,CUST004419,SAVINGS,2022-02-23,LOW
ACCT000186,CUST004345,NRE,2022-04-23,LOW
ACCT000187,CUST000005,SAVINGS,2020-08-10,MEDIUM
ACCT000188,CUST004907,SAVINGS,2022-01-29,HIGH
ACCT000189,CUST002656,SAVINGS,2015-09-30,HIGH
ACCT000190,CUST004003,NRE,2018-07-25,LOW
ACCT000191,CUST000160,CURRENT,2019-12-10,LOW
ACCT000192,CUST000917,SAVINGS,2020-05-16,MEDIUM
ACCT000193,CUST002974,NRE,2020-12-17,HIGH
ACCT000194,CUST002520,NRO,2018-03-31,HIGH
ACCT000195,CUST001962,NRE,2017-06-13,HIGH
ACCT000196,CUST000475,CURRENT,2020-08-21,LOW
ACCT000197,CUST001974,CURRENT,2022-04-23,HIGH
ACCT000198,CUST004648,CURRENT,2016-08-07,LOW
ACCT000199,CUST000646,NRO,2022-01-08,MEDIUM
ACCT000200,CUST000702,CURRENT,2022-08-02,LOW
ACCT000201,CUST005996,CURRENT,2019-09-03,HIGH
ACCT000202,CUST003982,CURRENT,2015-10-04,HIGH
ACCT000203,CUST000567,SAVINGS,2017-08-22,HIGH
ACCT000204,CUST004364,SAVINGS,2018-07-26,HIGH
ACCT000205,CUST001031,NRE,2017-04-20,LOW
ACCT000206,CUST001052,NRO,2016-09-18,MEDIUM
ACCT000207,CUST005405,CURRENT,2015-08-29,HIGH
ACCT000208,CUST003894,CURRENT,2018-09-04,MEDIUM
ACCT000209,CUST004504,SAVINGS,2021-04-12,MEDIUM
ACCT000210,CUST001353,CURRENT,2021-04-02,HIGH
ACCT000211,CUST002172,CURRENT,2016-07-16,MEDIUM
ACCT000212,CUST004323,NRO,2017-02-02,HIGH
ACCT000213,CUST004970,CURRENT,2018-02-13,MEDIUM
ACCT000214,CUST003467,NRO,2015-10-23,MEDIUM
ACCT000215,CUST001736,SAVINGS,2018-11-09,MEDIUM
ACCT000216,CUST004418,NRE,2020-09-13,MEDIUM
ACCT000217,CUST005980,SAVINGS,2017-01-23,LOW
ACCT000218,CUST005652,SAVINGS,2019-05-18,LOW
ACCT000219,CUST001648,NRE,2020-10-01,LOW
ACCT000220,CUST005841,SAVINGS,2020-07-08,LOW
ACCT000221,CUST002554,SAVINGS,2015-04-30,LOW
ACCT000222,CUST003269,SAVINGS,2022-11-14,HIGH
ACCT000223,CUST005503,NRE,2019-09-11,HIGH
ACCT000224,CUST005324,SAVINGS,2015-12-01,MEDIUM
ACCT000225,CUST003060,NRE,2021-09-19,LOW
ACCT000226,CUST003589,NRE,2021-06-08,HIGH
ACCT000227,CUST004240,CURRENT,2017-02-18,HIGH
ACCT000228,CUST003699,NRE,2015-07-30,MEDIUM
ACCT000229,CUST000992,NRO,2016-01-19,LOW
ACCT000230,CUST002031,NRE,2022-05-03,MEDIUM
ACCT000231,CUST001841,NRO,2018-03-16,LOW
ACCT000232,CUST000525,SAVINGS,2018-10-02,LOW
ACCT000233,CUST002770,NRO,2017-11-10,MEDIUM
ACCT000234,CUST000173,NRE,2020-10-02,MEDIUM
ACCT000235,CUST004820,SAVINGS,2022-02-03,HIGH
ACCT000236,CUST004538,SAVINGS,2022-02-22,LOW
ACCT000237,CUST001886,CURRENT,2020-02-29,MEDIUM
ACCT000238,CUST004821,SAVINGS,2017-07-09,HIGH
ACCT000239,CUST001805,SAVINGS,2015-08-12,LOW
ACCT000240,CUST000059,NRO,2016-03-02,MEDIUM
ACCT000241,CUST000582,SAVINGS,2020-03-20,MEDIUM
ACCT000242,CUST005799,NRE,2015-04-03,LOW
ACCT000243,CUST005170,NRO,2016-09-07,LOW
ACCT000244,CUST000483,SAVINGS,2018-10-12,MEDIUM
ACCT000245,CUST001876,NRE,2017-08-02,HIGH
ACCT000246,CUST000553,NRE,2018-07-08,LOW
ACCT000247,CUST000258,NRO,2018-01-13,MEDIUM
ACCT000248,CUST002707,NRO,2018-11-02,HIGH
ACCT000249,CUST000581,NRO,2019-09-15,LOW
ACCT000250,CUST004212,CURRENT,2015-08-13,HIGH
ACCT000251,CUST001950,NRO,2018-11-07,LOW
ACCT000252,CUST002282,CURRENT,2021-01-03,MEDIUM
ACCT000253,CUST005481,CURRENT,2018-03-25,MEDIUM
ACCT000254,CUST003977,NRO,2020-10-25,HIGH
ACCT000255,CUST001756,CURRENT,2018-11-04,LOW
ACCT000256,CUST004418,SAVINGS,2015-07-09,MEDIUM
ACCT000257,CUST001084,NRE,2015-07-21,MEDIUM
ACCT000258,CUST005926,NRE,2018-01-12,HIGH
ACCT000259,CUST004678,SAVINGS,2017-10-15,LOW
ACCT000260,CUST004721,NRO,2020-10-10,HIGH
ACCT000261,CUST003873,CURRENT,2018-09-28,LOW
ACCT000262,CUST001991,CURRENT,2020-11-16,MEDIUM
ACCT000263,CUST003875,SAVINGS,2016-08-05,LOW
ACCT000264,CUST003335,NRE,2016-05-23,LOW
ACCT000265,CUST001560,NRO,2016-02-22,LOW
ACCT000266,CUST000773,CURRENT,2016-11-13,HIGH
ACCT000267,CUST000795,NRO,2016-03-01,LOW
ACCT000268,CUST005399,NRE,2016-02-15,HIGH
ACCT000269,CUST003532,CURRENT,2016-09-02,MEDIUM
ACCT000270,CUST002903,NRE,2021-04-13,LOW
ACCT000271,CUST003470,SAVINGS,2022-09-19,MEDIUM
ACCT000272,CUST003368,SAVINGS,2016-06-25,LOW
ACCT000273,CUST003826,CURRENT,2015-04-06,LOW
ACCT000274,CUST005973,NRE,2016-10-27,HIGH
ACCT000275,CUST000444,SAVINGS,2022-12-12,LOW
ACCT000276,CUST005517,NRO,2016-04-18,LOW
ACCT000277,CUST005354,CURRENT,2017-06-03,HIGH
ACCT000278,CUST005294,NRE,2017-04-16,MEDIUM
ACCT000279,CUST000807,NRE,2015-07-07,MEDIUM
ACCT000280,CUST000497,SAVINGS,2016-09-06,HIGH
ACCT000281,CUST003299,NRO,2022-05-27,MEDIUM
ACCT000282,CUST005966,NRO,2015-06-23,MEDIUM
ACCT000283,CUST002780,NRE,2017-03-03,HIGH
ACCT000284,CUST000896,SAVINGS,2015-05-22,MEDIUM
ACCT000285,CUST002037,NRO,2021-04-22,LOW
ACCT000286,CUST001570,NRE,2021-07-06,LOW
ACCT000287,CUST001559,NRE,2017-08-09,HIGH
ACCT000288,CUST004394,CURRENT,2015-06-13,HIGH
ACCT000289,CUST003676,CURRENT,2021-10-07,LOW
ACCT000290,CUST001149,CURRENT,2022-02-09,HIGH
ACCT000291,CUST003457,CURRENT,2022-07-28,LOW
ACCT000292,CUST001504,NRE,2016-10-02,HIGH
ACCT000293,CUST002282,CURRENT,2019-05-29,LOW
ACCT000294,CUST003790,CURRENT,2017-01-26,LOW
ACCT000295,CUST002047,SAVINGS,2015-09-20,HIGH
ACCT000296,CUST000618,NRO,2021-01-22,LOW
ACCT000297,CUST003631,NRO,2016-06-17,MEDIUM
ACCT000298,CUST004509,NRE,2017-12-26,MEDIUM
ACCT000299,CUST000803,SAVINGS,2019-12-27,HIGH
ACCT000300,CUST000415,SAVINGS,2018-11-23,HIGH
ACCT000301,CUST005343,NRO,2016-01-30,HIGH
ACCT000302,CUST004429,SAVINGS,2015-07-18,LOW
ACCT000303,CUST000121,NRE,2019-02-19,HIGH
ACCT000304,CUST000765,SAVINGS,2017-08-12,LOW
ACCT000305,CUST001937,CURRENT,2021-12-27,LOW
ACCT000306,CUST001363,NRO,2017-03-24,HIGH
ACCT000307,CUST003330,CURRENT,2015-01-29,HIGH
ACCT000308,CUST003979,SAVINGS,2022-02-07,HIGH
ACCT000309,CUST003944,CURRENT,2019-05-14,HIGH
ACCT000310,CUST001752,CURRENT,2021-10-03,HIGH
ACCT000311,CUST003286,NRE,2022-07-10,MEDIUM
ACCT000312,CUST000481,CURRENT,2018-04-01,HIGH
ACCT000313,CUST001349,CURRENT,2015-09-05,MEDIUM
ACCT000314,CUST003105,NRO,2020-06-17,LOW
ACCT000315,CUST000018,NRO,2015-05-15,LOW
ACCT000316,CUST003199,NRE,2018-11-01,MEDIUM
ACCT000317,CUST002173,CURRENT,2020-07-29,MEDIUM
ACCT000318,CUST003728,SAVINGS,2021-07-17,LOW
ACCT000319,CUST002337,CURRENT,2016-08-09,MEDIUM
ACCT000320,CUST003466,SAVINGS,2018-08-06,LOW
ACCT000321,CUST005707,NRE,2019-11-30,HIGH
ACCT000322,CUST005985,SAVINGS,2021-08-31,MEDIUM
ACCT000323,CUST004553,NRO,2020-06-08,LOW
ACCT000324,CUST005423,CURRENT,2016-11-16,HIGH
ACCT000325,CUST005886,SAVINGS,2022-06-25,MEDIUM
ACCT000326,CUST003987,NRE,2015-05-20,HIGH
ACCT000327,CUST001269,SAVINGS,2015-02-20,MEDIUM
ACCT000328,CUST001556,CURRENT,2017-10-23,LOW
ACCT000329,CUST002431,SAVINGS,2018-09-11,LOW
ACCT000330,CUST001784,CURRENT,2019-11-26,MEDIUM
ACCT000331,CUST000480,NRE,2016-02-15,LOW
ACCT000332,CUST004745,SAVINGS,2021-09-30,LOW
ACCT000333,CUST004442,NRO,2017-08-28,HIGH
ACCT000334,CUST000500,NRE,2019-01-15,LOW
ACCT000335,CUST002570,CURRENT,2016-12-10,MEDIUM
ACCT000336,CUST000469,SAVINGS,2019-06-03,LOW
ACCT000337,CUST000411,CURRENT,2020-02-07,LOW
ACCT000338,CUST004786,NRO,2021-06-16,HIGH
ACCT000339,CUST003906,NRO,2022-08-08,LOW
ACCT000340,CUST004120,NRO,2016-07-16,MEDIUM
ACCT000341,CUST004351,CURRENT,2018-07-19,HIGH
ACCT000342,CUST001290,SAVINGS,2022-03-08,LOW
ACCT000343,CUST000466,SAVINGS,2022-12-16,HIGH
ACCT000344,CUST004161,NRE,2019-05-16,MEDIUM
ACCT000345,CUST000657,NRO,2019-04-01,MEDIUM
ACCT000346,CUST001523,NRO,2015-08-17,LOW
ACCT000347,CUST000562,SAVINGS,2022-05-30,HIGH
ACCT000348,CUST004875,SAVINGS,2020-10-15,HIGH
ACCT000349,CUST000557,CURRENT,2016-09-08,HIGH
ACCT000350,CUST005532,CURRENT,2015-02-02,MEDIUM
ACCT000351,CUST001927,NRO,2016-07-14,MEDIUM
ACCT000352,CUST003308,NRO,2016-10-23,LOW
ACCT000353,CUST000983,NRO,2020-02-19,MEDIUM
ACCT000354,CUST004667,NRO,2022-12-12,LOW
ACCT000355,CUST002017,NRE,2019-10-15,HIGH
ACCT000356,CUST004743,SAVINGS,2022-09-02,MEDIUM
ACCT000357,CUST004871,SAVINGS,2018-01-18,HIGH
ACCT000358,CUST000326,CURRENT,2021-09-17,LOW
ACCT000359,CUST005074,SAVINGS,2015-02-22,LOW
ACCT000360,CUST000672,CURRENT,2021-10-26,MEDIUM
ACCT000361,CUST003435,NRO,2018-12-23,MEDIUM
ACCT000362,CUST005386,SAVINGS,2020-05-24,HIGH
ACCT000363,CUST004782,CURRENT,2022-12-08,MEDIUM
ACCT000364,CUST004631,CURRENT,2016-11-13,MEDIUM
ACCT000365,CUST004283,NRO,2020-01-24,HIGH
ACCT000366,CUST002592,NRO,2021-08-15,HIGH
ACCT000367,CUST002137,CURRENT,2015-08-07,HIGH
ACCT000368,CUST001674,NRE,2022-07-20,HIGH
ACCT000369,CUST005487,CURRENT,2018-06-15,MEDIUM
ACCT000370,CUST005868,NRO,2017-06-03,HIGH
ACCT000371,CUST002574,NRE,2019-05-12,MEDIUM
ACCT000372,CUST001956,NRE,2019-08-08,MEDIUM
ACCT000373,CUST002176,CURRENT,2020-07-27,LOW
ACCT000374,CUST003243,NRE,2019-01-19,MEDIUM
ACCT000375,CUST001073,NRE,2016-12-15,LOW
ACCT000376,CUST005503,NRO,2020-12-07,LOW
ACCT000377,CUST005288,CURRENT,2017-02-21,LOW
ACCT000378,CUST002458,NRE,2016-04-01,HIGH
ACCT000379,CUST003746,CURRENT,2019-11-28,HIGH
ACCT000380,CUST002591,SAVINGS,2015-09-06,HIGH
ACCT000381,CUST000595,NRO,2021-03-18,HIGH
ACCT000382,CUST000077,NRO,2016-08-02,LOW
ACCT000383,CUST003755,SAVINGS,2022-04-30,LOW
ACCT000384,CUST005089,NRO,2018-02-05,HIGH
ACCT000385,CUST004613,NRO,2017-05-25,HIGH
ACCT000386,CUST000820,NRO,2021-05-15,LOW
ACCT000387,CUST000601,SAVINGS,2018-03-17,MEDIUM
ACCT000388,CUST004405,NRO,2020-08-11,LOW
ACCT000389,CUST001747,CURRENT,2019-10-12,MEDIUM
ACCT000390,CUST004145,CURRENT,2019-05-11,LOW
ACCT000391,CUST002173,CURRENT,2018-05-18,HIGH
ACCT000392,CUST001086,NRE,2020-09-21,MEDIUM
ACCT000393,CUST002860,SAVINGS,2015-07-08,LOW
ACCT000394,CUST000564,SAVINGS,2022-08-20,LOW
ACCT000395,CUST002002,SAVINGS,2015-11-07,LOW
ACCT000396,CUST003028,SAVINGS,2021-10-16,HIGH
ACCT000397,CUST002335,CURRENT,2022-08-15,MEDIUM
ACCT000398,CUST001293,NRE,2018-06-07,HIGH
ACCT000399,CUST003590,CURRENT,2016-09-10,LOW
ACCT000400,CUST004451,CURRENT,2019-11-13,MEDIUM
ACCT000401,CUST005764,CURRENT,2022-01-23,HIGH
ACCT000402,CUST002479,NRE,2019-12-27,HIGH
ACCT000403,CUST005011,CURRENT,2021-10-05,MEDIUM
ACCT000404,CUST005358,NRE,2015-05-26,LOW
ACCT000405,CUST004334,CURRENT,2021-10-20,HIGH
ACCT000406,CUST000065,CURRENT,2021-08-11,LOW
ACCT000407,CUST005472,CURRENT,2016-04-15,HIGH
ACCT000408,CUST004544,CURRENT,2022-02-09,HIGH
ACCT000409,CUST002453,SAVINGS,2018-06-28,HIGH
ACCT000410,CUST005435,NRE,2021-12-09,LOW
ACCT000411,CUST000849,SAVINGS,2021-05-19,MEDIUM
ACCT000412,CUST001101,SAVINGS,2017-10-11,MEDIUM
ACCT000413,CUST002167,CURRENT,2019-11-10,LOW
ACCT000414,CUST000946,NRE,2016-01-21,LOW
ACCT000415,CUST000877,SAVINGS,2016-12-25,HIGH
ACCT000416,CUST004533,NRE,2022-01-15,HIGH
ACCT000417,CUST001274,CURRENT,2021-03-31,LOW
ACCT000418,CUST002232,SAVINGS,2016-08-11,LOW
ACCT000419,CUST002309,SAVINGS,2016-09-27,MEDIUM
ACCT000420,CUST004955,CURRENT,2016-06-11,HIGH
ACCT000421,CUST001726,NRE,2020-12-19,LOW
ACCT000422,CUST005879,CURRENT,2022-01-04,MEDIUM
ACCT000423,CUST002809,CURRENT,2016-01-27,MEDIUM
ACCT000424,CUST001668,NRO,2017-11-20,LOW
ACCT000425,CUST005632,NRE,2020-12-22,HIGH
ACCT000426,CUST005196,NRE,2018-06-25,HIGH
ACCT000427,CUST002163,NRE,2021-10-03,MEDIUM
ACCT000428,CUST004141,NRE,2018-08-02,HIGH
ACCT000429,CUST004003,SAVINGS,2016-10-27,LOW
ACCT000430,CUST002058,NRO,2022-03-29,MEDIUM
ACCT000431,CUST000417,NRE,2017-09-14,LOW
ACCT000432,CUST000757,SAVINGS,2020-06-02,MEDIUM
ACCT000433,CUST005197,NRO,2017-08-11,LOW
ACCT000434,CUST003470,NRE,2018-12-26,HIGH
ACCT000435,CUST002267,NRO,2018-02-25,MEDIUM
ACCT000436,CUST000362,NRE,2020-05-29,LOW
ACCT000437,CUST000030,CURRENT,2019-01-14,LOW
ACCT000438,CUST002733,CURRENT,2016-04-24,HIGH
ACCT000439,CUST001072,NRO,2015-06-20,MEDIUM
ACCT000440,CUST005220,CURRENT,2016-06-20,LOW
ACCT000441,CUST002146,NRO,2016-01-02,LOW
ACCT000442,CUST001324,CURRENT,2016-01-09,MEDIUM
ACCT000443,CUST003620,SAVINGS,2017-04-20,LOW
ACCT000444,CUST004520,NRO,2019-11-19,MEDIUM
ACCT000445,CUST005781,NRE,2015-03-21,HIGH
ACCT000446,CUST003504,NRE,2016-09-13,LOW
ACCT000447,CUST004595,NRO,2022-12-19,LOW
ACCT000448,CUST000080,NRE,2015-11-30,HIGH
ACCT000449,CUST000917,NRO,2017-08-13,HIGH
ACCT000450,CUST000617,SAVINGS,2020-03-20,MEDIUM
ACCT000451,CUST005661,CURRENT,2019-02-13,MEDIUM
ACCT000452,CUST001222,SAVINGS,2022-12-10,MEDIUM
ACCT000453,CUST004470,SAVINGS,2020-08-02,MEDIUM
ACCT000454,CUST000296,NRE,2016-03-26,LOW
