ALERT_ID,CASE_ID,ACCOUNT_ID,CUSTOMER_ID,TRANSACTION_ID,ALERT_SCORE,ALERT_DATE,IS_STR,ACCOUNT_TYPE,ACCOUNT_RISK,CUSTOMER_TYPE,KYC_RISK,AVG_TXN
AL0000040,CASE003101,ACCT007475,CUST001536,TXN0001083,81,2023-07-15,0,SAVINGS,LOW,CORPORATE,MEDIUM,39337
AL0000041,CASE001978,ACCT002890,CUST002445,TXN0001090,85,2024-09-22,0,SAVINGS,MEDIUM,CORPORATE,HIGH,10896
AL0000042,CASE000643,ACCT006877,CUST002151,TXN0001096,92,2024-07-07,0,SAVINGS,MEDIUM,CORPORATE,HIGH,29947
AL0000043,CASE004507,ACCT003763,CUST003047,TXN0001106,85,2024-05-06,0,NRO,LOW,INDIVIDUAL,HIGH,13161
AL0000044,CASE004629,ACCT008268,CUST001293,TXN0001112,77,2024-09-26,0,SAVINGS,LOW,CORPORATE,LOW,35782
AL0000045,CASE000524,ACCT007926,CUST004321,TXN0001121,85,2024-11-30,0,NRO,MEDIUM,CORPORATE,MEDIUM,6396
AL0000046,CASE002104,ACCT007591,CUST003494,TXN0001128,80,2023-10-17,0,SAVINGS,HIGH,INDIVIDUAL,LOW,23516
AL0000047,CASE004693,ACCT004329,CUST002643,TXN0001137,87,2023-11-03,1,NRO,MEDIUM,INDIVIDUAL,MEDIUM,44426
AL0000048,CASE000723,ACCT003390,CUST001983,TXN0001144,84,2023-09-06,0,SAVINGS,LOW,INDIVIDUAL,LOW,18661
AL0000049,CASE000741,ACCT004885,CUST000039,TXN0001154,88,2023-07-18,1,NRO,HIGH,INDIVIDUAL,LOW,23453
AL0000050,CASE002668,ACCT002674,CUST003334,TXN0001162,87,2024-08-17,1,SAVINGS,LOW,CORPORATE,MEDIUM,36383
AL0000051,CASE003570,ACCT002109,CUST004767,TXN0001172,94,2023-10-31,1,NRO,LOW,CORPORATE,MEDIUM,4511
AL0000052,CASE002874,ACCT008959,CUST001609,TXN0001180,85,2023-09-09,0,CURRENT,MEDIUM,INDIVIDUAL,LOW,23532
AL0000053,CASE004448,ACCT006757,CUST002650,TXN0001189,85,2023-08-04,0,SAVINGS,LOW,CORPORATE,MEDIUM,7750
AL0000054,CASE001985,ACCT006889,CUST003239,TXN0001195,72,2024-01-13,0,NRO,MEDIUM,INDIVIDUAL,MEDIUM,38632
AL0000055,CASE000072,ACCT002424,CUST003426,TXN0001203,94,2023-05-02,1,CURRENT,MEDIUM,INDIVIDUAL,MEDIUM,31089
AL0000056,CASE003597,ACCT007835,CUST005775,TXN0001209,80,2024-11-02,0,NRE,MEDIUM,CORPORATE,MEDIUM,11112
AL0000057,CASE002777,ACCT008637,CUST002893,TXN0001216,73,2023-09-29,0,SAVINGS,HIGH,CORPORATE,MEDIUM,38701
AL0000058,CASE002619,ACCT003642,CUST002856,TXN0001225,76,2024-01-30,0,SAVINGS,LOW,INDIVIDUAL,HIGH,56808
AL0000059,CASE002024,ACCT004660,CUST001424,TXN0001231,89,2023-01-26,1,NRO,MEDIUM,CORPORATE,HIGH,46212
AL0000060,CASE001799,ACCT008876,CUST001502,TXN0001240,85,2023-01-16,0,SAVINGS,LOW,INDIVIDUAL,HIGH,40942
AL0000061,CASE001947,ACCT005489,CUST001372,TXN0001250,75,2023-01-09,0,NRO,HIGH,INDIVIDUAL,MEDIUM,4516
AL0000062,CASE000197,ACCT005235,CUST000883,TXN0001260,67,2023-06-07,0,NRE,MEDIUM,CORPORATE,HIGH,22962
AL0000063,CASE003876,ACCT002106,CUST005383,TXN0001267,80,2024-02-20,0,SAVINGS,LOW,CORPORATE,HIGH,25340
AL0000064,CASE000377,ACCT008695,CUST005464,TXN0001274,80,2023-06-17,0,SAVINGS,HIGH,INDIVIDUAL,LOW,47936
AL0000065,CASE002948,ACCT000050,CUST000356,TXN0001283,85,2023-09-05,0,CURRENT,HIGH,INDIVIDUAL,LOW,32131
AL0000066,CASE000705,ACCT000269,CUST003532,TXN0001290,85,2024-09-07,0,CURRENT,MEDIUM,CORPORATE,HIGH,32309
AL0000067,CASE002854,ACCT007217,CUST004836,TXN0001298,87,2024-05-30,0,SAVINGS,MEDIUM,INDIVIDUAL,HIGH,21911
AL0000068,CASE002239,ACCT002700,CUST000307,TXN0001308,92,2023-08-25,1,NRE,LOW,INDIVIDUAL,MEDIUM,11180
AL0000069,CASE002068,ACCT001794,CUST001422,TXN0001318,73,2024-07-27,0,CURRENT,HIGH,CORPORATE,LOW,9212
AL0000070,CASE001807,ACCT003589,CUST000079,TXN0001327,89,2023-11-24,1,CURRENT,HIGH,INDIVIDUAL,MEDIUM,45296
AL0000071,CASE004697,ACCT001352,CUST005141,TXN0001335,91,2023-07-25,1,NRO,HIGH,CORPORATE,LOW,7481
AL0000072,CASE002548,ACCT002213,CUST001934,TXN0001342,73,2023-01-17,0,CURRENT,HIGH,CORPORATE,LOW,40130
AL0000073,CASE002238,ACCT004628,CUST005611,TXN0001350,92,2023-05-01,0,SAVINGS,HIGH,INDIVIDUAL,HIGH,56905
AL0000074,CASE003850,ACCT008247,CUST001421,TXN0001358,79,2024-05-11,0,NRO,MEDIUM,INDIVIDUAL,HIGH,11507
AL0000075,CASE004974,ACCT007038,CUST003219,TXN0001365,71,2023-12-07,0,NRO,LOW,INDIVIDUAL,HIGH,45939
AL0000076,CASE000620,ACCT002573,CUST001671,TXN0001371,68,2024-11-03,0,SAVINGS,HIGH,CORPORATE,LOW,42768
AL0000077,CASE002045,ACCT004955,CUST005355,TXN0001378,69,2023-02-02,0,NRO,LOW,CORPORATE,LOW,53342
AL0000078,CASE003362,ACCT005794,CUST005877,TXN0001388,70,2023-08-03,0,NRO,HIGH,INDIVIDUAL,HIGH,8365
AL0000079,CASE004289,ACCT002399,CUST004970,TXN0001395,66,2024-11-05,0,NRE,HIGH,INDIVIDUAL,LOW,57523
AL0000080,CASE003205,ACCT008740,CUST004942,TXN0001405,77,2023-06-16,0,CURRENT,LOW,INDIVIDUAL,MEDIUM,16040
AL0000081,CASE001108,ACCT004677,CUST001015,TXN0001411,79,2024-02-03,0,NRO,MEDIUM,INDIVIDUAL,HIGH,29778
AL0000082,CASE003276,ACCT004846,CUST003385,TXN0001418,84,2024-01-16,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,53031
AL0000083,CASE002168,ACCT003998,CUST002004,TXN0001428,68,2024-02-24,1,SAVINGS,MEDIUM,INDIVIDUAL,HIGH,43702
AL0000084,CASE001858,ACCT003276,CUST001536,TXN0001434,68,2024-12-16,1,SAVINGS,LOW,CORPORATE,MEDIUM,39337
AL0000085,CASE001289,ACCT007789,CUST000588,TXN0001443,72,2023-03-08,0,NRE,HIGH,CORPORATE,LOW,34662
AL0000086,CASE003636,ACCT004322,CUST005772,TXN0001451,67,2023-03-26,0,CURRENT,LOW,INDIVIDUAL,MEDIUM,48411
AL0000087,CASE000547,ACCT002477,CUST003165,TXN0001459,70,2023-04-10,0,CURRENT,HIGH,CORPORATE,LOW,33671
AL0000088,CASE000061,ACCT006824,CUST000307,TXN0001467,85,2023-12-08,0,NRO,LOW,INDIVIDUAL,MEDIUM,11180
AL0000089,CASE002003,ACCT006340,CUST000523,TXN0001473,80,2023-03-22,0,CURRENT,MEDIUM,CORPORATE,HIGH,28628
AL0000090,CASE004327,ACCT004764,CUST005337,TXN0001483,69,2024-10-26,0,NRO,LOW,CORPORATE,LOW,41426
AL0000091,CASE002349,ACCT006926,CUST001913,TXN0001490,73,2024-12-16,0,NRO,LOW,CORPORATE,HIGH,4582
AL0000092,CASE004724,ACCT007048,CUST005624,TXN0001498,88,2023-01-27,0,SAVINGS,MEDIUM,INDIVIDUAL,MEDIUM,38839
AL0000093,CASE002973,ACCT004494,CUST004458,TXN0001506,67,2023-03-24,0,NRE,LOW,INDIVIDUAL,MEDIUM,14390
AL0000094,CASE003200,ACCT001894,CUST004938,TXN0001515,81,2024-02-07,0,SAVINGS,HIGH,INDIVIDUAL,LOW,12079
AL0000095,CASE003226,ACCT006980,CUST000069,TXN0001521,90,2024-05-08,0,NRE,MEDIUM,CORPORATE,HIGH,59830
AL0000096,CASE001433,ACCT002287,CUST000216,TXN0001528,79,2024-11-13,0,SAVINGS,LOW,INDIVIDUAL,HIGH,4827
AL0000097,CASE000098,ACCT008140,CUST002993,TXN0001534,73,2024-05-21,0,NRO,MEDIUM,INDIVIDUAL,MEDIUM,53206
AL0000098,CASE004980,ACCT006056,CUST004776,TXN0001541,84,2024-05-19,0,SAVINGS,HIGH,INDIVIDUAL,MEDIUM,30890
AL0000099,CASE000416,ACCT005706,CUST004106,TXN0001548,65,2023-12-19,0,NRO,MEDIUM,INDIVIDUAL,HIGH,10602
AL0000100,CASE004316,ACCT008607,CUST001904,TXN0001557,82,2024-10-08,0,SAVINGS,MEDIUM,CORPORATE,LOW,29164
AL0000101,CASE003586,ACCT003045,CUST003818,TXN0001566,90,2023-04-20,1,CURRENT,LOW,INDIVIDUAL,MEDIUM,16587
AL0000102,CASE001675,ACCT001003,CUST001424,TXN0001573,82,2024-06-05,0,NRE,LOW,CORPORATE,HIGH,46212
AL0000103,CASE002415,ACCT008479,CUST004782,TXN0001579,75,2023-09-08,0,CURRENT,MEDIUM,INDIVIDUAL,HIGH,16586
AL0000104,CASE000210,ACCT006818,CUST005758,TXN0001586,72,2024-06-13,0,SAVINGS,MEDIUM,INDIVIDUAL,LOW,27328
AL0000105,CASE001041,ACCT001265,CUST000377,TXN0001595,78,2023-12-29,0,NRE,MEDIUM,CORPORATE,MEDIUM,40236
AL0000106,CASE002275,ACCT002203,CUST005566,TXN0001605,78,2024-03-23,0,NRE,LOW,INDIVIDUAL,LOW,26360
AL0000107,CASE001836,ACCT000551,CUST005105,TXN0001613,92,2023-09-02,1,SAVINGS,LOW,CORPORATE,LOW,36468
AL0000108,CASE000185,ACCT006351,CUST001273,TXN0001619,87,2024-05-04,1,NRE,HIGH,CORPORATE,HIGH,30223
AL0000109,CASE000649,ACCT008774,CUST004899,TXN0001628,81,2024-09-20,0,CURRENT,LOW,INDIVIDUAL,LOW,28581
AL0000110,CASE003546,ACCT006110,CUST000080,TXN0001634,73,2023-02-16,0,CURRENT,LOW,CORPORATE,HIGH,39223
AL0000111,CASE001518,ACCT001993,CUST003041,TXN0001643,93,2024-03-29,1,NRE,MEDIUM,INDIVIDUAL,LOW,18995
AL0000112,CASE003150,ACCT004572,CUST004258,TXN0001649,92,2024-08-19,1,CURRENT,HIGH,CORPORATE,MEDIUM,39051
AL0000113,CASE003750,ACCT003997,CUST000101,TXN0001659,78,2024-01-07,0,SAVINGS,LOW,CORPORATE,LOW,53682
AL0000114,CASE002274,ACCT002068,CUST004222,TXN0001668,80,2023-09-24,0,SAVINGS,MEDIUM,INDIVIDUAL,MEDIUM,19115
AL0000115,CASE003879,ACCT005984,CUST005791,TXN0001677,95,2024-08-05,1,NRO,LOW,INDIVIDUAL,LOW,47625
AL0000116,CASE001536,ACCT005595,CUST004199,TXN0001686,78,2023-06-17,0,NRE,LOW,CORPORATE,LOW,17502
AL0000117,CASE004768,ACCT000928,CUST000824,TXN0001694,65,2024-01-10,0,NRO,HIGH,INDIVIDUAL,LOW,40189
AL0000118,CASE004704,ACCT005713,CUST005429,TXN0001703,70,2023-11-28,0,NRO,LOW,CORPORATE,HIGH,41274
AL0000119,CASE000226,ACCT001934,CUST001573,TXN0001711,91,2024-05-15,0,NRE,HIGH,INDIVIDUAL,MEDIUM,23835
AL0000120,CASE000440,ACCT002527,CUST002456,TXN0001718,72,2023-06-18,0,NRO,LOW,INDIVIDUAL,LOW,23646
AL0000121,CASE004187,ACCT007438,CUST005290,TXN0001724,87,2024-03-22,1,SAVINGS,HIGH,CORPORATE,MEDIUM,49742
AL0000122,CASE000822,ACCT001299,CUST002357,TXN0001733,75,2024-09-14,0,CURRENT,HIGH,INDIVIDUAL,HIGH,33721
AL0000123,CASE004772,ACCT004324,CUST003241,TXN0001742,76,2023-03-02,0,NRO,LOW,INDIVIDUAL,HIGH,35435
AL0000124,CASE001911,ACCT004951,CUST004866,TXN0001749,70,2023-10-14,0,SAVINGS,LOW,INDIVIDUAL,MEDIUM,54604
AL0000125,CASE000634,ACCT000726,CUST003829,TXN0001755,81,2023-03-06,0,CURRENT,MEDIUM,CORPORATE,LOW,20515
AL0000126,CASE003328,ACCT004438,CUST005355,TXN0001764,89,2023-07-13,1,NRO,HIGH,CORPORATE,LOW,53342
AL0000127,CASE004031,ACCT005364,CUST003126,TXN0001771,92,2023-07-19,1,NRO,LOW,INDIVIDUAL,LOW,37663
AL0000128,CASE002219,ACCT004917,CUST004263,TXN0001779,74,2024-03-12,0,CURRENT,LOW,INDIVIDUAL,HIGH,45277
AL0000129,CASE003640,ACCT006626,CUST003008,TXN0001785,74,2024-01-19,0,NRO,LOW,CORPORATE,LOW,36709
AL0000130,CASE004883,ACCT002456,CUST002341,TXN0001792,85,2024-11-09,0,SAVINGS,MEDIUM,INDIVIDUAL,LOW,22180
AL0000131,CASE003959,ACCT001369,CUST004419,TXN0001801,90,2023-09-08,1,CURRENT,LOW,INDIVIDUAL,HIGH,16017
AL0000132,CASE003976,ACCT002611,CUST002439,TXN0001807,72,2024-09-12,0,SAVINGS,HIGH,CORPORATE,MEDIUM,6132
AL0000133,CASE003400,ACCT002795,CUST004404,TXN0001814,88,2024-06-17,1,CURRENT,LOW,INDIVIDUAL,MEDIUM,36238
AL0000134,CASE002606,ACCT000631,CUST000874,TXN0001820,77,2024-09-07,0,SAVINGS,HIGH,INDIVIDUAL,LOW,42079
AL0000135,CASE004581,ACCT006498,CUST001197,TXN0001829,91,2024-12-18,1,SAVINGS,MEDIUM,INDIVIDUAL,LOW,36014
AL0000136,CASE000011,ACCT000917,CUST005654,TXN0001836,82,2023-02-09,0,NRE,LOW,INDIVIDUAL,HIGH,10084
AL0000137,CASE004022,ACCT004631,CUST001101,TXN0001846,74,2023-12-30,0,NRO,HIGH,INDIVIDUAL,HIGH,16792
AL0000138,CASE001287,ACCT005038,CUST001432,TXN0001855,79,2023-01-19,0,SAVINGS,HIGH,CORPORATE,MEDIUM,21304
AL0000139,CASE000181,ACCT000221,CUST002554,TXN0001861,94,2024-07-12,1,SAVINGS,LOW,INDIVIDUAL,HIGH,15837
AL0000140,CASE001664,ACCT001110,CUST004216,TXN0001867,83,2023-09-15,0,CURRENT,MEDIUM,INDIVIDUAL,MEDIUM,47412
AL0000141,CASE003525,ACCT006013,CUST001436,TXN0001874,83,2023-11-17,0,NRO,LOW,INDIVIDUAL,HIGH,32978
AL0000142,CASE000380,ACCT001377,CUST002418,TXN0001882,71,2024-05-25,0,NRO,HIGH,INDIVIDUAL,MEDIUM,7031
AL0000143,CASE002009,ACCT008490,CUST005767,TXN0001888,94,2024-02-12,0,SAVINGS,HIGH,CORPORATE,LOW,11488
AL0000144,CASE000765,ACCT006369,CUST002665,TXN0001897,90,2023-02-03,1,NRO,HIGH,INDIVIDUAL,HIGH,55741
AL0000145,CASE002553,ACCT008580,CUST000896,TXN0001907,92,2024-06-21,1,CURRENT,MEDIUM,CORPORATE,HIGH,35697
AL0000146,CASE004568,ACCT008251,CUST002244,TXN0001914,81,2024-12-22,0,SAVINGS,HIGH,CORPORATE,LOW,29300
AL0000147,CASE004132,ACCT008696,CUST001205,TXN0001921,65,2023-12-21,0,SAVINGS,MEDIUM,CORPORATE,MEDIUM,52286
AL0000148,CASE001925,ACCT000399,CUST003590,TXN0001930,88,2024-02-17,1,CURRENT,LOW,CORPORATE,MEDIUM,26811
AL0000149,CASE003285,ACCT002254,CUST001640,TXN0001939,93,2023-07-29,1,SAVINGS,LOW,CORPORATE,HIGH,13239
AL0000150,CASE004606,ACCT006657,CUST000789,TXN0001945,77,2023-10-27,0,NRE,HIGH,INDIVIDUAL,LOW,9111
AL0000151,CASE002072,ACCT004446,CUST001684,TXN0001954,85,2023-02-03,0,NRE,LOW,INDIVIDUAL,HIGH,39916
AL0000152,CASE004797,ACCT006111,CUST005742,TXN0001964,67,2024-01-22,0,NRO,LOW,INDIVIDUAL,HIGH,32295
AL0000153,CASE002785,ACCT005827,CUST001475,TXN0001972,86,2024-10-10,1,NRE,LOW,INDIVIDUAL,MEDIUM,22154
AL0000154,CASE004713,ACCT006502,CUST000585,TXN0001982,74,2023-10-18,0,NRO,MEDIUM,CORPORATE,MEDIUM,58011
AL0000155,CASE004337,ACCT008178,CUST002521,TXN0001991,90,2024-11-21,1,CURRENT,MEDIUM,CORPORATE,MEDIUM,31858
AL0000156,CASE004304,ACCT000336,CUST000469,TXN0001998,95,2024-12-08,1,SAVINGS,LOW,INDIVIDUAL,HIGH,40526
AL0000157,CASE001075,ACCT004489,CUST004007,TXN0002007,69,2024-12-10,0,NRO,MEDIUM,CORPORATE,MEDIUM,48657
AL0000158,CASE003395,ACCT008450,CUST004351,TXN0002017,71,2024-04-04,0,NRE,LOW,INDIVIDUAL,HIGH,28632
AL0000159,CASE002528,ACCT007370,CUST004988,TXN0002023,69,2024-02-24,0,SAVINGS,HIGH,INDIVIDUAL,LOW,18193
AL0000160,CASE001067,ACCT008123,CUST001851,TXN0002029,86,2024-03-06,0,NRO,LOW,INDIVIDUAL,HIGH,58100
AL0000161,CASE001336,ACCT002130,CUST001652,TXN0002036,85,2023-11-28,0,CURRENT,HIGH,CORPORATE,MEDIUM,21704
AL0000162,CASE001360,ACCT005931,CUST005363,TXN0002043,94,2023-08-04,1,CURRENT,MEDIUM,INDIVIDUAL,LOW,25847
AL0000163,CASE000168,ACCT003164,CUST000260,TXN0002051,70,2023-06-09,0,CURRENT,MEDIUM,INDIVIDUAL,LOW,57246
AL0000164,CASE004224,ACCT005752,CUST004272,TXN0002060,84,2023-04-04,0,NRO,LOW,CORPORATE,HIGH,13904
AL0000165,CASE000052,ACCT008832,CUST004040,TXN0002069,95,2024-01-18,1,SAVINGS,LOW,CORPORATE,HIGH,15168
AL0000166,CASE001070,ACCT006784,CUST000178,TXN0002076,80,2024-02-15,0,NRE,LOW,INDIVIDUAL,MEDIUM,13573
AL0000167,CASE002492,ACCT006688,CUST001710,TXN0002084,76,2024-09-18,0,NRE,HIGH,CORPORATE,HIGH,7073
AL0000168,CASE003792,ACCT001370,CUST002998,TXN0002093,91,2024-08-16,0,NRO,HIGH,INDIVIDUAL,MEDIUM,13486
AL0000169,CASE003255,ACCT000002,CUST000913,TXN0002099,66,2024-01-17,0,CURRENT,LOW,CORPORATE,LOW,33575
AL0000170,CASE002222,ACCT001941,CUST004159,TXN0002106,78,2023-04-03,0,NRO,MEDIUM,CORPORATE,HIGH,52545
AL0000171,CASE004407,ACCT008407,CUST003757,TXN0002112,78,2024-06-04,0,SAVINGS,LOW,CORPORATE,MEDIUM,16109
AL0000172,CASE003655,ACCT000586,CUST002640,TXN0002119,81,2024-03-18,0,CURRENT,HIGH,CORPORATE,HIGH,57620
AL0000173,CASE003062,ACCT002991,CUST002089,TXN0002125,78,2023-08-17,0,NRE,LOW,INDIVIDUAL,LOW,22333
AL0000174,CASE002692,ACCT005974,CUST001326,TXN0002132,84,2023-03-24,0,SAVINGS,HIGH,INDIVIDUAL,LOW,14972
AL0000175,CASE003823,ACCT007111,CUST001903,TXN0002139,69,2024-09-05,0,NRE,MEDIUM,CORPORATE,MEDIUM,4073
AL0000176,CASE001459,ACCT005647,CUST003509,TXN0002149,86,2024-03-06,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,9939
AL0000177,CASE004729,ACCT008292,CUST001960,TXN0002157,92,2024-12-25,1,CURRENT,MEDIUM,CORPORATE,LOW,50096
AL0000178,CASE004471,ACCT004325,CUST004801,TXN0002164,76,2023-06-04,0,CURRENT,MEDIUM,CORPORATE,LOW,8200
AL0000179,CASE004661,ACCT003535,CUST004891,TXN0002171,90,2024-04-18,1,SAVINGS,MEDIUM,CORPORATE,HIGH,58775
AL0000180,CASE000191,ACCT006125,CUST001791,TXN0002180,93,2023-01-15,1,NRO,LOW,INDIVIDUAL,HIGH,58938
AL0000181,CASE003681,ACCT008579,CUST000631,TXN0002187,65,2023-02-16,0,SAVINGS,LOW,INDIVIDUAL,LOW,37967
AL0000182,CASE001441,ACCT006222,CUST001873,TXN0002194,69,2024-10-23,0,NRO,HIGH,INDIVIDUAL,LOW,20030
AL0000183,CASE001000,ACCT006373,CUST002232,TXN0002201,81,2023-07-29,0,CURRENT,MEDIUM,INDIVIDUAL,MEDIUM,29724
AL0000184,CASE000121,ACCT003317,CUST003450,TXN0002207,87,2024-04-15,1,NRE,MEDIUM,INDIVIDUAL,MEDIUM,57863
AL0000185,CASE004493,ACCT004022,CUST005516,TXN0002214,89,2023-11-24,1,NRO,LOW,CORPORATE,MEDIUM,31166
AL0000186,CASE004050,ACCT008504,CUST005018,TXN0002222,92,2024-12-28,1,CURRENT,LOW,CORPORATE,MEDIUM,50392
AL0000187,CASE001361,ACCT006827,CUST003126,TXN0002230,67,2023-06-15,0,SAVINGS,MEDIUM,INDIVIDUAL,LOW,37663
AL0000188,CASE001367,ACCT003743,CUST003765,TXN0002238,78,2023-03-23,0,NRE,MEDIUM,CORPORATE,HIGH,44328
AL0000189,CASE000263,ACCT003583,CUST001533,TXN0002246,65,2023-01-20,0,CURRENT,LOW,INDIVIDUAL,MEDIUM,25875
AL0000190,CASE003296,ACCT001491,CUST001209,TXN0002254,70,2024-10-08,0,NRO,MEDIUM,CORPORATE,HIGH,10068
AL0000191,CASE001651,ACCT006902,CUST005610,TXN0002262,83,2023-04-13,0,NRO,HIGH,CORPORATE,LOW,4685
AL0000192,CASE002541,ACCT006875,CUST004491,TXN0002270,81,2023-11-19,0,NRE,LOW,CORPORATE,LOW,19665
AL0000193,CASE004948,ACCT003952,CUST005747,TXN0002278,77,2024-05-18,0,CURRENT,LOW,CORPORATE,HIGH,22953
AL0000194,CASE004407,ACCT000260,CUST004721,TXN0002286,92,2024-10-17,1,NRO,HIGH,INDIVIDUAL,LOW,34396
