STR_ID,CASE_ID,ALERT_ID,ACCOUNT_ID,IS_STR,FILED_DATE
STR000083,CASE001469,AL0000268,ACCT001633,1,2024-01-06
STR000084,CASE001343,AL0000275,ACCT004599,1,2024-12-06
STR000085,CASE003951,AL0000278,ACCT005710,1,2023-02-10
STR000086,CASE002045,AL0000279,ACCT005662,1,2023-02-18
STR000087,CASE004157,AL0000280,ACCT006240,1,2024-11-11
STR000088,CASE002184,AL0000281,ACCT004347,1,2023-02-19
STR000089,CASE003389,AL0000282,ACCT001963,1,2023-02-09
STR000090,CASE000533,AL0000285,ACCT001445,1,2023-10-19
STR000091,CASE004090,AL0000286,ACCT003774,1,2024-03-02
STR000092,CASE004363,AL0000288,ACCT008276,1,2023-04-11
STR000093,CASE004606,AL0000290,ACCT003656,1,2024-05-08
STR000094,CASE000494,AL0000304,ACCT008329,1,2024-11-17
STR000095,CASE003735,AL0000310,ACCT001923,1,2023-11-10
STR000096,CASE003919,AL0000311,ACCT007261,1,2023-03-21
STR000097,CASE001101,AL0000315,ACCT002288,1,2024-05-10
STR000098,CASE004521,AL0000321,ACCT006206,1,2024-02-27
STR000099,CASE002932,AL0000322,ACCT005012,1,2024-02-18
STR000100,CASE000884,AL0000323,ACCT001789,1,2024-07-22
STR000101,CASE003726,AL0000324,ACCT007067,1,2023-03-31
STR000102,CASE000212,AL0000332,ACCT000984,1,2024-12-18
STR000103,CASE000009,AL0000337,ACCT006855,1,2023-08-23
STR000104,CASE000701,AL0000347,ACCT003731,1,2024-03-31
STR000105,CASE000700,AL0000349,ACCT006385,1,2024-01-20
STR000106,CASE003924,AL0000350,ACCT006466,1,2023-09-25
STR000107,CASE001041,AL0000357,ACCT004077,1,2024-07-24
STR000108,CASE000920,AL0000359,ACCT001733,1,2024-05-18
STR000109,CASE003017,AL0000364,ACCT004315,1,2023-05-13
STR000110,CASE004572,AL0000367,ACCT000899,1,2024-07-10
STR000111,CASE003685,AL0000370,ACCT002703,1,2023-06-22
STR000112,CASE001734,AL0000375,ACCT000103,1,2024-07-03
STR000113,CASE002309,AL0000382,ACCT000115,1,2024-03-22
STR000114,CASE002412,AL0000383,ACCT005280,1,2024-04-26
STR000115,CASE003845,AL0000386,ACCT001810,1,2024-10-07
STR000116,CASE001573,AL0000388,ACCT003829,1,2024-09-20
STR000117,CASE000141,AL0000394,ACCT003784,1,2024-03-24
STR000118,CASE002966,AL0000395,ACCT003758,1,2024-12-02
STR000119,CASE003028,AL0000397,ACCT003846,1,2024-04-11
STR000120,CASE002781,AL0000398,ACCT000999,1,2024-03-18
STR000121,CASE001863,AL0000399,ACCT005058,1,2023-06-11
STR000122,CASE000462,AL0000401,ACCT002936,1,2024-01-03
STR000123,CASE003948,AL0000405,ACCT001260,1,2023-12-15
STR000124,CASE000047,AL0000409,ACCT000948,1,2024-07-27
STR000125,CASE000605,AL0000410,ACCT006621,1,2023-12-21
STR000126,CASE002611,AL0000414,ACCT006525,1,2023-10-30
STR000127,CASE001762,AL0000420,ACCT005369,1,2024-11-15
STR000128,CASE002485,AL0000422,ACCT006812,1,2023-09-15
STR000129,CASE001352,AL0000425,ACCT001516,1,2023-02-28
STR000130,CASE000918,AL0000426,ACCT007296,1,2023-11-30
STR000131,CASE003025,AL0000429,ACCT000514,1,2024-07-23
STR000132,CASE001164,AL0000430,ACCT003378,1,2023-12-22
STR000133,CASE004505,AL0000434,ACCT003367,1,2023-03-29
STR000134,CASE003111,AL0000436,ACCT004768,1,2023-04-07
STR000135,CASE001114,AL0000437,ACCT000914,1,2023-12-23
STR000136,CASE002966,AL0000439,ACCT001732,1,2023-11-06
STR000137,CASE002040,AL0000444,ACCT005085,1,2024-08-22
STR000138,CASE002629,AL0000450,ACCT006842,1,2024-11-06
STR000139,CASE000658,AL0000453,ACCT002911,1,2023-03-31
STR000140,CASE000088,AL0000455,ACCT003195,1,2024-11-05
STR000141,CASE004412,AL0000460,ACCT003668,1,2024-08-16
STR000142,CASE004869,AL0000461,ACCT006208,1,2023-10-10
STR000143,CASE003810,AL0000464,ACCT008791,1,2024-10-07
STR000144,CASE001317,AL0000466,ACCT004704,1,2024-09-13
STR000145,CASE004080,AL0000468,ACCT003986,1,2024-10-30
STR000146,CASE002612,AL0000469,ACCT000105,1,2023-02-15
STR000147,CASE000107,AL0000471,ACCT003418,1,2025-01-02
STR000148,CASE004476,AL0000474,ACCT005909,1,2023-05-02
STR000149,CASE000874,AL0000483,ACCT005368,1,2024-01-06
STR000150,CASE002795,AL0000489,ACCT003137,1,2023-12-23
STR000151,CASE001042,AL0000503,ACCT001459,1,2024-07-09
STR000152,CASE000319,AL0000509,ACCT006223,1,2023-12-04
STR000153,CASE000872,AL0000511,ACCT004250,1,2023-03-28
STR000154,CASE000710,AL0000513,ACCT008794,1,2023-08-29
STR000155,CASE001420,AL0000516,ACCT000204,1,2024-01-21
STR000156,CASE003156,AL0000518,ACCT007759,1,2023-01-31
STR000157,CASE001112,AL0000523,ACCT003968,1,2024-06-15
STR000158,CASE004976,AL0000526,ACCT002498,1,2023-09-08
STR000159,CASE000145,AL0000530,ACCT001499,1,2024-04-20
STR000160,CASE004880,AL0000532,ACCT005386,1,2023-03-10
STR000161,CASE001370,AL0000535,ACCT003225,1,2023-05-04
STR000162,CASE003194,AL0000536,ACCT002504,1,2024-07-31
STR000163,CASE001401,AL0000537,ACCT003047,1,2023-11-04
STR000164,CASE000011,AL0000546,ACCT003894,1,2024-12-20
STR000165,CASE003554,AL0000550,ACCT005347,1,2023-04-16
STR000166,CASE004307,AL0000551,ACCT008200,1,2023-08-13
STR000167,CASE000798,AL0000552,ACCT001979,1,2024-10-16
STR000168,CASE002549,AL0000555,ACCT000207,1,2024-05-20
STR000169,CASE001811,AL0000556,ACCT001514,1,2024-10-13
STR000170,CASE003390,AL0000558,ACCT003246,1,2024-05-09
STR000171,CASE001252,AL0000560,ACCT004601,1,2023-07-26
STR000172,CASE002603,AL0000562,ACCT007175,1,2023-04-19
STR000173,CASE000320,AL0000563,ACCT005677,1,2023-11-01
STR000174,CASE001567,AL0000565,ACCT006899,1,2023-03-05
STR000175,CASE001581,AL0000568,ACCT000611,1,2024-06-13
STR000176,CASE004897,AL0000569,ACCT004370,1,2024-02-26
STR000177,CASE004472,AL0000572,ACCT001850,1,2024-12-27
STR000178,CASE000968,AL0000575,ACCT003084,1,2023-02-21
STR000179,CASE004786,AL0000582,ACCT001768,1,2023-03-16
STR000180,CASE002077,AL0000585,ACCT002174,1,2023-03-03
STR000181,CASE001474,AL0000587,ACCT001276,1,2024-08-05
STR000182,CASE002384,AL0000591,ACCT004897,1,2023-11-04
STR000183,CASE000379,AL0000594,ACCT004570,1,2023-02-04
STR000184,CASE002796,AL0000596,ACCT003801,1,2024-03-07
STR000185,CASE002343,AL0000604,ACCT002734,1,2023-02-07
STR000186,CASE002991,AL0000605,ACCT008791,1,2023-05-30
STR000187,CASE000499,AL0000606,ACCT007039,1,2024-09-09
STR000188,CASE002278,AL0000607,ACCT005726,1,2023-05-10
STR000189,CASE001461,AL0000608,ACCT008275,1,2023-08-31
STR000190,CASE004093,AL0000610,ACCT008091,1,2023-11-17
STR000191,CASE003148,AL0000615,ACCT008750,1,2023-05-13
STR000192,CASE002252,AL0000617,ACCT003248,1,2023-04-06
STR000193,CASE000484,AL0000618,ACCT006260,1,2025-01-01
STR000194,CASE000619,AL0000623,ACCT002649,1,2023-04-03
STR000195,CASE004942,AL0000624,ACCT005084,1,2023-12-04
STR000196,CASE003891,AL0000627,ACCT007247,1,2024-06-06
STR000197,CASE003016,AL0000628,ACCT003670,1,2024-03-19
STR000198,CASE001347,AL0000629,ACCT006597,1,2023-01-08
STR000199,CASE003153,AL0000634,ACCT002601,1,2024-07-17
STR000200,CASE003499,AL0000637,ACCT003421,1,2023-09-12
STR000201,CASE001771,AL0000638,ACCT007863,1,2024-01-20
STR000202,CASE001675,AL0000639,ACCT000402,1,2024-03-25
STR000203,CASE002401,AL0000641,ACCT001558,1,2023-11-01
STR000204,CASE003218,AL0000646,ACCT004667,1,2024-05-24
STR000205,CASE001901,AL0000648,ACCT004405,1,2023-03-15
STR000206,CASE001458,AL0000649,ACCT006132,1,2023-04-15
STR000207,CASE001734,AL0000652,ACCT008429,1,2024-12-10
STR000208,CASE004020,AL0000654,ACCT004107,1,2025-01-02
STR000209,CASE003324,AL0000656,ACCT008360,1,2023-11-28
STR000210,CASE001109,AL0000657,ACCT008206,1,2024-07-25
STR000211,CASE001485,AL0000662,ACCT008991,1,2023-04-17
STR000212,CASE002985,AL0000667,ACCT000290,1,2024-09-27
STR000213,CASE004571,AL0000668,ACCT006312,1,2024-08-03
STR000214,CASE000696,AL0000669,ACCT003905,1,2023-05-21
STR000215,CASE003313,AL0000673,ACCT000789,1,2023-12-28
STR000216,CASE000353,AL0000676,ACCT003112,1,2023-09-28
STR000217,CASE003398,AL0000677,ACCT006539,1,2024-01-08
STR000218,CASE001278,AL0000679,ACCT001035,1,2023-10-27
STR000219,CASE002500,AL0000681,ACCT005602,1,2024-05-14
STR000220,CASE003621,AL0000683,ACCT005098,1,2023-07-07
STR000221,CASE004337,AL0000685,ACCT005433,1,2023-06-05
STR000222,CASE002421,AL0000690,ACCT003868,1,2024-08-30
STR000223,CASE000540,AL0000691,ACCT003875,1,2023-08-05
STR000224,CASE003814,AL0000692,ACCT000559,1,2024-07-30
STR000225,CASE001749,AL0000693,ACCT001975,1,2024-03-17
STR000226,CASE002281,AL0000694,ACCT004368,1,2024-06-23
STR000227,CASE003237,AL0000695,ACCT004950,1,2024-03-07
STR000228,CASE002104,AL0000697,ACCT006029,1,2024-01-04
STR000229,CASE004679,AL0000701,ACCT004325,1,2023-10-22
STR000230,CASE001319,AL0000704,ACCT003504,1,2023-07-23
STR000231,CASE004911,AL0000705,ACCT007846,1,2023-10-05
STR000232,CASE002530,AL0000719,ACCT003037,1,2023-05-05
STR000233,CASE001349,AL0000721,ACCT008692,1,2023-06-17
STR000234,CASE002406,AL0000723,ACCT007879,1,2024-01-28
STR000235,CASE001627,AL0000726,ACCT001937,1,2023-05-17
STR000236,CASE000155,AL0000730,ACCT004266,1,2024-12-18
STR000237,CASE004519,AL0000731,ACCT005248,1,2023-07-07
STR000238,CASE004881,AL0000732,ACCT005764,1,2023-09-16
STR000239,CASE004724,AL0000734,ACCT002605,1,2023-05-03
STR000240,CASE001858,AL0000741,ACCT004814,1,2024-09-24
STR000241,CASE000113,AL0000748,ACCT001034,1,2023-11-15
STR000242,CASE000094,AL0000749,ACCT007827,1,2024-10-26
STR000243,CASE002576,AL0000750,ACCT005077,1,2024-01-17
STR000244,CASE004815,AL0000755,ACCT001861,1,2023-03-22
STR000245,CASE003830,AL0000761,ACCT002118,1,2023-02-21
STR000246,CASE000791,AL0000762,ACCT001528,1,2023-09-15
STR000247,CASE000463,AL0000763,ACCT004491,1,2024-12-01
STR000248,CASE002249,AL0000767,ACCT006713,1,2024-06-27
STR000249,CASE003164,AL0000768,ACCT005073,1,2024-06-16
STR000250,CASE002640,AL0000774,ACCT000334,1,2024-06-26
STR000251,CASE002282,AL0000775,ACCT008219,1,2023-02-11
STR000252,CASE002403,AL0000777,ACCT004521,1,2024-04-30
STR000253,CASE000172,AL0000784,ACCT008422,1,2024-03-10
STR000254,CASE001225,AL0000785,ACCT005247,1,2024-10-07
STR000255,CASE004557,AL0000787,ACCT006422,1,2024-11-05
STR000256,CASE003917,AL0000794,ACCT004947,1,2023-08-02
STR000257,CASE004034,AL0000795,ACCT000841,1,2024-11-15
STR000258,CASE002599,AL0000801,ACCT008501,1,2023-12-22
STR000259,CASE002372,AL0000804,ACCT000918,1,2023-09-23
STR000260,CASE004432,AL0000806,ACCT000720,1,2024-01-06
STR000261,CASE002411,AL0000810,ACCT005409,1,2023-09-24
STR000262,CASE001883,AL0000816,ACCT000300,1,2024-09-26
STR000263,CASE004433,AL0000819,ACCT008436,1,2024-05-14
STR000264,CASE004837,AL0000821,ACCT002182,1,2024-11-23
STR000265,CASE004447,AL0000824,ACCT006796,1,2024-12-24
STR000266,CASE003334,AL0000826,ACCT000641,1,2024-01-15
STR000267,CASE001243,AL0000838,ACCT007348,1,2024-03-23
STR000268,CASE004439,AL0000842,ACCT003417,1,2024-08-03
STR000269,CASE002070,AL0000845,ACCT005916,1,2024-10-10
STR000270,CASE000251,AL0000846,ACCT008088,1,2024-02-06
STR000271,CASE002163,AL0000847,ACCT005119,1,2024-09-07
STR000272,CASE003137,AL0000850,ACCT006537,1,2024-12-23
STR000273,CASE004572,AL0000851,ACCT008601,1,2024-09-15
STR000274,CASE003051,AL0000857,ACCT001987,1,2023-03-17
STR000275,CASE004252,AL0000858,ACCT000256,1,2024-11-04
STR000276,CASE004574,AL0000860,ACCT002369,1,2023-08-08
STR000277,CASE001229,AL0000865,ACCT008209,1,2024-10-25
STR000278,CASE000878,AL0000873,ACCT006576,1,2024-07-10
STR000279,CASE003731,AL0000875,ACCT000308,1,2023-01-15
STR000280,CASE003496,AL0000879,ACCT004846,1,2023-03-30
STR000281,CASE000456,AL0000880,ACCT002234,1,2024-09-08
STR000282,CASE001544,AL0000884,ACCT006624,1,2024-12-16
STR000283,CASE004516,AL0000886,ACCT006235,1,2024-10-16
STR000284,CASE002202,AL0000893,ACCT006509,1,2024-09-25
STR000285,CASE004798,AL0000895,ACCT004284,1,2024-05-27
STR000286,CASE004927,AL0000897,ACCT001643,1,2024-05-13
STR000287,CASE002092,AL0000900,ACCT008050,1,2024-04-02
STR000288,CASE000209,AL0000907,ACCT008366,1,2023-12-10
STR000289,CASE003414,AL0000912,ACCT001045,1,2024-08-09
STR000290,CASE002205,AL0000913,ACCT002706,1,2023-08-22
STR000291,CASE001825,AL0000914,ACCT000622,1,2024-09-19
STR000292,CASE004648,AL0000923,ACCT004897,1,2023-05-22
STR000293,CASE001440,AL0000927,ACCT003170,1,2023-04-20
STR000294,CASE004139,AL0000929,ACCT003818,1,2024-11-03
STR000295,CASE003337,AL0000931,ACCT008268,1,2023-04-19
STR000296,CASE003137,AL0000932,ACCT000128,1,2023-10-18
STR000297,CASE004203,AL0000937,ACCT005821,1,2024-04-20
STR000298,CASE001578,AL0000941,ACCT002997,1,2024-04-17
STR000299,CASE004149,AL0000943,ACCT004101,1,2025-01-08
STR000300,CASE002747,AL0000973,ACCT004424,1,2024-04-04
STR000301,CASE002874,AL0000976,ACCT000493,1,2024-11-28
STR000302,CASE003876,AL0000979,ACCT007139,1,2023-10-17
