feature_name,feature_group,business_definition,mule_types,is_leakage_feature,is_default_selected,is_graph_feature
cross_border_transaction_count,cross_border,International transfer count,M3,0,1,0
cross_border_fin_in_ratio,cross_border,Incoming funds from foreign banks / total incoming,M3,0,1,0
cross_border_fin_out_ratio,cross_border,Outgoing funds to foreign banks / total outgoing,M3,0,1,0
high_risk_country_transfer_ratio,cross_border,Transfers involving high-risk countries / total,M3,0,1,0
foreign_ip_transaction_ratio,cross_border,Transactions from foreign IP addresses / total,M4,0,1,0
graph_node_degree,graph,Number of graph edges connected to node,M4,0,1,1
graph_in_degree,graph,Incoming edges to node,M4,0,1,1
graph_out_degree,graph,Outgoing edges from node,M4,0,1,1
graph_degree_centrality,graph,Normalized node degree,M4,0,1,1
graph_betweenness_centrality,graph,Fraction of shortest paths through node,M4,0,1,1
graph_closeness_centrality,graph,Inverse average distance to nodes,M4,0,1,1
graph_eigenvector_centrality,graph,Importance based on connected nodes,M4,0,1,1
graph_pagerank_score,graph,Pagerank probability score,M4,0,1,1
graph_clustering_coefficient,graph,Density of neighbor connections,M4,0,1,1
graph_triangle_count,graph,Triangle count in network,M4,0,1,1
graph_kcore_score,graph,k-core decomposition score,M4,0,1,1
graph_community_size,graph,Nodes in connected community,M4,0,1,1
graph_cross_border_edge_ratio,graph,Cross-border edges / total edges,M3,0,1,1
graph_money_flow_depth,graph,Layers in money-flow chain,M3,0,1,1
graph_transaction_path_length,graph,Length of transaction path,M3,0,1,1
graph_cycle_detection_flag,graph,Cycle detected in transaction graph,M4,0,1,1
graph_layering_pattern_score,graph,Layering behaviour score,M3,0,1,1
graph_structuring_pattern_score,graph,Structured amount / graph pattern score,M3,0,1,1
graph_ring_network_score,graph,Ring-detection network score,M4,0,1,1
graph_account_device_link_count,graph,Devices linked to account,M4,0,1,1
graph_account_ip_link_count,graph,IPs linked to account,M4,0,1,1
graph_account_phone_link_count,graph,Phones linked to account,M4,0,1,1
graph_account_email_link_count,graph,Emails linked to account,M4,0,1,1
graph_multi_identity_cluster_size,graph,Accounts sharing multiple identity elements,M4,0,1,1
graph_channel_diversity_score,graph,Entropy / diversity of channels used,M4,0,1,1
graph_channel_transition_score,graph,Channel switching behaviour score,M4,0,1,1
graph_channel_behavior_entropy,graph,Entropy of graph channel usage patterns,M4,0,1,1
network_neighbor_mule_ratio,network,Suspicious neighbor accounts / total neighbors,M4,0,1,1
network_two_hop_mule_exposure,network,Accounts reachable within two hops,M4,0,1,1
network_three_hop_mule_exposure,network,Accounts reachable within three hops,M4,0,1,1
network_suspicious_cluster_score,network,Suspicious entities in connected cluster,M4,0,1,1
network_propagation_risk_score,network,Risk propagated from connected nodes,M4,0,1,1
network_behavior_anomaly_score,network,Maximum connected risk score,M4,0,1,1
network_transaction_entropy,network,Entropy of network transactions,M4,0,1,1
network_money_flow_concentration,network,Money-flow concentration score,M3,0,1,1
network_cluster_risk_score,network,Aggregated cluster risk score,M4,0,1,1
network_high_risk_neighbor_count,network,Connected accounts with high risk,M4,0,1,1
cross_channel_login_count_24h,cross_channel,Distinct cross-channel logins in last 24h,M4,0,1,0
cross_channel_device_usage_count,cross_channel,Devices used across channels,M4,0,1,0
cross_channel_geo_variance,cross_channel,Variance of usage locations across channels,M4,0,1,0
cross_channel_behavior_entropy,cross_channel,Entropy of channel usage patterns,M1-M4,0,1,0
cross_channel_counterparty_overlap,cross_channel,Counterparties shared across channels,M4,0,1,0
cross_channel_session_overlap_flag,cross_channel,Sessions overlap across channels,M4,0,1,0
cross_channel_transaction_count_24h,cross_channel,Transactions across channels in last 24h,M1-M3,0,1,0
cross_channel_transaction_amount_24h,cross_channel,Transaction amount across channels in last 24h,M1-M3,0,1,0
cross_channel_channel_diversity,cross_channel,Distinct channels used,M4,0,1,0
cross_channel_pass_through_ratio,cross_channel,Concentration of amount through dominant channel,M1-M3,0,1,0
cross_channel_velocity_score,cross_channel,Cross-channel transaction velocity score,M1-M3,0,1,0
mule_ring_cluster_size,mule_ring,Number of accounts in mule ring cluster,M4,0,1,1
mule_ring_shared_beneficiary_ratio,mule_ring,Accounts sharing beneficiary in ring,M4,0,1,1
mule_ring_shared_sender_ratio,mule_ring,Accounts sharing sender in ring,M4,0,1,1
mule_ring_shared_device_count,mule_ring,Accounts using shared device in ring,M4,0,1,1
mule_ring_shared_ip_count,mule_ring,Accounts sharing IP in ring,M4,0,1,1
mule_cartel_device_network_size,mule_ring,Devices controlling multiple mule accounts,M4,0,1,1
mule_cartel_layer_depth,mule_ring,Layers in laundering chain,M4,0,1,1
mule_network_risk_score,mule_ring,Overall mule network risk score,M4,0,1,1
